rating,review
bad,"It was a simple position but the coworkers were rude and gossiped a lot! Don’t like that environment. It’s been years, hopefully they changed their ways."
bad,"Porque hay que levantar unas bandejas llenas de carta y aveces pesan más del peso que ellos dicen que tiene, también limpiando los bones uno se lastima los hombros y las manos ."
bad,"Unfair management if you’re not in, In crowd you’re not In. Very unprofessional!!  You give your All and they Hate it. Some Drivers are paid more, CDL B Drivers are paid less!!"
bad,"a typical day is a day that something new is found and dealth with, also delivering what is needed and ask for.  "
bad,"Pitney-Bowes does care about their employees, only the bottom line.  Rather strange system of evaluation for performance appraisals. They used surveys for just about everything. They surveyed the customers to determine if the service was good but didn’t take into account the customers had they wrong equipment"
bad,"Not a good place to work. Horrible management, low pay, expectations that did not make the pay worth it. Which is why they sold the division to another company."
bad,"The worst! "
bad,"Pros: Monday- Friday, no weekends or holidays. Benefits are amazing."
bad,Management was poor and communicating was almost impossible with PR.I was supposed to be paid a shift premium and was never paid the shift premium and when I asked the supervisor to put it on the computer he would not do it for me
bad,"Outdated and ill-maintained hardware, operated via cumbersome, beta-like buggy software, communicating on an undependable and slow network."
bad,"Purposely trying to get rid of senior people to hire others for less pay. Micro management, reduction of portfolio accounts while double monthly goals. Reducing commissions and overall ability to make money even though quote doubled. Too many chiefs who do not listen to their employees. In a declining industry and using leverage in the wrong ways. While their employees make less and less money the executives make more and more. They need new decision makers and not fire the people that actually have been there long enough to know how to navigate and help clients. Customer service is extremely awful. Disconnection between each department, person, and clients. I would not recommend any business to do business with PB."
bad,"Be prepared to be forced into sales.  They start out acting like it is just a tech job, but will eventually force you to do sales and meet objectives.  The management does not care how good of a tech you are if you can not sell for them."
bad,"This place is terrible. Bad working environment. Sometimes no toilets, company needs to invest in they employees. Managers, supervisors are incompetent."
bad,Poor management hot under staffed nice people crappie restroom and break room unorganized attire comfortably not too stressful smoke area okay lunch break
bad,"it was a very stressful job, you are always in a hurry, running around chasing the mail, make sure everything has their correct label before sending it out,"
bad,"No raise."
bad,"Poor management skills employees know more then the managers "
bad,My last supervisor treated me as a no body even though the manager for the company that we were contracted for saw potential in what I could do.  The company as a whole didn't want to advance.
bad,"Very,very,poor management,like to show partiality, it was sickning.would not give you a raise when it was due,the owner of the company wouldnt help me"
bad,"Poor management,racism,favoritism, "
bad,the company will never move you up. you stay in the same position for as long as you stay employed there. i was with the company for 6 years and had one raise. i had to work a second job to survive. but its my fault because i got to comfortable working there. Monday thru Friday. weekends off you couldnt beat it
bad,Culture is unprofessional.  No support from management and extremely low pay with limited training.  Benefits are horrid compared to other orgs in this market.
