rating,review
bad,"Awful management, bad salaries, Excessive hours. Poor beneficies. In 24 years salary was $10 an hour. Supervisors aren’t professionals. I don’t recommend this company to anyone's."
bad,They put extreme pressure on the employees to sale products just to be in competition with other banks and if you don't make your sales they write you up on your performance sheet.
bad,"I hated that job so much, the hours were horrible, management was horrible. I hated and dreaded working there since day one. There was only one person I liked in that place."
bad,Poor leadership and no benefits for the associates  that work the overnight shift. At the same time this shift is overwhelmed with  work because the shift is composed by two associates . The management of Banco Popular is in need of retraining on how to work with different personnel.
bad,Es un empleo bastante estable pero no te permiten crecer dentro de la empresa  y no son prpo empleados. Si sobre pasas las metas o llegas a las mismas lo que hacen es subirtelas mas y mas paraque no puedas cumplir y no tenga que pagar incentivos. Almenos en el are de ventas y mercadeo
bad,"I was the head banker at a location in Panorama City, CA.. This location was a bound to be shut down sooner or later for the simple fact that management practiced opening accounts for people based on trust and friendship rather than their financial background history (which is what we are required to do). I was not comfortable with this unspoken rule that was encouraged by management just to meet and or exceed quoata. I stayed until I could find a more suitable job with morals and pride. I only say this because most of the accounts that were opened against company rules and regs. did fall into a delinquent status and made us all look bad."
bad,ambiente de trabajo cordial:recepcion de llamadas y la parte mas dificil era el poco espacio existente.
bad,This place is filled with people who do not know how to manage. A typical day at this job is answering calls (if working at the call center) without breaks. You have to let management know when you go to the bathroom and if you take too long they send someone to check up on you. If your absent 3 times you will get fired instantly no matter how many years you have been with this company. DONOT work here!!!! Find something else.
bad,banco popular worked well for me on the basis that it was only part-time.
bad,"This is the place to go to work if you want to be severely mistreated. You show up and basically get berated, told to do nothing our customers want, told to lie, and yelled at throughout your experience. Avoid working here at all costs."
bad,"Mi valoración no es buena, me parece una empresa anacrónica, mal gestionada."
bad,I learn a lot. But they are not very good employers. Very inconsiderate with the employees. They just care for the production.  The customer service it suppose to be first but its not.
bad,"he sido muuy buena empeada, honesta responsable, trabajar para esta empresa es dar lo mejor de si."
bad,"The actual work was not difficult; however, some of my former colleagues at the Bank were interesting individuals and presented a challenge to work with them."
bad,"I got this job through a temp agency that I can't remember the name of, but we were busy for like a month and then they ran out of things for us to do, so we sat around for the rest of the scheduled work period"
bad,"Muy desagradable en los últimos años, cambió mucho sus valores con Angel Ron"
bad,"Una vez estas dentro de la empresa, las cosas no son como  lo describieron. El dpto de Asesoría Laboral es pro empresa, te tratan con mucha arrogancia. Les molestas que dieras de lo que ellos piensan."
bad,Salario por debajo de los demas bancos. Poca oportunidad para crecer.   Pobres evaluaciones
bad,Think twice before accepting a job offer at this bank. Out of touch management. only pro would be the healthcare plan but is getting more limited each year.
bad,"I worked as an assistant manager which was a very fast past role which kept me on my toes. I've learned so much about managing and myself."
bad,"Experiencia buena, pero en salario y promoción regular para mucho trabajo que hay que hacer."
bad,I prefer not to review this employer. Numerous regions were closed resulting in a mass layoff.
bad,Typical day was fast paced helping clients who walked into the banking center. Approved transactions and provided coaching. Review reports for fraud and order cash and supplies.
bad,"No son buena paga pero teniamos buenos beneficio como plan medico, como todo fueron quitando los beneficios y el costo de vida sigue aumentando. Amaba mi trabajo, el poder ayudar a las personas para que no perdieran sus propiedades."
bad,I was originally hired by Quaker City bank and the bank was bought by Banco Popular. I didn't enjoy working for Banco do to poor management. They also change our hours which was a conflict.
bad,Long working hours with no clear advancement opportunities. Not to mention that most of the employees communicate in Chinese or Cantonese including the meetings which is really unfair and disrespectful to the employees who do not understand these languages. However this is Malaysia so I can't speak for other countries.
bad,"Es una buena empresa, el producto financiero es bueno, cuenta con personal capacitado y esta bien ubicado en distintas zonas del país."
bad,This bank promises but does not deliver.  Reward mediocracy. At the time of my employment technology was archaic for both internally and customer wise. I can not say that I learned anything because everything was so backwards.
bad,"desenvolvia uma comunicação positiva com o funcionário, porem nao contribuía para alimentação do  mesmo"
bad,the staff was committed to work and help the customer. Good attentive sucurcal with the client. Good atmosphere between colleagues. There was cooperation from all areas of the branch.
bad,As tarefas eram muito rotineiras e a pressão elevadíssima.
bad,typical day at popular bank is good and exciting accounts was ok entering through the system my cowokers were helpful most enjoyable was staying overtime
bad,"Decent vacation hours, friendly co-workers"
bad,The Sr Management Team is out of touch with the front line staff. Popular in the US is run like a poor stepchild to Banco Popular in PR.
bad,Ambiente de trabajo distendido donde destacaría el compañerismo y el apoyo mutuo.
bad,"●Managment chooses 10 calls at random, all have to be above 80% quality or they fire you. I believe that to be an unfair work practice, for no one learns the job perfectly in 3 months or even a year."
bad,Long and uninteresting days with very little people coming in. People moving over to Wells Fargo and management blaming tellers for this. It was boring.
bad,"Política de recursos humanos mal enfocada. "
bad,"Management is very unprofessional, the pay is garbage, so many rules and prohibitions for so little money, and the work load is heavy. One of my worst jobs ever."
bad,No me parece correcto hacer una valoración positiva o negativa en web
bad,The most difficult function of this job was getting support from management to move ahead with projects that would greatly benefit the bank.
bad,"El salario es aceptable."
bad,The people are great as far as environment however the pay is poor. Don't expect to get a raise because it's pathetic and you will have queue after queue added to your work load with no extra pay. The training will be continuous and expectations are rather high and unrealistic. The job is strenuous and stressful wouldn't recommend working there you don't have much room for growth and advancement.
bad,"Desde el software utilizado, hasta las campañas desmedidas por oficina y empleado, así como la política de recursos humanos es lamentable."
bad,"Typical Bank politics run amok here, between managers trying to keep you from advancing or pushing you out of their branches, upper management constantly pressuring you to meet sales goals and grow infinitely, there is plenty of reason to complain here. The pay is decent for the amount of work you actually perform which translates to long and boring days with little work. Calling nights are normal and if you're not on the phones calling people the entire time you're working you are considered lazy or not working. Work life balance is great but if you have stresses at home you shouldn't work here as this place will compound it. I wouldn't recommend working in any bank to anyone."
bad,"Lack of integrity, over work everyone there , send you to other branches without your consent, LOW PAY for all you do . No recognition. Don't waste your time."
bad,I liked working with the people and the customers. the only thing that was not so good was the pay. the management team where nice and very supportive in your ability to move up with in the company
bad,Severely  understaffed and inadequate management.Schedules are done week to week.The branch need trumps personal needs.
bad,My experience ion  Banco Popular of Puerto Rico was more like routine. Low pay rate and too much responsibilities .  It all ended when the bank got robbed and i felt my life was over .
good,"Management is not very friendly, you get written up easily and also they never appreciate your job efforts. Meeting goals was a challenge."
good,Banco con gran prestigio que en los últimos 12 años sus directivos no han sabido mantener el nivel de solvencia y rentabilidad que tenía
good,"Media/Baja."
good,"Job was not fun at all, to many people giving different directions and asking for the same information on different formats. Pressure levels were unsustainable and after all the bank was shut down by regulators (FDIC)."
good,Trabajo rutinario con reunión antes de comenzar el día con el encargado.
good,aprendí mucho pero el ambiente de trabajo era pesimo mucha competitividad.
good,"Los empleados son excelentes, pero la gerencia no hace balance entre hogar y trabajo.  Prefieren contratar gente de afuera y darles mejores beneficils y paga antes que darle el puesto a un empleado interno."
good,"Not interest to write much, you have to do someone else job for growth, but in the end, you don't deserve the position of growth."
good,"Aprendí mucho, pero en los últimos tiempo se paralizaron los planes profesionales debido a la crisis de la empresa."
good,The position was favorable until the acquisition of another lender whereby the company brought the management team over and revamped the department's direction.
good,It’s a great place to work but just depends on your location. By that I mean how well you get along with your co workers. Some employees don’t know how to separate business with personal.
good,"..."
good,"de 1 a 10 le doy un 6 hay una gran estabilidad, actualmetne hay una nueva administación encabezada desde un nuevo Presidente y Vicepresidentes con los cuales se esperan nuevos cambios y nuevas expectativas"
good,"He aprendido mucho , ya que he trabajado en dos departamentos. Por lo qué conozco muy bien toda la empresa."
good,I learned to be more proactive and to ask questions if I am unsure about something.
good,Banco popular is a great know bank chain with great reviews and great management .very clean and professional good career move for an individual for a people person
good,Customer's service job. The job is easy enough but the company complicates it with a lack of management. Simple situations tend to inconvenience workflow for months due to issues and problems not being address until it's too late. Good for a temporary transition.
good,No tengo fundamentos para realizar una valoración precisa pues en esta empresa no estuve más de 6 meses
good,"Aunque haya tenido una buena experiencia laboral en el Banco Popular y buen ambiente de trabajo, la cultura laboral no fomentaba el desarrollo del profesional, la politica de RRHH es retrogada, el modelo de jerarquia no corresponde al modelo moderno de administracion en donde los jefes y directivos, interactuan mas directamente con el equipo, he notado pocas oportunidades de proyecciones laborales, politica de meritocracia inexistente desde mi punto de vista."
good,Elevado espírito de equipa. Forte atenção no cliente interno e externo. Excelente escola
good,"Some of the highest level executives are very conscious of employee morale and have launched several improvement initiatives.  You can learn a lot in this company; maybe even grow IF you get a good direct manager.  "
good,"El haber trabajado en una gran empresa con mas de 15.000 personas que integran la plantilla y en un entorno tan competitivo y en plena crisis me ha obligado a estar a la vanguardia de los mercados económicos, de un mayor esfuerzo y superación, ejerciendo mi trabajo con empatía, asertividad t un gran conocimiento del cliente."
good,"Going through a difficult transition - profitability, staff departures and reorganization."
good,"Longevity, and job security is very strong in this company. Medical benefits are excellent. Paid vacations, and a lot of sick days. Great corporate activities and compensations for your hard work as an employee.Top Management creates career path, supervisors do not always follow through when helping there employees."
good,Management team members are not all on the same page and they are all very disorganized. Some individuals are friendly but it is better to go work and go home. Do not become friends with these people.
good,"Proyecto con bajo nivel de desempeño debido a ser con bases de datos cerradas sin capacidad para poder ofrecer en otros sectores en donde no se había hecho gestión."
good,Typical administartive job. Learn diferent financial tecniques. Management was under supervisor all time with a few desicion making.
good,"Good people.  But not a lot of career advancement.The company is closing,"
good,"Its a Big bank with the Pros and Cons of a big Institution."
good,"Good company to work for.  Compensation was good, benefits and time off was reasonable."
good,"As a recent college grad in 2006, was looking for a steady full time position."
good,"El plan medico es super, pero no te dan oportunidad de crecimiento profesional y tampoco aumentan anual, muchas veces el q lleva mas de 10 años gana lo mismo por hora que el que lleva un mes 🙄🙄....yo lo vivi"
good,I am sincere with my work. And do all work which is assential to my work. Management is any work my favourite work and try to do better then any body.
good,"Al ser una institucion financiera el trabajo que se realiza es mucho. Se puede ganar un buen salario, pero no necesariamente eso es lo que siempre importa. Tambien, influye tu salud mental."
good,Time to change careers. Banks only expand through organic growth or acquisitions. Banking is not a good place for me personally to work. The money was good but the company soulless.
good,Very friendly coworkers and productive enviroment with low opprtunity of professional growth. I worked for 7 years and never had the experience of a interview
good,Me dio la oportunidad de desarrollar mis habilidades.
good,Good luck! And meet as many people as you can and move to different positions.  Learn about everything. Move on and up. Very important to have your college degree
good,"It was a productive work place, I was there for approx. 7 years. I learned a lot during my time worked there. Experiences that provide me now the opportunity to growth in personal and professional aspect. Everyday we was encourage to achieve our personal goals to help the bank collective goals. That time helped me in my professional development in all aspects."
good,"Professional environment with uniforms and a great dress code.  Health and vacation benefits.  Minimum salary and stressful hours with no breaks, just your lunch."
good,"Dentro de mis funciones en el Departamento de Bienes Raíces Corporativos de Banco Popular, realizo lo siguiente: Administración de estacionamientos, a cargo de desarrollar el Programa de Bienestar y Comodidades en los edificios corporativos, coordino el alquiler de espacios para actividades/eventos dentro de las facilidades corporativas de Banco Popular y colaboro en la revista de Bienes Raíces Corporativos de Banco Popular “El Hito”."
good,"Management team is very good and help in your career growth. Technical projects and good team members. Not very hectic and good place to work for."
good,The number one in Puerto Rico. With the the latest technology but unfortunately not a lot of growth opportunities. Employees are alwais willing to give the extra-mile
good,Worked with customers on a daily base. Processed loans. Provided excellent customer service resulting increased sales. Answered questions and directed customers to help with their needs
good,"Apoyo creciente para el empleado y familiares, ambiente estresante"
good,Difícil mantener equilibrio entre vida laboral y familiar. 
good,good place for stability but not too many opportunities of advancement nor relocation if you live outside the metro area. other than that is and overall good place to work.
