rating,review
good,"Worked there for two years,  wouldn't leave except because of the long commute. "
bad,Management only cares about certain (friends) employees.He caters to them while he pushes others to work more and more. Company takes about safety but disgardes the amount of hours of work some Coworkers work over 70hrs weekly. Management is all about the money at whatever cost. Even when there are injuries they are ignored
bad,This job had liitle room for advancement. Laid off and pay was low with minimum overtime. I did learn a lot. I got to work in multiple areas. Picked up a lot of knowledge.
bad,"Worse company I have ever worked for, I worked at there oldmixon branch based in Weston super mare. You get dragged along with the understanding you'll have a contract at the end of it but trust me you won't you are just a number and you feel it too. Honestly would rather be out of work than work there. Leave well alone for your own dignity. No respect whatsoever, never any clear messages and you get lied to and threatened with your job continuosly."
bad,Practically forced to work overtime. Manager would want employees to work 7 days a week. It's a very stressful at times. No matter what you do it seems like it's not good enough for them.
bad,"Praxair is in a great industry, but mangement at the time I was there was very much a dictatorship.  No respect for employees and there was definitely a condescending frequent feeling that came from them."
bad,"Si tu aiment te faire suivre sur la route par des superviseurs incompétents et te faire donner des suspensions et lettres disciplinaires, c’est la place. Attends toi à te faire gueuler par des clients parce que les pauvres clients manquent de produit continuellement à cause de l’incompétence accrue des gestionnaires. Ne tombe accidentellement jamais sur la glace, ça va être ta faute et tu vas recevoir une discipline sérieusement et te faire dire que tu devais regarder où tu mets les pieds. Équipements de travail qui date de la deuxième guerre mondiale pour se sauver de l’argent et ta santé et sécurité n’est aucunement respectée. Ne porte jamais une plainte aux ressources humaines, l’arrogant de petit lardon prendra jamais ta part. Le favoritisme est vraiment leurs points fort. Si tu ressembles à Harry Potter et tu est prêt à te faire tâter sans rien dire. Bon ben bonne chance.."
bad,"If u like long hours and low pay for the industry, this job is right up your alley. You do get most weekends off, but the amount of work per employee is very high. Not enough drivers even when fully staffed. 60hr work weeks are over rated."
bad,"I have worked at new castle pa plant many years an have seen a steady decline in overall work atmosphere management only cares about month end figures they are very rude to employees, upper management  has no clue what goes on an the pay scale is horrible stay away from this place"
bad,I see a lot of discrimination.pay rate is unfair.co-workers that are there less time get paid more.co-workers taking long breaks and not punching out.
bad,Big discrimination issues with this company. Majority of the time is spet freely doing nothing without any super vision. Very dysfunctional and unorganized.
bad,This company is no longer in business. It was bought by Apria. I never worked at Apria so I am unable to give a current review on Apria's work environment and culture
bad,Bad place to work they tell you what you want to hear to get you in the door but they never come true hold you in the same spot the pay is bad they give you 5 cent raise
bad,"Sales management non-existent. Poor leadership, management and values. Would not recommend a position there. Home health division sold off."
bad,Nothing great to say. Upper management has no clue regarding the day to day operations. Decisions are made with solid information.
bad,"Good company to work. Good exposure, Management is also good. Enjoyed al lot in company. Co workers are very cooperative"
bad,"poor management, employees not treated well, a union would give workers more security and leverage"
bad,A company that preaches safety but doesn't back it up. The pay is at the low end of the industry.
good,"Worked there for two years,  wouldn't leave except because of the long commute. "
bad,"Please have some respect for yourself before you think of applying, they only care about the bottom line not the employees or their safety.  "
bad,"Not what I was told it would be, they pretty much lie to you to get you in, and then they will try to change your schedule, They'll tell you that they don't work much ot, because they believe in a work/life balance but as soon as the end of the Month gets here you can expect to be in there the whole weekend. Management has no clue what's going on and they don't care as long as you are putting out parts for their bonus, this place pays like trash for everything you do. it's under tge watch of the FAA and they pay you like you're a bag boy, this a a skilled trade job that doesn't pay like it."
bad,Poor Managementpoor training. you are screamed at by customers on every call over 8 hours a day. VERY STRESSFUL JOB. someall  days ot allowed breaks due to high call volume.
bad,"Praxair Surface Technologies does not care about their employees, they continually eliminate positions and expect other people to pick up another full-time job on top of their full-time job.  Inexperienced upper management only care about making monthly sales, regardless of what it takes.  There were years that large numbers of people were laid off and the same month the upper management would drive in their new expensive sports cars, bragging they bought the car with cash from the bonus they just received.  "
bad,"They treat the temps horribly. Management is a joke. People walk around just to find things to tattle tale on others about. The only way to last there is to show up, ignore everyone (except make sure you're always auto in) and do not point out anything that's incorrect. Even then, if a supervisor dislikes you for whatever reason, they will set you up to get fired. And the branch, they make commission off sales then don't care if the customers ever pay. And they cry and whine if collections tries to get them to do their job. And collections takes so long to get invoices to people that they over charge in finance fees. Yet, don't try to write them off or you'll get a rude email. In fact, you'll get 2 rude email a week just for doing your job and maybe a third because your supervisor is having a power trip. And don't even think about talking to HR or anyone at work about your concerns or there will be retaliation. This is a terrible place to work, especially in Iowa. And the branch employees in California are the laziest ever."
bad,Hmm let's see.
bad,"I applied to the night shift position, as I was already employed at another job, the night shift seemed ideal."
bad,They let some people move around. Even through you have the same leadership and knowledge. I feel like they dont have faith in me and trust that I can do more then they let me.
bad,The company stand for good but the people that are in charge is greedy heartless and still work with the old American attitude . The people there do not believe in New blood but if u are connected from someone inside it do not matter what u know just wing it . the company could make much more money but the drivers milk the cow slow . but the driver's make sure they get paid in full t.They.
bad,Lets just say being told not to ask questions during group meetings and management is always right was the attitude. I had a manager once call impersonating me to find out if i needed to attend a court appearance. When asked about it he said oh well.
bad,"Very stressful work environment, driver cams, microphone to listen to everything you say in the cab. Collision mitigation system that will slam on your brakes for no reason at all.  Driver cam comes on all the time to record you, even if you didn’t do anything wrong.  The company is always right and the driver is always wrong. You never have the same truck and will be slip seating unless you are a team driver."
bad,"Working here is not the best but it's a job! Management is POOR, they expect you to do so much with not much/no training and without that many people! People are quitting everyday and we are currently,  severely,  understaffed but they keep telling the customer these unrealistic numbers of what we can produce. The pay is not the best for what they expect of you to do and the work load. They also play favorites! No incentives or bonuses. It's really not worth it, if you can avoid it."
bad,"Very Stressful work, Under pressure daily, Management very disorganized, Constantly being pushed to the limit which makes for a hostile work atmosphere."
bad,Too many reps in one target market.  Very little inside support to reps.  I was the last rep to be hired (other two were very tenured) and my territory was a waste.  It could have been split between the other two reps.
bad,"40 hrs guaranteed with benefits and 401K option and comparable pay.  Uniforms with laundering and work boots as well as personal protection equipment provided (safety glasses, hard hat, gloves)."
bad,Do not recommend this organization. Highly charged political environment based on who you know and who you please. Do not approve of management and eco
bad,Terrible management in grande prairie and the one that comes from Edmonton. Spineless support exspecially if you are hired on through manpower as they do not have to follow Canadian labour laws. Do not pay bills owed to private contracts when work was done with in house approval but not edmontons.
good,"Worked there for two years,  wouldn't leave except because of the long commute. "
bad,"I Worked at the Location In Jessup, MD. It was beyond unprofessional and not a good place to work. I've had some bad jobs but this one topped them all, It's a mad house and I would not recommend it to anyone. Everyone working there is lazy and unprofessional from the plant managers up to the Managers (Including CEO and Big time Managers). The only good thing I can say was the Compensation was decent, but it wasn't worth working there and Overnight."
bad,"I don't recommend. Close-minded management, circle-type of culture, not open to change, not open to improvement, bad inter-personal relations with other BUs, really awful"
bad,I wake up every morning and drive to my air separation plants. I take readings and complete calibrations on various transmitters and analyzers. I would complete any preventive maintenance that would need to be completed in order to keep the plant operational.
bad,"After 35 years with this company, they decided to close our plant in Columbus and move nearly 3 hours away. They left us all hanging for a year until they finally gave us a date when they were closing. If not for the union, we would have gotten no decent severance. 3 years till retirement and now I am looking for another job. They worked us on mandatory overtime for nearly two years before deciding to move. After I left, my blood pressure returned to normal. I don not recommend this company to anyone."
bad,This is a fast paced environment where u have to train yourself on over 90% of the job.  Management and decisions are made out of Edmonton or the USA which leads to no support or idea how individual locations and branches are ran.  There are no job descriptions or training manuals on any position in this company.  The culture is not ideal and is not relevant to innovation or the current market.  Overall just disorganized and unsatisfactory as an employer.
bad,Management are like children. Lots of gossip and backstabbing. Borderline hostile work envirement. Managers have no clue about the process and have no people skills
bad,"Workers not appreciated, pay is low for the job expected on a daily and not enough workers. micromanaging is horrible and not much opportunity to grow into company. No bonuses."
bad,"If you like having 2 days off a month this is the place to be. It's not all bad the vacation time is good... but at what cost?  It's greed! Management, Safety & Engineering get weekends off because there are no issues on the weekends with any of that. RIGHT! Oh and you're expected to switch shifts every 3 months! What fun to shuffle your kids and family time around. So great.. This will be your life, forget about everything else."
bad,As a company they run very lean. There are not enough employees for they job. Too many people delegating work and not enough people doing the work....
bad,Two Plant Managers in 1 year ( and no Plant Manager now) two Quality Managers and no Quality Manager now. unrealistic production goals with the amount of production people.
bad,"Overall, the work isn't bad.  I enjoy the work, as well as the employees I work beside.  The pace is grueling(usually 6 or 7 days a week of work).  For the amount of work everyone produces each week, I feel there should be more time off for everyone.  But, management is concerned about receiving their bonuses throughout the year, so the more we produce, the better their bonuses will be.  The pay is decent if you're on an off shift(2nd or 3rd), but 1st shift is where the pay drops off.  If you need a job ASAP, I would apply."
bad,This was a good position when I first got there. they changed management and it has become very unbalanced. the new manager has an authoritarian complex. and plays favorites severely. and the higher she gets the worse it becomes.
bad,"En esta empresa me toco trabajar en un contrato de 6 meses con posibilidad a empleo permanente, pero por cuestiones personales tales como el embarazo de mi esposa me vi forzado a tomar los días de incapacidad por paternidad lo cual me afecto en mi contrato y no lo renovaron, ya que al Gerente Regional de ventas de Chihuahua no le pareció que tomara mis días correspondientes como lo dice la Ley Federal de Trabajo y las políticas de esta empresa, Yo seguí los lineamientos de esta empresa para tomar estos días tales como avisar al Jefe Directo y al Departamento de RH para lo cual accedieron pero al regreso de este derecho el Jefe Regional inicio con hostigamientos y malos tratos tales como amenazas a no renovar mi contrato y que lo que hice no fue etico ni de nivel profesional."
bad,"Seems good for the first year, then you notice and feel everyone starting to back stab u and hang you out to dry, no training but lots of innapropriate mess when you mess up: staff in ptbo are all winers and not in it for the love of the clients. "
bad,"Management does not listen to its employees and us only concerned that the job gets done, even if it is unsafe for the employees or cuts corners to save costs."
bad,"-No training"
bad,"We work 8 hour swing shifts but the plant is always understaffed so there's overtime every week and you live at the place. You will never see your family and the mangers don't care. They think it's funny. Everyone here is miserable and always in a bad mood. Everyone gossips about each other and there is lots of backstabbing. There is a union that does nothing for you but take money from your check every month. The nonunion workers have better benefits and schedule and get treated better. The management knows nothing about the place and can't do your job. You get no training. But then you get yelled at, belittled, and talked about when you don't know what to do by the people the managers tell you are there to help you. But the managers couldn't step in and do your job and they should know how to. All they do is talk about people behind their backs and create conflicts between everyone. This place is like a bad high school. The managers are immature and act like children. The pay is good but everything else here is terrible. Don't get sucked in by the pay. It's not worth it. There are openings because everyone wants to leave and people are jumping ship at the first chance. This job sucks the life out of you, ruins your family life, and isn't worth it. I regret the day I took this job and left one where I was treated like an adult by good people."
bad,"working under the cameras and daily tracking devices, being exposed to chemicals and air particulates. The real safety is in the ones that you bring for yourself, they preach a good game, but when you call a time out then you're on there radar and then the write ups begin. You'll never be recognized for doing anything well and if an internal job opening comes, you'll never be considered. Just keep you head down and do the minimum and you'll make it."
bad,Went through Three different managers in 9 months.  All drivers very unhappy with job. Company doesn't treat you well lots of corporate people telling you how to do your job but they have no idea about the job.
good,"Worked there for two years,  wouldn't leave except because of the long commute. "
bad,"If you want to have a life, don't drive for this company. They push you to go past DoT hours. They preach safety but don't actually care and if you don't do something because it's unsafe they hold it against you. It's a union shop but the steward is in with management so nothing gets fixed when problems are brought to their attention."
bad,"Poor wages, bad management and generally low moral across the whole work place. Little chance of progression in the company and wages do not match up against other aerospace companies."
bad,"untrustworthy, unreliable, poor mgt, does not follow guidlines, breaks wcb regs"
