rating,review
bad,The culture at PCC is insane and not worth the money. They do not believe in safety or work life balance. The upper managers at PCC push constantly but do not do their due diligence to ensure either proper training or a mentor to help train their newer team members.
bad,A handful of favoritism and bullying. Supervisor’s handing out positions left and right to those who shouldn’t or don’t deserve to be in charge. Abuse of power.
bad,Poorly managed lazy sloppy work environment. Manufacturing equipment is old and broken ceilings are caving in electrical was put in somewhere in the 1890s to 1920s.  The Union run maintenance teams have no interest in keeping anything running they're trying to milk the company. Most of them baby boomers who have their retirement in don't care about the future the company.
bad,The supervisors are horrid. They are lazy! You shouldnt employ supervisors who dont know how to be active in their own location. My supervisor was the worst. Allowed certain harrassment. He also was the person to do most of the harassing.
bad,"This company doesn’t even deserve one star ratings. I would give them zeros but I had to put at least one. Run very fast from this place. It’s stressful, too many hours, low pay, management is HORRIBLE and there’s definitely some discrimination going on in the company."
bad,"The worst place you can work. Lack of competent supervisors and managers. The only engineer is bad at what he does and doesn't keep buyers happy. Boeing is extremely displeased and it's a matter of time until they outsource their work from this company. Work here if you'd like a dead end job, there is a reason this place is a revolving door for its employees."
bad,If u r rat then u will grow here . All ways kissing plant manager then u will get raise and u will grow other wise find something else where people respect your work not u bend down.
bad,"So I worked in the melt department, I was ok at first. But then I felt uncomfortable working in that department, asked to be moved to another department. They said no, wouldn't even work with me., horrible people. I honestly just stayed there till I found something else. If you do end up working here, STAY AWAY FROM THE MELT DEPARTMENT!"
bad,this place is not good they hire alot of people there. then they lay them off in 3 months. even if u get hired on after temp. they will lay u off in a snap.
bad,"Don't work here. Your health and well being aren't worth it. The old timer cliques will practically haze you, upper management will not honor promises of training or advancement, meanwhile lower management will bully you about any time taken off, even unpaid with a Dr. note. Nepotism is rampant and the blame game is a favorite of all the machinists."
bad,"Poor management un educated, racist arrogant philiphinos and Mexicans "
bad,"PCC is the worst place I have ever been employed. The management and Leadership is a joke and non-exsitant. "
bad,"Stay far far away if you are under the age of 50. "
bad,"Unrealistic goals,  Micro-manage, Lack of tool support ,  Just a number!,  Family/Health DONT matter.  Long work hours.  Forced overtime.  HR department is nothing more than a police state!"
bad,Steer clear of this company it is a career killer. Very abusive management. Especially the Quality Manager. No help from Human Resources when wanting to file a complaint. The management is verbally abusive and I don’t know how they are able to continue to function like this. This is one of the worst working experiences I have ever had. Those still working there find another job and run like I did . This management and HR needs to be reported for abuse.
bad,They have managers who don't care.. A nite shift supervisor who drinks with other employees.Some people there don't speak English and can't read blueprints..let alone work instructions.The pay sucks!!  They just don't care about their employees.
bad,boss is crazy doesn't pay well at all cant have anyone work there longer then 2yrs so he doesn't have to paymore thinks Walmart cartshoppers are more qualified then the workers there
bad,"Worst place I have ever seen for work culture and management support and effective leadership"
bad,"Ever wondered what it's like to be hired for office work (accounting, IT, etc) and be told to work on the floor? "
bad,"They don't train you, and they set you up for failure. And the management is the worst management I've ever had. Horrible the way they do things.Youll see when and if you get hired"
bad,"Co-workers are tired of the managements lack of appreciation of effort. This is a great example of the saying ""The beatings will continue until moral improves"" I recommend this as a great place to get started but don't spend much time."
bad,You will be expected to work manditory weekends and then be sent home for lack of work in the first part of the week so that you're working seven days a week and getting little to no overtime pay. Management is comprised of people that are willing to do anything to make the company look as good as possible while doing little to nothing for the employees. I learned that if your a big enough company and you pay enough in taxes to a state that you can get away with just about anything and only get a slap on the hand. The environment is unsafe most of the time and as long as you can put out work it's okay.
bad,The line walks were very stressful and managers would think nothing of  swearing at you or degrading you. HR had no problem with it. HR was there for several of the line walks and they had no problem watching supervisors be yelled at or cursed at.
bad,"Back in the day, it used to be an awesome company to work for. As it changed hands, so did the atmosphere,  job placement and respect for the employees, especially if you are not related. It seems now that they only hire from within from current employees family (of certain ethnicity). My boss is racially biased when it comes to hiring. He only asks certain employees if they know of anyone that might like to work there. Run the other way even though the money is temping."
bad,"Have you always wanted to work for a company that will take advantage of everything you have to offer and then throw you out? How about a company that does not care about the quality of their products? Do you like manufacturing and not having to worry about quality standards? Maybe you like the challenge of making turds look like desserts knowing that at some point they are going to be exposed.......if you said yes to any or all of the above, give PCC a try!!!"
bad,"They have zero empathy for any worker, they will lay you off with no advanced notice. then call you back when its convenient. work/life balance is not in there vocabulary. it has greedy corporate culture."
bad,Constantly pushing for more production. Management is very negative. expect you to be there 7 days a week. No work/life balance Would be a good place to work if it was better managed
bad,"Was told I would be management/ supervisor of an area until the bosses brother needed a job, the guy messed parts up right and left, "
bad,Management sucks from the general manager to the human resources. If you have problems or concerns don't bring them up nothing will get done. Your nothing but a number to them.
bad,"Toxic work environment devoid of any teamwork to get to the desired results.  Productivity is number one at this company, they will not let you forget that either.  Cheesy mottos are thrown around in a poor effort to get you to work harder for a never ending target.  Two words sum up this location....stay away!!!"
bad,Little innovation at the Groton plant.  Cut throat management style and no investment plans to replace the 60 year old machinery.  No safety culture despite risky environment.  Employees get hurt frequently
bad,"This is a tough place to be. Demands are high and they keep on changing, even if you meet your goals and targets. "
bad,"The company provided a good paycheck and great benefits."
bad,The fumes from the processes burned my eyes and made it hard to breathe. A man died a horrible death while I was there and others were hurt. The men in the area really didn't like women doing the work there and made several comments to that effect. 911 came along and most of us were laid off.
bad,Corporate Officers lack people and leadership skills.  They should focus more on mentoring and coaching rather than consistently demanding unachievable goals.
bad,Worked as an Inventory Auditor expeditor. The worst group of people to work for. They take advantage of the company by not working hard/at all and receiving a decent pay for it. Break company policies. Lead and supervisor had no idea how to manage a warehouse. Very stressful and toxic environment. Nepotism in this department. You cant trust the team.
bad,"Don’t work at PCC speaking from an engineer. Bad culture, don’t care about safety, don’t care about engineers, don’t care about development. Often encourage bullying"
bad,Great pay and benefits if your willing to put up with the revolving door of management that don't know what your doing but continue to tell you your doing wrong.
bad,"They pay well but supervision and management are clueless on how to manufacture parts efficiently. They go by massaged information on production then have unqualified supervision direct parts on the floor. Having a degree is nice but they have ZERO hands-on experience with what they're in charge of. Despite this, the people on the floor still manage to do the right thing to ship parts but are also looking over their shoulder constantly because of the hostile work environment generated by management."
