rating,review
bad,"1. best time in the company is gaining experience."
bad,No me gustó trabajar para esa empresa. No saben tratar el personal por mas q te esfuerces.
bad,Cambiar un poco el sistema de contratación y brindar a poyo a sus empleados
bad,"job is pretty easy, there is a lot of room for opportunity, the downfall is that there is no respect for employees. low morale in the sec reporting group."
bad,The biggest issue found within this company is lack of accountability when it comes to our management. There are issues with how she does her job and manages us that are not being handled properly.
good,"me gusto mucho el sueldo , que era una empresa internacional , no megusto que entre los mismos compañero del grupo habia mucha rivalidad le falta mucha estabilida y utilizan ala gente"
good,Overworked daily. Long working hours. Minimum wage. One hour lunch break must be eaten in-store. Co-workers friendly. Most enjoyable part of the job in during busy hours where you do not have to stand the whole time but assist costumers in their purchases
good,it is a place that has great potential but lacking in several other areas. higher management can be blind to other managers who are not great performers.
good,"I worked there company for 4 years 10 years ago, so thing must have changed a lot  The office is in San Diego where living expense is very high.  The pay is not good, but good for entry level.  No raise, no bonus unless you are a buyer and above."
good,Es un buen salario aunque no haya. Posibilidad de trabajar de temporal a incorporarse con la empresa directamente
good,"la empresa es estable laboralmente, el equipo de trabajo es muy bueno y los compañeros son muy unidos"
good,"During my time working on Pricesmart, I was able to acquire experience working in an environment where one person has to play many roles. In my position as a supervisor of almost 70 people, I learned to deal with each of the members of my team. Many times the differences of cultures served me as experience to know how to treat each one of my employees.A typical day at work was a 15 hours shift for me, working six days a week. My daily responsibility was to arrive an hour before all employees to make the right plan for the next four hours. Usually, I had to visualize the quantity of goods that we had physically in the warehouse in order to run a report that can give me the exact numbers of the quantity of merchandise that we had. With that report in hand, I was able to make an estimate of how many containers we were loading that day and how many hours each employee would work that day. Personally, I had an excellent relation with all my co-workers since I always treat everyone with respect. The hardest part of my job as a supervisor was working long hours without taking any break. Most of the time, I had a really good experience working at Pricesmart since everybody recognized my commitment with the company."
good,"se aprende mucho al manejo de inventarios, sin posibilidades de crecimiento laboral."
good,"Challenging every day.  Can be rewarding with time and effort. Be prepared to accept additional responsibilities if you excel in your position. Overall, fine place to work."
good,Very good place to start up small and end up on top as for me I started up as a cashier an before leaving the job I got promoted to work in the vault had to leave due to my ailing sister had cancer an I was taking care of her until she had passed onn
good,buenos jefes ambiente laboral excelente y ayudan mucho al trabajador.
good,"Hice parte por contrato de aprendizaje por seis meses."
good,"Se trabaja bajo presión."
good,Buenos compañeros diversidad de tareas y equipos para los clientes
good,"hay un ambiente muy bueno para trabajar , los jefes son muy buenos, hay mucho compañerismo y ahí muchas oportunidades de surgir."
good,"La empresa tiene excelente esquema salarial, sistemas productivos ornizados."
good,es una excelente empresa la cual  te da la oportunidad de aprender y tener conocimiento de las instalaciones
good,Great place to balance job/life. Not very good compensation/benefits as I was a temporary worker. Great management. Opportunity to move up in the company.
good,"A nivel general es una gran compañía, el trabajo es de cuidado y los fines de semana hay mas movimiento, se hace mucho énfasis en el servicio al cliente, frecuentemente dan capacitaciones a los empleados de todas las áreas."
good,"el ambiente de trabajo era bueno dentro de los estándares, adquirí muchos conocimientos en el área de logística, lo único de pronto que no me parece es que ofrecieron gran estabilidad laboral y no fue así."
good,"PriceSmart is a great Company to work for, but it is difficult to grow in the Miami Operational Center."
good,"Día de trabajo de 6:00am - empezaba generando etiquetas para etiquetar los productos importados,recibo de mercancías nacionales e importada asear los muelles recuperación de averías hasta las  3:00pm  que terminaba mi turno."
good,"Great company to work at. Good compensation plans. Many growth opportunities. Socially responsible company. Decent work/life balance. High stress levels, though."
good,excelente trabajar en esta empresa me gusto mucho toda su cultura laboral y la oportunidad de estudio que nos brindan.
good,Lo volvería a repetir una empresa muy estable y correcta
good,"en un día normal al comienzo de nuestra labor lo primero era una pequeña charla motivación en la cual nos motivaban hacer lo mejor en el trabajo y el como tratar a los clientes y el manejo de la paciencia como valor fundamental, luego se nos daban nuestros materiales de trabajo y nos disponíamos a laborar, nos daban descansos para comer, almorzar, desayunar, y también para refrigerios ademas cuando nos tocaba quedarnos después de las 10 pm nos daban trasporte una ruta la cual nos llevaba a casa, lo que mas me gusto fue el trabajo en equipo y nuestro líder era accesible y siempre había una excelente comunicación."
good,Le doy buena evaluación ya que es una empresa estable reconocida
good,PriceSmart Barbados Inc. is a wonderful place to work. The company really looks out for it's workers. PriceSmart has one of the most attractive benefits packages for it workers. They  believe in promoting from within.
good,Hay muchas oportunidades de crecimiento y de aprender distintas áreas y oficios
good,I wasn't here long enough to give an effective review but for the 3 months I was. I enjoyed working there very much. CEO is very personable. Spanish is the preferred language. So it's nice if you at least understand it.
good,"Lots to learn and do. Very team oriented environment. Major holidays off, and very structured."
good,Tienen todas las garantías y muchas más te sientes como en familia.
good,"Buenas oportunidades para aprender"
good,its basically multi tasking environment. i learn how to communicate with people. the management is up par. i work well with others. cleaning up was the hardest part of the job. receiving goods was my favourite. 
good,"dentro de la organización priorizan mucho la colaboración desde el puesto mas alto hasta el mas bajo."
good,buen ambiente laborar.. buen tiempo de descanso..y buen trato jefes-trabajadores.
good,Excelente empresa preocupada por los colaboradores y el medio ambiente
good,The office is a fun and collaborative space. There are always samples that come through the office that employees have the chance to see and try out! You can gain great forecasting and procurement experience in the more entry level jobs and negotiation and buying experience in the more advanced roles. When you've been with the company for two years you get to travel abroad to visit the warehouse clubs!
good,"i grow a lot as personal and profesional on pricesmart, teach me many skills as a seller."
good,"Results-driven and highly motivated individual with over 18 years of experience at PriceSmart, Inc. in Purchasing, Receiving Distribution Supervisor, Facility Management, Project Management, Logistics & Distribution/Supply Chain fields."
good,"Mi evaluación es buena en todos los aspectos , buen ambiente de trabajo , lo mejor lo dejan a uno ser autónomo del sitio de trabajo y ser muy competente"
good,"Al principio no contaba ni con Gerente de Recursos Humanos, pero conforme la empresa fue creciendo a nivel regional, fueron cambiando las condiciones y prioridades, un giro muy positivo para sus colaboradores."
good,un ambiente bueno ya que las compañeras no les gustaba meterse con nadies ni muchos menos estar hablando en el sitio de trabajo.
good,They offered incredible benefits. It was a very contradictory work environment.
good,Kind and informative staff always willing to teach and help. Very nice company parties they really appreciate their staff. Lots of compassion for their CEO.
good,"Empresa muy completa,,con todas las garantias,,tus horas extras son retribuidas en tiempo o dinero.."
good,"During this period, i found to be satisfactory in carrying out the job duties, my responsibilities were to:"
good,"Me gustaba mucho todos los días  ir a mi sitio de trabajo por que era un lugar agradable, lo mas difícil que me pareció al principio fue aprenderme el protocolo."
good,Love Pricesmart and its employees. Begins to become a family more than coworkers. Always trying to expand employees knowledge growth and want the best in your career growth.
good,"Have a working knowledge of International Business in 13 countries.  Work closely with vendors, logistics team and In Country team members on a daily basis."
good,"Proactivo, recursivo, honesto, trabajo en equipo. Manejo de personal."
good,es una empresa que viene creciendo de forma  acelerada excelente empresa
good,es una buena empresa.
good,Cumplir con todos los estándares que piden y ser muy activo
good,"empresa norteamericana que llego a colombia para beneficiar a muchos empleados dandole estabilidad laboral y estabilidad economica, son exigentes con las labores pero se ven relfejados en sus comiciones"
