rating,review
bad,"Las metas de ventas era demasiados altas, y por un peso que se quedara abajo no te daban nada así llegaras al millón de ventas."
bad,"The management has zero interest in you — they’re only concerned with themselves, their legacy, their pride. "
bad,Paid min wage for fast paced training with little to no support. Was hired as CSR and after a month offered trainee position with new software that didn’t work properly.
bad,"New Manager from Voya came in and completely ruined the company culture. He was rude and did not have any clue on how to properly manage a team let alone himself. He was late, he was rude, he was belittling and continually checks up on female coworkers social media accounts for his own pleasure."
bad,"Other Peers were rude and not pleasant to work with. They would constantly tell on everything, Kiss butt to the upper management to get what they wanted."
bad,"Not a good company by any measure. Low pay, long hours, no training, weak management, favoritism runs deep, knowledge by their ""experts"" is low, and there is no support or culture that inspires a long-term career, especially on the sales / financial representative side of the house. The Denver office is the worst. Omaha and Lincoln offices aren't any better. These guys need to blow up the existing model and start from scratch. Don't waste your time working for this company."
bad,"these slave drivers dont care for you, they want numbers and make sure you know you are replaceable. working in grand island or a satellite office outside of Iowa expect to make 10-15% less than your on site Iowa counterparts. expect to find hundreds of life long career employees still working entry level jobs because there is no such thing as advancement here."
bad,"This company does not do well to attract top talent, which is surprising given it's located in the sleepy city of Des Moines, Iowa. The interview process was very cold and impersonal. Any business analyst can do better with another company."
bad,"Somos Agentes Independientes "
bad,This is the most stressful place I have ever worked and I was in the military during a time of war.  They are not family oriented and will not hesitate to let you go.  My department went thru 13 people in 1 month.  You must bid for your shift every 2 months and you get what you get.  Do not recommend.
bad,Toxic environment. No management support. Horrible vocabulary used regularly. The hardest part of the job was lack of training and support. The most enjoyable part of the job was quiting.
bad,"Slave labor environment management chained you to your desks, EXTREME unrealistic productivity goals, every day is push, push, push never any help from management to jump in and assist the team or department! NO positive feedback ever from management, just criticism!  HIGH TURN OVER RATE!"
bad,"Political, favoritism, and HR only protects the company not the employees. I was bullied and belittled by management only to have HR tell me that they have had the same complaints about the same people and there was nothing that they could do about it. Watch your back because if you are new, they will be out for you"
bad,"I once asked for a little more help or training to help me do my job better and was told someone would help me the following week.  The next Monday, the agency through which I was assigned the job called me and Principal informed the agency that they were ending my assignment.  I had asked for extra help, didn't get it and was let go."
bad,"Talking to your co-workers about retirement, the upcoming cubs game, or the principal classic.  If you are management or are one of their special people. Come in at 9 sit down for 15 go have coffee, scurry off to nonsense meeting. Sit and fumble with your new IWatch that you are unable to figure out. Go have a two hour lunch. Come back and belittle your staff for their inability to decipher what is really desired about your inability to make any decision. Go get more coffee, laugh about the evening plans.  Cut out around 3:30 because hey you sent two emails and did about 15 minutes worth of work."
bad,"Productivity is the main concern; little personal development; Micro-management; Metrics and numbers are what matters to management. If you like the metrics and production numbers, then this is a good position."
bad,"Poca valoración hace el ejecutivo, se trata de ganar+ para el jefe directo y a su vez el siguiente, presionan a tal grado de sobajar a la gente y meterse en su vida privada"
bad,es una mala empresa pues es dificil comisionar u cuando lo logras es muy poco lo que se gana a[arte no hay ningun apoyo de gerente ya que el gerente tambien hace el trabajo de un asesor y obvio siempre esta ocupado en sus tramites.
bad,"Principal Financial Group offers great  opportunities for individuals who want to live in a small city but work for a large, global company.  Each business unit and the central business units (marketing, law, finance, etc.) each have their own cultures and offer different opportunities.  In recent years, the company has tried to create a new, more global, culture by creating community work spaces, eliminating seniority-based benefits and PTO banks and ""empowering"" employees through improved remote work options and flexible schedules.  Some leaders, including some leaders in HR, have been challenged by these changes and have been slow to adapt to empowered employees and a flexible work environment.  Seniority, especially in leaders, is still recognized as superior to leadership skills and performance.  As such, the current environment is challenging and, at times, uncertain."
bad,"You will be doing a ton of cold calling and networking events. Currently there is minimal support, help and direction for new advisors from Senior Advisors and management. You will need to make sure you have plenty of funds in a savings account to help pay your bills for the first few years while you build your practice."
bad,"A place to work where you can have a high floor and low ceiling. You are employee number (e.g. 144). Company doesn't hire from within. Bureaucracy central. If you want to move up, you have to move away and come back. HR is cheesy and fake."
bad,Siempre andan haciendo trabajos urgentes porque no planean bien y andan buscando culpables de lo mal hecho
bad,"Worse management team I have every worked for. Poor technical knowledge and people skills are practically non-existent. Quality, workplace culture, employee satisfaction, etc... only given lip service with no real interest in addressing issues."
bad,the managers just micro manage everyone. They want you to be a mindless robot.
bad,"The environment was extremely toxic. I went through more managers/supervisors than the number of years I worked there. They follow the guideline of “it’s my way or the highway” and they fire people faster than you can blink. Instead of hiring and training new people they demand excessive mandatory overtime with no extra breaks, incentives, or thank-you."
bad,"Principal itself is a good company.  Especially if you are a manager.  The management especially mid level does nothing to contribute to the success of the company.  They are extremely disconnected and rarely even work at all.  They run teams with the extremely minimal employees and expect everyone to work 50+ hours per week year round.  They treat employees like garbage and that they can easily replace the employee with someone else.  They limit the PTO time you can use and when you use it they become upset.  Overall, the pay is average and benefits are okay.  I think it would be a much better place to work if senior management would be more involved and stop promoting terrible middle management."
bad,Average employee is not valued. No chance of advancement. Not everyone is chosen to work with new technologies. Leaders leave a lot to be desired. Some leaders have no technology background. Good pay and benefits.
bad,"I have worked there a total of 13 years. Raises are very low (<1%), and they keep taking away benefits, like how the pension is calculated, which is never in your favor. Promotions are rare unless you are already in the C-suite, then they justify salary increases by promoting themselves. Management is out of touch - talking about spring breaks/vacations/their Lexus while the average worker struggles because of the sub-inflation raises."
bad,"Culture is 180 degrees different from prior to the company going public.  Somewhat understandable because of the pressure of being a public company, but not as enjoyable of a place to work"
bad,"Principal Financial es un Bróker aquí en la localidad, lo que te da de inicio no tener un contrato , solo eres parte de un grupo de colaboradores, cobras comisión por traspaso, reportas a hacienda, y no tienes ningún tipo de prestación, si por alguna razón un cliente se cambia de administradora antes de un año, te sancionan tu comisión, y la empresa en rendimiento no ha hecho algo para llamar la atención, ya que la gente por rendimiento se cambia aunque no entienda ni por cual ley se va a pensionar, obvio esa es la labor del Asesor que tengan un amplio conocimiento para cuando llegue la edad de su pensión, o bien en el trascurso de su vida pudiera suceder algún  acontecimiento como invalidez, o enfermedad o desempleo.}"
bad,"On a daily basis I work within a team environment but also manage a case load in which I am 100% responsible for. I project manage, relationship manage, train, educate, analyze complex situation, and retain high client satisfaction."
bad,"The greatest issue I experience is psychological safety. I am out of the loop most of the time on what management plans to do (hire/fires). Peers experience retaliation for honest feedback. There is a lack of direction, and little to no encouragement or support. My stress levels are too high and not sustainable and it is difficult to focus on my work because of that. Additionally, there is a focus on working with counterparts in India. This requires either early morning hours (6 - 8am) or late evening (11pm)  hours, with very little time overlap (an hour, two, max per day). The expectation is to do this and 'be successful'. This was never mentioned as a requirement in my interview process and would have influenced my decision on whether to come to Principal."
bad,"The manager was a hard taskmaster. We had to process so many claims per hour, people were getting burned out. We had a lot of lunches brought in to keep the workers happy."
bad,Call all your friends who don't need an advisor.They do pay you a pittance while training but beyond that unless you have a following don't kid yourself like I did
bad,The team I was on was great until I met the manager. She seemed nice at the start but than something changed and no matter what I could do nothing seemed right in her eyes. There was just a lot of things going unnoticed and when I brought things to her attention nothing was getting done.
bad,"prospectar en la calle empresas, verificar datos del posible cliente explicación de los beneficios de su afore como activar sus seguros tomo de datos verificar donde se encuentra su afore del cliente dar plan para el retiro"
bad,"Commissioned based job. It is amazing how bad the business is organized, how terrible the technology is and bad the support is from the home office. I spent more time trying to fix issues with IT and fighting with compliance/others than actuallly working!"
good,"No volvería a trabajar en AFORES"
good,"Enjoyable working with advisors, clients, and retirement plan participants.  Direct management and management above her created an environment amongst our team where many did not trust her leadership skills.  There was only one focus within organization and creating client loyalty and retention was not priority."
