rating,review
bad,"Management is there to "" help improve your work"" but dont want to know what the issues are. Management lies and covers for each other. It doesn't matter how hard you work, its all about who you know. If you are not in line with the gossip and the bullying you will never make it. "
bad,"Work days are stressful. You're ""graded"" on your work. Work will get rejected and returned to you. They track the amount of errors you have and it hurts you in the long run. (accounting.)"
bad,"Many female employees experienced harassment.  Once reported to HR, those employees became a target and still experienced harassment. There are over 70 lawsuits against Pulte."
bad,An awesome team who always worked to win and meet or exceed goals. We worked hard through the tough years and kept it going through the good years 2008 and 2011.
bad,"quickly hiring young inexperienced candidates who are hurried through training and placed on sales floor.  High rate of turn over due to poorly managed teams.  lured with incentives if various metrics are in-line but can often be difficult to meet all simultaneously.  "
bad,"There was a huge amount of turnover. Literally, every time I went to the copier there were people there I'd never seen before.  Horrible management, huge layoffs, highly stressful. A sinking ship."
bad,There is no rhyme or reason to what you are doing as a purchasing agent.  You are usually looking for vendors at the lowest cost.  But at Pulte your job is to be the vendors friends.
bad,"It is very obvious that these ratings are written by the company so let me inform you about the ugly truth: "
bad,"This firm keeps you on the edge of high pressure, and high performance, but seriously low pay.  The Walmart of the builder world, headquartered in Denver.  I would use only as last resort.  Management keeps you in the dark, while workers don't have much time to socialize.  Your are limited to your germy, dust filled cubicle."
bad,"The purchasing coordinator position could have been better if they had a better structure and people knew what they were doing. The structure in the department was like a elementary school. The manager was the principal, the senior coordinators were the teachers and the purchasing coordinators are the students. I am sure they will have a high turn over rate. It's really not a purchasing job it's data entry and they like to give ""errors"". The productivity scale is backwards and nobody was making the numbers that management put in place. And really no advancement in the department you would have to go to a different department. I would not recommend to apply to this position and only good thing I would say about it is its a good location. Other than that I don't miss it at all."
bad,"Worst company I have ever worked for. Management style is basically the more inept you are the faster you will rise as long as you smile & act like a robot. Work hard , do a good job ? You will be consistently reprimanded for not doing better. If you have any sort of an opinion or personality or if you are the slightest bit logical don't even bother applying. "
