rating,review
bad,Not a very good place to work. Horrible management team. The management of the company is the reason for its bankruptcy. Pay is horrible and not conclusive.
bad,Put in over 30 years with this company only for it to go out of business leaving thousands of people without jobs.  We were not kept up to date a about status of employment.
bad,"Great place to work when they were open , always enjoyed my work there but again they closed and filled chapter 11 , it will be missed Business  is close"
bad,"Terrible management, horrible Regional manager who was dating a store manager on the side while cheating on his wife. Yet somehow that manager had preferencial treatment, I am glad it went down in flames"
bad,You won't likely find employment with this company any longer. Was a fun job however. They spread themselves too thin in my opinion and got too far away from what they had become known for.
bad,"it was a nightmare to work for them. They didn't pay you for overtime, they didn't provide your store with necessary equipment, they requested you to spend personal finances traveling all over with no form of reimbursement except a lengthy and complicated paper filing form. it was disgusting"
bad,Although i did not like the environment of radio shack if the company was still around i would have recommended that job for anyone who was really into technology
bad,The last year I worked there it was all about damage control for liquidation. Nothing made sense for employees. District managers were leaving like wild fire.
bad,Working with Radio Shack was well worth experience. It focus me on which taking a management role and understanding the product knowledge of different gadgets within the company. I really didn't like my location where I was at because I always had to fear for my life sometimes. But on good side I love working with co-workers I had and all
bad,"Poor management and business structure was the demise. "
bad,This business is almost extinct.  Very few physical locations exist and I believe those are all franchises.  It was a low paying job with no expectation of paying you much unless you sold literally everything people didn't want or need.
bad,co-workers were amazing. Company in its self was not the best. Expected the most for so little in return. Had me running a store with no compensation. Was upset because i put in over time as we had no coverage on the floor. did not feel appriciated.
bad,"The company ran itself into the ground, and it deserves it. many wouldve described it as a revolving door where careers go to whither. please never reopen."
bad,"Contratos temporales no renovados"
bad,"My direct manager was great, but the corporation as a whole was horrible. Upper management was all about themselves and didn't care for the people that worked under them. They were very cold and uncaring during the layoff. It was a very dark and sad place to work for."
bad,"It was a miserable experience, where I was routinely lied to by my bosses, treated poorly because of my gender, and belittled by my district manager. Putting in my two weeks notice was one of the most satisfying moments of my life."
bad,"I'm not sure that Radioshack is still in business. I loved working there, was always at the top of the comissions list for the district. Completed management training, then the kingdom started to fall. Salary structures crumbled, and I got out while I was still able to get a decent sales job elsewhere."
bad,"There was no communication between upper management to store level. The intensive programs were never completed, meaning that when you reached the goal that was put before you for the compensation promised, they never gave it to you."
bad,all of the radio shacks have closed due to company closing. It was a nice place to work for a short time but then got to be strict on pay. Left to find something more
bad,If you are looking for a job in sales dont go here the manger i had took my sales and cut my hours and let me go since my sale were 0. on black friday i would have had like 20 sales and my boss took all of them and told me to go clean.
bad,They went out of business because they lost touch with the core customers and instead focused solely on cellular. It wound up killing them from the inside out. My store was one of the highest rated in the region for general sales and cellular because I was able to teach my team that cellular is great but that's not what the customer is always coming in to look for and to open a broader conversation with them.
bad,"Radio shack was a good place to work. Laid back atmosphere and setting. Too bad the place closed down, which forced me to get another job at a different place."
bad,Radio Shack was great to work for. They are now closed. but if they came back I would love to work there again. This was my first retail job and the training was well done.
bad,"I was laid-off, it was awful working there. Your supervisors/managers are messing with your times in regards to lunches and breaks you don't have the opportunity to take. Your schedule can change at the drop of a hat and you get threatening phone calls from your manager that you'll be fired if you don't show up because someone working there longer didn't appear today. To many times to count I spent waiting onsite, outside of the store for a couple hours ( I was paid for it-- minimum wage, no commission) in the freezing cold for a key-holder to show up. To leave without waiting would have put my job at risk."
