rating,review
bad,Te contratan como técnico y solo te traen limpiando las máquinas todas las fallas las hacen los proveedores los supervisores no cuentan con la destreza para solucionar fallas y menos para darte un alluda la verdad no recomiendo estar hay aunque uno traiga las ganas de reparar y sepa cómo reparar las fallas no te dejan hacelo y tú opinión no se toma en cuenta
bad,Never cared about the people and never will thank they can do what ever when ever and never fixing a problem when I was there some people of management just wanted parts out and to lazy to lend a hand if they wanted something done always breathing down your neck and if you did make that one extra motor they wanted even when the order was full and about to walkout the door
bad,I really didn't like working for this company. Management was awful. They was totally against their employees. Only thing backing employees was the union and they couldn't do much.
bad,"Very low moral at this place due to favoritism for a very small circle of people that run that place. You will be yelled at, harassed, and bullied by  co-workers, until you stand up for yourself then they will write you up. If you work on 2nd or 3rd shift it's a better environment (until day shift comes in), without the hostility, better supervisors.  But First shift will have you very angry, and stressed. And to a point of losing your job everyday because of so much conflict, and unnecessary nonsense, the favoritism is so out of control, that people get these few to put in good words for them in order to get promoted, they befriend the few to stay safe from being bullied by the day shift supervisor."
bad,"Will never get the chance to advance there, managers are bias the leads are useless on training. Only good are some few employees who are cool but even though the location is great this company is falling apart."
bad,Learned how to assemble different types of motors. Learned how to spray paint with a spray gun. Worked at a steady pace to produce valuable products. Productive environment to work.
bad,"very hot place to work, safety features very old and not reliable. managment always hires their friend instead of workers that want to move up very unfair"
bad,Worked hard everyday even worked overtime any time they needed me I was there worked there for a year they said I was a good hard worker and I even got a pay raise up until I got really bad sick I went to work with 102 fever I tried my hardest to work through my illness until it became to much and I passed out. So I had to get rushed to the emergency room and the doctor wrote a note saying I had to be excused for another day. I came back to work on monday and they told me that the hospital note doesnt help anything and they said they had to let me go. So I got fired because I had gotten really sick even though I tried and my work ethic for that year was good. They even said once you get healthier you can reapply. Just a bunch of BS!! I have a family that I take care of so if your a family person do not work at regal beloit you can dedicate yourself work hard but any mess up can get you fired they have no loyalty
bad,there was to  much to do and not enough time every thing had to be done yesterday was not a safe place to work every day i thought that i might get hurt
bad,Management is out of touch. The pay is ridiculously low. No opportunity for advancement. No support. Co workers are great. Place is old and outdated. Computers are old and outdated. Management treats you like dirt and constantly lies. They promise the moon and more and never deliver.
bad,They do not care about their employees. Poor training and poor management. Will fire anyone for the most ridiculous reasons. Very few if any resources to perform job correctly
bad,"This is absolutely the worst company in all my experience that I've worked for. The emoloyees are cutthroat to get advanced. Management only wants to push orders and could careless about anyone else. Coworkers rat or make up lies to get others fired. Absolutely would not reccomend any Veteran to work here. If you have disabilities like myself, this company will not accommodate for you. A man recently died in the factory because of their harsh and hostile work environment."
bad,"A typical work day is very challenging due to an aging workforce and machinery that rarely stays up and running. What I have learned from my day to day routine is how to plan for events that have not happened so when an issue comes up, you are ready for it and you can keep moving with out much lost time. Even though the work force is aging, the workers are the best part of the job. Utilizing an individuals experience and growing from there knowledge is exciting. The most difficult part of the work day is not knowing if there will be coverage or parts to keep the machinery running and always feeling that you are in a claw back mode."
bad,"Took incoming Sales orders"
bad,"Management and HR is the biggest issue at the Lincoln, MO plant.  Management and HR displays favoritism towards a select few in the plant.  You will never see a raise nor promotion unless you're buddies with the production manager or HR.  Write ups are issued in an unfair manor.  Again if you're buddies with the production manager and HR you can get away with just about anything including quitting 15 min before the end of your shift and walking to another department closer to the timeclock and visiting until it's time to leave while if it were someone else they'd be written up.  You tell management and HR about issues and they don't investigate the issues.  Issues get swept under the rug when it involves one of their ""favorites""."
bad,Senior leadership took care of the people from GE.  Company just reorganized a lot of these people out of the business because they did not make any adjustments to the strategy.  The new leadership is making the right moves.  Hopefully there is time to save the organizaiton.
bad,"Great job of you want no life,  no management support,  or anything else. If you have personal things to take care of and need to use vacation they will fight you for it."
bad,"This is NOT a good place to work. You will not be paid well. management knows nothing about machining. you will not be trained properly, so you will not advance. African Americans; here is where you will be discriminated."
bad,"Company doesn't want to change their archaic leadership principles.  Company profit far out weighs the value placed on their employees.  It feels like they are continually looking for reasons to cut headcount..."
bad,"Horrible place to work in Union Grove WI. All sides of Managment including HR are unprofessional, don’t do any work, and don’t take care of any problems. Everyone in the office areas are constantly gossiping even right in front of you. Office areas are VERY noisy, Orders for customers are ALWAYS late and never on time. Some of the warehouse management is also very unprofessional and the way the whole company runs there in Union grove is just very not put together and always struggling just to get parts made and sent out. Even small parts are back ordered for months. The  women in the office are extremely rude and are constantly talking about each other like teenagers. The office manager allows all the caddy-ness to go on and actually is the main sorce of the gossip. The job itself is great but the people there make it unbearable and extremely unprofessional. The place could do way better if they just got some new people in charge. The company is located in a small town and people act like they are in the twilight zone. Definitely wouldn’t recommend working there and I believe if the owners knew what was going on with all sides of management everyone would be replaced as they should be."
bad,"Management is incredibly poor, there is almost a predetermined path for some of you're willing to be a yes man. Hourly workers are treated like scum at times. Healthcare is absolutely awful."
bad,"stressful day due to favoritism, poor management, and work culture is totalitarian and much like Mexico, management has no integrity nor is ethical, management team is not qualified to be in those positions, illegal activity going on and management covers their eyes"
bad,"The supervisor informed us that 300 people had been fired from this warehouse in the past 6 months. "
bad,"Poor training, negitivity hangs heavy, safty hazards and standards are scary at best, lack of comunication is terrible.  First aid attendents are scarce"
bad,Stressful place. Management is poor and don't care about their employees. Leads don't discipline like they should. Favoritism  runs high. If your liked alot u getaway with alot. Co-workers are disrespectful and there is basically no team work.
bad,Need to have sick days. U need to have a quality checks on machines and have more time to spend with family they need to be flexible with their workers
bad,company culture of get things done so the BOD's are happy and wall street rates us favorably and stock price doesn't suffer. Work-life balance was also a challenge
bad,Do not like the work ethics too many hours a week no family time very stressful and chaotic work place too many chiefs not enough Indians  all about motors in the box not about fixing the problems so motors can go in a box
