rating,review
bad,"Not good hours,not good pay,training does not happen,management usually does there shopping on company time and family is always hanging out at store as well as assistant manager who has his girlfriend's there all the time,not a well managed place e to work"
bad,"Rent-A Center is an awesome company. I just could not continue to lift refrigerators, washers, dryers, and furniture for little to no pay or recognition. There were no off days and the hours were long. I did not have a work and life balance with that company at all. I was often criticized because I was female and the industry I worked in. The management would promise raises and I never got one ever."
bad,"Horrible. Upper management is ridiculous. I honestly would never have returned to work for them, but I needed a job quickly. They own you and not in a good way."
bad,"i honestly would not recommend working for RAC, the pay was not sufficient and the hours were unbearable. Management was unorganized and demanding. I would not recommend working for RAC."
bad,"Worst work environment I’ve ever been at."
bad,"Very unprofessional work place, owner is a cheat and snake. Will try to not pay you what you deserve at every turn. Its a fight to get anything done. Never will work here again"
bad,"Worked here for 15 months and I was injured on the job, due to uniform policy must wear formal shoes at all times (even in snow while moving a couch), you're not aloud to wear sneakers or boots, if caught not wearing uniform well that's a ""strike/demerit"" 3 of those and you get Terminated. I fractured my wrist with a full size washing machine(Maytag) when I slipped in the snow due to improper shoes I had on, instead of winter boots. I called my store manager and explain the situation as I was heading to the E.R. and he expected me to finish the delivery with one hand. After I finished in the E.R.(7hours) the doctor inform not to lift anything with my right hand for two months, once I had this info I applied for workers comp. and was approved after one week. My DM wasn't too happy about paying me workers comp. and one month into workers compensation I received a letter of termination to my address. My mind was blown I never took a day off, never called out sick, and did them the favor whenever asked of me to work at other locations for the day/week when they were short-staffed, and these location were never close in distance I'm talking about 45+ minutes by car(gas not included). I would sue them for wrongful termination but I can not afford the attorneys fee"
bad,They expect you to put the job before you life and health! Not Good! Is forced to use your personal cell phone for work and they dont even compensate you for it!
bad,Pressured daily for unachievable results. Long hours for unsatisfactory pay. Have to go to locations and set up furniture in  inhabitable environment. Routinely berated by management.
bad,Terrible company to work for. They are never satisfied.  Will fire u in a heartbeat they dont care about the employees . Gave them 9 yrs had 1 bad week and the fired me . Terrible upper management.
bad,I was a Sales manager for 2 years at RAC and was told a Store Manager position was going to be mine soon. Never happened! They brought back an employee that quit 4 months prior to the position opening and now the store is in even worse condition! Forced overtime every week due to not hitting a quota on sales and/or credit. Constantly along people that don’t pay there bill or doing home visits and harassing them u til they pay or they were taken to court. The amount of disrespect in the work environment is ridiculous and it’s mainly from coworkers. This place becomes your life so if you have a family DO NOT APPLY HERE!
bad,"I worked here for almost 2 years and management was horrible. I was a Sales Manager and a Credit Manager. They have extremely high turnover rate. If someone doesn't like you, they will get rid of you. I left for a better job. They are extremely worried about numbers and if you aren't performing that week, they will literally transfer you to any store in the district."
bad,"I was very disappointed with this company as to they would also have problems with customers and did not treat there employees right, I left from there because there was to much arguing."
bad,"day starts with calls to people who are late with payments. Then you deliver or pick up furniture (sometimes you have to build furniture it could take a while but they will get mad at you for taking long). if you pick up fridge from customers you have to clean them and they are usually bad and smell rotten yet they make you clean it and then they rent it out again still in bad conditions or roach problems just nasty stuff. they still make you go run people which means you try to get payments at their door or pick up their furniture you finally get back and put notes and clock out. then do everything all over again tomorrow. they pressure to get payments to keep store at a certain percent amd blame you for not reaching percent goal even though most time you cant do anything customers who are bad at paying just wont  nothing you can do about that . they threaten to fire you almsot every week or give you a ""coaching"" stupid stressful for the pay you get. managment it bad."
bad,I just hate it.they lie to the customers and then try to clean it up.and some of the DM's are stuck in the ways and it's the wrong way.again I hate lying people
bad,"Horrible, gerente Ratera hacia contratos Fantasmas y loca tenía problemas de liderazgo, además La distrital era de lo peor"
bad,"THe worst the worst the worst. only cares about sales, not thr people who work there or the people who rent there. Store keep same inventory cant rent oor sell anything. sell things for way to much"
bad,Unprofessional and unproductive. They didn’t care about family time or if you had time off. No verification on rental orders until the product was out the door which is too late
bad,Had worked for a whole year hoping my work conditions would get better I was let down verbally harassed when reached out to HR department no resolution or follow up until I called back was forced to quit a job I actually enjoyed if only it would of been organized.
bad,Daily stress to acquire certain percentages in a shrinking community is stressful. If certain percentages aren't maintained then the manager has to work everyday until 9 PM. Beating up on the people that operate your locations will not achieve any better results. It will only cause them to leave. Many good managers have left in the last year due to unrealistic demands set down from higher up. The only 2 good things are weekly pay and closed every Sunday and major holiday.
bad,Very crooked not a place to work if you want a life or family they try to force you to work on your time unpaid and push you to get bonuses for management while you only receive minimum wage they pressure you for sales and threaten your job for no bonuses or incentive
bad,"Their Mission Statement is an outright lie. They only care about sales, period. I had a decent store manager at the last store I was posted to, but even he cannot stand against this superiors above him. From District Manager and upwards, you are expected to meet their ridiculous sales goals no matter the cost."
bad,Worked for them for 8 years. Company stocks were starting to collapse. So the pressure was on me everyday. Wanted to treat my employees and customers different from when I first started. All about the stockholders not the customers or the employees.
bad,I worked for the company 6 years as an assistant manager. I did my best I overworked myself to get the store management position but it never happened. Upper management is very poor they move up people that don't have the experience or are underqualified to be the store manager. Even though I pulled through many times I was passed on the store manager position 4 times. I saw no advancement from assistant manager and district managers plus hr department never help in situations reported. They just make you look like your in the wrong and drive you to the position in where you don't want to work there anymore. The pay is not worth the turmoil I went through for 6 years. I only lasted that long because I have a family to support.
bad,"The company is great, the ceo is great however the store manager I had was not. She didn’t not preform her duties and abandoned the store while in the middle of a shift. I was left to run the store in my own and then when I repeatedly reached out for help from my district manager was asked for months to just hold out for hope, with no help being sent, until I finally quit."
bad,"By far the worst job I have ever had. The store manager treats his employees like slave. Unrealistic goal, absolutely no family life. 8am-8pm mon-sat."
bad,Horrible work environment. Be prepared to get harrassed daily. The management is gross and lazy. The upper management does nothing to fix it. The company itself is a failure and only hires ignorant humans.
bad,Boss treated employees like trash was a silvery driver for two weeks during that time I was treated bad I quit to stay home and take care of my kids. Easy job
bad,Pls dont work here it's the worst company in the world the hole company prays on poor people who spend a 100 time more the way the companies get it for. They make 3000 for a 200 tv its crazy.
bad,Good management skills is not good operating hours paid time off subs not willing to work with people when it comes to helping out on customers pass select favoritism when it comes to different customer
bad,"I worked here for 8 months and boy an 8 months it was. They expect you to deliver things plus get sales. No that bad, but the manager I had made me on the road 24/7 so sales were impossible. If you are raising a family have fun getting off at 7 during the week and 6 on Saturday. Not for family life. Also I was promised a bonus after being here for 6 months and didnt get it. Would not recommend to anyone."
bad,"Management loves to belittle, talk down and threaten its staff, and Human Resources doesnt even investigate, choosing the side of high management....."
bad,Rent a center does not care for there employees your just a number they do nothing to protect there employees rent a center sucks if married and have kids not the place to work for with a family they say they care about family yes just not yours
bad,"This place was a mess, I would never work here again if you have children, they do not care all they care about you s sales and that’s it, and the dm...."
bad,"The only thing good about this job what the weekly paychecks, you were treated like a child in a daycare here. You weren’t allowed to do the job you were hired for but we’re supposed to to everything else and get fussed at for it . Not worth the headache.... keep looking elsewhere..."
