rating,review
bad,The manager actually pretty laid back and a hard worker it’s the upper management they’re so disrespectful I’m glad they never addressed me while working there because I would’ve told them some stuff
bad,This company didn't offer proper training. Overworked shift leads. Pushed associates and leads to beyond exhausted. Understaffed during peak hours. No flexibility in hours.
bad,"This place sucks and the people are a pain in the rear  I would never recommend this place to anyone who needs a job  "
bad,I would not recommend this place to work the managers have favorites. They talk down to there employees and treat them like they don’t matter while other employees get the nice side. They don’t know how to manage a store and thinks the other people that has been there don’t know what’s they are doing
bad,"They will work you to death. The work week is Sunday - Saturday to them so I ended up working 6 days a week M-F."
bad,Rite Aid is a terrible place to work for. I would never work for them again. The employees treat you like garbage and will stab you in the back. Rite Aid has taught me that there are no heroes in pharmacy.
bad,When i transferred my last year of work was not as fulfilling  . I was always  a floater  . I was trained by the best and would float from many different  stores but the job description was the same not everyone seemed to love there job thats when it gets difficult to work as a team . Just smile and give the customer the best you can give . I loved my job.   I guess 5 years was plenty. Time for a different job.
bad,"I worked there for a year and a half. I moved states, as required by the board of pharmacy in the new state, I had to have a letter from my previous employer stating that i worked there and that I had worked over a thousand hours as a technician. I called and got the secretary and corporate who threatened to withhold that from me and I almost lost my new job in the new state. Management is not worth it. They do not help you."
bad,Corporation based they do not care about you. They weed you out if you ask too many questions. Management are all women and they are bullies. Watch out....
bad,"This was by far the worst company I have ever worked for, I would work over 55 hours a week and told that it was “just the way it had to be” I had to take on many extra responsibilities to make up for lazy management. I worked ten days straight at times because again that was “just the way it had to be” the theft is horrible, the management didn’t listen to any complaints, nothing was handled professionally and there were so many “promises” for advancement that never happened"
bad,I was hired as a store manager and trained at a great location. I was then moved to a horrible neighborhood that was robbed and frequently shoplifted. I did not feel safe there. When voicing concerns with upper management they sent over rent a cops that were unarmed. After dealing with this nonsense and thwarting multiple robbery attempts I was never given a raise or anything. It was just expected. I was always short staffed and often had to unload the entire truck by myself. I was told by my district manager that she was going to move me to a better location because my talents were being wasted. That move did not happen. In fact they gave it to someone that wasn't even tested as a qualified candidate. I left that job as quickly as I possible could. After I worked out my notice they tried to not pay me for my time off. A few months after I left I found out the location actually got closed down for good. I talked to the pharmacist that had been at the location and she left the company as well and is much happier and safer. Absolutely awful company to work for.
bad,I hate it there. Terrible management.  Terrible management.  Terrible management hours terrible.  Pay terrible.  No room for advancing.  Poor training..
bad,"Rite Aide could be a good place to work if it was not closing but the never knowing what time you get off the supervision want even greet you always playing people up against each employees,the supervisors are one of the reason why Riteaid have a big turnover."
bad,I would never go back corporate and management are bad..they do not pay what the job is worth employees are becoming very rude  and plain ghetto... pharmacy is un sanitary the pick pills up off the floor and still give them to patients
bad,"you go home beat up and exhausted and the pay is garbage, no raise "
bad,"This place absolutely SUCKED to work st. The people were arrogant and unhelpful and the work was repetative and grueling."
bad,They pick n choose who they like. And the first time they get wind of your political background if it doesn’t match theirs they turn against you and make up things about u. They do not care about u . Only themselves . Horrible bad juju.
bad,Zero work-life balance with almost impossible goals from district managers that treat you less than a human being. Under paided to do the work of three people.
bad,Every day at Rite Aid was like working with a bunch of chickens with their heads cut off. The staff were incompetent and upper management did not seem to know how to manage at all.
bad,They don’t really appreciate new workers. The union didn’t return my money back and didn’t protect my rights as a worker. Seniority and power is abused.
bad,"When I worked at Rite Aid, hard work was not rewarded it was expected. Supervisor and District Manager rode the backs of Store Managers for their own gain. When promotion offered by vice president, District Manager felt threatened and did his best to discredit manager."
bad,"I would not encourage anyone to apply there for a position.  There was never enough employees to cover all the tasks needed to be completed in this company.  You were held responsible for credit card fraud, even though it was mentioned in CBTs to let the individual walk out the door without interacting with them."
bad,"They tell you they'll  train you to become a picker using an electric pallet Jack but wont one guys been there for 3 years and only got 1 raise, still they never thought him how to use an electric pallet Jack and do the easy work. So basicailly they want new people to do the dirty work while everyone else drives around doing meager work. Not worth anyones time."
bad,"Rite Aid is a corporation. All they care about is numbers. Do more with less is their motto for employees (unless you are in corporate). If you do go for a job, get everything in writing, they will tell you anything."
bad,"By Far the worst company i ever worked for.  Stay away. They dont care about anybody just money.  No work life balance, abused and lied too.   employees are unionized and run the store"
