rating,review
good,Robert Half has so many opportunities to give and also help you find the best environment for you. They also have amazing training and benefits if you are interested. The only thing is you don't get holiday pay nor holidays off depending on your company. But overall it is completely amazing.
good,When looking for a job Accountemps is the first place I call. Very courteous and honest about what is available. They always try to find what I’m looking for. They are my first call.
good,I love working for them.  Because they have great knowledge about the job they are offering. They give great information to make you the job is great match.
good,They are really great at finding me a job. They have been very supportive in my position. Everything has been great while working with this company. I really appreciate them.
good,"I joined Accountemps right after graduating with my associates.  When I interviewed, they had an immediate position for me which turned out to be excellent.  I loved the company and got hired in on my very first assignment."
good,They are causous of were they send you. They are involved and care about your opinion concerning your assignment. Office team works with you to accommodate your needs.
good,Great experience working with Robert Half. Very reliable source to depend on when looking for work. Communication could improve  little but over all will help in whatever way they can.
good,"Answering ticket related issues with customers, Database management and fixing issues long overdue. And also gain more insight to working ethics and relating to colleagues."
good,Robert Half's Salaried Professional Service is probably the greatest place to work for people who are semi-retired. You can work when you want and get paid for sitting on the bench. what more can ask for.
good,Excellent work environment and working conditions. Advanced Excel skills are required. I learned how to work with spreadsheets that had been written by a previous employee. I was able to make the spreadsheets consistent and effective with many different formulas and many different formats.
good,"Overall they had a quick response and job placement with my experience.  Employees were pleasant to work with.  A little confusion for other temps placed here, but nothing on my end."
good,"Supervisors were very nice. Learned a lot about invoicing. Employees were easy to work with and very friendly."
good,Always had relevant jobs to offer. Kept my location in mind when offering jobs. Great communication. Great follow-up after a few days on the job. I highly recommend.
good,i don't really a have a review as i was just a contractor for this comapny. do their best to help you get a temp job or permanent position. lot of good people working there
good,"I really don't know what to really say since I met so many recruiters."
good,I am working in their ERP practice.  They are doing great things with Netsuite and Dynamics 365.   They also have great partnerships with regional accounting firms.  Overall their vision for the future of it centric advisory and deployment services is very insightful...
good,"Great place to work, would be a great opportunity for whomever is interviewed by them. Great work place atmosphere. Great people. Great benefits. Nothing negative to say about RH."
good,Great place to work and obtain growth. I started as a temp and worked my way to being full-time I love my job and the people I worked with. I will work with them again. m
good,"On Mondays it can be difficult speaking to the recruiter, but they are good about returning calls. They try very hard to find work for everyone, but given so many people sometimes it can be hard."
good,Interviewing was personal and a one on one experience. First shift and plenty of overtime offered. Location was easily accessible. I enjoyed the team work.
good,This is just a really great place to work.  They have a great Sales Team and work hard to place people.  I am much happier then at nearly every job I have ever had.
good,RH - has always been a company that had my back. They go out of their way to find you a position and they also provide learning tools that I use today
good,I would recommend to anyone pursuing a career. Their pay is excellent and they offer opportunities for advancement and growth. They are very experienced in placing people in jobs that are associated with your skills and abilities.
good,I thoroughly enjoy working in the SPS at Robert half and would recommend it to any one nearing the end of their career. Just a great place to work in general
good,This company worked with my skills to find the appropriate position and company that matched my skills with temporary positions. I found the temporary working situation enjoyable.
good,"I have never visited RH per se, however thier clients are very good and the jobs are interesting.  The pay seems to be around 23 to 30 per hour depending on the requirements."
good,Hands on quick fast and easy .... I love the fact that i always have someone to talk to . communication is Amazing for all job placement needs. RHL saved me at a low moment of my life they always put me first and i appreciated the flexibility and Great opportunities
good,Accounttemps placed me in temp to hire positions. I was hired each time.  Last assignment was only one year temporary.   Supplement retirement income.  Two- three days per week
good,Robert Half is a good company to work for. If I wanted to get back into customer service I would contact them.  They continued to contact me with opportunities after my position was eliminated.
good,"Robert Half helped me find a really good job with really good pay and they helped me throughout my whole experience. Time sheets, my sick leaves, my emergency absences due to my hospitalization....they helped make the experience a wonderful one. When I was about to complete the assignment, they made sure to keep in contact if I needed another placement right away."
good,I never had to wait very long for a call getting employment-even if it was only a temp job. They always wanted to make sure you got a pay check. They called you as soon as something came up.
good,Managers always find a perfect and help resolve issues daily. They are very supportive and the job assignments are well directed to each individual. Great place to work.
good,"I've worked for this company in San Diego and Philadelphia each time I was sent on assignment and hired permanently by the client. Never had a problem with them so when I relocated to Charlotte, I went back to them. Waiting for placement now."
good,"Alles war so wie ich es mir vorgestellt habe, hätte gerne dort weiter die Beschäftigung ausgeübt"
good,"I was sent to various assignments and all of them were to my fit according to my experience, education and skills."
good,Wonderful company to work with and grow. Wonderful atmosphere. Great personnel. The staff really likes getting to know you on a professional level to place you in the perfect position for your skill level.
good,"Well-organized company with highly trained specialists in all areas."
good,its good for a start if you need a quick job just to get your foot wet. The pay sucks and when you get hired through the company the pay barley changes. its good to gain experience also.
good,I have worked for RHL a few times and it has always been a very positive experience.  Their staffing professionals seem to really care about the happiness of not only the paying clients but also the person placed in the position.
good,"Excellent place to work. The contacts I made, and experience I gained from working with Robert Half are invaluable, so I very strongly recommend them."
good,I was responsible to review the appraisal reports and forward to the underwriters and call the appraiser for any discrepancy on the appraisal reports.
good,I felt blessed that Accountemps worked with me to help me find employment while I was between jobs.  Their employees were very nice and helpful.  I enjoyed working with them and would definitely contact them again in the future.
good,Recruiters are awesome. The usually find you work in a timely manner. I worked with them for over a year and had no problems. I highly recommend them.
good,I was always placed quickly and at companies that were consistent with my skill level. The management team always heard my concerns and would remove me from assignments that were sketchy. The response time from management was quick and the jobs were always well paying.
good,"I enjoy working with this employer. To me they are friendly, professional, and very helpful finding jobs. I also refer them to other applicants so they can excel in their goals and careers."
good,I really appreciate the opportunity to work here. Communication with the Robert Half team has been great. Any issues Ive had they have made sure it was resolved in a timely manner.
good,"Found great job went from temp to permanent "
good,"Accountemps has been very helpful throughout the years on helping me secure a job when I was down and out."
good,"Working for Robert Half provided me the experience of a 7-8 year Accountant in 4 years while providing proper work challenges to improve skills. During my time here, I was able to learn between 10-15 accounting software systems and itemize them with ease. I started here as an accounting clerk and quickly became an accounting specialist/staff account based on the skills I was able to learn in my 4 years with this company. Finally this company offered a great work and family life balance. I would recommend this company to anyone looking to build on their accounting skills or anyone just starting out"
good,"Rober Half is ideal for those looking to get into a career and need some experience with an employer they would like to stay with long term. I truly enjoyed working with them. They were able to help me find a career, not just a job."
good,"The recruiter cared about my needs and always placed me in the right position that fit my skill set. Also, the professionalism from both the recruiter and client was exceptional."
good,"One of the best temporary agencies that I have ever worked for. They were able to place in a job pretty quickly and when I broke my leg and that job ended because of that, when I was healed, they were able to place me in another job. They are awesome people to work with and very friendly. I highly recommend them if you are looking for a job and need help finding one."
good,"I received several placements with Accountemps, all of switch were a prefect fit for my skills and eventually I accepted an offer of employment from one of my placements"
good,Working for IT companies is amazing and I learned a lot from Robert Half. Fixing and troubleshooting copiers/printers can be difficult at the beginning but I was able to absorb a lot knowledge from my experience
good,"Great. A lot of on-the-job experience."
good,"Temporary Accounting Work such as account reconciliations, customer service. Day to bookkeeping activities. Bank deposits, pay invoices, audit accounts and meetings"
good,"excellent job to work for, outstanding manager and supervisor and "
good,It was a temporary place.  They were good.  They kept me busy.  They try to put me in the right position until I could find something permanent.  Nothing else really to say.
good,"This was a temporary position for a major company regarding ""fraud"" at Christmas time with credit cards. This was a very fast pace position where you either approved the purchases of credit cards or you decided where it was fraud or not."
good,"Listen this was BY FAR one of the BEST companies I have ever worked for by a long shot. I am trying to comeback and use my new experience here. RoberHalf staff is second to none, they are caring, considerate, LISTEN and take the time to see where you would be the best fit. They truly want the very best for your career and they will work with your schedule. Only thing I wished is that when I got my job offer that I would turn the offer down and stick with RobertHalf"
good,This was a positive experience and I was exposed to several different companies. I worked at a financial corporation a medical lab and at a manufacturing organization.
good,Helpful staff. Great company to work for. Highly recommend. They go above and beyond to find you a position. All levels of the staff are extremely friendly and helpful.
good,"I received placement as they're a temporary agency within a week after interviewing.  They're professional, extremely fair with pay and offer medical, dental and vision benefits"
good,It is a staffing agency so I do not work in the Robert Half office but my contact with the agency is excellent.  They respond quickly to questions or concerns.  Their website is easy to use regarding pay.
good,I worked with Robert Half contracting two times in my career.  Each time brought me growth and challenges while I increased my skill toolset.  I enjoyed Robert Half.
good,"When getting to work, there is a lot to do, and learn from.  What I enjoy the most is, Robert Half will help move forward in my career, in Web Development, and  Software Development!"
good,"RHL offers the opportunity to work with your own schedule, obtain new skills while help you become successful in new endeavors. Schedules allow for continuing education."
good,Robert Half works hard to find a job that is a good fit for you as their client and the job assignment you are sent on. I worked as a temporary employee for a year with Robert Half and was able to be assigned jobs that fit my experience listed on my resume.
good,Was given temporary positions that fit my schedule and that used all the skills that I knew how to do.  I looked forward to all my temporary  jobs that I was given.
good,Scanning Clerk the main task was to produce digital copies of documents for retention purposes and organizing the scanned items for various local network.
good,"Typical Day at work - Fast Paced, Effective Pay Roll System"
good,"Everyone is friendly and super helpful. I gained experience that I can use for my next job offers, the management is amazing and very professional. :)"
good,"I worked temporary jobs for Robert Half enjoyed all the jobs."
good,"Robert Half is a good place to start off in the legal field, They help you to be able to adapt in the legal environment in which you learn different skills at different places."
good,"The typical day at work for me is to help find positions for other individuals so that they can also find a work home. The workplace culture at Robert Half Technology is like none I've seen before. Everyone here is very nice, and willing to help with whatever you need. Management team is great they work with you to make sure that your day goes smooth, which is amazing.The best part about the job is just being here in a great presence."
good,"I had a great experience with the interview process and the expediency of the staffs phone calls, emails and overall genuine care for my well-being.  The expediency of the employment opportunities is unbelievably fast."
good,Robert Half is an excellent staffing agency for candidates in a new area to plug in and get hired quickly.  They match employers needs with candidates.
good,Very professional. I had no issues with the clients. The pay was great and always on time. I would recommend anyone who is willing to learn and grow to give Robert Half a call.
good,I enjoy very much the team that I work with at Robert half.They helped me to find a position during the tax season and are continuing to keep a look out for the next thing. They are an excellent team. I have learned so much while doing this assignment that I am on for them and hope that the next assignment wherever it may be offers new challenges.
good,"Placed promptly with multiple companies, good work ethic, compensation was timely, assessments were reasonable, prompt and courteous feedback/communication."
good,"Temp Service"
good,"As you know, RH is a temporary placement agency.  They placed me in 2 jobs that were very satisfying, but temporary.  I had great communication with my job agent."
good,"Robert Half is the ""Neiman Marcus"" of staffing agencies. I have had 3 absolutely wonderful assignments with them. Robert Half works closely with the candidates to ensure a good fit with placement. They pay promptly. Robert Half's clients are great companies filled with really good people. My last assignment was wonderful. Assignments are challenging and fun! I have learned new skills, made friends and come away better than when I went in."
good,They are very helpful in finding a good fit for employment. I enjoyed working with them. Friendly and organized. I would work for them again if needed.
good,"A typical day would depend on the company assigned. In my case, I established a great relationship with the client. The positions that I held were receptionist. They both lacked challenge for me, but the culture and atmosphere were appropriate."
good,"Very pleased with management. Room for advance,  team environment.  Management helful, traing provided. Relaxed atmosphere. Provided quick and excellent job placement."
good,"I was assigned to various positions at diverse companies.  A few of the assignments were repeat assignments."
good,"Since 2007 I have been in the employ of Rober Half Inc at their Palo Alto  CA, office and then the Office Team franchise in  Salt Lake City, UT.  The corporate office in Menlo Park,  financial/HR department in San Ramon and my former home office base in Palo Alto is and was outstanding. Professional, succinct, and with excellent communication skills. I am grateful for the many opportunities they provided. I was always paid fairly and honestly and on time via electronic timesheet systems that work. Any percentage they deducted was ethical and honest and I am happy to pay them what they are rightfully owed in the world of professional temporary consulting. The group in Palo Alto and the incredible team in San Ramon are worth every dollar.  Many may laugh at this aspect of the business, but I can assure you, getting prime entrée into many exclusive firms and institutions in the Bay Area is a bit harder than it seems; a Robert Half assignment can sometimes be the Golden Ticket to getting your foot in the door. If not, you have the opportunity to breathe rarified air and soak in the culture of corporations few will ever experience, but that so many desire.  Sometimes I think we should be paying them."
good,"Usually the assignments they send you on can become permanent."
good,I enjoyed working for Robert half because I was able to work multiple positions to learn what career path I wanted to take. I appreciated the learning and continuous training
good,Loads of talented IT people. Lots of advancement. training galore. Free food. few meetings. Casual environment. free parking. free cubicle with a view of the mountains.
good,"Accountemps set me up with several different jobs until I was hired as a full-time accountant at a nice accounting firm. They were quick to respond to emails and phone calls, and even checked up on me after I was hired at the new place. Very nice company."
good,This is a great company to work for. This hiring agency got me into many great companies. I would recommend them to others who are looking for great companies to work for.
good,"Great company to work for, I enjoy being a part of a winning team. Enjoy daily new challenges. Love what I do, never a dull moment in the Call Centre Industry."
good,"This is a good recruiting company to work for, they were able to place me quickly in a job that I thoroughly enjoyed. The website and timesheets were easy to use."
good,"I worked for this company under contract for other organizations."
good,"Wonderful staff, great pay, excellent communication concerning projects. I would recommend this firm to ANYONE seeking to enter the tech industry. EXCELLENT."
