rating,review
bad,"Closed our plant even though it was profiting 2 million dollars a month. This particular location had been on business for 150 "
bad,i never got the right training. people were lazy. i would not recommend to any one working at westrock. id rather work for government. this was by far the worst job experience i have ever done and i need to delete from my resume asap!
bad,You would only receive one week of training and then put to work. The trainers do you not help you they try to set you up for failure. If they do not like you you won’t have a job and they will tell you that
bad,"Great job but the management and employees make your life miserable if they don’t deem you one of them ,and hr ignores any complaints that are filed.."
bad,Terrible place to work no days off money great but no life.swing swift management didn't care.wasnt able to get a day off.they don't care what you are going through
bad,"I was a forklift operator, worked hard everyday. Was let go because I got hit by a car while on my lift and the company blamed me for it. West rock claims they have your back but they will throw you under the bus if you make a mistake. Don’t try to take a day off they hate it even if you need to go to the doctor or get in a wreck. If your human and make mistakes and your just trying to scratch out a living I’d look somewhere else. Or good luck I guess."
bad,"Westrock lake Mary Florida is the worst place I have worked for in years, the Management their do not help the drivers, they are only there to harass the drivers and look for any little thing to write you up or call you and harass you over the phone rushing you to get back that they have other deliveries for you but when you get they send you home because they dont want to pay overtime."
bad,If you want no work balance job this is the place for you. You get paid pretty good but work like a you know what. You will work at least six days a week if not seven. Management very poor. Talk to you any kind of way at work knowing you cant say anything out the way or its your job. They show favoritism. Make their own rules. Poor training then talk to you any kind of way when the machine stop. Its paper people. It can rip out at any time. No team morale. Hot   in the summer. Cold  in the winter. If you want to work like a you know what this is the place for you.
bad,Job assignments are given according to friendship. Company rules are broken to help certain people. Promises made during the interview are not kept once hired.
bad,Management totally sucks   Don’t care about you. Don’t know what they are doing   No body there cares about. Management is only worried about their self
bad,"Mandatory overtime, management was lacking, lots of meetings, trained to do everything so they could throw you around like a rag doll but didn't compensate the way they say they will when they hire you"
bad,Having worked for this company in a sales role in Pennsylvania and now Florida I can tell you this company does not offer any support to sales reps.  Especially if you do no have a college degree.
bad,Didn't even give me a chance..to work a full week before they said i wasn't good enough..HR is really bad there.I applied for one position and the moved me to another
bad,"Management is horrible, will make you work like a dog for your probation period, and tell you great job the whole time. Then when your probation time is almost up your fired for no reason except for the one they just make up out of thin air."
bad,It’s a horrible place to work wouldn’t recommend no one works there management is bad everything is bad pay is bad no bonuses no raises nothing would not work there
bad,"Only ethnic gets to advance to lead last 4 people to advance into leader ship or training were of ethnic groups even thought their is several whites with 3x the experience and seniority applying for position they were over looked, managements will say all is ok to your face, then turn on you"
bad,"Horrible management Period! Under paid! Work 12hrs a day Even on Saturday.  And if your of a different skin color,You can not advance. Good ole boy network."
bad,"It’s only about the numbers, people don’t not matter. Managers attitude bad don’t know anything about the business. More like slavery working for these people . No ones happy working there !!!"
bad,The absolute worst place I've ever work. They ask too much of some employees and not enough from others. Want you to do operator work and not get paid for it
bad,Trash place to work don’t go there unless u enjoy being a slave. U will never see your family and u will want to eventually quit like everyone else. They have u work saturdays while everyone else in management is out golfing and fishing
bad,"They don’t care about anything else but numbers ! Management is disrespectful, they mess with your pay , long hours , if you have a family, think twice ."
bad,I would not recommend this company to anyone. They do not explain the job requirements to anyone. They just throw you out there and tell at you if you cannot get it right.
bad,"Management doesn’t know what they’re doing. It’s very hard to stay focused when management has no clue how to run the place. Ridiculous to say the least. I wouldn’t recommend this place to anyone , ever!"
bad,"I'll keep it simple they micromanage, show favoritism, hold you back from advancing if you're a good worker and lie right to your face on a daily basis. If you want to raise a family and have a decent career, keep it moving and don't make the mistake of applying here. In the year I've been here, I've seen numerous people who have been with the company for years get fired for points one of whom was dealing with the loss of her husband. They even give you points for serious health reasons that may cause you having to be carried out by the ambulance."
bad,Management is terrible here unless your one of the guys.  The third shift shipping manager sits in the office and does nothing all night long and once the plant manager comes in he rushes to make it look like he was working.
bad,I have been working here for 4 months. There is no advancement in my position. They don’t want to hire full time because they would have to pay me more. You have no life other than work. Not a good place if you have a family.
bad,I would not recommend work there to anybody.. You can tell they have favorites and nobody is treated equally or fairly. Long days and over working 60 hours a week and working 6 days a week.. Point system is out of this world.. Points are giving for things you cant help.. They are not about there employees they are all about getting there work out... Very stressful and not a honest place to work
bad,Very low pay in comparison to region and work around the area. Area is well known for oil field or plant life and the pay being offered to operators was way to low and the training was not well for the very closed off culture they had.
bad,"Poor management and supervision, low pay rate for the job your required to do, not much job security and not much chance to move up in the company at all"
