rating,review
bad,"This is a very toxic company. The leadership is absolutely arrogant. They are a good old boys club with no clue about the products we actually develop. The Supply Chain leadership does not have a clue about what they are doing. The managers are always gone or are always taking their friends to lunch on the company’s dime. This company has become so dishonest over the last 20 years that I had to leave. After 20 years, you just don’t want to be apart of the nonsense and dishonesty anymore."
bad,Management was absent most of the time. The people that were in charge of my department were unprofessional and abrasive. Production was valued above anything else and the culture was not one I enjoyed working in.
bad,"Dysfunctional and toxic. HR ignores complaints that employees submit. Culture supports work place bullying and retaliation from managers. And, ignores high turnover."
bad,"IF YOU HAVE NO LIFE AND DONT MIND NOT GETTING ONE THIS IS THE PERFECT JOB FOR YOU ESPECIALLY IF YOU ARE A KISS BUTT KIND IF WORKER! Shut your mouth do your work make us money forget you have a family need to eat drink and hurry up and use the bathroom go home and hurry up get back to work get us 50,000 units packaged up if your sick and leave on a stretcher you will get points for leaving early .If you have vacation time use it to keep your sanity kind of job that’s what your getting working here and no they don’t see anything that someone is doing wrong to you especially if they are a certain color or are in leadership positions!"
bad,"This job was exactly what it says. A job. No real skills to learn, just back-breaking, repetitive, mundane physical labor. The environment is very fast paced and chaotic and the management were more like wardens."
bad,Just a job that I thought was going to be something that turned into nothing sad it was a great place with alot of great people but for some reason it just didn't work.
bad,"They care more about the company than they do your own health. They tell you you have to cancel your doctors appointments and plans to come in for OT which is mandatory. They threaten you if you don't. There is no room for advancement. I constantly got harassed by my supervisors and HR won't do anything other than ""well look into it"" which is a lie."
bad,"I'd be so tired from waking up so early in the morning that I would have to play on my phone to stay awake because the supervisor was so boring, but we knew that we had to sit and listen to him. I learned that some companies really don't care about their employees because that is an extremely stressful job. Management was so so because in the past four years or so there had been five different supervisors going for that spot. They never gave any incentive for good attendance or good behavior. The hardiest part of the job was working with ignorant co-workers who would form groups like they were still in high school. The most enjoyable part about that job was when I could work on the line by my self because I could get my work done and not have to worry about someone else messing something up that could possibly get me in trouble with them."
bad,The manager sexually harassed me. I was the victim and I was let go. That company is no good! There is nobody to complain to about it. You are on your own.The manager was taking advantage on me and I could not go to anybody and complain.
bad,Very respectful working environment. opportunity to learn new skills.Enjoyed stay at Rockwell automation. learned software development environment and testing.
bad,They are known for hiring temps then firing.   The pay sucks and the demand from management is unrealistic with limited equipment and workers. I would not recommend anyone to this company.
bad,as a field engineering traveled national and international comm power transmitinon equipment. worked with engineering support on setting up equipment to customer spec
bad,"Salary is okay until you factor in working 70+ hour weeks most weeks.  A lot of room for career advancement, but the environment can be very political.  High turnover in HR as the department was far too lean for the company size.   The culture there is just not positive and you work too many hours and do not get much out of it.  I left on my accord (without another job in hand) and did not regret it for second.   I had a bad leader there so that may be a big reason for my bad experience, but a lot of coworkers I had with different leaders left as well  there is definitely something undesireable about it."
bad,"Rockwell Automation/Allen Bradley corporation used to be the best place to work in the area. Many people were known as ""Lifers"", which meant once you got a job there you stayed for life. That mentality went out the window when Rockwell bought Allen Bradley Co. Now the only things they are interested in are numbers. They don't care about the people that work there, which in turn makes the people who work there not care about the company. It has been sad to see how things have gone downhill over the years. Management in general is only interested in keeping their jobs, and making their numbers look good. They are usually only there for a short time to add experience to their resumes, and then they move on. There used to be a sort of pride in what was made there, and quality was job #1. Now it is all about how cheap parts be bought, and keeping as little inventory as possible in the building. Much if not almost all of the production that was at this facility has been move to Mexico. Again it is all about profit margin. Why pay Americans $16 an hour, when you can pay Mexicans $9 a day! There is no pride in this company anymore, and I wish that was the worst of it. The worst part of all is the blatant lying. I think it is a job requirement to get any kind of office job for this corporation. They lie right to your face, and smile about it. So if you don't mind working for a company that doesn't care about you, pays decently well, lies to your face, puts constant stress on you no matter what, and you think head games are fun. Then this is the place for you. If not look elsewhere."
bad,This job is very stressful.  Management is unfair to it's workers.
bad,continuous improvement is a good program at my work. I like to improve things.They appreciate those people who take part in continuous improvement.
bad,"Not a good company to work for. The environment, product and the management sucks big time."
bad,"This place is a JOKE!!, management does not what they are doing, supervisors are not trained right and not people person, pay is low,Planners are stupid"
bad,"This is the last place you want to work. I didnt believe all the negative reviews, i worked here anyways. Bad mistake. Upper management is reckless and irresponsible. They work short hours while everyone else works 6 days a week. I feel that if the real company leaders knew what was going on in Twinsburg, then all of management would be replaced. There needs to be a union here. The treatment of and disregard for employees is so sickeningly unethical it makes my head spin. I will do my best to make sure no one i know accepts a job here."
bad,"Pros"
bad,"If all of these reviews are ""Great Reviews"", then why are all the people that worked for Rockwell no longer employed there. I can tell you why from my employment with Rockwell. It is Rockwell policy, only hires people to work for them as contractor's. When your time is up, your out the door. When I worked there at Rockwell, I actually saw people with expired contract's, when, they're time was up and asked to leave, tried and begged to get full time job's there. As Rockwell booted them out the door. For all you people reading this doubting what I am writting, then why are all these reviews been written by former Employee's. That's wright they do not care (Rockwell) after they say see you latter. (Reviewer's) They all think by writting these nice reviews, that they just might be called back to jobs by Rockwell, they will never see again as an Employee of Rockwell's."
bad,"The worst part about Rockwell is the complete inconsistency of leadership across its endless number of internal groups.  Ironically We Are One must only extend to executive staff because below that it’s Only Us.  That can be good in groups like Talent Acquisition or software business units where unity and inclusion are constantly practiced and lived.  In other groups like Test Engineering or  Facilities management is so atrocious you’d think it was 1954 in a sweat shop fear, bullying, poor pay and only the fittest will be rewarded are the norm and a near total lack of empathy or actual strategic intelligence are rampant.  In operations we were to rely on support groups within our services area, most of their managers favorite words were “no” and “can’t help” operations was hellish because people getting paid handsomely came up with new and creative ways to NOT do their job in helping us make money for the company be very careful which group you ever want to work in!"
bad,"Pésima organización por parte de supervisores y administrativos, está super marcado los presidencialismos."
bad,"During a group meeting with management one of the managers yelled at our elected floor group representative and told him that ""you're lucky to have this job! Anybody can do these jobs and soon you will all be replaced by machines anyway"". So workplace culture was...low. Also overtime was Mandatory. I think some people can get content with a job like this but it obviously wasn't for me. I will say that at least on the production floor they are brutally honest with their employees for better or worse."
bad,Lack of communication on managements part.  Always changed the rules of the company on an everyday basis.  Did not hire enough people and make everyone work O.T. on a daily basis. You have butt kissers that work there then they tell on other people because they don't like them or don't agree with what they say. Lack of quality training. Lack of leadership on the floor.
bad,"management is bad.  very lazy managers.  company is very manager top heavy and demands unrealistic expectations from workers who are afraid to speak up due to managerial performance reviews. the reviews retaliate against hard working employees and HR allow BAD management behavior.  I am shock to see the ratings this high.  When the company would take surveys about how they rated,  RA would eliminate the low scores and say they were just noise that should not be looked at."
bad,"Everything about this company sucks. The management sucks, the paying sucks, and lazy workers! First shift are the worse workers, but yet everything gets blamed on second and third shift if they don't finish an order or messed up on a drive. They hire lazy workers and let go of the people who actually wants to work. A lot of cry babies and snitchers in this company. A lot of testers and other employees left this place to work at GE because people who works at Rockwell are getting under paid and thats FACTS. 20 cents yearly raise? What kind of bull is that? Some people barely get a 20 cent raise. One material handler on second shift picking parts for 3 departments?! When asked the supervisor and product manager to hire another material handler to help out on second shift, they're answer was, ""we can't, we're trying to save money."" How are you a multi-billionaire company who is under paying your workers and ""supposedly"" can't afford to hire another material handler? Saving money my a**, this company is money greedy. Busting your butt off 10 hours every day and all they do is buy pizzas or donuts for the employees to eat after the busy season is over with. WE DON'T WANT YOUR FOOD, GIVE US A BONUS CHECK! One frame 1-7 cost about $5000-$10,000 easily! We push out thousands of drives out every week. The whole Rockwell system is just messed up period."
bad,I did not have a great experience here. My boss was not interested in suggestions. If I scheduled meetings with other workers at the facility he would tell me not to waste my time.
bad,"Poor management."
bad,"Cons:"
bad,"I worked in Assembly on 2nd Shift. Managements will yell and curse at the workers. They are very disrespectful to their employees. Lots of favoritism. If you have an issue, the HR department wont care. Very toxic work environment.  Dont work here."
bad,"Too many hours, to the point of physical degradation. Co-workers can be full of bullies and crooks. Management is very cliquish. Back stabbing is a daily ordeal. Very stressful. Pay isn't bad though, if you don't mind the irreversible physical damage."
bad,"This job was only bad because it was mandatory night shift and monotonous.  The management was good.  They were very accountable and worked well with all of us.  The pay is low for the exhaustion, but doable in a pinch."
bad,Muy buena empresa la recomiendo tienen buen sueldo y aambiente laboral y planta climatizada
bad,Unfortunately Rockwell does not support internal promotions as expected. Lots of experience acquired was not valuable to the company. They offer competitive benefits
bad,Not  high opinion management and leadership was lacking.  Dont have a strong opinion otherwise and would not recommend to my friends.
bad,"I wouldn't recommend it, although I work with nice people the department I work in is badly run, the computer systems are not suitable for this business."
bad,"Rockwell treats its employees and clients like nothing more than $$$, often making rash decisions to cut employees simply to save money with no regard to how it will affect customer service - especially customer service guaranteed by contracts."
bad,Le falta mucho a esta empresa no ay aumento se tardan para alhunnposteo la vdd tienes que durar hasta 3 o 7 años para tener un buen sueldo
bad,"Rockwell had some very nice and friendly employees that I worked with, and the work that you do is so easy that you fall asleep sometimes and you get bored. It's repetitive but it is a factory job so that's expected. My main problem was management and the overtime they forced on you. They never paid me my 8 hours of overtime and most of the employees on my shift never got paid some of  their overtime pay as well. My supervisor was super unprofessional and was very strict on everything. If you missed work, he would give you 6 points instead of 3 no matter what excuse you had. One of my co workers' house flooded, so they missed work because of it. Our supervisor gave him 7 points. If you have 12-15 points, you will get fired. He cares very deeply about keeping the machines running that if you need to use the bathroom, you're going to have to hold it in until break time which can be forever. He stalks you whenever you do leave to the bathroom. He would expect you to come to work if you were terminally ill or gave birth to a baby. Horrible management. All they care about is the company, and they dont care about their employees. They'll work you to death, force overtime on you, and won't pay you for it."
bad,"Contract position, no training, computer system not set up - had to figure it out with very little guidance not a welcoming environment poorly managed"
bad,There's not much room for advancement for specific departments. Supervisors in customer care tends to not stick around long. The customer care group is treated differently than any other department such as having to pay for coffee and bring the only group doing so.
bad,Had nice breaks that’s bout it. Over work u make u stay over time or come in early if u don’t finish don’t care bout u long as u get your job done they let me go after I stay over time to help someone eles after I did my job because they other guy act like he was sick he told me. So they use me to stay and I use work hard so I can leave on time they made me stay because they couldn’t finish they job than two hours later when I get home they call my temp spot and let me go after I did all that to help them job don’t care bout u. Don’t apply
bad,Had a job with no direction and was told it was ambiguous. Co-Workers had project they did not do that I had to start. Management thinks they are above you and can talk to you however they would like. Very little contact with other employees. Did not get to know others even when I asked to meet other people in my area ( did not know the people 3 feet from me). Sexist area that I worked in favoring young women over men. Little to no actual job training. was hired for one thing and ended up doing another thing. More interested in analyzing the problems than solving them. was graded on things I can not control.
bad,"Jobs at Rockwell are ""OK"" but most of management kills that right off the bat. They are constantly changing rules and just looking for ways to get you in trouble. I don't know why they are always trying to fight against you. But they sure as hell won't work with you. Management will put on the ""act"" that they love it there, meanwhile they are looking for a different job. "
bad,"I worked as a circuit board tester.  A very fast paced job that required heavy lifting and rapid change over of testing units. Most of the equipment is out of date and breaks down regularly. The routers and stations only accommodate particular circuit boards / testers, requiring the restocking of boards back into magazines to be routed at another location. Wasting time & energy. Work orders are changed midstream because of last minute ""emergency "" rush orders that should've been delivered by the beginning of the shift. This was a constant managerial error that was always overlooked. All of the measures the attain efficiency are directed at finding fault with employees while omitting redundant, illogical, counterproductive procedures established & enforced by management or faulty equipment. I was told several times that our 4 member department was understaffed by 3 peronell, yet we were expected to maintain or exceed the work of 7 without any additional compensation."
bad,Management shows very little compassion for employees . HR DEPT is by far the worst around this area . They offer no help for you but are more than happy to write you up with regards to the person . People like to stab other in the back so be very careful
bad,Rockwell I feel is a poor place to work.  The management team is very disrespectful.  They yell at the employees for talking.  You have to ask to use the bathroom.  They are not family oriented.
bad,I was working as a temporary contracted worker and I was bullied by full time employees. The management at the time turned a blind eye to what was going on.
bad,"Machine don't run very well so production is slow, techs spend more time fixing the machine than they are run."
bad,"I simply acted like I liked working there. I wanted to get out to bigger cities, but thanks to my personal life distracting my work life, I had hard time managing both."
bad,"I wouldn’t recommend Rockwell due many long hours and the poor management , no clear path to advance your career , the pay is barley enough to cover expenses"
bad,"PROJEKT:"
bad,Women get paid less then men.  Management is clueless.   Concerns fall on deaf ears.  Racial harassment is plentiful.  Sad for a company that is global known.
bad,"Rockwell Automation falsely advertises that they are an inclusive culture & have a positive working environment. Nothing is further from the truth. They do not share information with their staff and keep their employees in the dark, often lying to their faces. Rockwell only cares about incoming sales and the rest of the staff are treated like second class citizens. Rockwell's 'leadership' is terrible and the people they have in charge of Canada are incompetent and frankly, mean spirited. I would never advise anyone to work for this Company. Rockwell does very little to provide training or support for their staff, often leaving them alone to figure it out on their own. Rockwell does not reward or value innovation or forward thinking leadership and new ideas. From my experience, Rockwell leadership only wants you to speak when spoken to and to just keep it to yourself if you have a new idea. I do not recommend this Company to anyone who would like to work in a positive working environment."
bad,"No hay tabulador de categorias, las prestaciones son solo las de ley no hay diferencia entre un tecnico y un operador se gana casi lo mismo y tienes que trabajar tiempo extra ya que pagan muy poco a los tecnicos"
bad,"My manager was not  honest person and always deceived."
bad,"The company is setup in silo's, very hard to achieve and complete projects due to the layered hierarchy of management. Difficult to obtain approval from management"
bad,pues tiene un ambiente muy familiar lo unico que no me gusto es de que no respetan lo que prometen siempre te dicen una cosa y otra pero no lo cumplen.
bad,Great company with great products that makes a difference for people life.
bad,"The company culture is now ""do everything fast, with dwindling resources"".  They used to promote managers from within.  Upper management is now composed of cast-offs from other companies."
bad,If you like working at an old school firm this is the place for you.  They try to do modern things but they are not committed if it will cost too much financially.
bad,People have been in same position for 15+ years. I see a few retired after working in SAME position for 38 years. Impossible to change and benefit from new technology.
bad,"Good exposure, good growth but poor direction and decision making from management. Highly unstable and lack of job security. Lots of restructing. A person is hired for one role and then given somthing else. No one values long term thinking, only fast thinking is valued here."
bad,"Rockwell was very stressful and did not need to be. I was a forklift operator. I was a package handler for awhile too. The manager was new and inexperienced, not really his fault but had left us all in a bad place to work."
bad,Rockwell was a good place to start and learn. Pay is on the low side. Learning was encouraged and there were opportunities for growth. Working with lower cost overseas developers was challenging and unpleasant.
bad,If company wouldn't have moved to Mexico and was secure I would still work there. Co workers were great and people all got along. It was pretty good while it lasted.
bad,"at the dc i worked at if you had a family and valued family time you didn't get much of it. The work life balance was very bad. But if you were single its a good place to get money and skills."
bad,When I started working there 10 years ago I loved my job and management.  Since then it is not a good work environment and not a good place to work for.
bad,"It started as a really fun job, then they raised the rate per hour , dropped how many errors you could get and then all the mandated over time started to happen. You could not make any plans outside of the work place, because they would change the over time on you and you would get into trouble for calling off on that."
bad,"There was lots of autonomy in my job and I had internal champions and mentors, however it was steeped in 'old boy's club' politics and wasn't able to give me advancement. They had great pay and benefits, however the glass ceiling was thick. There is a really a lovely social culture internally if you know how to get along in a large environment."
bad,"Very inefficient, leadership team have very few stars that would shine in other companies. The Global Sales and Management organization has lost 5 out of 7 directors. Good food in the cafeteria though :)"
bad,"Worked there almost 3 years. Co-workers were great. The overtime was way too much. Company is ruthless about quota to the point of making some cry just for taking a breather or talking while working. Had no life outside of work because of all the overtime and sheer exhaustion. Pay was decent and loved my crew, but the Germany 1940s regime they run is too much."
bad,"Been with RA for over 10 years.  Average work week is in excess of 60hrs.  Rarely have time to go to lunch or take the vacation time that I have coming.  Even so - there is more work than can get completed in the time frame.  Many of the people or good, hard working and helpful - so that is a plus.  Job security is very much in doubt.  Model is changing favoring outsourcing over in-house staff."
bad,"Daily I would run a machine change work orders, fixed the machine if it would alarm and check the polarity on electronic circuit boards. I did learn that some of the equipment was used for atm machines. The management change while I worked there. My co-workers were very helpful if I needed help. The hardest part of the job was learning  how to load the machines. I enjoyed just learning something new."
bad,"Great working environment, decent wages; however very poorly run and there is little to no room for growth."
bad,"Es una constante que no haya suficiente personal y la exigencia en resultados es muy alta. En general la capacidad de manejar situaciones de incumplimientos, fallas etc es mas importante que la capacidad de trabajo."
bad,Management is not fair and keep a lot of imformtion confidential. The hardest part of the job is trying to let you light shine when there is to much conflict of intrest.
bad,"The benefits, compensation, perks, flex hours, discounts, are great with this company. These were the great things about working there. "
bad,Very difficult to accomplish tasks when there is little interest from superiors and bad documentation process. Work can be interesting at times but is short lived.
good,"It can be an amazing place to work, or it can suck."
good,"I worked 4/10 hr days with mandatory fri and sat. I had benifits and 401K and little raise if any.  The co-workers were always changing because moral was going down.  I was on my feet for the whole 10 hr shift, minus the break and lunch. The job wasn't hard it just wasn't going to get me in the direction I wanted to go."
good,it was a nice place to work the people were nice did not care to work with CGA services management not professional and lack of experience did not know how to deal with the emloyee
good,"Just no growth for opportunity, worked on a line putting circuits on a motherboard."
