rating,review
good,I earned a lot about the customer service industry and enjoyed my overall experiences with this company. I would recommend this company to anyone looking for a position in customer service.
good,The job was required you to always move so time would pass by very fast. The people i worked with really made my job amazing. They were all so friendly.
good,great job great company great teaching skills good benefitshopefully I can go back in miss working for this company learned a lot and got my love for food started
good,good employer to work for. my daily routine with organising staff and rotas and distributing the stock to the shelves and ensuring that the shop was in order to open in the mornings.
good,"was a great work place with staff that were helpfull and caring, the boss was a great guy and a person that i would work with again. Many good things to say about this place"
good,Started working here in high school and they have been a great company to work for. I have had the opportunity to learn a lot about customer service with the general public and it has been very interesting.
good,Really liked this company they gave me hand on training and if I had any questions they answered when in need and helped me learn new skills that I didn't even know about before I went there
good,"Having the ability to interact with people throughout the day is a great way to develop your communication skills, and become more comfortable with communicating with people."
good,Safeway taught me a lot about leadership and I enjoy the balance of hard work and fun. I had great employees and great management who always had each others backs in time of stress!
good,"started working here when i was in high school to make some money for myself, the hours were short and worked great with my schedule, the staff were friendly."
good,I worked with another member of staff and we worked good as a team .This was full time position before I had my children. I would gladly go back to working there as I enjoyed it .
good,"As the bookkeeper for the store, I handle all the money as well as the records for the accounted money. I make copies and fax paperwork for the store. We also have a five line phone system that I answer and redirect calls to other departments. As part of being the bookkeeper I keep track of the weekly sales; also what money comes in the store. I keep track of all debit/credit transactions for each day in order to go back and look up customer charges if need be. After balancing and calculating for the day, I enter numbers into the express ordering system before closing it out for the day"
good,"Typically worked in the deli, about 24 hours or more. On feet about 9 hours with a n hour lunch, maintain safety and code regulations with machines and food."
good,"A typical day is customer service"
good,"Great staff at this store. Sometimes we had so much work to do overnight we did not know what time in the morning we would leave. We got through it though and always made it fun, My wife and I still shop at this store for the quality and for the staff."
good,"great coworkers, everyone is welcoming, staff room is relaxing, good break time. very good hours. very busy, everyone is kind, overall a good workplace,"
good,"Hours are usually very flexible and management is willing to work around your schedule. However, raises are infrequently given and at times can be understaffed."
good,Happy and well fit company..I loved working for safeway. always had a fun time. made lots of friends. safeway people are very nice. id go back if i had the chance
good,"Helped customers in any way possible. Cleaned and filled every thing that needed attending to. Pushed grocery carts back into the grocery store, cleaned floors, cleaned shelves. Stocked any items the needed to be restocked."
good,"clock in on time as always, get started on sorting out food products for the shelves to be stocked. i also learned the basics of knowing where food product came from and knowing where its to be place in groceries store. getting to other in work area gave us all a chance to get to know one another in work area. i enjoyed the friendliness of fellow co workers and the convenient of making new friends."
good,it is always fun to work for Safeway the customers are sweet and the bosses always treat you more like family than minions. good hours if willing to put in the work.
good,"This job i had finishing High School and entering college. I learned cash handling,doing books,custodial duties and mostly customer service this was a very elite high-end store in Newport Beach.Most enjoyable part of job was interacting with customers. I watched as the other courtesy clerks were promoted to checkers they came back and really had 10-16 hours a week,when it was my turn to get promoted and go to checker school(before scanners) i turned it down due to the fact after two years and graduating from H.S.i kept my  8-5 m-f job,i not only had a bigger paycheck but also union full time benefits ,i was also Courtesy Clerk of the Year in my district."
good,It is a great job but the work environment is sometimes hostile. Management not cooperative or willing to recommend any past employees.
good,"Loved working for this company everyone was so friendly and loved meeting new people everyday.  I did customer service, handled money, floral dept,, it was always a busy place to work which I loved."
good,"Really great place to work, management is great! co- workers very friendly, great customers. Runs like a well oiled machine!"
good,"I enjoyed serving the customers, talking to them, making them smile."
good,this place was fun and productive with a taste of food in your mouth and friendly people you will love it here. the cashiers needed to retire though they were burnt out
good,"Safeway paid well, People thought I worked hard there. There was no real conflict. Excellent displays of customer service, Excellent teamwork from everybody."
good,Go into work start by cooking breakfast then wash up & prepare for lunch in between that you are serving the staff their breakfast & lunch then getting ready for preparing tomorrow's dinner.
good,LearnA lot about fruits and all sorts of produce I would have to do the close shift I don't have the open shifts our manage protist apartment I've had to do anything to do with produce I know.
