rating,review
bad,"There's the most unprofessional management I ever seen on any of my past jobs"
bad,I have experienced so much in as little as 6 months. Supervisors discrimination is crazy and nothing is done about it. Employee discrimination. Worst company.
bad,"They took seven weeks to reimburse me for my expenses incurred for the interview process. If you are comimg in from out of state to interview for a position (which is typical, as the facility in Guymon, OK is very remote), have them fly you in. Do not spend a dime of your own money as you will just get the run around for months. Fair warning."
bad,"this is a very poor company to work for, the wages are low for the type of excrutiating work you must perform, the managers will belittle and berate you drag your self esteem into the ground , harrass and punish you in order to induce a voluntary quit, and then HR will stand behind the managers when you complain about the unfairness between the prized workers( who are part of the good ole boy system) and the female workers who do the brunt end of the work, they will make up the rules at thier own descretion to dock wages as punishment, and racism runs rampant. think very hard before working for seaboard foods any facility, farm, milling, transportation, slaughter, bio-deisel, and so on......"
bad,If you are not Hispanic forget about it they try to push you out from the time you start there is a lot of racism and the day only ends when you are done it’s back breaking work for little pay
bad,I was employed at Seaboard for close to 11 years. I voluntarily left my career because the safety rules written in your hand book are not worth the paper they are written on. Very dangerous there. My boss got his thumb cut off.
bad,I worked at a farm as an hourly employee. The management at my farm was the worst I have ever seen. They treated you like a work horse and didn't care if you were there for 12 hour a day. The manager was unsympathetic about your personal life and needs and didn't give days off. They even took away my one scheduled day off the day before I was suppose to take it. The farm I worked at was short staffed and the manager did not show an ounce of gratitude for the hourlys that were taking on the extra workload during that time. As an hourly employee I never received a penny of over-time even though I consistently worked 60+ hours a week.
bad,"*busy "
bad,This company has been located in guymon for twenty years and in twenty years they have not figured out how to run this company management is poorly paid most hourly employees make more per year than their immediate supervisor also the rules and regulations can change from day to day just because it was ok to do something yesterday doesn't mean you can do the same thing tomorrow also common sense is not a quality that is rewarded you are nothing but a sheep your opinion and ideas are not well received but they my be used by your boss as his ideas and advancement all depends on your ability to brown nose and say the yes I have applied for several positions I was qualified for and never even received an interview
bad,"This company does not really care about their employees.  They claim they do, but the bottom line is money.  The only thing that really matter is how much money they can make."
bad,"The company itself seems great, but the ""security guard"" position they offer is a huge joke and waste of time. You aren't security at all. They lie to your face about it the entire time training and once they have you hook line and sinker you realize you are not security. You are just safety and logistics and have zero authority to do anything at all and any real security personnel laughs at the position at seaboard. The manager doesn't know what they are doing at all as they aren't even from a security field. The security manual is a humongous joke, full of grammar and spelling errors that the manager wrote himself, and they will constantly ask you to stay late so the rest of them can all get off early. The job itself is a waste of time and disgusting. If you want to come home smelling like rotten meat and wet pet food, covered in a fine layer of film and gunk from the plant then go for it."
bad,They give u a gift card but they take it out ur last check ur bonus if u work there 11 to 12 months they still take 40% back out ur last check they keep ur quarterly safety bonus if ur terminated even though it was after the quarter they are crooks cancel ur insurance very next day BAD company to work for sneaky people
bad,"I don't know how every farm functions or what the work environment is at every farm. But where I work, I feel like every task is difficult and the manager is impossible to talk to. My manager constantly breaks company rules/regulations but human resources cares more about management than the employees."
bad,"I have worked or this company before, the past three years I have applied for positions I know I'm more than qualified for. When they say they're the hiring people..it's more of who you know that will get you hired. It's not the experience you have"
bad,"A typical day at Seaboard Foods, Inc. in the ERM dept. would include sitting around for half an hour after clocking in, drinking coffee and talking about sports. Then, usually,  after the guys who the supervisor favored picked what they wanted to do for the day they would send us all out to do the day's assignments."
bad,No room for suggestions. Management always picks theyre favorites and take work asignments off of them and put them on others. Farm 4 is full un-profesional workers always blaiming others of things they would do. No one would be willing to lend a hand if you are strugling and they'll go and tell the manager that your are being slow when you where just having a hard time. They are always on you about time they want every thing done in a certain amount of time that is impossible to do. They always complain about you putting in to many hours. Wouldnt recommend working here.
bad,I wouldn’t recommend working at seaboard at all bosses are mean and they don’t see that there is a lot of people that do bad things instead they think terminating people is like taking them off there back
bad,"Exacting and encouraging.. 3535 S. 500 W. Salt lake city utah . Preparing the labels for the jobs, making sure the production line are following gmp and work order procedures."
