rating,review
good,"The most enjoyable part of the job, us co-workers like a unit. Not slackers. I've learned, you wanna enjoy your work, got to be a unit"
good,"The workers were wonderful, but when it came down to management, it seemed as though they just promoted anyone. When they began outsourcing, they took people based on how long they worked for companies similar rather than their productivity and management skills, whether they were customer oriented or unreasonably strict without knowing guidelines and procedures."
good,"My typical day involves setting the merchandise to company standards, printing signs, marking the merchandise when it goes to clearance."
good,"Being that I was the only person working in my department (Fine Jewelry), when I was not working with my direct supervisor (which was almost every shift) it was very hard to get help in my department. Otherwise there's always something to do."
good,"Lots to learn in this work environment."
good,"The position I had with Sears was commission-based, which was pretty much where the rewarding aspects of this job began and ended. Management was fine. They did a good job of working with the employees, many of which were students, but weren't necessarily the best motivators/teachers. Most of the co-workers were cool, no more jerks than you'd fine in any job setting. The biggest gripes I had with the company came from the lack of advancement opportunities, as it seemed as though most of the management was was well entrenched in their respective positions, and the job culture. Not that there were bad people, simply that motivations, incentives, best practices, and just overall focus of the company seemed to switch every couple of days. Being in the retail environment you come to expect your expectations to change fluidly but at some point I felt the company should at least stick to some fundamentals. In the end, I find that the job could be rewarding after you set aside all the things distracted from the be all end all. Sales Metrics."
good,When we had to change the items from the clearance section and fit a wider array if jewelry in three boxes. I learn that even though there are various items there is a way to make it fit properly and look beautiful.
good,"Manage a high volume inbound service calls.No 2 calls were alike listening to the customer needs  making sure they were satisfied."
good,"the most enjoyable part of job working with customers, co-workers was nice,management was very poor,what I learned to stay focus,a typical day at work was fair."
good,"Although this job is very easy, working in the electronics department is not very rewarding or stimulating.  The hardest part of my job is trying to sell when business is as slow as it always is.  Managers and co-workers were always friendly. Working here advanced my social skills and made me more comfortable talking to people."
good,"While your money is in the control of you, customer issues and solutions, as well as store processes, employee relations, and rules can hit a huge roadblock (or 30)."
good,"specific location I worked was always understaffed so that made the job a little frustrating at times."
good,"I love the job I do.  Enjoy meeting people, learning from them, and being able help them fill their needs. Co-workers have become more like family.  Most of the products we sell are quality items and it's nice to hear positive comments about them."
good,I would help members on the floor and do store orders. At the same time I would fill the floor with new product. I learned great deal of visual work. As well as customer service.
good,"Worked full and part time.  Fun place to work, get to interact with customers every day.  Limited inventory, most items have cosmetic damage.  Pay is limited, they rely a lot on you selling the customer protection agreements."
good,"If you don't produce, you don't make money. I was not hired for this position. I was brought in hourly then my position was conveniently eliminated. I had to take a commission based position or be without a job."
good,"The new Culture of SHC is a fantastic idea. There are tools and training that will help incorporate the culture throughout the organization. It seems as though the senior leadership is slow to execute on initiatives as they are busy doing the work of the person above them. They call this career development but it feels more like ineffective delegation. "
good,"Stock Shoes, Customer service, Locate Stock, process trucks, Cashier, reset floor ads, inventory, work with heavy duty machinery, liquidation, Clean,  fix light fixtures, Interview candidates, attend daily meetings. its was a ok job"
good,"Management lacks transparency and commitment. There needs to be strict guidelines for abusive managerial conduct and dishonesty. While associates in general are both hard working and committed, there are no safe guards to protect and reward the efforts being made for the benefit of the company."
good,"Sears has been a part of peoples lives for generations. It has been a go to place for a variety of purchase options for people of all walks of life. An American original."
good,"This was a decent job. This was my first managers position so it taught me a lot in that aspect. However, I hated standing on my feet and pressuring customers to sign up for credit cards no matter what."
good,"Better home work balance life. Future of company not stable."
good,"My first job was to give assignments to associates. Following thru to make sure load integrity was utilized. I learned if employees are properly trained, they will succeed. That's a team win. During the 4th quarter the job was very demanding. But realizing all customer orders made it to the stores on time for customers was very fulfilling."
good,"Sears is ok place too work, but sometimes they give you very few hours to work thats about it that bad, and it was a far drive to get there just to work 2 days a week."
good,This job is slow but teaches you to provide good vehicle maintenance to the customers and that you can preform to even your own vehicle.
good,"A day at work was typically good. I learned different things about lawn mowers and tools. Management is okay, never really round when you call for codes. co-workers are fine, just not a environment I liked. The hardest part of the job is making sure everyone is happy and dealing with irate customers. The most enjoyable part of the job is the look on people's faces when they are satisfied."
good,nothing really bad to say. my management and co workers were okay. the only down side was if u had to go to the bathroom you had to wait on a relief person and if they were busy then u just had to wait
good,"Enjoyed the variety of tasked learned in the position.  Nice, professional employees eager to provide a satisfactory shopping experience."
good,"Sears is a great brand and the work-life is really great. It really great to work with team, however depends on the team we work along"
good,A typical day involved receiving inbound calls regarding our customer appliances. We made sure all customer services needs was meet while checking on shipping info as well. Within this job I was able to participate in the Transitional to leadership program while being promoted to installation sales department. There was a lot of growth within the department. This job is was not difficult just required a lot patience. The environment and management were decent but there could be some improvements in the near future.
good,"-very busy"
good,"Co-workers were great! Management not so much. Learned how to work with people. Enjoyed making customers happy. The hardest part was trying to learn and memorize the different benefits of the 50 different rewards programs that the Sears company were always coming up with and having to listen to the managers pretend that they genuinely cared about the customers when they would constantly dog you if you weren't getting the desired numbers they wanted. I thought it was about the person's experience at the store that mattered, apparently it's only about the numbers and how much money you're making the company, which disappointed me a lot."
good,I learned the numerous features of electronics and how they are great to know when customers are deciding between similar devices.
good,"Selling big-name Sears brands and being helpful to Sears clients."
good,Worked in the one of the largest shoe departments in the region.  The company at that time was merging with Kmart. I was flexible enough to be able to work in multiple departments.
good,The staff makes this an alright place to work. Some supervisors are very down to earth and easy to talk with. he turnover n employment was low.
good,"This company provides a great flexible work schedule.  The work is easy and simple.  That is literally the only benefit from working here."
good,As far as loss prevention it has  a good structure.  Only issue is no one knows where the company is headed and there is not good communication in that aspect.  Met a lot of good people willing to teach you though.
good,I was a cashier at Sears during my time in High School and it was a very repetitive job. I didn't learn much besides how to use the cash register but there was no room for advancement.
good,"Most days are great to work there, but due to the fact that we've been short staffed for as long as I can remember it gets very stressful at times and help is not where it needs to be."
good,"its an ok job, but i need more hours. management could be better. i like working in customer service. the workers could be better as well"
good,"slow paced work environment , nice people , the hardest part of the job is  that not a lot of people know about this place . not many sales."
