rating,review
bad,"It felt like a time slip.  They have not moved on to modern work schedules, workflows, management techniques, micromanagement, and everyone work in very silent silos.  It felt like working in a morgue with an overseer."
bad,"I've worked for this company for many years. When I started and for years after they really cared about their employees and their families. Now I feel like I'm treated like a number, they seem to care about the bottom line rather than the employees that help run the company."
bad,I was constantly bored and looking for things to do.  They kept telling me that they where going to train me in new task but failed to do so.  I was also let go two months early than my contract.
bad,Enjoyed the time that I was there only negative is the company was to far my commute wish it was closer than what it was pay was excellent and company is great
bad,There was no work-Life balance. I felt I was pushed to do my work too fast which compromised the quality and integrity of my work.  Management were not leaders only supervisors
bad,They promote young inexperienced Supervisors that can’t pass any of the licensing. The employees who has the designation do not get promoted. Doesn’t make sense.
bad,"In the call center, there is absolutely NO flexibility in schedule to allow for either making up time or altering your schedule for anything outside of work.  They allow seniority to dictate all time off and it is awarded by a bidding process.  Most people, outside of the top 3-4 in the department do not get to take off at the holidays"
bad,Worked here for a while and was a joke. Tell you that you will train on your shift but you end up training on all shifts so if you need a family balance this company isn't worth it for Security. I pulled some weeks 50 plus hours and didn't have a choice. There pay system is wack also. Pay says salary but it's not roughly 16 an hour. Have to pay parking also. I got harassed my first week and the company didn't do anything. Said they would find a different position for me and didn't.
bad,Very structured to the point of felling like a robot. Lots of favoritism in the department I worked in. Probably a great place if you start when your young not in your late 40s
bad,"Securian prides itself on stability. This means you can stay their for your entire career and feel confident that you'll have a comfortable retirement. With scheduled raises and a pension, it's easy to see why the tech department is filled with people who have families."
bad,"Securian is a very beige company. The cubicles are beige, the average workday is beige, and most of the people are beige. This consistency is attractive to many people and suits their desire for regular, known work but is smothering for anyone with creativity and a need for variety. Securian rewards tenure above rank or ability which is frustrating and unappealing for bright, new talent."
good,"My boss micromanaged and was passive aggressive. They were frequently not available but always seen chatting away with supervisors in Operations. Valued quantity over quality and didn’t care about team building. When people quit, instead of replacing them, they would force the extra work on the team, forcing us all to work over time, while simultaneously reprimanding us on our workloads. This just goes to show how out of touch leadership is."
good,"It was a very difficult environment for someone who came from a nonprofit background. I found it too cutthroat for me."
good,I gained lots of knowledge and was challenged daily to use critical thinking skills for processing applications. I enjoyed the non micro management experience.
good,"Siloed departments/divisions. Technology is far behind compared to other financial companies. Long tenured employees is what they are proud of, but difficult for moving up."
good,The work Environment was quite everyone stayed to them selfs for the most part if you like a self working environment in and call center this would work for you..
good,"The company has been long standing in the community. However, the department I was hired to work in was Variable Annuities. It was soon to be sunsetted.  The software was antiquated, the co-workers had all worked together for a very long time.  It was clear that Securian would soon move on from Variable Annuities and the department would soon be shut down. To avoid that, I applied and was accepted to a new company and one much closer to home."
good,Securian is a great place to work. People are nice. Many people stay or come back. Decent pay but other companies pay higher. Needs more diversity and should promote within more versus hiring by association.
good,"Typical day at work aside of structured work schedule include minor to major sporadic tech issues. Rarely are there major job issues."
good,Solid company with continuous growth opportunities. Lots of on-site training and constant evaluation of internal processes.
good,"Securian is a great place to start your career and learn and gain experience in the your related field. The culture there is very old school, and new management recognizes this. They are trying to change but it's going to be a very slow and laborious process."
good,Not a lot of opportunities for advancement unless working in a few specific departments.  Managers who've been there for a long time are complacent and resistant to change.
good,Value long term associates. They have a wide range of financial products to offer.
good,"Strong, financially stable Insurance Company with great benefits and consistently recognized as one of the top employers in the Twin Cities by its employees."
good,"High ethical standards, some pockets of bad management.  Morale used to be strong but is now fragile in IT due to the level of uncertainty and lack of trust in management."
good,There are no level up interactions to be able to hold all levels accountable.  Upper Management looks out for themselves on the back of really good and dedicated employees.
good,"Securian FInancial hired me through a temp agency. Once I started, I realized they went through temp employees rapidly. Upper management was lackluster, authoritative, and under qualified."
good,The people are very approachable and fun to work with.  They are always available to bounce questions and ideas off of and provide any guidance or help they can.
good,"Per their website:"
good,"Extremely stressful! I retired early due to the Supervisor and her side kick. Would still be working there if it wasn""t for the two of them. Loved my co-workers, got a long great with them but the supervisor, no!!"
good,Securian has been a good company to work for the last 4+ years. They value employees and are good about hiring within the company. They offer excellent benefits and vacation/sick time and also believe in work-life balance.
good,"Securian is an innovative and creative working environment."
good,Good place to work.  People hold positions for a very long time so there is not a lot of brain drain.
