rating,review
bad,"Even if you meet all your stats, management will ""find"" a way to bring them down in order for you to not advance in the company. This will end up being the worst choice of employment. Stay away."
bad,I wouldn't recommend it if it was the last place to work! There’s nothing but jealous employees who sits around and talk about each other behind they backs then have the nerve to want to be your friend. You have to literally watch your back and your every move. You have the employees who talk back to the managers and still they have a job. This place is SO unorganized and SO unprofessional
bad,"I have no relation with Sentry Insurance and never worked for them. This question/item mixup must be a software glitch. Sentry reference is in error, a mixup of information."
bad,Unfortunately this is a really bad place to work unless you are white male. A typical day for myself and most of the people I knew involved being micromanaged and yelled at in front of co-workers. If your manager did not support you then you would not be promoted or even transferred to another department. Your education and work ethic does not matter here.
bad,It's been over 15 years since working for this company. I do not feel that leaving a review on the company would be reasonable. I did leave due to poor management and moving out of the state.
bad,Located in the colder climates of wisconsin... The office is very small but brings in a lot of revenue.... The people are nice but they could well do and better invest in better facilities
bad,They hire inexperience managers and think they can belittle you. HR will do nothing about it. Everything is a manual process and expect you to live at work to make goals. Company is a sweat shop and give them about six months to stay in business.
bad,"I would not recommend this job to most due the stress level, poor management, low office moral and getting screamed at every day by your insured, claimants, managers, body shop owners, etc."
bad,the leadership staff is not professional and lack integrity. the company have a high turnover with staff due to lack of leadership.
bad,micro managers. they are more concerned with adjusters completing administrative screens than settling cases. EXTREMELY high stress. pay is terrible. they are based in WI and think everyone should be paid based on WI standard of living.
bad,"Never work for this company unless you like to curse, yell, threaten, and be rude to customers on the phone. "
bad,"The trainer belittled me on a daily basis anytime I asked a question about the lesson.  Before the   End of my first week, she had made me cry three times, and it had gotten to the point where I was scared to even ask a question when I was confused about something in the lesson I just kept quiet.  I was so confused, because I know I didn’t do anything wrong. I would have every screen up exactly where it was up on the  projector following along, if I asked a question for example, she would tell me and I’m not paying attention, I’m not listening to her, and when I tried to explain that I was following along Word for Word, so me I’m a liar  and that I’m the only one confused. Right after I asked a question, (never get the answer to it) Someone next to me would ask the same question, and she answered to them like they’re best friends.  It definitely did one on my ego that’s for sure.  This company is a joke and I see now why there are rumors that they’re going out of business. I hope they do, or get new management  and a new trainer/lesson plan,  what they have going is clearly  not working."
bad,its a call center yeah you get paid good but its a horrible enviorment to work at. you get treated horrible not only by the customers but by your boss as well. no good training and god for bid you ask for more or help then you pretty much get looked at like your dumb and they find a way to fire you
bad,"Responsible for dissemination of information to parties involved in an automobile accident (Including explanation of coverage, rights and responsibilities, and options for handling their damage claim/injury)"
bad,"Employees are expected to keep their heads down and work through breaks.  Senior management has no work-life balance; therefore, the staff is expected to display this same devotion without equivalent monetary benefit."
bad,"Sentry Insurance likes to brag that they are a Midwest Company with Midwest conservative values. Well, their current product offerings reflect this. In no way, shape or form is anything ""cutting edge."" The technology was recently updated from an old mainframe and is still based on using function keys. "
bad,"The management is nothing but a group of elitist snobs who protect each other, even when one of theirs is incompetent. Top heavy upper management, all VP's and Directors who spend their days beating down the underlings. Insurance offered to employees under an imaginary discount is twice the price the employees can get it elsewhere for full price. People are leaving every day- company culture is to hide their departing."
bad,"Management  department are one sided decision making and do not support their unit or co-workers. Director is not open minded  or has open door policy. Director does not back or support his employee's."
bad,The training you get is ridiculous! I was promised extra training and extra help over and over but instead of getting help I got fired. Walked out after working most of the day. Treated like a criminal. I wasn't even allowed to grab any of my belonging's on my desk! In all my life I have never been let go of a job! I wouldn't recommend this company to anyone!
bad,No respect. Unappreciative. Vacation days given was appropriate. Benefits also a plus. Lots of games and begging for money one way or another for whatever their cause was.
bad,"Run from this company!  The work is completely unmanageable, and there is no support.  In an office of 45 people, they have had over 20 people quit in the last year."
