rating,review
bad,"Constant inventory problems"
bad,"Didn't care for the manager at all failed to train when he said he would then would go sit in the office and then would complain about my being slow because he sat down in the office instead of training made for a hostile work "
bad,They are not about empowering the employees and setting you allopathic success. They just want to pay you the least possible to do the most work and if they can keep you part time they will... absolutely no chance for advancement
bad,The cooperation as a whole was very selective to hire women but promote men. Managers were almost abusive and harassment is part of the job. No flexibility for anything and no one paid attention to your availability. Very stressful because as a closer you're always by yourself.
bad,A typical say at work  would be stocking paint supplies and running the register. I would also have to sit down with customers and try to sell them paint. I didn't receive and training so I had to teach myself.
bad,bad management poor culture very sexiest!!! not a place i would tell anyone to go work! if you are a woman you are not heard and if you care about safety work are belittled and treated badly
bad,too much favoritisms going there.  A lot of hard labor for little pay & make you work lots of weekends.  too much Politics and overall not a good company to work.
bad,Sherwin Williams is the most stressful and verbally abusing place to work if you want to work for managers that treat you like garbage then work here!
bad,"Very racist environment... And whoever reads this will do nothing about it... The mananment shows favouritism and all they care about is getting the paint out the door... This is nothing new at Sherwin William's and the old timers can attest to my words....Money was good, but the headache of racist mansngement was over the Top💯"
bad,"Nothing to"
bad,"Not the best place to be if you're looking for a decent work culture. The office is in a good location, but that's about where the culture ends for them."
bad,No time off often work7 days a week always wondered 6 day weeks woud tell you that you had to work Saturday on your way out Friday no time to spend with your family
bad,Very hot in the summer. Too hot. No water or any drinks on the floor on you. Must wear pants and long sleeves on top of PPE in the summer. Managers don’t care about no one except looking good in front of there bosses. People fight here like on the street. Was witness to two wild fights while here. Management did nothing about it. Matteson pays less than any other SW plant in Illinois. Machines are old and constantly breaking down. They need adjustments almost every hour from maintenance who have attitudes every time when called. This place is a joke.
bad,Upper management decides who they want to succeed. They treat some store mangers bad and fire them for no reason but let others get away with murder.i
bad,No comment about this job. Don't feel on expressing anything about this company.  There were unpleasantness between manager and employee. .I really feel uncomfortable on expressing my feelings.
bad,"High stress job, must be able to handle too many things are once. Management constantly ineffective and lazy. Issues within the company are constantly not addressed."
bad,Discrimination. Supervisor don’t now a think watch they’re doing even the hr ppl no experience at all won’t recommend anyone to work there..............................
bad,Te prometen algo que no es....sueldo muy carente ademas de ser extremadamente CUADRADOS
bad,"This company talks the talk of safety first but doesn't walk the walk. They put it's drivers thru horrible and dangerously unreasonable conditions. They condone and encourage walking large volumes of paint over unsafe and dangerous sites. The trucks are kept in unsafe conditions where as the drivers are responsible for the upkeep. They encourage walking into unsafe sites alone. The pay is unreasonable.If ever a job needed a labor union, this is it. They have no consideration for personal time. The dispatcher is located in another state and have no clue as to local driver conditions. There is little to no training. The ""Lead Driver"" I worked with was soliciting ""street workers ""for years on the job during company time with the managers full knowledge. This job is a horror show."
bad,It was ok for the time i was there but pay wasn’t enough nor enough hours.... I met a lot of great people but being in a hit warehouse was not for me .
bad,"You get vacation but not aloud to use 9 months out of the year. Management is poor, no communication, no incentives for going above standards and working your butt off just more overtime. 6 & 7  days a week usually 10-12 hours per day. No Joke."
bad,"Expects a lot out of you all the time, never appreciated, more staff would help and support from leadership would be amazing and game changing but is none existent"
bad,"One of the worst places I’ve ever worked at. The location in vista you handle everything just like the manager but get paid next to $10.50 an hour after all of the money they basically take from you for “retirement” not close to the $12 an hour they promise. No advancement possibilities, terrible coworkers, even worse customers. If you work at night you better know how to fluidly speak Spanish. Constant “accidents” with the cash deposit. I could go on and on."
bad,"The peekskill NY location is the worst store in the ny capital district, andre alford is the worst manager and jay hayes is a terrible district manager. I have worked by myself and being abused for the past 10 months, schedule changing last minute constantly, working lots of weekends and closings and having no support. Contractors were nasty and no one had my back. I put most of the star order away and andre never helped and always left as early as noon,1pm or 2pm. In the time I worked I have seen 3-5 ppl quit and resign and now me. I left this company and came back and I wasted my time by working in a store that is disgusting and extremely old"
bad,"The job itself do not require to much labor but don’t let that fool you, the people at Birmingham, Al plant can make the plant a living nightmare. The older employees pretty much run the plant and make the environment toxic for all the new people. They work 4 on and 4 off and it was the worse set up. You will work 96 hours but the pay is set up where you will have two 72 hour checks and two 96 hour checks. If you are looking for a real career this is not the place for you. I can’t stress how shady and low down environment was, and every new employee was ready to leave and haven’t even been a year yet."
bad,"They will have you do daily deliveries of 20 to 75 of those 5 Gallon Buckets of paint by yourself but only pay you 10 dollars an hour.  Their job contract they make you sign asks you if you can handle lifting up to 60 pounds on OCCASION but that many 5 Gallon Buckets is way more than OCCASIONAL LIFTING, I through my back out in less then a week and I was only part time. That much work is work 20 dollars minimum."
bad,"little to no training, communication is poor, management was biased and behaved in an unprofessional manner. Due to poor management many employees also conducted themselves in an unprofessional manner. there were never any plans everything was done at the spur of the moment, therefore mistakes were almost inevitable."
bad,"Poor Management, lack of security, treat customers better then employees. Over work & under pay at Sherwin Williams."
bad,"Long days, low salary, management barely paid more than parttime employees.  Senior management shows favoritism for attractive women and promotes them faster than men or more plain women."
bad,"You don't leave companies, you leave management and management in my experience with Sherwin Williams isn't something that was helpful to me. Regardless of the fact that I was over qualified for advancement and was a valuable asset, I was given weak excuse after weak excuse as to why I wasn't being promoted. 10/10 would not recommend."
bad,Ok place to work in i loved the environment and the manager was awesome ...... I really enjoyed working there especially working with paint and all the products..
bad,"Once held pride in quality products and the best service in the industry. The company appears to have improved business at the corporate level the last few years but down at where the paint is in the shaker customers are getting fewer. All efforts at the store level revolve around taking as many dollars from customers as possible. That is a wonderful business plan until repeat customers no longer visit. My investment in SW ended with a Valspar employee calling me on the phone to end my and two hundred others employment. SW buys a failing company and lets that companies employees determine my benefit to the business. ??? I was laid off as old Valspar employees that had not been in a Lowes store for weeks were allowed to now take advantage of SW benefits, better pay structure, and job advancement potential. I moved on to better employment opportunities."
bad,"É uma empresa gigante atuante no mundo todo, porém com poder de decisão centralizada em poucas pessoas, tornando tudo muito engessado."
bad,"Its unfair that one person welcomes me for a interview followed up with 3 calls, she was female.However the male hiring person didn't feel the same..."
bad,"The contractors are rude and treat you like your their employee. Not enough time given to train. Supper old computer system and Terrible TV commercials. Lastly, the air condition system has been broken for 12 days in the middle of July, making it impossible to work in a store with no air-conditioning in Virginia summer heat. "
bad,I hate everything about the manager trainee program. It was a game and they lie to get you to work for them. this was the worst job i have ever had in my life.
