rating,review
bad,"Worst safety environment to work in, do not care one least about safety. Everyone is mostly concerned about moving up the food chain instead of getting work accomplished. Management is horrible and clueless on how to manage. HR department is even worse. The only enjoyable part were the people that worked in manufacturing(non management). Now if you looking for a company not to accomplish much in a working day(slack around), THIS IS THE PLACE TO BE! Like I said management is not smart."
bad,"TERRIBLE management, high turn over, and employees are treated like children. Everyone is hoping things get better with MercK. Vacation time could be better as well as employee appreciation. SAFC is Sales Support is by far the most hated department"
bad,"Management provides no incentives other than to keep your job. No bonuses or stock options (an occasional popsicle/ice cream). Career development severely lacking, no opportunities for going to conferences to keep up on technology to bring back to the company...hence the incredibly outdated equipment and procedures. It is amazing how they are still hanging on in this really fast paced global world. Bottom line is they get the employees to do all the work with very little to work with (eqiupment wise) while the management reaps the benefits of low production costs. This model would be OK but there in no employee investment, and employees are companies greatest asset. If you want to grow in your career, work here as little as possible and jump on other opportunities if they come. Very autocratic company that does not involve or value the opinions of the employees. If you are vocal and have a different point of view...this most probably will hurt you in the long run.  "
bad,I would never recommend anyone to work for this place. Management is bad and the equipments and building is outdated. The company is not willing to fix anything.
bad,"Very Slow Management, do not appreciate your hard work and will remove any contract people without giving them formal notice."
bad,"The company is very poorly managed. They have an attitude of ""everyone is easily replaced"" so there is no attempt to keep good employees, thus the pay is far below industy standards."
bad,"Long hours, minimal pay but good to gain experience.  Buddy based system."
bad,"I am not sure how a company with no real vision or strategy and with the same business model as Montgomery Ward is actually still in business in this day and age. They were great before the internet but this company continually fails to innovate or change. If you are scientist, work in their labs for a few years for experience and then move on. They have surprisingly good benefits, but that is the only perk."
bad,Only thing I enjoyed at this company was my coworkers.  The management staff were power hungry and made things personal versus professional. ThetOnce yo
bad,"Place is great for someone fresh out of college.  Take it at that. 99% of people get burned out within their first 6 months, while being pushed harder and harder."
bad,"Slim to no chance on being permanent or promotion. They hire and fire so much the people who train don't do a good job because they are fairly new themselves. Most of everything, you figure out on your own through trail and error. There is favoritism as well as nepotism. Their are people there for five years still temps with same pay as day one with no benefits. You have to wear uncomfortable work shoes."
bad,"I worked at Millipore for three years. It's a tough place to work, promotions and pay raises are based on who you're friends with. I would recommend finding work elsewhere if you can. They cancelled my health insurance, laughed about it, refused to reinstate it, ended up laying me off after I complained."
bad,There are way too many rules and regulations. It was like being back in high school. They micro-manage every aspect of every job. They do not pay their employees very well.
bad,"An extremely fast paced environment with heavy workload on management. There is a top-down approach to management which often times doesn't address the real issues on the ground. Coworkers  are good for the most part but there is lack of team effort at times."
