rating,review
bad,This was the works company I worked for. It was poor training and a poor working environment. I would not encourage anyone to work for this place. The management was not good either.
bad,Simon is all about making money as their first and only priority. Employees are overworked and underpaid for the amount of work and expectations that they are given.
bad,No proper training. The accounting department run the operations with a different system. This was the worst experience I have had working for a management company. PTO was not given on time vacation kicks in after 180 days but says other wise on the offer letter. Very dishonest people.
bad,"The pay is trash,to much work not enough pay or advancement. No hours. Not enough hours given to make a decent check. If your think about working for this company, don't do it complete waste of time and energy!! Management is rude and wants you to do their job for them ."
bad,If I knew going in that I would be working for s bunch of egotistical armatures I would stayed at my last job...by all means steer clear from this company!
bad,"DO NOT bother going to work for this place.  The douchebag managers are over glorified salesmen with the arrogance to boot.  Even the interview is lack luster.  They won't give you time of day, in fact I think they are bigots there.  If you value a true career do not bother yourself at the Del Amo location."
bad,Thank goodness I left when I did. Job started off tolerable but when I was up for a raise then I was told I had to wait another 6 months. Finally got approved for a raise but didnt kick in for 4 months and they didnt want to retro pay me the difference. So I finally decided to leave.  Now I found out they had a meeting and fired the whole department with no notice. This company is thw worse place I've ever worked for.
bad,"The work environment was terrible. When I wss first hired, I had a good manager, then she was promoted and they promoted the newest hire, and youngest prison to be the manager. She wad terrible, and wouldn't hire anyone, which forced me to close 6 nights a week and she would not pitch in. The pay is terrible, and the outlet stays open for all holidays except Christmas, and the employees are forced to work all holidays. Before Christmas the debit machine went down, and to my knowledge, they have not replaced it. The computer software and hardware was so out of date, it felt like a time warp. "
bad,"Perhaps the worst corporate culture since the firing squad. I know many people will take what they can  get these days, just be prepared to sell you soul and watch out for the back stabbers."
bad,"Morale is terrible and there is a constant fear among employees that any mistake that is made, you will get fired.   Upper management micromanages and criticizes everything, even your emails.  There’s a sense of paranoia coming from upper management."
bad,"I enjoyed the work I did in this position. However, the company overall was terrible to work for. There is a lot of turnover due to how badly they treat their employees. It is all about the money with this company and they don't care about you or your family life. The worst place ever to work. I could not take time off to attend sporting or school events with my children. You are not allowed to speak with your co-workers for any reason. It is all WORK WORK WORK, to bring in money for the CEO's pocket. Selfish and greedy company."
bad,"You will only advance at this company if your Regional allows it. Assistants get told they can advance to get them to agree to be used by others. No one wants to share information or help you. Its a sink or swim type of job. No bonus program for assistants even though you support other who get a bonus. In some cases, you have directly done the jobs of others who get a bonus for your work."
bad,"I prefer not to give a review; however, in all my years of working, this was the worst job I have ever held.  It was a very poor work environment.  The last manager was in the job only for himself, gave no encouragement whatsoever and basically was a poor leader."
bad,Very very unprofessional Managment. Subcontractors are treated better than employees. And if u give a 2 wk notice to leave make sure you use all your vacation time. You will not be paid out for it. Worst company I've ever worked for. The KOP mall Managment are all a**holes  that think their 💩 doesn't stink..
bad,"The company as a whole sucks no room for growth no say in anything everyone acts so fake the supervisor of maintenance is having an affiar its just horrible"
bad,"The most toxic place to work in downtown Indy. Steer clear. Horror stories from this place unless your in the click and even if you are it's still a very toxic stressful work environment. The big thing is managment has been told and HR but does nothing"
bad,The office of 15 people management did not interact with the customer service representatives. We are out on the sales floor as the face of the company but literally the managers would ignore us as they walked past our customer service booth. This is the procedure throughout Simon.
bad,"The guest services manager position is the worst job that you can get at the mall I worked for. It was a retail position masked as an outside B2B sales position. You never know if you are going to get your weekend off because someone always calls out. The general manager expects you to cover the shift even if it means you have to work throughout all the business hours 7 days a week straight. I worked overtime almost every week. This place does not respect work/life balance. You will get burned out. The most enjoyable part of the job were the customers but everything else such as management, workplace culture, and a typical day at work is so toxic that you could easily get stressed out. If you decide to apply and get the job my advice is to document everything that goes on during the day including recording messages on your phone for your job security. Try to transfer to another Simon Mall as soon as you can."
bad,This was literally the worst company i ever worked for. The work culture was hostile and you never received help from upper management or Human Resources.
bad,People were stealing from the company but when it was reported I was fired. The site I worked at had no ethics or to eat supervision. Supervisors were allowed to bully and harass the employees
bad,Steer clear of this company unless you enjoy having to be available 24/7.  Company has zero work/life balance and they foster a culture of fear and intimidation.  Favoritism abounds.
bad,Management is poor no direction.dont know what's going on in the work place flying by the shirt tail.always last minute decision.t he management always puts work off on lower people.
bad,"I would not recommend any part time positions from a Simon mall. They are making a lot of changes in the way they do business, which involves letting go of a lot of employees without notice."
bad,"If your looking for a job that has chance for improvement Simon isn't it ,it's a dead end job ,no bonuses,no Christmas bonuses,"
bad,"This is a terrible place to work for! the manager shelly bryant will give you a 500 page booklet. She will get angry if you ask questions before reading the book. 3 strikes and your out! You make more than 3 mistakes, she'll fire you! If you post anything that happens bad in the mall, and she finds out! She will fire you!"
bad,"It was an opportunity that I'm grateful for but I would never recommend anyone to work for Simon Property Group. Wages were on the lower end, not much cultural diversity."
bad,"I worked for a Starbucks licensed store in a mall owned my Simon. They did not care that some employees were causing a toxic and uncomfortable environment for other employees. Direct management did nothing to aid or assist those who were being wronged, and did not care about the well-being of the employees. The manager was allowed to manipulate things in any way that would benefit their schedule and advancement in the company. "
bad,"Loved my job, hated the nonsense which eventually caused our separation. Multi tasking is required and fine unless you are pulled so thin that you can't complete required items. You make the management team succeed, while you are left on the sidelines. It is a pattern of exclusion and remember you are the only hourly person in the office so you are the one that can be left out, written up and badgered at will. And remember, no matter how someone treats you, whether another employee or a ""guest"", you must take the nonsense, and smile or you will be reprimanded. Also, there are no friends at Simon. Once you are gone, no one will call to see how you are. Every man for himself. A terrible way to work and live.Getting fired was a blessing in disguise. And there is no value for hard dedicated work - doesn't make a difference."
bad,"For some reason, to be a RVP you have to be rude and think too highly of yourself..  Upper management dumps on them and it all flows downhill to the Mall Manager.  Regional tells Mall Managers to continue to cut their budgets.  This is money the retailers pay into for common area maintenance for flowers, customer service, safety, security, parking lot improvements, to keep the parking lot lights on, custodial, etc. No money to fix it, just paint it and go on. The pay is good if you want a corporation to own your life and soul.  There is no workplace culture. The closest thing to a culture is the fear they push down on the malls each and every day."
bad,"This job has no benefits. There are no areas for advancement. However there is job security, they won't fire you (unless you do something illegal of course) But they hold on to workers because they know the pay is awful and the turnover is high due to people finding better jobs. This is a stepping stone job. Do not think you will make a living from a 4hr shift 12-20hr work week. This company has the funds to pay well but they do not! If you are a recent high school grad, retiring,or looking for pocket money this job is for you."
bad,Upper Management demands are hard to achieve.  Lack of support and quick to throw you under the bus!! Long hours and no time to use your vacation or other time.
bad,"The culture at Simon needs an overhaul. They are stuck in the past and have no plans on changing. This will cause them to lose great employees very quickly. "
bad,"They are a big company and very stable but a lot of  changes, training, not friendly environment, no life balance, no commission, poor benefits and bad health insurance."
bad,"There is no further explanation needed. The staff were great. The manager was not professional. Fast paced, decent work environment, very busy. To learn skills in this company then move to a competitive like business."
bad,"Worked with multiple departments, coordinating with clients into a retail enviroment."
bad,"It’s as easy as it gets when it comes to cleaning and making the facility look good for customers. But I’m not a fan of individuals telling me about how bad of a job I’m doing or my performance needs improvement. I know what I’m worth and how much I get done. The work speaks for itself, just get off that office chair and go look for yourself. Along with that, if you enjoy getting harped in about the smallest things, this is perfect place for you. Make sure you absolutely have no life because the hours are back and forth. Was told it’s basically first shift but there are days where you had to work until dark and go back right away the next morning. Would recommend this to an old person who is retired or a young student looking to pay off school or bills."
bad,"Great pay and benefits, but that's where it ends.  I received little to no training.  It's a sink or swim culture.  Very high turnover.  Employee moral was very low."
bad,Most of the people that work there are sufficiently doing their job but some areas like maintenance the people that have been there for 20 or more years do not work. They get paid big bucks but do nothing but put the problem on the tenant or to a hard working new coworker.
bad,Senior management is very tenured and old school.  Change does not happen easily. Company operates on fear.
bad,Was a good company to work for. There was not much room for advancement and very hard to get to know the management team. Good benefits and times off.
bad,"Super great place, nice boss.  Lots of help provided from management and staff.  Recommended field, great place to grow and find your passion.  Lots of attention to employees of town."
bad,"Simon Property Group is one of the most fast paced, competitive and intense work environments one could ask for. It is unapologetic in its approach to being the biggest and strongest player in the commercial real estate game.  Working there is not for the thin-skinned or faint of heart. If you are driven, interested in making money and working with the best in the business, with some of the most aggressive, intense and brilliant minds in this industry, then SPG is for you."
bad,"Simon is an average company. Just like most companies, you will experience your ups and downs. You will have to be the master of your career destination. If you dont, they will not come after you."
good,The guest service information booth is no longer there but I had a great time working there. the people were wonderful and have had a great time working there.
good,The company had no real positive aspects for it's entry level employees. They offered no reason to incent it's employees to work harder and try to advance.
good,"Just Ok, Although I actually enjoyed working there and engaging with customers and tenants. Worked with all departments; Mall Manager,Office Manager, Marketing Director, Operations Director, Leasing, Maintenance and Security. Also answered phone  for two differnt Malls of over 200  stores. Answered questions for customers, vendors,contract vendors, transferred calls to all departments  Worked selling gift card from walk up customers to Corporate orders.Schedules were always inconsistent. Hardest part was during the Christmas Season."
