rating,review
bad,Company is horrible. Everyone talks behind someone behind their back. Pay is horrible compared to other airlines. Benefits suck as you have to pay for everything. Travel benefits are horrible as we have to fight for the benefits to become active.
bad,"Management is HORRIBLE! Very two faced, special treatment to certain employees. Hours are horrible. You do not get to use the benefits of flying very often. Just all around horriable."
bad,"Skywest doesn’t care about their employees. Their turnover rate is unbelievably high for a reason. Had to call out of work to go to the ER for having stroke symptoms, I was physically incapacitated. Paralyzed on my right side, blind and deaf on right side and speech impaired from it. They fired me for this call out. Provided doctors notes and everything. They said it was no exception. So just a heads up, if you suffer from paralysis, stroke, heart attack, or anything life threatening or physically damaging, they don’t consider that excusable and will fire you. Welcome to the skywest “family”"
bad,In recent times they would hire unskilled personnel to be supervisors and general manager. If you were not of the right job persuasion they would not listen to you if you had complaints and they would ignore that complaint or cover it up. It’s a very unfair place to work if you don’t play their game. Never ever complain or make any statements that caused an investigation or you will have an unpleasant uncomfortable stay in your employment at SKYWEST.
bad,"Pueblo is a tiny airport and yet SkyWest is always hiring. Raise any red flags? You work 2 hours or less per shift and can have up to three shifts a day so enjoy that unpaid commute to and from the airport for your $15. Minimum wage, no benfits, haphazard training and endless computer classes. Management is a joke - latest guy was gone for 6 plus months for death in the family and"
bad,"This place pays poor.  They have a system that protects them.  They allow their Management to Bully employees.  They don't give breaks, they lie to crew members, they falsify numbers to make crew legal to fly when they are not.  They lie to their partners.  They ask you to lie.  When I wouldn't lie or go along with the crowd, I was blamed for being Hostile.  HAHA if you ask those that know me they say this is not true.  They retaliate, and they blame you if you are not in their click"
bad,Company is just a sorority teen age high school competition always being threatened about loosing their own jobs to new more talented people. Not a good company at all to work for
bad,Training manager is a liar and formulates ideas about employees that she gossips about to other faculty. Should handle work disputes more professionally. Would not recommend working at this job.
bad,"I was released a week before graduation because I got nervous on a drill when I calmed down a second later teacher said too late you were unsuccessful after I gave up my job, left my family for 3 weeks and took the drastic cut in pay. They need to work with people more like the larger Airlines. Complete waste of 3 weeks they asked me to return to start over and I would never go back who wants to repeat the entire class they should have said you can come back and pick up where you left off. Insensitive people, low pay, expect the world for the chump change and stress they give you. No Thank you ! I would never recommend them to a soul."
bad,"So, if you work the ramp, or customer service.  The company looks at you like your disposable. If you work in maintenance,  watch your back. People will make it very hard for you to do your job."
bad,"poor management not fair, favoritism, a lot of supervisors will just take care of there friends in all ways  hours, Overtime pay and schedule really bad place to work."
bad,very poor place to work. you  never would recive any credit for a good job done. very little training and if you did get it it was poor. useless manangemt.
bad,"The GM is a complete douche. Created a very lazy culture, 10 people to turn one plane, doesn't know how to schedule correctly. His favorites do half the work and get promoted. If you are willing to brown nose you will get ahead. People literally clock in and take a nap in the break room. Happens every day. Right in front of supervisors who look the other way. Lots of horseplay on ramp, bunch of idiots out there, love quarrels, etc. Very immature staff including upper management. Tons of unnecessary gossip. Not recommended. If you are lazy and like to do everything but work. This is your station."
bad,Horrible pay and terrible hours and terrible benefits. Leadership was not really there to deal with customers and there needs.
bad,We were very under staffed and we weren't being paid a reasonable wage for the workload and other things that the job entailed. This was the worst job experience I've had.
bad,This company has no respect for their employees.  Lost both customer service and ramp agent contracts do to very poor management.  Senior leadership only cared about their bonuses and avoided relationships with employees.
bad,"SkyWest (Memphis Station) was so POORLY MANAGED (the ""manager"" was HORRIBLE), one of the supervisors was awful. Corporate knew that the station was extremely short handed but the manager kept relaying the message that ""it wasn't in the budget to hire anyone"", but continiously allowed one agent (MYSELF) to work Operations, Bagroom, & the Ramp alone with no help from management. That should NEVER happen, I'm not disgruntle (just tired & fed up): I just REALLY HATE SKYWEST for treating their employees at the Memphis Station so poorly."
bad,The only pro about working for Skywest is the flight benefits. But even those will cost you hundreds per year. The company doesn't pay well and is full of horrible management.
bad,A great place to get aircraft maintenance experience. Cool aircraft to work on. They have the new ERJ 175.
bad,"Basically your a number. Your supervisors think they're god. you may be able to fly any where but you don't have the money to stay. in winter you freeze when your outside but when in the pitt you sweat and when you step out side it freezes. your in charge of documents ""clr"" and if its filled out improperly you get a write up. just a lot of drama back breaking work (literary) for 10 an hour."
bad,Very poor management. Poor pay. The culture of the organization is very  negativity and back stabbing. When issues do occur management doesn't do anything. Only benefit is the flight benefits.
bad,"They terminate fully qualified employees at the drop of a hat because they have a lot of applicants due to ""free flight benefits"".  They pay extremely low wages and expect perfection in every aspect.  They claim ""fair and consistent"" policies, but every situation is different, but apply strict adherence to policies with no exceptions.  They call their station managers ""leaders"" but they are simply followers of their policies."
bad,"Pay is low and turnover is high. The employees that stay bear the burden of this. I am not sure how much longer they can sustain this lack of experience before there is a serious accident. Safety does not come first here, money does."
bad,"If you need your income, don't depend on your employment with Skywest. They will promise you they need you and you will never work the minimum hours, but you will."
