rating,review
bad,"This was by far the worst place I have worked at, the management is nothing as I expected, very all over the place and unprofessional. Definitely don’t recommend you work here. Pay was not worth everything you go through there."
bad,Managers are not on the same page.  They will command you to do one thing when you were told to do something different by a higher up.  They lie to you and say they have your back but this never was the case.
bad,"Sonic was a decent job, there were a few rude customers but mostly they were friendly and try to engage in a conversation with you. Everyone that worked there got along and there wasn't any drama really because of our age differences"
bad,"They are losing money, and will lay off employees first.  TheCEO makes $26.2 million a year and will not take a pay cut to save the workers. I do not recommend anyone to work there"
bad,"I would not work for Sonic again. It's a continuous revolving door. They attempted to recruit good people out of their secure jobs as test subjects for positions that they are toying with and when they get them, they just throw you out into the field without any tools. There was no real systems training, job training and the communication is terrible. There is a lot of improvement that could've been made if they would stop their knee jerk reactions and irrational decisions. They could retain valuable and skilled talent if the powers that be in sonic land would just sit, listen to their employees and implement long-term improvement strategy instead of making hasty decisions. They have lost a lot of good people because of that."
bad,this is the most unprofessionally ran company- things change DAILY- there is no norm- to many major impact on family- extreme pay changes at the drop of a hat-
bad,Pay plan sucks managers are order takers then try to fuss at you hated everyday I was there busted my behind my first month and only made 1300 dollars off 9.5 cars
bad,"They do not pay well "
bad,"Management not attentive to associate health and welfare"
bad,"Totally disorganized with poorly implemented rules. For example: you had to wear the company shirt. Unfortunately, they didn't have my size, so they gave me one that was three sizes too big. Needless to say, I looked less than professional. When I asked if I could wear my own clothes until the correct shirt size arrived, I was told that they had been on back order for months, so I should walk around wearing what looked like a tent. I also needed an ipad and key fob to do my job and of course, they were on back order too."
bad,"Here we do not lack meetings, daily!"
bad,"Shady management, toxic culture where gossiping is the order of the day. Stay far away from JLR of South Atlanta. And Sonic Automotive in general the toxic culture is company wide from corporate on down."
bad,This is a very high strung job with very bad management. The turn over rate in the business office is extreme because of the treatment of employees. At month end you are worked up to 13 hrs a day with no kind of break. If you have any kind of anxiety this isn’t the job you want.
bad,"After being pitched the stars, the reality set in on day 1 that the work days would be long and stressful and the working conditions would be downright dangerous. I was told that being such a large organization there was a great support structure, and corporate culture that would be there to encourage efficient work and be available to help where needed. The reality was the farthest from that. Basic IT needs went unmet the entire time I was there, HR was overworked and/or under staffed, or just apathetic. The majority of the staff was untrained and unaware of the most basic procedures and were allowed to work on the most advanced concerns, often leading to complete dissatisfaction from owners. This was well known by management, although very little effort was made to turn that around.    "
bad,"Massey Cadillac (North) owned by Sonic Automotive is the work place to work for any of the job positions. Reason for that being said, is because this company takes pride in showing favoritism especially if you have family members already working there. More than likely, only close grouped family will get at least offered a new position before a person that is willing to work and takes pride in what they do."
bad,"Uses the draw system to rob their sales reps, and as a porter your job consists of a constant game of catch up that never ends. The whole while you are bombarded with managerial tasks that you have no idea how to do because they constantly change the rules. Not worth 12 an hour unless you have other income to fall back on"
bad,"Nothing good to say. Watch your back as an employee or a customer. They want more words, but it is really simple story. It is the car business, not a good thing."
bad,"Family owned. Refused to pay over time, a coworker assaulted me. After defending myself and reporting the incident while he vandalized my vehicle. The service manager fired us both. Three years with nothing but good reviews and kicked to the curb."
bad,"Bullies aged to adults but not grown up cause a hostile work environment. HR can't do anything about it because the bullies don't physically harm you. They work against you instead of with you.  They don't want to fully train you,  saying they don't have time.  You just need to figure out your job duties on your own."
bad,"There were several reasons why people would leave this company. I  would rather keep my opinions and rants to myself. However, I did enjoy the perk of having a discount on my cell phone bill."
bad,"The management at this dealership at this time is dreadful to work for. Non of the sales staff are happy with the current management staff, however they are so heavily compensated that they put up with it."
bad,I was promised sunshine and rainbows instead I can’t pay my rent and going to lose everything I worked so hard for. Ugly truth is so much better than pretty lies.
bad,"Working for this company is extremely stressful. Management does not care about you. There is no leadership. All they care about is their spreadsheets. You will never hear a ""thank you for your hard work."" Its only ""why is this not done?"""
bad,"A large very corporate ran organization, with little concern or compassion for their employees. The demands on management are unreasonable in many instances. Working from 7am until 2am during certain times of the month is expected, with no sense of appreciation. The work must get done and they (very corporate, no one person) have zero tolerance for anything less."
bad,Rivalries and favorites overshadow strong staff and productive dealerships
bad,No real career advancements unless your related to someone or you move shady and can cut corners to get to a fair paying position. The company sees everyone as replaceable and does not give annual raises what so ever! The health care the offer is terrible!
