rating,review
bad,Managers are always worried about the product and dont seem like there there to worry about well being of employees. There is no smoking on property so if your a smoker you have to leave the grounds
bad,"Ótima empresa para trabalhar, pagamento em dia,faz reunião constante com os funcionários sobre segurança do trabalho e etc!"
bad,There lighting is almost 100 percent gonna make you blind and it pretty sad that they don’t even supply you lenses for your hood I had to come out of pocket every few days
bad,"Not a very good place to work the plant manager josh has no manager skill and does sneaky behind your back stuff so there is no raise. And the office lady jody dockery lies on paper work , hours and steals company hours So my advise is not to work for sonoco in Carrollton Ga"
bad,"This place is a joke, they don’t care abou your work life balance and even if you want to move up you better make sure you are considered “cool” to the rest of the people there because it’s like high school all over again with the drama. You’ll be working long hours with no respect from anyone while they literally stand around doing nothing or goof off at work. They will promote someone who knows someone before they promote the person who works hard and has the willingness to move up"
bad,"Working isn't fun at all because their equipment are all scrap and very old.. they don't perform."
bad,"if they dont have a rule for something they will make one up"
bad,I would not recomend anybody to work there the managers dont care about the employees only about how much money they can get. They dont give you paid sick days. You have no retirement fund and they work you 12 hour shifts 5 days a week.
bad,The job was ok at first but the person over ateendece was not capable of doing there job was accused of missing 20 day when in reality I missed 3 besides that it was decent job
bad,do not work in that place they do not have good benefits the bosses are Mexican and they do not want to let people only do they want they do not have good benefits they only help those who are family or friends of the supervisors those are the ones who have better positions do not have sickdays they only give a 2.5 percent of your increase check per year work or not that is what they give they are always pressing you for that they are looking for people because they are not going to because they are not good
bad,New management took over a year ago and had to go over their head several time to get issues resolved which seemes to upset the new plant manager it was a hard job streuous and very hot
bad,they lack a lot skills and they don't respect anyone they really didn't wont do the job the right way and never honest eith people as they should be not a good a job
bad,sonoco recycling is the worst place to work they make you work in below zero temperture they pay is herrrible you work 70 to make a god check i wouldnt advise anyone to work there
bad,Very bad experience night manger was horrible no one never listen about him very rude never had anything nice to say to anyone choose who he likes and dislikes
bad,"The machinery is so out of date they cannot repair it, nor are they even attempting to. Constantly run out of parts and supplies, just this week we ran out of resin to extrude. No accountability whatsoever. The list is endless as to why they will never fill these positions."
bad,have you work for 14 hours and dont care about your body or anything will never work for them again will never tell a friend or a family member to work for them
bad,I managed a crew of my own. Conducted safety seminars and worked very closely with my team. The hardest part of my job was any time I had to deliver any bad news to my employees. The most enjoyable moments were the days I was a great motivator to my team.
good,Sonoco is a great company with a strong stable history. Best opportunity for promotion is a willingness to relocate. They have an excellent work life balance but always be prepared to go the extra mile for the customers and your supervisor/ manager.
bad,Work place was a very energetic and caring environment. Employees always eager to learn knew skills. I managed a crew of Ten or more on the daily basis. From day to day basis I performed a variety of skills and task which lead to a great production report.
bad,"Very demanding employer, Everyday is stressful, quality is poor, equipment is old. Mechanics don't fix anything so it makes the job even more difficult."
bad,Typical day included overseeing the quality of products on my shift but often being ignored when I would bring quality concerns to my supervisors.
bad,"Fast paced work and overwhelming workloads, no balance between work and personal life, working with heavy machinery and need to be  aware for personal safety."
bad,not the best place no one looks out for anything it a warehouse look be for you move never would work there anymore and the boss is always late
bad,"Does not matter how long you worked there or how hard/good you did your job. More like ""popularity"" contest. Like being back in high school. Not a ""yes man"" so did not go over well with new management. They say they want to ""grow employees"" NOT true."
bad,"I would not recommend any one to work here they spend more time trying to find what an employ may have done wrong instead of working on things that should be important to the company's benefit example : New Supervisor did not last 2 months because of the fact they spent more time running her down for not writing teammates up for anything  Instead of the Improvements that have been made. They do not have good benefits and could care less what's going on,  The hard working employs they treat disrespectfully So they lose them and the bad ones they promote ...Confusing!"
bad,"The work it’s self is not hard, fairy easy but can be fast paced and frustrating. The supervisor only cares about production, that’s understandable but when it’s comes to the hard worker nobody seems to care. I did not care for this workplace because the superiors did not care for the workers. If you do want to work here... Good Luck."
bad,This place is a sweat shop.  You would better off to go work for devil  himself. Managers are worthless and do nothing to keep certain employees in line they do and say anything they want.
bad,"high turnover, poor communication, outdated processes, uneducated people in managerial positions. punish people for low production :( "
bad,"It was a great job at one time untill the shipping and receiving management took over the recycling department, after that it went down hill , after three years the employees had a Christmas bonus that went from 30 to 300 a piece which was steady climbing when management took over demoting employees and miss handling the inventory the just was to stressful to continue to work there but over all it was a great experience"
bad,This facility only has one real customer And the management is doing absolutely nothing to keep up with the current demand of this customer they can't even reach a 77% delivery rate when their only customer wants to grow by 15% in the next 5 years The machinery that this company has is so outdated the quality of the product delivered is embarrassing Management is so one sided and plays favorites there is absolutely no chance for career advancement My advice to you is if you're thinking about working care think twice as long jabbity of your job will be very short lived thanks to a very narrow minded Inept do nothing who no accountability for your own mistakes Managers
bad,"I did not enjoy this job at all due to the fact that I was not able to work enough hours to cover my daily expenses. co-workers and managers were rude and it seemed like there was always workplace drama going on. There was no chance to advance in that career, a lack of benefits, and a poor pay rate considering the work that was done."
