rating,review
good,The people were very friendly which made it a very pleasant place to work
good,"A typical work day consisted of taking in printing orders for customers. We printed all types of projects, posters, stamps, presentations, books, portfolios ... etc "
good,"The job itself is one of the best I've had. It allowed me to work at a steady pace, while also providing different challenges on a daily basis. My management staff always supported me with solutions when I needed them. There's nothing I dislike about Staples. The only reason I've chosen to seek employment elsewhere is because the company itself is not doing well. Store locations are shutting down and people are being laid off."
good,"I was able to understand and work with people who are really hard to please."
good,"HR Director was wonderful,  I was chosen out of many many resumes.  Supervisors were approachable and understanding and the coworkers were the absolute best."
good,"Maintaining Registers, Unloading Trucks And Pallets, Distributed through Out the"
good,"On a day to day basics I love working for Staples. We have fun and get the job done. My co workers and I are more like family. My management team does a great job on delegating  responsibility evenly and fairly across our team. So on a typical day I always ask ""whats on the agenda"" and ""whats a priority"". Once a project is done I move to next or find something to keep busy."
good,"Staples Rewards was occasionally a stressful job when you had to deal with difficult customers but it was one that was truly enjoyable when you took into consideration the people that you got to work with."
good,great work environment the management cares about you and the work is easy
good,A day at Staples is typically laid back and easy going. Time easily passes serving customers and helping them find the right solution for their home and business so I have had to learn a lot of good time management and self discipline. Management is superb and willing to listen and help solve issues when they arise and are very timely in their promises and actions. The hardest part of the job are the rare occasions of not having a solution for a customer and being only one of two sales associates that have been there longer than a year. But I love troubleshooting and working on customers computers and seeing how happy they are to get their repaired computer back.
good,Overall staples is great company to work for. I never knew how different the culture was from working on the retail side then growing into the contract side of the company. Love that fact you are able to grow within an organization and experience new roles.
good,staples is one of the best work places I have had the pleasure to work. the managers and supervisors are excellent and by far the best managers I have had the pleasure to work with. co workers are. no personality clashes. everyone has great chemistry with each other and the area and customers are just a great
good,I love working here the people there was very energetic. I love to sale and compete against the other co workers for fun. The hardest part of the job was to make a sale to a very difficult customer. The most enjoyable part of the job was my manager and the coworkers everyone there had a since of humor all the time.
good,"Dealing with new customers everyday, learning new things, trouble shooting with the latest technology."
good,"If you love providing great customer service and take pride in your department, Staples is a great place to work."
good,I had a great time while working at staples. Manager was the best among all
good,"fun coworkers"
good,"Start my day by looking at the scheduling board to see what orders still need to be completed for that day."
