rating,review
good,As a barista I brewed and steamed coffee to. restocked inventory for both the back and front floor. handled drive thru orders as well as in store register.
good,"Bar and Tender Cash"
good,"i learn about costumer service, and cultures from another countries. "
good,Working at starbucks helps you on your communication skills and helps you to know more about other people and other cultures. They helped me to be a more people oriented person.
good,Working for Starbucks was extremely rewarding in all aspects. Interacting with different people everyday as well as overcoming an array of different challenges!
good,The supervisory position allows you to have a lot of interaction with both customers and partners alike. The work environment is very friendly and easy going.
good,"I absolutely love working at starbucks! Fast paced and fun, build relationships with customers and make everyone smile. Its always nice to be in a business where you can assist people and make them feel important."
good,"Being with Starbucks developed my skills and shaped me to be a better me , with a great culture and great resources to learn and strengthen ourselves in our roles . "
good,"Fun job "
good,Love working here. I have a total new outlook on coffee and the way to drink and serve it. The benefits are awesome and the partners are even better. It's one of the best jobs I've had. Everyone is passionate and cares about their jobs.
good,This job will give you the necessary people skills to succeed in life. It is also a fun place to work because it attracts other people in the 18-25 age group. Customers you interact with are also pretty awesome.
good,"Excelente ambiente laboral. "
good,"starbucks is the best company to work for. i loved it there. my coworkers were awesome, my manager was the best. and the guest were my favorite part about working there. i also LOVE the employee assistance program that paid for 6 sessions of therapy for me."
good,"I love starbucks because it has been part of my life for the past almost 3 years. The company treats their workers better than any company out there and works to make the world a better place, truly. I love the starbucks environment and all the co-workers I've ever had. Truly a great place to work!"
good,"A great place to work at, 9/10. Only downside is the pay, they provide you with free food daily, free coffee weekly, are flexible with your schedule, and always willing to help."
good,Indulge your senses in this magnificent place. We melted rich flavorful tastes with mocha espresso greatness. If you have any questions please contact me.
good,Start bucks was a good job benefits was great pay was wonderful I meet alot of famson people I love my job the smile face the sad faces good mangment good food great team members
good,Working you get to meet new people every day. It can be a little stressful but nothing that cannot be manageable. Working with my fellow partners is always enjoyable since we always work as a team. And are always ready to help each other. My SM are always there for me be it work or personal matters. Could not ask for a better work environment.
good,"Work with great people, flexible hours, and an awesome experience. I learned to work as a team. One of the hardest things working here was opening, the location I worked at opened at 4am so I had to be there at 3:30. I also enjoyed the morning rush, always kept me on my toes and definitely kept me awake during my shift. Also coming home after every shift because the smell of coffee."
good,"I worked at one of the busiest Starbucks' in Ottawa, where in a given half hour during peak hours, in excess of 60-80 customers served would be customary. As such, when you are responsible for making all of their drinks, the job is stressful. The job has further taught me how to cope with stress and it is for it that I may mostly attribute my ability to multi-task to the extent that I now may. Under such conditions, working in close proximity to the other staff members, you grow close to the other employees and I can consider most of them good friends to me now. The best part of the job is working with such amazing people and the probability of encountering so many great people in a given day."
good,"A typical day at Starbucks was always fast paced, which I loved. I was always dealing with customers, making sure they were satisfied and happy and willing to always come back into our store. I worked with a team to make sure the store was up to code always. We considered eachother partners rather than coworkers which created an amazing work culture. I would say the hardest part of the job sometimes was keeping up with the large rushes of customers, but as a team we always got it done!"
