rating,review
bad,They tell you one thing then when your hired all other things come into affect and the things you were told goes out the door. They go off seniority and if your not one of the old workers you don’t get took serious or they don’t care to help the have their pickd and it’s sad horrible place to work
bad,"This company cuts your hours so that you are not eligible for the health insurance.  They work you like crazy and do not appreciate you. Also, they blame front desk staff for not filling the hotel and want you to multitask, pulling you away from the desk.  Work the housekeepers like slaves."
bad,"The worst managers ever and the worst work environment, compensation and the worst coworkers that you’ll ever have on this planet! I DON’T RECOMMEND Marriott International Inc!!!"
bad,"Management sucks the HR"
bad,It's not the Marriott family it's the general manager and housekeeping boss ...you do 17 rooms they want you done in 5 hours ..they are terrible boss's no lunch no break's please don't ever work at the one in Fairfield Marriott in Pittsburg pa please there only 4 employee everyone keep quitting
bad,The management team was evolving every 3 months which did not provide any clarity or support for the restaurant staff. We were not encouraged to make decisions to support the ultimate customer.
bad,I refuse to answer this survey simply bcim being forced to fill it out. Sharing my experience should be voluntary and I’m choosing not to answer truthfully.
bad,I enjoyed being around a diversity of people and some lovely events and people.  I liked being dressed everyday and greeting the customers and hotel patrons.
bad,I’ve had a bad experience over the last year co workers are very judgmental and bias if the  managers actually took the time and figure out what is wrong maybe issues like that can be resolved.
bad,Work/life balance is horrible. You’re too tired to do anything except sleep and try to prepare yourself for work. I recently had a baby and I felt like I was punished for having my daughter. HR doesn’t care about you as a human being. Terrible company.
bad,"There are no blacks working in regional management. None. Marriott prides themselves on being the most diverse company amongst other Fortune 500 companies and they are, only for hiring lower level positions. Cleaning rooms and repairing and upkeep but as for growth into regional positions, they won’t even blink and consider you if you don’t look like “them”."
bad,"My Marriott was managed by Crestline, which made it a horribly horrendous place to work.  Managers are uneducated, and do not understand how to run a business.  Crestline as a company is absolutely horrible."
bad,There were to many  I think if there was better management maybe the employee  would stay with the company  an get ride of teenagers who doesn't know anything about there jobs I think if they don't have any problems  there  ot going   no further in there emplyme t
bad,It is a toxic work environment...more people leave than stay...top 5% of management is all for itself...always had to be watching my back with supervisors.
bad,"No work life balance, "
bad,Management needs a course on how to treat employees  with respect . Human resource too. Marriott hotels are a great place to work but when you put incompetent people in charge you get a ticking time bomb. Work at the San Juan Marriott in Puerto Rico.
bad,No consistency or trust among co-workers or management. No communication! I worked St. Louis west locations. Very disappointed with management at both locations. Always a revolving door with employees.
bad,"MARRIOTT claims to have an open door and no retaliation policy, but they protect the wrongdoing and punish the etchical employees."
bad,"Had a new boss no one would have quit in 2019,,she is mean to all her housekeeper,don't care about you even as a person,talks about her housekeeper,,not a good place to work with some boss like that,"
bad,"Sobrecarga de trabajo, malos compañeros, habladurías por doquier, caras falsas y todo en malísimas condiciones desde ropa de cama y limpieza en general de las habitaciones, un asco!!."
bad,"this company sucks . they provide a bad insurance for employees which you pay but does not cover anything at all. "
bad,This was one of the worst places I’ve worked in my 30 year career. The male managers never did anything but criticize. Worked 80 hour weeks without any thanks at all. The “management “ didn’t know what they were doing. Too many events never enough people or managers. Never recommend this place ever to anyone.
bad,"No room for any mistakes. They will terminate you if guests wrongfully accuse or complain about you. They don’t look out for their employees. They are guest driven and will let you know it every time with a write up if a guest complains about you. Lookout - If you are suspended, consider it a termination, because they won’t bring you back! Couldn’t work in such a plantation like organization!"
bad,At first the company was a good place to work for and didn't have any issues up until my 5 month of employment. Pay checks have been short and payroll claims their fixing the errors. Employees shouldn't stress over not being paid and monitoring hours every day because of system errors. Being told this has happened numerous of times you would think they would find a way to correct the issue so that you wouldn't have this issue again. Better benefits especially for pregnant women and pay employees for holiday pay. Management seems to have it easy and just relax and not worry about anything. Communication can be improved big time especially when you are contacting payroll about your paycheck. You shouldn't be punished because other agents aren't meeting goal to work from home or any other role.
bad,Worst job ever managers are nasty or young and don’t have any clue or experience at all they just got the job by being friends with the boss the pay is only good for a high school kid and they don’t give u insurance only vision and dental I wouldn’t wish that on my worst enemy
bad,Honestly did not relay like the hotel. Bosses were never available if I had a issue. There was a high turnover rate. It was very uncomfortable working there
bad,it was horrible dirty work enviroment wit no care for workers. a lot of nonsense and hate no one held true to Mr. Marriots core values ran down and horri
bad,"Too many rooms to clean in expected time, not enough lunchbreak, bullying management... the list goes on. Do not listen to employees concerns or complaints. Employs alot of foreign non English speaking workers so communicatio"
bad,"Pas d encouragement "
bad,It's a nice place to work at if you're first starting  out no. Not this season the housekeepers hourly it's something that's very important 40 hours is something that is needed
bad,"Warning don’t work at Marriott.  You will be very sorry if you do. What a messed up company. The HR directors and senior manager are corrupt, to include the internal investigation staff"
bad,Be prepared to enter into your juvenile years again. This is a very non inclusive environment where management place favoritism and if reported will retaliate. The job at hand is easy if you do not mind physical activity. Housekeepers are treated like second-rate citizens and the pay reflects this as well.
bad,"This place is a huge insult to the industry. 1 management sucks really bad "
bad,"I’ve worked for the Marriott brand for two years before accepting a position at Tulsa southern hills location. I will have to say that it was THE most unprofessional place I’ve ever worked. One shift supervisor ask me if I knew of any where to get opiates. Like for real? Other managers just yell out threats like cutting throats, or cutting fingers off. Hardly saw the GM. The Management here sucks. Ever wonder why this hotel has a high employee turnover?"
bad,"They expect everything, give nothing. Cliques, rumors and favoritism.  Snitches and uneducated a** grabbing perverts is the only kind of advancement they offer."
bad,"The culture at this Marriott was horrible. It was so poorly managed. Personal issues and spitefulness drove the management team. Attitude reflects leadership, and that was evident with this manager. "
bad,"I was fired from the Marriott because a girl said that I did something did they called gross misconduct. She said that I spit in her drink, but nobody saw me do this and they had no proof of this because it was a lie. I was not able to defend myself whatsoever, and this person harassed me from day one but I was fired. Everything was swept under the rug did she did to me, but when she brought up Ally that she couldn't defend"
bad,Was treated poorly and like I was easily replaced. I was pregnant while working here and was treated tearable because I couldn't keep up. Worst job ever.
bad,Very unfair. No breaks even 8 or more hour shifts. GM looks for any petty things to call you in office so he can show his authority. No appreciation or thank your whatsoever.
bad,"Everywhere you go, you're going to find managers who just don't care about their employees. And nowhere was that more evident than at the San Francisco Airport Marriott Waterfront. The managers did not want to assist and stayed in the back. They only appeared when their managers or high profile guests were present. The back of the house is absolutely filthy. Fruit flies and garbage everywhere."
bad,"Horrible management, the place is a dump smells like a bathroom everywhere you go and it is out of date. The staff are also u bothered by the horrible conditions and have attitude to match the smell. Take your money to the new home2suites right on the corner."
bad,The managers are never there. Always calling in. They blame you for work that doesn't get done that is there responsibility. Barely train you before they just throw you to the wolves my friend was fired for calling in 3 mins to late....one time no prior warnings poorly ran establishment....
bad,"This place is the worst hotel to work for. The housekeeping manger and supervisors were beyond rude. They over work you and under pay you. They can never keep a PM housekeeping aid. I would not recommend no one working here, you would regret it."
bad,"This company claims to offer full time hours and a positive environment but they offer up minimal hours, require you to use any pto you (eventually) earn to make up for the shortfall, and they are abusive, demeaning and play favorites. Awful company. Hands down the worst job I’ve ever had."
bad,Owners of this hotel and others are doing bussiness and getting richer by building other hotels off the hard work of the housekeepers paying 7.75 an hour while at very busy times they charge up to 199.00 a room would never recommend this job to anybody owners are out for themselves and could care less about their workers
bad,"General Manager was not professional at all. To get in contact with her you had to constantly email/call. She never responds, but the day to day manager is awesome! Just the general manager makes it very hard for people to enjoy working there."
