rating,review
bad,Worst company to work for. Management do not appreciate no one but themselves.  Company went down hill after new CEO took over. They work you like a dog with no appreciation. In your team everyone knows your stats instead of being private with management only
bad,A typical day would be coming to work singing in on the phone and making outbound calls through the automated dialer. You are required to make atleast 150 calls a day
bad,"In general the insurance business is terrible, little compassion the owner of the agencies only care about working you hard be there all the time with no respect or gratitude about what you do for them."
bad,I am not one to complain about companies but State Farm was one of the worst companies to work for. It is the biggest bait & switch company i have ever seen. This company is suppose to be the cheapest insurance for local customers and honestly when customers switched to our office it was like they never existed but only when a bill was over due and yearly reviews. The people i worked with were nice but it was just an uncomfortable environment.
bad,training is not the same as the work you will be doing on the floor. They are all about numbers and not the customers. Work will get missed and overlooked cause there is not enough time to get it done.
bad,One of the worst work environments I've ever been in only beat by the United States Postal Service. They value quantity over quality. Their supervisors were mostly college grads who did not have a clue of what they were doing. They say it's an inclusive environment and you should feel safe reporting bad behavior but that is absolutely false. They will gang up on you like a swarm of cobras.
bad,"When interviewing for the position of Claims Specialist - Property Complex, there was absolutely no mention of it being a call center environment. I even directly asked and was told that the call center only applies to the claim specialists in the Express department. This was a lie! It's absolutely a call center where your call times are scrutinized. State Farm values quantity of calls over quality of calls despite customer and employee complaints."
bad,You will just end up making endless calls for an “agent” who benefits from it all! While in the mean time promise you this great further to keep you working for these goals that are pretty much unobtainable and senseless. They say they want to provide need based insurance they don’t they just want to see out going call volume regardless of actual business wrote. There are other options commission is scary but they keep you on the hook offering a salary with crumbs of commission. stay away
bad,"There are departments that are treated well but most departments are overworked, underpaid and over disciplined.... no work life balance or value of employees. I’ve seen mothers cry "
bad,The culture of the company has dramatically changed. The company once was a company that was all about work life balance and very big on family. That is no longer the case. I would say that they have aligned themselves to be more competitive at the expense of employee satisfaction.
bad,Management is horrible. They never show you anything about their operating systems at training. Your first day in your office will be the first time you see their software. Most outside candidates have no chance for success.
bad,Not all offices are the same but the office I was in had a very high turn over rate. They did not pay well and they did not value the workers they had.
