rating,review
bad,"There was a high management staff turnover creating a bad stabilty environment. Management pushed expectations downwards never providing support although saying you could speak up, they shut you down when you did. I never had leave in 9 months, forcing me to leave for health reasons."
bad,"Stryker is an excellent company to gain experience, but caution to those who look to make a career here. It is an awful self serving culture. Good exposure, but the employees do not have the hospitals and physicians best interests in mind."
bad,The training I received from the so call senior rep was horrible. The job is complex and if I would have gotten proper training I could  have been better equipped to do the job. Person who trained me was aloof and not friendly at all. Sales reps were very nice and supportive. My manager was awful. Would not recommend anyone to work here.
bad,"The Management Is Not That Good! They Treat You Like Your Still In High School. An If Your Not in Good With Your Supervisor They Will Pick On You For Little Things. There Is Soooo Much Drama There Its Not Funny. They Don't Care About You!  I Almost Died An They Gave Me Points For It Which Is Not Nice , I Have Health Issues An They Only Cared About  If I Could Work Or Not . An They Try To Make You Feel Like Your 12 Years Old. The Only Good Thing Is That I Made Some Good Friends!"
bad,"N/a "
bad,They say you work “some weekends” but I worked everyday for 3 months. Not only that we were forced to say after an hour later. This is not the best place to work unless you just want money.
bad,Staff it IT provides lectures about professionalism but yet act like 2 year olds. People hear are miserable shady and back stabbers. They lies to me said it was a full time job but was only a contractor for 3 months and was let go.  Not sure bout company future but they cannot afford phones and say they are worth millions. dont work here it's a horrible environment.
bad,middle management has intense pressure to perform and has often mistreated employees as a result.  focus is much more on hitting predetermined performance goals than on the development & satisfaction of employees.
bad,"A lot of kissing butt and if you're supervisors didn't like you, you dont get hired in. a lot of mandatory overtime. A lot of being on your feet. not a great place to work"
bad,"Negative culture and a very high turnover of employees. They do not acknowledge hard work. Very unorganized company. No direction, no clarity on job duties. It is no wonder the turnover of employees is so high for all kinds of levels from staff to upper management. Horrible management.I would not recommend anyone to work here."
bad,if you dont have connection you can not move forward unfortunately the worse company that i ever work .old team member believe that they own the company
bad,They like the communication there and don't appreciate hard workers they want you to look busy and not actually get a lot of stuff done but have a few seconds of free time
bad,"Stryker has horrible management. They let the drug addicts run things and the management was incompetent. If you like being over worked and under compensated while working, be my guest."
bad,"Simply a huge corp where one hand doesn't know what the other hand is doing. "
bad,Horrible place to work I would not waste your time especially if you are a female.  Its like joining a fraternity.  They will take complete advantage of any and all help you can give them
