rating,review
bad,The most toxic company I had ever worked for. No wonder the company went down. The management always had new shiny object syndrome and ignored their  long lasting employees
bad,Got work place harrassment all the time for nothing supervisor constantly breathing down my neck. Verbally attack by coworkers and seen others get get sexually harassed and still are working at this place
bad,"A promising renewable energy company that attracted creative, smart, high-energy people that was dismantled overnight due to increasing debt and risky growth strategy through M&A."
bad,"Sunedison, at one time was a company that you could be proud to work for.  Now they are financially unstable and treat their American employees like trash.  The benefits have been poor for years and raises non existent.  The culture is very divided, corporate individuals may be treated well, especially for new candidates coming on board.  Use it as a stepping stone and get out.  Turn over is high amongst corporate ranks too. Read the public information regarding the three companies and if you can see thru the smoke and mirrors you will either see corruption or incompetence."
bad,This company is ran by middle eastern men who have no use or respect for women. The corporate division has all the perks where as the manufacturing side has not had a raise in 7+ years and works most holidays.  The management gives the impression that they have no real direction and the press releases make that clear to the point of being embarrassing.  The constant contradiction is costing them millions.
bad,"La turnazone 3-1 è alienante e faticosa. Il giorno in cui si smonta il turno di notte è l'unico riposo prima di quello del pomeriggio, non consente nessun recupero dalla fatica e quando si fa presente il problema al direttore questi risponde che se non ci sta bene possiamo anche andarcene. È la classica fabbrica  stile anni '50 nella quale, quando si verifica un problema, non si cerca una soluzione bensì un colpevole. Troppo facile così."
bad,"Lavoro interessante e parecchio impegnativo, anche per via della turnazione sfavorevole che, nel caso dei somministrati è ancora più pesante, dato che non sono previsti riposi compensativi."
bad,"Management and engineers are running production from their desk instead of being on the front line with the operators where all the work is done! To many programs to maintain Lean, 5S, Culture training, that is basically what you should have been taught when you were a child. No account ability for anyone, nobody wants to hurt your feelings, no consequences for repeat offenders.  Operator pay is to low for what is expected from the operators which is causing quality issues and job turnover."
bad,"Moved from a very stable position to Sunedison. Expected long-term career at large corporation. "
bad,"If you ever thought your job was a role in a circle of Hades, you have no idea. The place is terrible, and the people in charge are clueless about process and business management."
bad,Racist working environment with a lot of back stabbing front management till the general workers. Salaries always cutt of without any logic reasons with a lot of injuries without covered by socso or any insurance companies.
bad,"could not take vacation days due to short staffing. Warned company of impending disaster, they let it happen, people were burned, HR was completely unresponsive to site needs. People rose to their level of incompetence. Flattery gets you much further than ability with this company. They are in chapter 11 due to gross mismanagement, cost a lot of folks everything."
bad,"Fires would happen and burn equipment almost every day."
bad,"Temporary Assignment getting books in order to emerge from bankruptcy.  Reconciled intercompany accounts that had not been reconciled for years, therefore, a lot of data to be reviewed."
bad,"Poor management, over expansion, poor accounting, questionable business practices, Bankrupt, no continuity among projects, poor handling of employee notification."
bad,I honestly don't think ANYONE at the company knows what's going on or what to do....I have never worked for such an unorganized company in my life!  They do not have the most basic procedures in place.  Complete chaos.
bad,Busy with equip doing procedures update
bad,"I loved the people I worked with, except a few higher level leaders who treated employees as inferior to them as people. Middle management did not do this; they were great as people but underqualified as managers. If upper management had run things different people would have enjoyed working there more."
bad,"I joined in 2014 and it was a great place to work, growing fast and many opportunities to make a difference. Management was overly aggressive trying to grow and buy other companies and this was the tipping point."
bad,"Poor upper management at C level destroyed Sun Edison."
bad,"SunEd upper mgmt are to blame for CH 11. First Wind got screwed over when SunEd acquired them in 2015"
bad,horrible. Could be gone but they are broke and their merger is going bad. their stock is in the craps. I was lied to about my position. I had to quit. I quit with a few 100 others.
bad,"I did not have a good experience at the end of my tenure at Sun Edison, but I left 10+ years ago so I have no idea what the culture is now.  I learned a lot while I worked there & met a great group of people"
bad,"I have had a good time with my immediate co workers. To many unnecessary meetings, to many organizational  chart change with in few weeks or months. No clear path set to move forward. Abrupt mass lay off and I am among one of those with no fault or poor performance of mine. I enjoy what I do and very knowledgeable on my skill set, but oh well I am one of those  scapegoats."
bad,"when I was there, very unstable with poor leadership at the top.  Has morphed into a very different company.  I am not familiar with the new company, Sun Edison"
bad,"Good place to start out in a plant to gain the experience needed to move onto another plant. Horrible Upper management, makes very poor decisions financially which places the worker in a bind. ( Not enough people, always overtime, vacations cancelled). Since this plant is Union, it ties the hands of the Supervisors to make any changes when you work with lazy people."
bad,"High turnover, very few days off, on call every day off, very few experienced operators left in a very dangerous environment. Explosive raw materials. Pyroforic process."
bad,"Under equipped, over worked, not  paid enough, not  trained  correctly, and  lied  too"
bad,"The future of this fab always seems TBD. And while many are doing the best they can, there are a nearly equip number that do not. It will be interesting to see how the fab reacts when times are tougher."
bad,"Bankruptcy proceedings started in April 2016 and just recently came out as restructured company, smaller version."
bad,Too many rounds of lay-offs.  Very low morale.  Constant changes within Exec Team.  Company has begun bankrupt proceedings.  Do not work for this company.
bad,My opinion in this company is just normal cause we are facing with a lot problems including too much work with a small benefits(salary)
bad,"Company where no clear roles and responsibilities defined"
bad,Co-workers were fun loving young engineers. Enjoyed working with them. Management was questionable. Facility was acquired by another company who filed brankruptcy immediately after.
bad,"Poor change management and disregard for employee communication was detrimental to this company. Equally poor business decisions led to this companies demise. Over-hiring leaders and letting go of the workers, made it impossible for survival."
bad,I do not wish to make any comments about this employer at this time.  The health plan was good as well as the retirement plan.  The schedule was flexible.
bad,I work hard for the company twelve hour shift forced overtime and when I was under a doctors care they let me go for to many points.  Not real compassinate unless your a supervisor then they do as they please. Very poor management.
bad,"turnazione su tre turni irregolare"
bad,"had to dress in clean room suits and ppe standing and walking on aluminum floor temperature controlled rooms"
bad,"not the best management choices coupled with difficult market times"
bad,Company did not seem to have American workers best interest at heart. Risky investments worldwide.  Operator duties.  Moderate pace of work with busier days during upsets.
bad,"Ok, salary and benefits are fine, stability is not, shut down most departments."
bad,Culture of elitism. Poor long term strategy. Limited strategic visibility. Limited IP transfer.
bad,"Employees come last,  schedules are unbearable,  exposure to dangerous chemicals.  Jobs are not secure in this industry because everything gets shipped overseas where the bulk of the work is done by lower paid people."
bad,Company was a fast pased good environment to lear many roles in a short period of time. Unfortunatedly had some challenges that forced it to declare bankrupsy.
bad,"Likes:"
bad,"Coworkers are nice but there is no proper process in place."
bad,"Human glue is used (meetings at all hours of the day) to make up for the lack of processes/systems on the business side."
bad,"Really enjoyed the responsibilities and work environment; lots of fun people; Positive, rewarding and challenging; great company!"
bad,There was not a lot of opportunities for advancement and when they did open it was not merit or skill set based. MEMC-SunEdison did not offer internal growth career paths.
bad,"SunEdison was a good company to work for, but had already started sliding toward bankruptcy when I was there.  I was transferred to a different company as part of the chapter 11 proceedings."
bad,when I started with them it was a great place to work but with the chance in management it not the same place
good,"A lot of things to do, but sometimes you can't get your work done, because you don't have the things needed to complete work"
good,"gestione dittatoriale del personale, nessuna collaborazione."
good,"Very complexed environment.  Data not properly maintained; therefore, research was challenging regarding payroll tax, employee history, and exchange of management roles"
good,They tried to be to big to fast and bought our previous company and tried to combine them and didn't quite have all the logistics down and they ended up going bankrupt.
good,"As a process engineer and site planner for the chemical plant, there are a lot of responsibilities. From day-to-day activities to long-time projects. Involving all disciplines from business, supply chain, to engineering, maintenance, among others."
good,Learn about complete PV solar plant design as well as Project management skill.
good,"The Renewable Operations department had plenty of opportunities to 'stay curious' and see the inner workings of solar panel operations in a distributive generation and utility sized scale. I learned a lot from automation, sql for reporting, portfolio management, data backfills, solar panel maintenance, and my job: monitoring."
good,"ambiente stressante con turni 3/1 senza riposi compensativi, con contratti in somministrazione da 3 anni e mezzo"
good,At times I have been treated well here.  The company has changed ownership and/or names 5 times during my tenure.  There are many good people no longer with us.
good,Few people were leading the projects keeping the others in dark. It had a great team with technical background and sound financial engineering.
good,when I first started there they treated every one great .as the years went on they did not and took a lot of things away from us .
good,"I loved the equipment and the level of responsibility that I personally got to handle, I however didn't care for the inactivity of others and the general acceptance of it by some of the management.  I got a lot of great experience and expanded my understanding of PLC's , Robots, etc.  I did grow tired of the 4 day work week consisting of 12 hour shifts."
good,"Management and direction consistently changing. There doesn't seem a well developed long term plan for the company. Benefits have changed dramatically for the worse this past year, decreased match for 401k, change in pay structure for overtime that has had a significant effect on gross income and has had a negative effect on the morale."
good,"There have been so many changes in management & company goals, it has become a confusing place to work.  Hopefully the sale & new management will bring positive changes."
good,"My typical day at Sunedison is to get a tie-in with previous shift usually there are at least 3 of the machine are working or it doesn't have the product there to run anything ,so I will look on the the computer to see the overall tie-in throughout the line to see if there is a reason that the the tools are DFM, the read e-mail and help out on the others modules"
good,"Societa' mutinazionalle  statunitense, che giustamente nell'ambito del controllo e riduzione costi, ha decentrato e sta decentrando parecchie attivita' sia produttive che manageriali nei paesi Asiatici."
good,"Company had everything going for it to become a super-major renewable energy company. However, taking on too much debt without rational hedging brought it down."
good,"We have a very good Quality Team and Back End Team, whereby the guidance is always there and solving the problems with Team Work. Hence, there must be efforts and willingness to learn on the process and work flow in order to learn fast."
good,"Low leadership, no future planning, at times ok, hot days, very dusty. Working on PV equipment and trouble shooting.At times work would back up due to poor planning. Working with co-workers was difficult at times due to difference of opinions."
good,Lavoro pesante ma colleghi collaborativi e cordiali.
good,"Good working environment but poor management"
good,Good company to work for.  Technical jobs.  Great learning experience. 25 years of service.  Jobs moved out of the country.  Laid -off
good,"I enjoyed my stay there even though some of the staff are bullies. I know that its not what matters in a job, I was able to stay civil and do my responsibilities"
good,Preferisco non dire nulla a riguardo. E' un' azienda abbastanza riservata.
good,"i was employed for over 20 years, i would recommend this company"
good,I think this job would work well with someone who doesn't have kids.  The days off are great but working 0615-1830 doesn't work well when you have kids and live alone.
good,i was work for this company more than 2 years.i have a productive and fun workplace.i have enough rest after 4 days working.i can work for more years if this company did not stop their operation.
good,"-Exciting work environment"
good,The company provides very few opportunities for formal training. Junior staff are attached with senior staff and learn on the job. Opportunities to learn new skill and area but it means that you are required to do tasks outside your job scope.Generally  a good working place for young workers to learn fast.
good,This company started out great when I started last summer but quickly took a turn down a steep hill. The company had the wrong people making decisions at the top.
good,"Poor management and not a good work/life balance but very good people work at SunEdison.  Due to poor management and other extenuating circumstances, the company is now in bankruptcy."
good,Misguided upper management trying to figure out which direction the company is going.  This leads to disgruntled employees and lack of trust among peers.
good,"typical day at work very busy, what I learned is how to leak check machines with leak detectors and nitrogen and how to fix leaks and identify different type of O-rings and what there used for. The hardest part of the job was to stay on track with the machines in a timely manner because there are so many."
good,"Typical tasks throughout the day may include picking up packages (small, never back hurting weights) and hand carrying them to the proper desks and associates within the offices. Mail assortment and pass out is common but the majority of time is spent filing and backing up or deleting new and old documentation from throughout the year. Best temp job ever. Helped me buy my first car."
good,"Due to the small size of the complex I was able to learn a lot about a very broad spectrum of chemical plant management including operations, maintenance and small and large capital projects."
