rating,review
bad,"You do not want to work here. Trust me. I was employed this company for about six months and my time there included some of the worst work experiences of my life, including laughable Christian management. Just say no!"
bad,the hours and work were not flexible at Sungard. It was required to work the first Saturday a full 8 hours during quarter close even if your tasks were complete. Also it was required to work on January 1.
bad,"After working hard for months for a promised in writing position, management decided last minute there were no longer spots open and cut my salary in half and forced me into a position I was not trained for at all. The benefits are poor, they have a high deductible expensive health care plan, and unlimited pto just means that they never approve your time off. They constantly threaten to fire you, walk people out with no explanation, and are very condescending. Everyone is afraid of being fired. I was never late and came each day but was demoted in favor of someone who no called no showed multiple times. I was told the demotion was because of my hard work and good qualities, which was insulting."
bad,"Continuous Urgent Deadlines, the position lacks training but come with harsh penalty if and issue arises the management never gets the blame. It is a great Job if you need a job. "
bad,"I was hired under the premise that I would be a Business Consultant. I was to evaluate how clients used the [Employer] product and then help the client and [Employer] work together to mutually improve efficient use and development of the software.  "
bad,"They pack their workers into a call-center like environment, harass you when you are late due to horrible traffic getting there, and my manager (offshore) was a heartless guttersnipe."
bad,"Unless you are kissing up to managements you can't do anything within the company. Not to mention the team leads they have over you can't even do their own jobs. They don't even know procedures and they expect you to learn forms they don't even know. Management is never around when you need them. Co-workers are always up walking around being loud. The team leads show favorites. If they like you, they let you get away with not doing work. Team leads will have you do their work training others. There is more drama compared to high school. HR does not care about any complaints. You can not move up within this company. You do not get raises. The procedures they expect you to follow by don't even make sense.You are made to fail and get errors. When you start within the company you have to sit for 6 months not doing anything. People fall asleep everyday. The job is very boring and you rarely learn new things. The company does nothing for you. They use to help with lunches or had more exciting things to do...nothing now!"
bad,it was a kpo so the culture was different with that of indian company the company is good and the atmosphere is also fine which is more related to the job we do
bad,My only advice to anyone applying for jobs at the Philadelphia Shared Service Center is this- SunGard is so scared of the truth that they removed ratings from their job searches here. I am not kidding when I say that more than 15 people have left this office over the last 6 months. The management in the SSC is terrible!!! Employees are considered nothing more than pieces of junk...if you value any kind of work life balance...Do yourself a favor and STAY AWAY!!
bad,"I am happy current and former employees are coming here to warn potential candidates about the failures of the finance team in Philadelphia. I wouldn't recommend jobs in this office to my worst enemy. There is no work/life balance. Senior management says ""lean is here to stay""..in other words ""we don't care how many hours you have to work, we wont hire – more... the right amount of people to do the job"". There are NO advancement opportunities."
bad,The CEO cares nothing about the employees or who made the company successful in the past.  All he cares about is the bottom line.  He has no concept about software companies or how to keep the current clients and has to replace most if not all of the helpdesk and developers because he attempted to have everyone relocate.
bad,Sungard Data Systems was  a great working environment. The technical  experience that I have obtain for my history came from Sungard. I rate this company at a high right 100%
bad,"1. Management guards the microwave in the morning. They treat their employees like they are children. They do not give raises instead they give us food or a treat like we are dogs.or better yet, we have to bring our own food or pay for our own or treat we are being rewarded for."
bad,"No proper planning, Chaotic environment, Office politics to the highest level I have ever seen. Does not promote learning and development. Managers are insecure of subordinates qualifications. Do NOT join this organization if you want a happy career."
bad,I would not reccomend this job for anyone whose looking for advancement. Very disorganized.
bad,"Unfortunately SG has the mentality that they can treat their staff poorly as they have nowhere else to go as we are in a recession, very short sighted as everyone will leave when the economy starts picking up. They'll then just be left with poor performers that can't actually get another job, this then creates stress on what good staff are left as they need to pick up the slack - and the cycle continues."
bad,"Sungard is the worst company I have ever work for. The whole company stinks. Management has their picks and chooses.  No advancement,  no consistency,  and no increase in pay."
bad,On a typical day at work I mostly handled all of the clerical duties and was a Data Entry Specialist. I loved the position I worked I just struggled with the manager I had because she was unprofessional and done anything that she could to make work life hard on me. It made it where I dreaded going to work everyday. I had a hard time with my coworkers because they would join in with her on picking on me to fit in with her. When I was not being tormented I was able to get tons of work done and loved what I done. I really kept hoping that another manager would come in but I was unable to hold out that long.
bad,"Poor management, no direction, false sense of security and no raises in 3 years. no room for advancement. looks to be re sold again in 2 years or less"
bad,"leadership is horrific, lacking in vision, mission and direction. lots of talk, no action. make ignorant uneducated decisions, only for momentary situations, never long term commitment. work/life balance is a joke, they run on a thin thread and band aid. consistent severity 1 situations, staff & companies up all night and day, rest is non existent, no desire to stabilize environment, non billible to customer, forget about it, run by seat of pants. unhappy customers, GRADE SCHOOL OFFICE POLITICS. Best advice, stay away. rough place to visit, keep driving, no advancement, no culture, much prejudice based on personal opinions not facts or truth. Wonder how they stay in business or why customers stay with them. Except it is very difficult to remove the financial dependency built over years. Company and its leadership continue to get worse. It doesn't matter new / old, all the same. most co workers are nice, others you have to watch your back, especially management, watch out."
bad,"Working Here started off good. But then came lies from management about promotion. the people they put in charge don't do anything all day but play on there cell phone,eat all day an complain about stupid stuff such as staplers in work, Sorry team leads they want the other workers to do there work. Pay suck!!!! keep up mess!! so call friends talk about each other behind there back. Management have there picks and chooses. bring in people off the street rather then hire in house they hire friends of friends sad how management work I would not even call that management because it's unfair and they don't care about the people that work there butt off. Fire people cause one of the managers/leads don't like them. not all departments some departments are awful."
bad,This was a good place to work when the original owners were in place.  It has been going steadily downhill since.  All they care about now is the money.
bad,I miss my manager. His name is GUY. Very nice personality. We had a opportunity to celebrate his birthday with a very exensibe cake
bad,The manager is not very supportive nor responsible but the job is fine. The pay is not good but its better than being unemployed
bad,Support of Investran Implementations. Heavy technology focus with a  lot of travel. I learned the solutions and product offerings.
bad,Superion bought out company I was working for. Ppl quit and they never hired to replace. They were planning to close buss. but didnt inform employees.
bad,"Since FIS acquired SunGard they are laying off many people over 50 and calling it a work force reduction, but then you see the same if not similar job posted on their company website."
bad,Morale is very low. Management doesn't care or listen to any work issues. No set work instructions. You're always trying to hit a moving target. Management is horrible and actually rude to employees. I actually was witness to a screaming match between 2 managers that was heard all the way from the conference room to the staff floor. HR is useless if you have an issue. Backs management and does nothing to help. No chance for advancement. Most of the office personnel is from India.It's just a miserable place to work. Company reputation is so bad they've changed the name to FIS. Layoffs are almost quarterly.
bad,This company is poorly managed and the work/life balance is non-existed. The communication between divisions is horrible and the turnover is extremely high.
bad,Company is growing in good ways but is a bad place for personal development.  Performance reviews are supposed to occur annually but they have not been given in many years.  
bad,"Superion, now CentralSquare Technologies is a great place to start and advance your career but should not be a long term workplace. They prefer to promote internally, but their expectations for work life balance the second you become salary is that you will always sacrifice the life part of the equations. Especially when they set unrealistic goals that are well above what previous trends show in productivity. All in all if you are a college grad I would recommend this workplace, but anyone with experience should beware and move on."
bad,"Recently bought out by Vista Equity Partners and renamed Superion, this group only wants the lowest paid employees. All staff must work in an office (no remote) and therefore anyone who knew anything about their software is now gone."
bad,"Poor work/life balance, expected to work long hours with little recognition."
bad,"Difficult environment to work in.  Management does not consider efforts of employees, hostile working environment and constant harassment from managers. Constant intermittent layoffs. Extremely political. Little to no advancement opportunities."
bad,"The organization has really organized its goals and operations."
bad,"employee facilities are good, management shows partiality to local people, others its tough to see the growth, flexible timings, no dress code, no onshore"
bad,"Rigid Environment, Work culture is good but can go ahead to look something Fast Forward. opportunities are based on luck. ;-( "
bad,"you can enjoy the life if you get good project and management."
