rating,review
bad,"Will work you like a slave with no appreciation towards employees. District management promoted employees based on the store manager's discretion. If the store manager wanted to get rid of that specific person, that person can/will receive a promotion. Thankless job."
bad,"Benefits are poor. 401K match was 1%. Vacation package is two weeks. I worked there for two years and never got a pay raise because I was at the top of the pay band. When I asked how I could move to the next level, I found out there was no plan and no career advancement. The job description sounded great when I interviewed, but when I arrived there was no training and no specific job duties assigned to the job. I was also bullied and harassed by a coworker. I documented to incidents and talked to HR. Nothing was done so I left.specific job duties"
bad,No review  nothing more to say  I don’t enjoy working for this company I need better employeement thank you. Better hours better management to succeed
bad,Horrible place to work.  Too many work hours. No professional Management. Retention rate is high for leadership and employees.  No HR support due to newly appointed HR Specialist.
bad,"This place sucks since UNFI took over. We all liked our jobs when it was SuperValu. Now even our managers hate working there, they can't say it but you can tell the difference in the way they act since UNFIT took over..UNFIT don't care about us working class people they just interested in corporate greed and screw the people that make the money for them."
bad,"I wouldnt recommend supervalu which is now UNFI to my worse enemy. It is not a company that cares about its employees. I worked there almost 2 years as a forklift operator, never late, always went above and beyond on my job duites , worked over whenever i cld and never got noticed . Management including HR is a joke , its absolutely worse then being in high school. The only good thing about supervalu when i worked there was the pay. This review is not to bad mouth this company nor said with any hard feelings , its a warning to good people who work hard and take pride in their skills and work. Please consider as many more companies as you can before taking a job here , let it be  ur last and only option."
bad,"Terrible management, they do not even know you.  I would not recommend working here.  Corporate office is too removed from the actual work to be able to drive the business."
bad,"Company overall needs improvement, systems are dated, no work/life balance. Benefits could be better.................................................."
bad,very fast paced. downfall is you never know when you are getting off of work. you have a schedule but they always keep you a few hours later. they also mandatory you on your days off. you work weekends also
bad,not a great environment to grow and develop yourself. It will however teach you how to survive in some less than ideal working situations. No accountability starting at the top.
bad,Started out good job but turned into nightmare.   Management lies about what is going on.   If they don’t like you they do everything possible to get rid of you
bad,"Since UNFI bought the company, they have been nothing but slave drivers. Very little margin for a personal life. UNFI management are tough, causing employee moral to be at a all time low. Pay is good, but not worth breaking your back over."
bad,Worked with some nice people. Very fast-paced environment. Location was perfect for me at that particular point in time. Started as a contract hire and then asked to interview for permanent position.
bad,Horrible just plain horrible mandory overtime mandory to come in on days off it doesn’t make sense I literally was fired for not coming to work on my off day
bad,"UPPER MANAGEMENT are horrible  lack of professionalism . No job security HR is useless... pay is good when payroll isn’t messing up your time.. Treat warehouse workers like slaves with mandatory overtime, managers block exits for workers to leave, unorganized, stressful place."
bad,"Honestly, The only way that I knew that my supervisors or the corporation at large knew that I existed was because I was cut a check twice a month. It seemed that SuperValu had subscribed to some sort of chaos business model in which the points were made up and the product didn't matter."
bad,"The job was  not  hard but the environment  was  not  good,  you work in the  freezer  and it gets really cold. There's  a lot of lifting heavy boxes."
bad,During my time at SUPERVALU I found it difficult to deliver what was asked by management due to constantly moving targets and conflicting direction from various levels of leadership and so much time wasted in constant meetings.
bad,It's a decent place to work. It just needs better management. It is somewhat a safe place to work. Its alot of favoritism that goes on there. If it's place you want to  make money then it's the plce
bad,"I worked at SuperValu for years and it was a fair company to work for. The company bought out Unified and somehow their management, which was riddled in mismanagement took over management at SuperValu and ran the company to a highly stressful place that lost millions in food product because of incompetent management.They are moving operations 50 miles south to Chahailis because they in turn were bought out by UnFi. UnFi is gonna cut wages and take most benefits away."
bad,"I got laid off after a merger, but before I left watched most of the top leadership retire, resign or become powerless. Corporate talked about learning from us, but was deaf to anything we had to say."
bad,"After 13 years at SuperValu the company was bought by UNFI. The new owners are closing the Tacoma DC, refuse to acknowledge their responsibility in regards to a collectively bargained contract, and are moving all of the jobs to Centralia."
bad,"They definitely need to work on their way they treat their employees, if you have worked there a long time they favorite you, if you are just starting out, they don’t really like you. If you make a mistake several times in a row because you don’t understand something, it definitely hurts when they let you go over the smallest mistakes you have ever made."
bad,If your focused and have the energy it's a great place to make good money. I had some personal issues with this place myself but all together this place is pretty decent to make good money and fast.
bad,"It is a typical environment. You show up, get your work done and go home. There is little remarkable (Or negative) to say about the job. Occasionally work load would get to be too much for work hours and I had to stay late, but it was only a handful of times."
bad,"If your into clicks your fine I just went at a  fast paste and was a thinker and  was not into clicks ,I always thought if I can make the company more money they would figure out a way to keep me employed I was wrong!!!!!!!!!!!!!!!!!!!!"
good,Not a bad place to work its just you have a certain amount of time to pick a certain amout of items. Most of the employees don't go on breaks to make sure they hit their numbers. You go from hot to cold environments so you would need to keep a jacket with you. You have to run to get some items which is not safe.
good,"Always something new to learn everyday."
good,"Great place to work for as the money. Weird work hours, management is not that great. Over all experience was good though met some great people along the way"
good,Hard to keep up with a 90% day rating stressful environment overworked long shifts cold temperature  Fast Pace High Strung lifestyle did order selections pallet jacks clean and maintain  safe environment
good,Bad management makes the job a lot tougher than it is. Constantly micromanaged and treated like children. Not a lot of room for promotions. Shifts were short.
good,Spent working hours lifting packages to build pallets to be shipped to stores. Spent 4 hours mandatory overtime most days of the week.It was a union job there fore a good paying job.
good,"nothing to say about this company. it is different for every individual that works there. Like any other place, it depends on who you know or who likes you that determines if you will advance within the company."
good,"This is a good job if you need a year of experience in procurement, inventory analyzation and forecasting. Most likely you will feel frustrated at the 6 month mark, but I would tell you to stick it out. At the one year you will become a Buyer II and get a 10% pay increase. And you get it even if you've had problems. Unfortunately the job and the stifling atmosphere will start to wear on you because it's a losing battle if you want to fix anything in the category you work within. The recent bonus they are dangling to the buyers in hopes of making the constant turnover stop is unknown factor. UNFI Corporate doesn't get information, have concrete or solid numbers to give the Procurement team. The bonus is based on too many outside factors you can't control, and on the whole category, not your work individually. Which in my opinion will only cause friction within a category. Especially when you consider the teams not getting a bonus will only lose more employees and have a faster turnover, therefore that department will never improve. My biggest issue with how the Procurement department is run is four things. 1. Everyone is scared of management and having to talk to the boss. I've witnessed how the head of the department confronts individuals and it is done with a lack of respect. Essentially, they are barked at. The people below him, at least a portion, mimic the same bad behavior so it's cyclical. 2. There is no foresight on what's best for the company. The slogan is ""you can only control your desk"". I have never witnessed so many professionals only concerned with covering their"
good,"Compensation = Very good"
good,Its Aight Nothing Fancy About It They Want You To Work Your Butt Off Even More Even Tho We Are Already Workin Hard Already .                    Uuuhhh
good,"This grocery store is a great start to being introduced to the retail work field. Due to this store being in a small neighbourhood, the busy periods did not last long, this is perfect for training to be a cashier. i learned how to operate a till, greet customers, organize product the most efficiently to be carried out of the store in a plastic bag, suggest products to customers based on what i notice them buy. The hardest part for me was to be faster in bagging groceries, i was so cautious id take longer than i expected too. the most enjoyable part was helping customers, i love sharing my knowledge on cooking and giving new insight to customers, thats something that has stuck with me still."
good,There appears to be an internal feud with the dispatchers as there is always some type of discord going on. Hired as full time yet after first two weeks I was on-call.
good,Very little opportunity for advancement. Compensation below industry standards. SuperValu was purchased by UNFI which turned it into a noninclusive work atmosphere
good,I liked working there didn’t enjoy the shift I had and management was hard to deal. But there is new management all same workers though and they go through quite a few staff
