rating,review
bad,"this company is all about community until it’s inconvenient for them. give them a week to show their true colors and it will be obvious that they don’t care about you. they will drop you with no prior communication which is super disrespectful and unprofessional on all levels. the shifts suck, the management is even worse. run away from this company as fast as you possibly can. this place is not worth your time."
bad,"The weak managment hired me and a few temps and terminated us because they had no idea what to do with us for 2.5 weeks. "
bad,Symetra does not care about it's employees.  The manager's aren't helpful and don't work with you.  I learned that most of management has favorites who suck up to them.
bad,Poor management style. Stressful work environment. A typical day consists of getting cases done in time. The manager comes by my desk and sucks the happy right out of the room.
bad,"Salary is low based on work expected. Management is inexperienced and catty. Over time and hours expected to work differ from what is presented in job offer. 100% quality metrics are unattainable and you will never meet expectations in a review, unless you are favored. This is a biased work environment on many levels."
bad,The lack of integrity among the management and human resources division of this office is truly astonishing! And this lack of integrity has filtered down through the ranks to cause an atmosphere of distrust among the entire New Business staff.
bad,"The lack of integrity among the management and human resources division of this office is truly astonishing! And this lack of integrity has filtered down through the ranks to cause an atmosphere of distrust among the entire New Business staff. I have never worked in an organization where those who lie are held in high regard and those who value hard work and honesty are seen as lacking qualifications. I believe if the CEO had any idea what was going on in this office, he would be appalled! Especially since he is counting on this office to build the life business. My advice, avoid this company!"
bad,"poor training, poor management, favoritism abound, pay seemed reasonable until you got your caseload and job duties. keep looking."
bad,"This place is a mess.  Several reorgs have happened over the years and it just keeps getting worse."
bad,"I started working at Symetra with the hopes of being there for years to come and possibly retiring there, but the process of the training and lack of training and what the expectations they required of us employees was sometimes overwhelming. I feel that the any company the most important thing is the best interest of the client and I know that many clients were not very happy."
bad,"While the people were friendly enough, there was a universal attitude of negativity towards management, fellow colleagues, and towards the perceived direction of the company. Symetra stifles advancement, and they allow gross incompetence, making it nearly impossible to get fired. Management is rarely engaging with subordinates, and when they are, they do not readily accept opinion or theory. Expect to be treated like a child there. If you prefer to do the bare minimum without fear of losing your job, then this is the place for you."
bad,"Too much whispering, too much favoritism, too much micro-management, old IT infrastructure, some poor hires into management positions, good people leaving with alarming regularity."
bad,Management is terrible. You work hard with no recognition or room for advancement. No work life balance. You have to work over time to maintain your work
bad,"My experience at Symetra has not been a good one. I work smart, I work hard and I do what I was hired to do. But there is a large amount of favoritism played by managers. The employees that never question anything and and just go the way of the herd day in and day out are the employees that a lot of managers at Symetra play favorites to. I very much believe that this is a big reason Symetra has a hard time of keeping talented employees and the company has issues keeping up with the competition."
bad,Disorganized and ethically challenged organization. Management in the compliance and ethics departments cater to the marketing and sales departments due to the business side pressuring compliance and legal departments to do illegal and unethical activities.
bad,"Symetra was an organization I envisioned being with until I retired. With a lack of management support and career growth, I opted to find an employer that would help guide me in the next steps of my career. The company fails to recognize internal talent. The organization has so much potential but it can't seem to get out of its own way."
bad,"Not a place for the feint of heart. Very production oriented and extremely high volume, high stress work environment. Great dedicated employees, but corporate culture is extremely dysfunctional."
bad,Starter Disability company great opportunities only between friends. Culture is currently terrible. I would not recommend this company as I feel is going downhill for Disability Products.
bad,"I feel Symetra has the opportunity to be a fantastic company, if it could get out of it's own way.  The Company has amazing staff, but it has a turnover ratio of +30 percent.  The company churns through Employees."
bad,Management is poor in team leadership. Horrible work life balance. They have one person doing the job of 2 people. Compensation is very average. The company is behind with technology and ways of thinking.
bad,"It just doesn’t seem like Symetra has the fire it needs to be successful. The company is slow moving and behind the times with technology and ways of thinking. Managers often appear to be untrained, unsure of their decisions or just plain don’t care. I hear of many complaints about the way we payout claims and how difficult/slow/confusing the process is but yet nothing ever gets done to fix the problems which is really unfortunate because the one making the claim is usually going through a tough time in their life with us only making it harder."
bad,"The way this company runs boggles my mind. I've worked in a few different departments for a bunch of different managers at Symetra and rarely has there been process or order. It makes it unbelievably hard to keep work on track."
bad,"My experience at Symetra was not as great. The management team was not professional enough, give team members a lot of stress. During none peak time, the work is rather slow pace and not challenge enough."
bad,"The employees, primarily non-management employees, make this a good company to work for. Work/life balance, pay, legitamet advancements (based on actual knowledge and hard work), and management needs vast improvement."
bad,"Not much positive can be said.  I cannot, in good conscience,  recommend working at Symetra.  That is all I have to say about working at Symetra."
bad,"The company has gone down hill - bad management, low morale, etc"
bad,Very poor training and not very good at maintaining morale.
bad,"A lot changed as of 2018 - health benefits got worse (more expensive for the member), they changed the sick day policy, and the delegation of workload completely crumbled. You've got Case Managers working 40 claims, and another Case Manager only working 10 - for example."
bad,"This company was great to work for at first, but new management brought in from the outside tried to change the culture and workloads increased, rules changed and the company became more than stressful to work for."
bad,"Good opportunities for career advancement with good benefits package. Great community support from company and employees. Need for single Project Management Office to manage all Project Managers and Projects. Hostile leadership, that has expectations of employees to work extra hours weekly without compensation."
