rating,review
bad,"Stressful place to work, my wife nearly had a stroke due to high BP during working hours but the Team Lead assigned as if didn't care. Very stressful place to work."
bad,"The company does not value its employees, or management team. They say they do but actions speak  louder  then words (talk is cheep). The company has changed, they are bringing in chosen people from Fremont and the UK and pushing others that are in the position that they need. There are very few people that started the Hyve business 5 years ago. The upper management team is rude and disrespectful to the management team, there leadership style is one of  intimidation and hostile ."
bad,Factory assembly with grumpy management with poor communication skills . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
bad,"too much favortizuim,  allow employees to drive forklift and not obey and OSHA safety.  Dangerous place to work when walking the floors.   HR has no care for safty if you are not a favorate."
bad,Toxic environment for African Americans. I was called out my name many times by the older Hispanics and nothing was done because everyone is related to someone.
bad,"They are racist , they have favorites, they will make it known that they don’t like you. There rude . The supervisor and manager will pick on you , talk about you in there own language or talk about you to other coworkers. They tell you that you will get hired on and after your 6months they let you go with no warning . All the supervisors,managers,favorites will all know your getting fired but won’t say anything."
bad,"I didn't really know what I was doing because nobody trained me properly. My work was scrutinized and then rejected. Out of the three people that inspected my work, you think one of them would of showed me how to do it."
bad,The typical work enviorment was to work with management on projects to be completed . Gather information needed for Cad drawings and collaborate with staff to complete work .
bad,"easy to work with colleagues and approachable management. fair compensation and benefits for all employee. given a chance, i would love to be a part of that company again."
bad,"people are not friendly, they think you come to take there job. pay are very very low. Work are vary hard. A place to work for and looking for something  better to move on too."
bad,Don’t work here. Period management is horrible favoritism at its finest lousy raises . They don’t care about employees all they see is numbers and if the daily work is done or not
bad,Very high turnover enviroment.  Would not recommend for the unexpierenced inside sales rep. Expectations are high with a very undermanged sales team...
bad,"Hyve Solution ( Synnex Corporation)"
bad,This place really drains your soul. Working 6 days a week would seem like its beneficial in advancing your career but that is not the case here. Management is lacking basic human compassion and experience.
bad,"i was working part time as a inventory specialist for a temp agency and the pay was not great. no benefits, vacation time or paid holidays. I would not recommend this job for someone who is looking for a long term career development opportunity."
bad,very racist company will never work there ever...make this a last option for a job ...only if you are on your last leg ..I was sexually harass at this job for a whole year and when it was reported they release me Don't ever work for Synnex.
bad,management is not organized therefore lacking in all departments. I was hired through a temp agency so it was the only way I had my paperwork done on time.
bad,"Doesn't matter how well you-do there isn't anywhere to advance.  Unless you know someone in upper management, in which case, you can move up quickly regardless of how well you do your job."
bad,"If you're looking for long hours for no pay or respect this is the job for you! After two years of no respect and feeling incredibly disposable, I finally had to quit."
bad,People were under paid and over worked. Turn over was extreme and no respect or empathy for workers. management was cliquish and showed no team work. hours was unheard off. 16 hr days.
bad,"From the day I started I didn't like it. They trained me how to pick orders for 2 days and expected me to know what I was doing with any errors. They then fired me n realized they made a mistake n rehired me, and 6 months later they ended up firing me again."
bad,I wouldn't advise anyone to work here unless you really need a job.This is not a place that is very friendly and I would ever make a career out of it
bad,This job pays very little for what is actually deserved. They require people to work 6-7 days sometimes. There is lack of direction.The co-workers are ok to work with. I have learned very little there. The hardest part of the job is not having control of how busy production is. It is not the most stable job.
bad,"watched alot of people get fired on a daily basis, low salery, felt like a number instead of an employee"
bad,"I hated this job, because the management was rude all the time. There was no set schedule, you never found out when you worked or what days you had off , or even what time you got off that day until the end of the day. I learned how to work in a warehouse, how to do packing and shipping of merchandise."
bad,"Although There was plenty of work on hand. The tools needed to properly test and repair the units are not on hand. Screwdrivers and bits like Philips and Torq, you have. But they get in a variety of Apple laptops and iMacs and they don't (or didn't) always have charging cables and power supplies for proper testing. "
bad,The pay for warehouse workers was poor. Turnover rate was unbelievable. Always were training new employees. Work load was unfair and averaged  work day was 14hrs
bad,"Pay is fine, but management team is by far the worst I've every experinced in over 20 years. Very little training.  Managers are very belligerent.  Vendors are great."
bad,"They don't care about anything but the work that they continuously fail to get out in time. They don't care if you have kids, they will try to fire you for leaving early. The work/life balance doesn't exist. They ask you do several huge number tasks simultaneously and they never help. They give you the bare minimum to work with and it's extremely cold all day everyday. 50 degrees. You can't sit down at all unless you're at a certain area."
bad,"This place will chew you up and spit you out. You can and will be fired for anything. Pay is low, the work is stressful and this is compounded by pitiful benefots and ridiculous metrics."
bad,"the person in charge of human resources is bad if you do not like him, say goodbye to your work a lot of favoritism and you rule completely stupid"
bad,"Too much work for the rate of pay, rude management. The company takes advantage of temps. Very poor training which causes issues if you make a mistake."
bad,Didn't  care about growth for the employees. supervisor was always sleeping in his office and floor manager wasn't doing anything about it. wouldn't recommend
bad,This job is great if you just want to sit in a cube and get by. The people only care about themselves. Little to no training is provided. They expect you to just figure it out which is near impossible if you have no prior IT Distribution experience.
bad,"Poorly managed, insecure, unprevisible work-place with ever changing hours, rules, quality assessment, 12-hours-shift, unpredictable holiday planning, dirty space, poorly ventilated workplace, lack of information - chronic, smelling exotic food on floor, dirty equipment, dust, lac of direct communication with key internal interlocutors......"
bad,OK company with good benefits but conditions are poor. Advancement is very difficult or non existent internally. Employees afraid to voice opinions. MICRO mismanagement to the max. Long hours expected for salaried employees.
bad,Absolutely awful place to work get messed around by management . No job security and lack of communication. Overall bad management no thoughts or appreciation of staff.
bad,"Good co-worker its just management not totally good."
bad,"Lots of good people, management not so much in my busi was unit.  Pretty disappointed in how my manager handled things.  Worked really hard, hit quota a good bit but I'm glad to be out.  Good experience though - alot of people work here for a bit, make some friends, and bounce to a better gig"
bad,They allow there leads to run good workers off without listen to both sides..Poor leadship in the company ect.........................................
bad,They highered me and worked for 6 months and when they wanted to higher me for prement they let me go for my background.  They said they knew about it .
bad,"After 10 min training they expect you to know everything and if you ask for help they give you attitude like it bothers them. It’s slow un organized the worst place to work at pay sucks reguardless not worth it at all. You can’t take your lunch to the break room in back of the warehouse you gotta waste 10 mins walking to the front to take your lunch, dirty place period."
bad,The warehouse was very unorganized. Supervisors weren't there to help you or show you what it is they need of you. If it weren't for the other workers showing me what it is that needed to be done I would have nothing to do.
bad,Most unorganized company I ever worked for. Been here for one year and a month only one raise in my first 3 months. None of managers know how to manage nor lead. Most of the People they hire have no common sense what so ever. The only two good things about this job is the hours and the taco truck.
bad,Good job for high school kids to learn about shipping receving
bad,"Concentrix is a good place to work however it is not a place to grow deep roots because the business is not very stable, they have been moving accounts from one country to the next and my current position is a stake for that very reason, they constantly look for better ( cheaper ) options to provide customer service and rumor has it that they are moving from Costa Rica down to India as they already did by migrating half of my current organization over there."
bad,"There is no job security with this company, would not recommend this company. Management is not very good. Company is primarily commission base."
bad,"It differs every building I think because I had a friend in a different building that said work was very chill. The building I was working was very hectic everyday, nothing was done in an organized manner, the workplace was messy, and a lot of other things. The management expects too much."
