rating,review
bad,"This job was very stressful and you have no job-life balance. The expectations are not realistic and you have very little support from leadership."
bad,Cruddy pay & benefits. Cruddy systems and the training preps you for pretty much nothing... Tons of MANDATORY OT and angry clients. No support from mgmt. Favoritism is rampant. Company is way behind the times. They make it impossible to actually help a client -- internal systems are always down and the website is not user friendly. Need a bunch of forms from client to do anything and processing team usually rejects it over the dumbest reasons -- that is absolutely ludicrous. The turnover rate of people quitting and getting fired was terrifying! They have $1 trillion in assets under mgmt but I have no idea how...90% of my calls were clients transferring assets away from T Rowe because they were fed up with the company! Half of my hiring class had left before we were on the floor for a month...There are plenty of other firms that are more suitable to work for. T Rowe will diminish your soul and amp up your anxiety.
bad,"I spent many years fighting for my place in a company where your gender and who you know is actually what matters. "
bad,Everything about this place is terrible. They will fire you on the spot with no warning. Extremely repetitive and boring job. Nothing technical about the helpdesk position. The only technical assistance you will be doing is password resets and browser troubleshooting.
bad,Very friendly atmosphere to work in.  Great cafeteria.  Great work place environment.  Friendly co-workers.  Great work hours. Great management. Clean Facilities.
bad,"It was run by a bunch of losers that did things the ""TRP way"" and never deviated from the norm for best practices. "
bad,I didn't enjoy my time here.  Success seemed to be based on being a social butterfly and pleasing everyone all the time.  When i look to the supervisors and managers that have been here a while they ALL look burnt out.  Not hard to see why.
bad,"Not a job for the person who puts family first, which is why the average employee is less than 25 years old. Overtime is mandatory and often demanded at the last minute."
bad,"techs are disposable and changed out every six months.Theres nothing you can do to keep this job.  When it slows down after tax season, they will let you go."
bad,OVERWORKED ! UNDERPAID!  Working here is a joke. They rope u in with all these promises and they tell you will learn about investing. They train you for two months only to have you get on the phones and unlock peoples online account passwords. Learning about mutual funds means nothing if you spend the day helping people trouble shoot their online passwords. Sounds like a job for IT or the help desk but it was forced on the reps in RIS. OVertime was frequent and sometimes there was not an advanced notice. That is very incosiderate. the turnover rate is extremly high. I was only there for a short time and I saw 3 managers come and leave the department. dont get roped in. T Rowe Price isnt all they say it is. 
bad,"Management is only concerned about the bottom line for stockholders. Implements unrealistic quality numbers for production. When you have more than 75% of your department on Performance plans, there is a problem. Management drives younger workers into management positions with no experience and burns them out within a year."
bad,"Nepotism.....be friends with the current supervisor to become the new supervisor when that person move on..... doesn't mean I have to be the best for the job, but I kissed enough a** type culture!"
bad,The home office seems diverse and full of opportunities. The Colorado office lacks significant diversity and it shows. The leadership lacks morals and integrity and it rolls down to employees. As a trainer I was told to hey rid of people fast before it gets too hard after they are trained. Leadership is self deserving. Employee turnover is at an all time high. Huge pay gaps.
bad,"The HR department is terrible at following the code of ethics as written in the employee handbook.  They allow team members to be harassed by their co-workers and managers with no repercussions.  They promote workplace hostility by violating your confidentiality when you do file a complaint against a co-worker.  "
bad,"This place is very bad.  All supervisors are young and never done it before.  They micro manage and have no clue as to how to do the job.  They discriminate against older people.  They do not promote on merit, it's who they like...reminded me of high school politics. They lie to you and expect you to take it with a smile.  If you speak up for yourself you get black listed and retaliated on."
bad,"if you have little to no work experience this place is good.  If you want a career change, this place is good.  if you are older avoid this place, they do not value outside experience.  everyone in management is young and in most cases their first run at it."
bad,"Worked at TRP in the RAM dept. for almost two years. Benefits were good but pay was not. Was told would not get a bonus the week before Christmas because I received a promotion earlier in the year. The promotion I earned was my bonus. Continued to add more complex work and responsibilities with no additional pay; in addition to adding more work,  they reduced our handle time in half. Almost no one could reach the ridiculous metrics, so you had to worry about being put on a performance improvement plan or losing your job. Lots of OT; worked 55 plus hours a week for four months straight. Management did a horrible job at staffing. People were leaving all the time-the culture and morale were terrible the last 6 months I was there. Worked the employees remaining into the ground-hey, but we got free pizza some OT nights. Maybe they could have allocated some money for addl employees.   Took 4 or more years to move up or out of RAM. even for the top performers in our department. Advancement opportunities were limited. Wouldn't recommend working or investing with TRP."
bad,I did not enjoy my time in RIS or PSG. You will work nonstop 8-6:30 every day and you are only allowed two breaks. This position required handling non-stop calls and there is little support from management. I was promoted to PSG where call volumes are lower but situations are more complex. I was also lied to when I was hired about taking the finra exams. Do not recommend.
bad,"In my department in plan race and weakness plays a big part of your day today.  I was accused of being a drug dealer because of my ""high-end clothes and car"" and I was told to seperate from the black people i started training with."
bad,"Culture of discrimination"
bad,"If you are part of the in crowd it is great, but the culture resembles that of the movie ""Mean Girls' jokes about being old or ancient than younger employees are common from the managers who are mostly 30 something."
bad,The time i spent employed with t rowe price were miserable to say the least . Management does not respect not appreciate the employees. Alot of favorites and not enough leaders
bad,The entire company is a scam. They get involved in your personal business which has nothing to do with your job duties. They work you like a dog until they no longer need you and the whole thing about being a diverse company is BS!!! I feel that the company is racist to a degree.
bad,"average place to work "
bad,out dated policies and unmotivated staff. they constantly are breaking anti discrimination laws and laugh about it. horrible environment and even worse culture. I d mot miss one min of working in this uncle sam corp.i dont have any more to say i hope this is the last sentence i have to write
bad,RAM dept over works you and people always call out because it’s stressful. They do not pay enough for what the work is and expect you to work overtime all the time and they don’t care about family. Supervisors lie to make themselves look good but don’t even know how to proper assist with and questions you have. Just don’t apply for a client service position
bad,Management not effective. Prefer not work in this environment. Limited advancement no ongoing training provided. Peers are good to work with.
bad,"This was the worst work experience in all my years of employment. The Baltimore location is simply a joke. The Sr. Admins are all ""Stepford Wives"" for the PMs & Analyst. They have absolutely no voice. The Admin Supervisors do not support their assigned Admins at all.  The PMs and Analyst are disrespectful and very uncaring. You're not recognized for ""a job well done"". It's basically, their way or the highway."
bad,"Help Desk full of Contractors trying to earn limited full Time spot. Environment is a little cut throat, with employees trying to throw others under the bus for a full time position that isn't available. They find reasons to get rid of contractors, so that they don't make it to the two-year mark and HAVE to hire that employee full time."
bad,Work is very repetitive and mundane; Some Associates are nice depending on who you support. But you report to an Administrative Manager and they are clueless about what you do and they don't have your best interest in mind. They will move you without notice.    Turnover is very high and the pay is not great.
bad,"Baltimore City's site is more favorable towards contractors.  if you are not an FTE at this site or Owings Mills, this job will not be the best place for you.  Contractors are treated unfairly in the operational-Owings Mills site."
bad,Going to work every Monday made me want to turn around and go home. Comp was on par but it was a stuffy and political culture. No room for advancement. Mid mgmt will be there forever
bad,"I would have expected more from a company like TRP, but they came across as very disorganized and unfocused.  Did not feel like I received the appropriate training for the responsibilities I was expected to perform and their metric system for evaluating your performance is questionable at best.  Could easily be argued that it not only puts unneeded stress on the employee attempting to handle calls but also create an uncomfortable and unfriendly customer experience since you had to be focused on how long you were on each call as that was one of the parameters used to judge your performance.  When questions arose with having an issue unsure of how to assist the customer it was very difficult or sometimes impossible to find someone that was more experienced to provide you with some guidance at the very least."
bad,"While they are trying to morph into a next generation company, they have a hands off ""ivory tower"" PMO - all systems are stove piped - quality control is piecemeal - like many companies, their path to the future is to fire the current staff. Hiring lots of contractors for big jobs / projects because they can't do it themselves & need to get rid of people so they can afford the new technology"
bad,"Various teams for the multiple platforms are not accustomed to working together.  Each team did their own project management which was not conducted in a consistent manner.  The EPMO was not considered to be an integral park of the project, which caused confusion and lack of accountability.  "
bad,Overtime is mandatory and unannounced. Expectations are often unclear and much is required for work that is regarded very little by other employers. Work is extremely time sensitive
bad,"Overtime overtime overtime, the people running this department don't use logic or common sense. They let go half the department who can't obtain a series 6, and 63 licenses but don't replace them. Meanwhile, calls are increased and mandatory overtime is getting scheduled. Working ten hour days with 30-minute lunches and getting watched like a hawk if you log off the phone. This is pure call center horrible I wouldn't recommend anyone coming to work for this department it was the worst time of my life here. Everyone is throwing everyone under the bus in order to move ahead, whatever you do, do not apply for financial services group or any phone group. You will be stuck in the position after your year is up"
bad,"The job is a great learning experience, but the excitement of working for TRP quickly loses its luster.  RAM is severely short-staffed, overworked, and ridiculously underpaid, supervisors are just as frustrated as the associates, and leadership is great about putting up a caring front without taking any real action and providing effective solutions."
bad,"From my perspective, it seemed the only avenue to promotion into leadership was to be a part of the crony crew. Most members of general management were very close friends, in some cases connections dating back to High School. Promotions seemed to be honored based on friendships and not previous professional experience or true talent.  Friendships and being a part of crony club should not be a compelling reason to promote an individual. These high school antics have contributed to my decision to seek employment in a professional environment, where promotions are based on merit and not likeability or one's ability to mesh with a homogenous group."
bad,"TRowePrice is a great company, unless you are in one of the customer service departments. They don't care about you as a person, just another person to answer calls. Advancement is very slim as they have only a few ""full-time"" slots that do not open often. Pay is ok, lower than average. You will work holidays, even if the rest of the company is closed (full-time and supervisors won't come in) because you're a contractor."
bad,"the jobs are repetitive enough that you can listen to  podcast and watch netflix, the hardest part of the job was realizing their was no upward path from my position."
bad,"Amenities on site are very nice. There is a great cafeteria and a decent gym. The insurance benefits are quite good as well."
bad,"This is a typical call center. You take between 50-70 calls per day and your time is tracked from the moment you enter the office to the time you leave. If you are looking for a financial service position where you actually learn and are developed as an associate, this is not the position for you. There is also mandatory overtime, so if you cannot handle an additional two hours of overtime each day, you should not apply for the position. Finally, if you are not a great test taker or you do not believe in your capabilities to obtain two licenses in about 6 weeks time, do not apply. If you cannot pass the exams you will be fired."
