rating,review
good,"I was in charge or payroll and scheduling, so I would be fairly busy all day. I learned about spreadsheets, computers, and my co-workers. Management was friendly. My co-workers were very helpful with any questions that I had about the job. Hardest part of the job was keeping all the employees' names straight. The part I loved most was interacting with all my co-workers."
good,Start the day with going straight to work at my position after asking the LOD where it would be best to start at. Learned to work fast and ensure the guests were happy. Management made sure to give breaks on time and encourage small achievements.
good,Great environment for learning new things. Learned a lot of different aspects of teamwork.
good,"A typical day at work will always start off at a fast pace. This is so that we can push all the merchandise onto the shelves by our set goal time which is usually an hour or so before opening. My co-workers are all hard working and devoted employees and we are watched over by very respectable and hardworking managers or Team Leaders. The hardest part of my job is the hours, but having hardworking people around you makes the time fly bye."
good,"Teaching consumers the facts about recovery in mental health.  I learned to facilitate a Wellness Recovery Action Plan (WRAP)."
good,"a typical day at work is helping customers with returns and also providing with information about our store handling cash and handling phone calls with customers that have issues, my co workers were great, the hardest part of my job was that the customer was not satisfied, the most enjoyable prt of the job was the interactions with my customers"
good,"See former review for additional information:"
good,"A typical day for me at work is meeting and greeting new people, while working at a fast, fun, and friendly pace. My managers and co-workers are lovely, respectful, honesty people. I love my Target team. The hardest part about my day would be dealing with liars and rude guest. The most enjoyable part, is working with some genuine and good people who has my best interest at heart."
good,"Load trucks "
good,they will mess up your schedule on purpose so they make you quit.
good,"Love working with my co-workers, easy to train new employees.."
good,"Responsible for replenishing all inventory on the floor once purchased by guests. Also aided guests in their search for specific items within the store and provided ""guest carry-out service"" if a customer required help getting merchandise into his or her car."
good,I love my my job at Target! The Management is very down-to-earth and the General Manager is always advocating for our personal development as team members. Cross-training is very competitive.
good,"Target is a wonderful environment for personal learning, growth, and development. Leadership at Target means providing and receiving continuous feedback on performance to develop an efficient, hard-working team that delivers on company goals and initiatives. Each day brings new changes, some more challenging than others, and requires leaders to be resilient and adaptable - capable of making intelligent decisions quickly and responsibly, while also considering the impact to the business and the team as a whole. "
good,"A typical day at work for target was stocking the shelves over night when items ran low. I would tag the items, make sure things were cleaned, and I made sure everything was done in a thoughtful organized fashion. The most enjoyable part of the job was interacting with the customers. I loved to help them with the things they could not find."
good,I loved working at the casino because it was fun and you get to meet many interesting people such as celebrities.
good,"Great people to work with! I've worked here for over a year now and it's had its ups and downs, but the reason why I've stayed here is because the people I work with are awesome. And sometimes the guests are awesome too. :)"
good,loved working & LEARNING different things here & the different types of personalitys
good,"Offer extensive knowledge in office. (Data Entry and retrieval, bookkeeping, file numerically, alphabetically or by color code, utilize most office machine equipment software, and phone systems."
good,"Target is a awesome place to work, the pay could be higher. Friendly people to work with."
good,A typical day as a Sales Associate was very enjoyable. The privilege to assist guest in their daily shopping was the most enjoyable. Providing knowledge to a customer gave them more trust and build a solid relationship.
