rating,review
good,"The job involved troubleshooting video and internet equipment remotely, Other duties were involved as needed. Company provide excellent training and management support. Hardest part of job was meeting all metric levels consistently and still effectively assist customers, The best part of job was helping said customers and receiving thank you,"
good,"Great place to work, I loved the atmosphere. Wonderful company to work for. Overall a very good experience. I learned a lot and grew as a person during my time here."
good,"I have learned that the best part of my job is working with the clients for bright house. I enjoy working with my co-workers, they will go above and beyond to help you out with an issue. Management has an open door policy and will work with you on any problem/concerns."
good,Worked behind a desk to help relieve customer pain by trouble shooting. Also helped the company by getting sales to new customers.
good,"Bright House networks is a great place to work. I worked overnight shift as point of contact for all agents, engineers, managers, directors and customer issues. Ran all processes pertaining to billing, payments, reports, printers and backups. I had a very supportive management team. All of my co-workers worked as a team and were always available for questions or concerns. The hardest part of my job was trying to pull information from callers when they didn't really know what their problem was. The most enjoyable part of my job was completing my nightly schedule with no issues and within time limits."
good,"TWC reminds me of a big family. A mixture of different cultures, religions and just good people. The benefits are awesome and so is management."
good,Great job if you are willing to work under a great amount of stress.  You are expected to do well and make little or no mistakes.  You need a thick skin to deal with angry customers and be able to find help through the tools taught to you in training class.
good,"a Typical day was meeting new people, going into their homes and installing a service of some kind"
good,"One of the best jobs I ever had. Too bad I had to relocate to Portland,Oregon to keep it. Wasn't feasible at the time with pregnant wife."
good,Time Warner has helped advance my career and offers a number of Networking opportunities that have allowed me to successfully add to my portfolio.
good,"My current job provides excellent learning opportunity and I developed my skills and experience in numerous different ways. While I already had some technical and customer service skills, I didn’t have any previous experience of operations and project management. When my employer re-established the Tap Audit department, they gave me the opportunity to undertake additional training so as to be able to work effectively with this. I was then able to put this training into practice on a day-to-day basis. I also learned a great deal about project management and teambuilding. My roles was sometimes customer so it was great to have the chance to develop this area of my experience."
good,"I enjoyed my time at the Call center for Brighthouse. This was my first time in a call center and felt that i learn a lot from working at one. I enjoyed being able to solve customers problems, and being able to turn around those difficult customers."
good,Working at Time Warner Cable was very fast pace and hectic. A typical day was filled with answering and troubleshooting customer's cable services. The hardest part of the job was learning every single system and how they could go wrong. The enjoyable part was the great co-workers and supervisors that I worked with.
good,"Issuing cable boxes,remotes,tools,etc to the field technivians i leanred to drive big trucks,and alot about cable boxes and how they work and hardest part was picking up loads enoyable parts driving the truck ."
good,Time Warner Cable is a great company to work for.  They promote from within and salaries are more than competitive in the Corporate group.  They care about the environment and about the community.
good,"extensive hours, must be flexible and never expect to go home at a specific time. lots of overtime!! "
good,"Great place to work, its ever changing so you must keep yourself up to date. Never have I had an issue with management or any other employees."
good,I enjoyed the work.   I made the production rate in an efficient and accurate manner.
good,"If your fear asking for the sale, this is the place that will motivate and help create a craft you will use for your entire sales career."
good,"My present employment is in Convergys Corporation its a BPO company. I handle Timewarnercable account which is based in USA."
good,It was a nice place to work at. in was a good environment. everything was good. the benefits were amazing. I had excellent co-workers
good,"The job involved troubleshooting video and internet equipment remotely, Other duties were involved as needed. Company provide excellent training and management support. Hardest part of job was meeting all metric levels consistently and still effectively assist customers, The best part of job was helping said customers and receiving thank you,"
good,"This position was face to face customer service and sales. I liked the fact that there were many people to interact with daily and consistant learning as the industry grew and changed. The draw back was sales quotas. It was an added stress that was often unnecessary as the agents made those totals anyway. "
good,"A typical work day consists of getting to your desk in time to get logged into your phone system and getting all your programs pulled up on your computer to better assist you in your daily functions and then the calls begin,everyday is a new challenge because every call is a different situation so you are always learning something new and challenging to make each and every day different in some way so even though your job may consist of doing the same thing each day your actions are very different from day to day and having a goal to work towards every day makes it challenging and competitive among yourself and your co-workers which helps to keep spirits high and everyone on there toes.The hardest part to the whole job is dealing with customers or potential customers that want nothing more than to take out there whole day of frustrations on you and you having to remain professional and remember its not you personally and may not even be the company that has frustrated them but our dialer system has put us as the ones that called at the wrong time to catch the frustrations at its peak moment.The most enjoyable part of the job is also in dealing with the very same customers or potential customers and you turn that whole conversation around and the customer ends the call with you having made them very happy and maybe even got a chuckle or two from this same individual."
good,"TWC is a great company to work for, but I feel it is time to find a job that I can stick with until retirement age. I have learned a lot from other technicians and customers. With this experience I hope to contribute to another companies success."
good,"Time Warner Cable has a unique atmosphere in the office, with a strong emphasis on customer service and doing the right thing, as well as trying to have some fun."
good,"Answering calls most  of the day, handle billing calls and IT calls"
good,overall.. very comfortable environment compensation was very lucrative
good,"Typically, my day would be busy throughout the day with program initiative commitments. However, I learned how to manage a major gift card program after the launch. And I enjoyed creating an analytical reporting system. My co-workers were a great group of professionals."
good,A typical day at Time Warner Cable involves interacting with customers who have questions and service issues with their accounts. This involved reviewing billing issues and solving service issues with their assigned equipment. I learned a lot about customers and delivering top-notch service. Management was always willing to help each agent develop to their fullest potential and grow with the company. My co-workers and myself learned from each other. We were always willing to help each other when there was an issue that one of us were unaware on how to solve. The hardest part of the job was learning how to quickly resolve any given issue. The most enjoyable part of the job was the challenge.
good,"I see so many people on here complaining about this job but I love what I do. Very good training and my supervisor gives me the tools and support to help me be successful. Hours are not bad and are flexible as long as you are performing. I get to know some really nice people everyday. Sure there are some jerks to deal with, just take them with a grain of salt and move on. Sure I have to work in the heat and at times bad weather but they pay very well as long as you perform. Awesome perks and benefits."
good,I was employed at BHN for 15 years.  It's a great place to work.
good,"Dealing with people wanting to quit services, move services to new addresses, sales, billing.  All day long work challenges to keep customers happy with their results of phone conversation.  Hardest part of job was required over time and not enough of a family/work fulfillment."
good,"They provided great discounts for cable & internet, 401k, tuition reimbursement, insurance, ect. Typical call center environment, hours were a little rough at first but, over time, seniority and stats helped in getting a better schedule. I didn't enjoy the mandated call flow, but again typical call center."
good,"call center assist customers with purchases, also assist with their television and computer services"
good,"Great place to work at, enjoyed the company as a whole and thought the benefits offers were tremendous, does need some management improvement as there seems to be a lack of management being on the same page."
good,"My typical day at work with Time Warner Cable consists of answering customer calls, opening trouble tickets and troubleshooting the cellular tower backhaul network as well as regular commercial customer services.  I've learned a lot about modern MPLS networking technology and Adva and Juniper routers.  The management is great, very easy going as well as my co-workers.  The hardest part of my job is trying to resolve difficult service issues for the customer, but it's a welcomed challenge.  The most enjoyable part of my job is working with the dynamic team at Time Warner Cable."
good,"Worked with a group of managers across the country to maximize sales by increasing motivation and teaching sales process to outside sales people.  On a daily basis, I held conference calls with my staff to determine best practices from seveal diffeent parts of the country,discussed sales strategies, headcount & recruiting, and marketing tactics."
good,"My time as a Material Handler was a pleasurable one.  I was able to meet new interesting people and learn a variety of skills which included but were not limited to becoming fork lift certified.  We put together orders of modems and cable boxes for contractors and off sites.  We loaded and unloaded large trucks and provided material for construction."
good,"•a typical day at work"
good,"I was there to help anyone that needed help from employees, to management, to customers.  I took escalated calls from customers who needed management assistance.  My job was to take care of the customer & make them happy or to solve their issues.  I enjoyed solving difficult issues.  Management worked as a team, which I learned was a very important challenge in working together.  A professional company.  A fair company."
good,"The job involved troubleshooting video and internet equipment remotely, Other duties were involved as needed. Company provide excellent training and management support. Hardest part of job was meeting all metric levels consistently and still effectively assist customers, The best part of job was helping said customers and receiving thank you,"
good,"A typical day at work usually consists of receiving incoming sales, billing and troubleshooting calls about cable products and services. I learned how to use my multitasking skills to be able to manage several systems and having to type at same time. The management here does everything they can to make their employees successful. My co workers are anywhere from 18-80 years old, easy to get along with and rarely complain about their work environment. The hardest part of my job is having to deal with back to back calls especially when 90% of the customers are upset. The most enjoyable part of my job is the fact that after only being here for 10 months I was able to be promoted to help train new hires."
good,This was my first job out of college and it's been a good experience. Great work culture and you cant beat the benefits.
good,"Provides stability, great benefits, and excellent career advancement."
good,"Great benefits."
good,"TWC is a great company, it is ever changing and challenging employees to strive to exceed expectations."
good,"the ability to earn bonuses, and learn the aspects of the company as a whole to provide services for the community."
good,"There is room for personal advancement, great leaders, work/life balance is great."
good,"A day at Time Warner Cable for the majority is very fast-paced. In my role, the Account Executives are my internal clients. I am constantly being asked to sit on calls with external clients, pull digital reports for campaigns and manage campaigns on day-to-day basis to ensure campaign effectiveness. My co-workers are a joy to work with. My 5-person digital team is very close and work really effective together. I am constantly learning from the team daily. The most enjoyable part of my job is when I am able to coach the Account Executives on digital campaigns and they are able to walk about with a better understanding. The hardest part of my job is being accountable for 20+ markets across the enterprise including Los Angeles and Hawaii being a huge part of that and not being able to work a full day with the team because of the times zones."
good,Dynamic place to work with a unique workforce.  Benefits are affordable and many options offered.  Great work/life balance with generous time off allowed.
good,"Take payments, helping customers with issues of bill, cable, and technical issues."
good,"Former Insight, Now TWC- I see the positive of TWC-lots of benefits for employees & pay if hard worker. The merger right now is hard in regards to atmosphere due to some not wanting to adjust."
good,"productive, interact with many customers via phone, laid back atmosphere,good team work,"
good,"I answered a minimum of 40+ calls per day."
good,I would always start my day off by scheduling appointments. After that i would go to see any appointments i had for the day. Once i finished up with my appointments i would ride around to scope out potential Clients.
good,A typical day at work is non stop calls coming into a que which does not allow you time for anything more than what you can do on a call for 7.5 hours. There is a Issue Trak ticket system for escalations so it does not allow the customer to know the anser right away on some issues and also hurts your FCR (first call resolution score) on your monthy report card. The numbers and statistics change from time to time and it is hard to get at the levels required to advance to another position. Also you are written up and put on a warning when you do not meet the numbers for a two month in a row period which could lead to termination within 6 months. It is a high pressured job.
good,"Benefits are excellent. Basic/classic TV services become are free, and internet gets boosted, upon request, to 2.0. Employees also enjoy a very nice healthcare package."
good,"Took incoming sales calls.Maintained and built our sales funnel with existing and new prospects. Manage communication with customers, schedulers, and construction teams via phone and email and messenger. Contributed in conference calls once a week. My co workers were awesome. No complaints. There was a management overhaul as i was brought in which left us without management for the first crucial month of employment. That was difficult to overcome. Making money working with good people and making meeting and exceeding customers needs is what made me happy."
good,"Working at TWC meant being part of a team.  A team where everyone knows everyone, and everyone helps everyone.  Come to work and be greeted by others in your team, take your seat and get ready for the day which will include fast paced calls from friendly customers, go to lunch with friends from work, then finish up your day."
good,Typical day at work is to be on the phone for eight hours. Co-workers are wonderful.
good,"I was responsible for supervising a team of 15 team-members, dealing with accounts receivable issues. We dealt with many customer service issues in researching and resolving customer disputes, billing, refunds, customer payments and credit card fraud. Our department supported many different departments within the company and the other divisions of TWC. "
good,"The job involved troubleshooting video and internet equipment remotely, Other duties were involved as needed. Company provide excellent training and management support. Hardest part of job was meeting all metric levels consistently and still effectively assist customers, The best part of job was helping said customers and receiving thank you,"
good,"Great benefits, great income. Alot of room for advancement"
good,"Very friendly atmosphere. Awesome Benefits, Discount on Cable, Internet and Phone.                                                                                                "
good,Timewaner Cable is a great company with outstanding benifits
good,"Job was very educational, great benefits and pay. Management was easy to work for. Would still be working there if they would not have closed the center."
good,"Team oriented, fast paced, ever changing because:"
good,Following the process is necessary....stress is an everyday event...overcoming is the challenge and is done with the strong leadership......
good,"Time Warner Cable offers a steady work environment.  The management is down to earth and cares about people and their jobs.  The time off is decent and the people are great.  "
good,A normal work day for an installer is driving to the customers house to install or upgrade services.
good,Great place to work with excellent benefits. Diverse work staff who are helpful and informative.
good,"My typical day was between 7am to 5pm. Had certain duties to complete daily which I did with 100% accuracy. My supervisors were great & allowed me to get my work done on a daily basis. My co-workers were also good, if needed help on anything just had to ask for help. The hardest thing about my job was, at times, I would over analysis issues to get them resolved. I enjoyed making sure that customers in-house & outside were happy and satisfied with the resolutions of their issues."
good,"Busy... Busy that was a typical day every day but i like it,working there i learn more how to work with computers and learning diagnostics and different programs. Management was good,co-workers were professional they new their job,real out going and friendly and respectable.Hardest part of the job it wasn't hard every time we get a new program they will train us real good or had classes or one on one training. I had fun working for the company and i do miss it and my co-workers..."
good,I take approximately 30-40 calls a day. I do alot of data entry from setting up new account for customers to fixing a problem a customer may call in for. The most enjoyable part of my job is when I have a customer tell me how excellent my customer service was and they wish I had a direct line so I could help them any time they need anything or had any questions.
good,"Very structured and professional work environment. Sufficient training and information provided to keep up to date. Very friendly co-workers and helpful. For me, sales is the most enjoyable part of the job."
good,Really a great company for a great sales person. You can make money very easy as long as you comply with the standards. Coworkers are all great.
good,"Company as a whole is a good company to work for, my call center is not very team oriented, although i was told it would be at time of hire. My days consists of using into multiple [order entry] systems while talking with customers. I assist with billing questions and claims, troubleshooting service matters, filing claims for damage reports, as well as organizing/scheduling for technicians to go to customers home. I hardly ever get the pleasure of working with my co-workers, but I am on a team of about 15 people under one supervisor. We have three managers who do not usually interact with the other Customer Care Professionals. The most enjoyable part of my day is knowing that I have assisted a customer through a problem that they were not able to resolve and making them feel better about the company as a whole. Tha hardest part of the day is explaining bill increases and changes to customers who do not agree with those changes. I try my best to assure them that we are not purposely trying to cause any hardship on them, but that we are simply moving forward with the business as a whole."
