rating,review
bad,"great job to work and great health care , but the management is terrible and will talk about you behind you're back , they have all there little pet people that they give reach arounds to . they give raises but the raises are based on if a customer calls back for anything , and I mean anything! you're percentage will be cut at the quarter raise time. then when you get a raise it will be 20 cents . no body will say anything because their all afraid to deal with management ."
bad,"you had to bid for your hours to get a shift.  If you did poorly you got a poor shift.  If you did great you got a great shift,  which i think is unfair"
bad,It's a corporate job which is simply not for me. The works i was given as a intern was very mundane and taught me nothing as far as the job was concerned.
bad,"we were over booked all the time, causing extra work for everyone. When extra work built up everyone had to stay over and work to clear backlog it was draining."
bad,"Hprrible company, boss, location, people, salary, products, bathrooms, lunch rooms, heirlooms, brooms, cars, trucks, and planes, lunch was cold, people were old"
bad,"A lack of consideration for clients."
bad,They changed the whole structure of the business model. Demoted people was able to keep pay but will no longer receive raises at the end of each year.
bad,This company is horrible to work for. They were better as time Warner and all the management people are unqualified. The pay was good and now we are being moved to bi weekly and commission has been reduced.
bad,this was the worst job to every work at maybe different now I would work for this place at all maybe be better now is has a different name I wouldn't work here
bad,"PM on several Compliance, security and Regulatory  and Internal Audit projects."
bad,"Nothing one of their ""employees"" on the low end of the totem pole could say to change their mind or make a difference. They are a greedy, money hungry, savage, unethical group of people and I would never consider working there again."
bad,"Have to complete a up on in 1 hour yet responsible for all the equipment and certifying house. Rarely got lunch or 15 minute break..Hardest part of the job was being blamed for repeat trouble call,that is not your faught. Example customer has internet only you fix problem and after you close job someone calls customer sales them tv package and tells them tech will be there tomorrow to install of you come and pick up equipment today. They then put in a repeat trouble call to rush job. Now previous tech gets a repeat counted against them. This hurts tech ranking and pay increase and possible and production write up."
bad,"This is the most unorganized company I have ever worked for. Policies & procedures change almost daily with no standardized roll out method. mandatory ot from one day to the next, change pay structure without notice, micromanaging at its worst!"
bad,"Very paper driven, outdated systems, poorly trained management. Be ready to teach your bosses excel basics and how to navigate through the databases - this will be 90% of  your job."
bad,"The management of the company is very poor, and they choose favorites and let it show. Not a good place to work. The managers there did not properly coach you on things and then write you up for things you were not coached on."
bad,My supervisor was the only reason I didn’t leave sooner than I did. Made some good friends but customers literally hate your guts. Explaining situations that you can’t control to people puts you in situations you shouldn’t be in. Field techs are literally just a number and are disposable.
bad,Great money but that’s about it. Super competitive and unable to advance unless you want to drink the kool-aid. I can also say there was no work/life balance.
bad,"Good salary, benefits."
bad,"Hands are tied while trying to assist and retain customers.  Service was constantly going out for customers as well as equipment failing.  Service refunds were at best POOR. Customer frustrations are felt by the employees, but the employees are powerless to do anything of value for the customers."
bad,Time Warner Media Sales gave me my first exposure to Peoplesoft.
bad,"Slashed salaries, slashed benefits, slashed giving a darn about the people who worked the hardest. Very PC, will hire to check boxes over experience and qualificatione"
bad,TWC/CHATTER never bring the sevice attitude back to company culture. Everybody is crazy on making sales instead of offering customer waht they really need.
bad,"Worse job I ever had. Constant turnover.  They cant RETAIN employees in Retention. Training really sucks. You can tell they prefer younger people."
bad,"get equipment do repair or install with sub par equipment . had short time to do them in after multiple repeats usually , learned that management cared very little about techs , and more about the numbers .culture was very stressful"
bad,"I worked at The CMI Group full-time (More than a year)"
bad,"Wasn't enough money and any good benefits for my family. Never talk about the problem we had truck driving, always made us go straight through with out a stop only for gas"
bad,"Local management doesn't have a clue on how to keep good people. Sometimes you spend so much time looking at numbers, you miss opportunities to cultivate good people. This was what I found to be true. Was much better company when they were Time Warner Cable."
bad,"This is a very competitive, money driven culture. The training is poor and the customer service is terrible. Management did not really care for you as a representative. If you are being spoken to in an abusive manner by a customer, you have to stay on the line and take it. This culture eventually causes the representatives to be abusive toward the customer."
bad,"This was an internship opportunity through the program Year Up. While the program was helpful in assisting me with computer knowledge and corporate business readiness, I did not enjoy the environment as it made me feel claustrophobic and trapped. The IT department that I worked with were great people and very laid back despite the stuck up surroundings. The rest of the company was full of very pretentious people and sour attitudes that made the job extremely unappealing. I was also given very little variety in my work and was given very little guidance in anything else."
bad,I was not happy with the work environment. The training was rigorous and unfair. The hours were lengthy and the shifts were unmanageable and did not promote family lifestyles.
bad,"Time Warner Cable was a wonderful company to work for.  Once Spectrum took over, everything changed.  Insurance cost too much and high copays made it impossible to use.  The company as a whole seems to care nothing for employees or customers"
bad,High stressful.  I worked in tech support and they wanted you to sell on top of everything. They had a scorecard on your performance. Some management didn't care.
bad,The only thing good about this company are the benefits. Management is so busy playing boss and riding the reps that you feel insignificant. No one has your back. Constantly making changes and your lucky if you find out two weeks later.
bad,It was fast paced overal calm setting. The team leads didn't to much to help unless you were in danger of not going by your scripts and your call level grade was low.
bad,"Senior management sought to add value to the lives of their subordinates, however middle management was less incline to follow suit."
good,"Time Warner Cable was a great company to work for, I especially loved the benefits they were awesome. I did not like working for charter communications ""Spectrum"" they expect too much and took away most of the perks and incentives. There are some very good supervisors and others that are horrible. A typical day is you taking calls back to back and assisting customers to the best of your ability  As long as you do that you will be ok. I can't say they are supportive at all if you become ill. You must absolutely meet your mark otherwise you are on a written, Other than that people are good and the place is a mostly good atmosphere."
good,"good work, no benefits , people are nice, management is ok, no room for advancement. overtime is good. must have own tools to work. no training, work all weekends"
good,it was stressful to try to meet all appointments  on time to do install and since I was getting paid commission not hourly it was worse can remember ever getting out on time from doing installs
good,I don't have anything to say about this company. The job I performed was advanced tech support. There was nothing super special about it and was treated as such.
good,Time Warner was a good company to eork for up until April of 2013 when they began the process of breakinh the union that had been eith them for over 30 years. This was done in an effort to sell the company.
good,"Meeting and missed meetings, too many meetings to manage most days.  This was the story of the day, You telling seasoned managers deadlines and they do not care or listen."
good,"The original job description for my job was looking for IT professionals.  Now it is run by non technical agents.  Metrics make no sense and the walls are very high and thick.  Benefits are great, hard to beat."
good,"It was a good place to work until it was merged by Spectrum who did not need our department of community affairs any longer. So, therefore, we were summarily let go."
good,Not a fun place to work.Your job was always under review daily.Basically job was about numbers.Management were always under scrutiny so in return so were the techs.The hardest part of the job was pleasing subscribers in the home.The most enjoyable times were leaving a subscribers home.
good,Time Warner was big into Micromanaging and tying your commission up in unrealistic goals. Very frustrating having worked for the prior company and had been very financially successful
good,"This is a very interesting company to work for to say the least. They do have awesome benefits but the scheduling I think causes an high turnover rate as well as the location and convenience of travel for those utilizing public transportation. management is very friendly but professional, Coworkers very helpful in assisting new hires."
good,Charter Communications is concerned only with profit and saturating the market in Upstate NY. Time Warner Legacy was a much more people orientated company.The marketing strategies are strong and well thought out.
good,"This was my first experience in doing a live broadcast. The roles included graphics, shooting a camera, setting up marketing material, setting up and tearing down production."
good,not much opportunity to advance at time warner cable they need better training and a firm management group need to be selected. as far as the monet and benefits go the packages are great.
good,It wasn't much to say about it. It was a job that you came in and did. I worked outbound sales so you knew the goal and you either achieved it or you didn't. I did feel they were unnecessary rules like dress codes. It was not a cust facing job. Felt company worried about the wrong things. They did have alot of incentives. It was ok for what it was.
good,"I worked as a technician in New York, NY for 4 years.  In the beginning of my career I could say that it was a great company to work for with great upward mobility in the future, and great benefits.  I worked in a union position.  The reason for the great pay and benefits was because of a union contract between the workers and the company.  I honestly believe that if this contract was not in place those benefits would cease to exist.  About halfway through my career with the company, the company started to fire all of the management that we worked with for what appeared to be no reason.  Next, they hired new management that was put in place for what seemed to be one reason.  To get rid of the union.  From this point on working for the company was miserable.  The management would try to write you up or get you suspended or fired for any little thing they could.  It got so bad that I would be in a miserable mood the moment I would punch in for work.  That is when I knew it was time to leave the company.  This was one of the best decisions in my life.  I have never looked back and I regret no part of this decision at all.  If you are reading this, please think long and hard before you work for a company like this."
good,"With the new management team, everything is rocky and very tedious. What used to be a Come to work and d-o your job is now filled with micro managers and metrics that has to be exceeded or else. They cut the pension and changed the health care plan to a lower more expensive one. However its not all horrible yet, there are still some good managers that you can rely on and they done breathe down your neck very 10 seconds for and update."
good,"a typical day of work was very stressful, I learned nothing, management was only focused on selling not how employees felt, culture was very diverse, the hardest part of the job was getting support from management"
good,"As with many companies, favoritism was rampant.  Company had brought in efficiency consultants and had no clue as to true customer service.  CEO was clueless on running a communication business."
good,Working at time Warner cable was a very good experience for me . I meet new people and learn every aspect of how the cable system works. I was able to move from a installer technician to now a lead fiber technician. Working at TWC for all these years I was able to make a better futur for me and my family
good,"With most of the company going through a transition from TWC to Charter, it has been one of change for employees and customers. "
good,"company does not care about you, they carter to baby sitting the techs and do not care about your opinion. they will let you go if you offend someone."
good,I enjoyed working for the biggest media company in the world it was enjoyable to be with my coworkers as we were able to work well with each other and work was fulfilling.
good,Not much to explain for this company. Regular 9-5. They had good benefits. The sales department was dissolved from the Colorado springs location. So it no longer exists.
good,a great place to work if you are good at sales. employees get free services and that is probably the best part. the job itself can be stressful at times. If you happen to get a good manager they will be there for you.sometimes the goals are unrealistic with the tools provided.
good,"this was typically a high paced in bound call center.  most people were calling with a complaint.  typically there was a problem with their service, a complaint about their bill or they every once in a while they were looking to move or add services.  Our job was to handle the initial concern.  If that was a service issue we attempted to fix it from our chair.  We toggled through our various systems sending out signals to reset the equipment.  If this didn't work a service call needed to be set up however we were encouraged to avoid this at all costs!  On every call we needed to transition to sales and pitch an upgrade of service to the customer allowing us to make a sale.  Our calls were graded and if the pitch was not made and/or not successful this put our job in jeopardy."
good,Good while I was there. Great people and a growing company back when I was there. Good leadership and mentors. Very diverse workforce. I miss the environment
good,when i got into work i would go get my signed truck then go get my stuff that i needed to complete jobs that were assigned to me.. what i like about the job i got to meet every nice people
good,"Time Warner provides an alright experience. when starting out there was not too much help from the manual given. there were a lot of customers who would coem with thesame complaints, showing the very common problems wtih the service."
good,Met some nice people and learned a great deal in accounts receivable department.  was there over 2 years and i loved the benefits and the hours.  will never be able to find another job that had the benefits that time warner had.
good,"It was a decent place to work, customer service inbound can be difficult. While it didn't last for me they were very understanding with medical issues."
good,Warner was fine.It paid the bills barely. but it had a good 401k which I heavily invested in which allowed the time to take a chance on myself. For that I will be forever grateful.
good,"You go home when the work is done. Not every house is the same, so some house take longer to complete then others. So you might miss your next appointment. That is when management get upset  and they rarely find you help. Some of the house you go in are bio hazards. This is not a friendly environment. The stress of trying to get done in time to make it home is impossible. If you cut corners you might  get done in time but then you have a repeat service call and you lose your pay raise. If you want to see what people are really like on a day to day bases , this is the job for you."
good,Supervisors not as helpful as I would like but overall a good place to work. Incentive is a plus. Lots of friendly people there willing to help in any manner possible.
good,I would only recommend this job for people who really like to hustle and lie a little bit just to make a dollar. The people are pretty cool but the company ethics are what I question.
good,The company has been bought by another firm and the management has had a complete turnover.  I don't see how any review by me would be worthwhile.  I liked working there but left when i was offered a better paying job.
good,"I learned a lot worked with a lot of great people learned about hot cuts sales teams, test and turn ups the culture was great the hardest part of the job was the shortness if the contract. the team work was great"
good,"I worked there in the early 2000's and at that time it was a fun place to be with a highly creative environment with fun perks.  Being an entertainment company, it was always busy and full of great surprises."
good,"Your typical call center - explaining billing issues, troubleshooting basic cable/internet issues, taking new orders, selling various products. Supervisors ok when you have no questions"
good,Good work place took contacts and did the job at hand in the best way that I could in a safe well maintained pace.     We did the construction part of putting fiber optic under ground or above ground on the poles as well as doing hard coax lines.       I worked in a crew and told others the job at hand and what all needed to be done in a professional manner as well as a safe one .
good,I was able to take classes to improve my pay.  I really thought that with the travel distances needed to be taken into consideration and not giving techs enough time to do their jobs propertly
