rating,review
bad,Horrible place to work because of management..they have no structure in chain of command everyone with s clip board wants to be a boss... Have people on management that has no clue of what is being ran.. They worry more on the quantity of parts instead of the quality of the parts.
bad,"I worked there from July til November and I only had 2-40 hr checks to come in. Most of the time you aren't working a full week. You either left early on Thursday and be off Friday or leave early on Friday. Unorganized management. Random drug test. They will do anything to get rid of you, if you aren't a favorite. You will come in working 1 position, but eventually they want you to be flexible and work multiple jobs only get paid for one."
bad,I really enjoyed working for them I wish the pay was a little bit more. I would have still been there if it was not for the high risk pregnancy. I loved all the people I worked with there.
bad,"Timken started out as an awesome place to work but became a horrible company. They have began layoffs over the last 4 months. They started out with 33 people, then went to 66, and now they have 2 more scheduled layoffs throughout the next 6 months which will be another 66 people. They lie to their employees about things like this. The week leading up to layoffs they will force in the layoff employees to work overtime to get to a point that will not put employees too far behind once the layoff begins."
bad,"They cut your hours back so they can outsource product so they can get a fat bonus. Besides management people you work with on the floor are awesome, and some even made go good for you."
bad,"Harassment covered by management.  Don't work here if you are female, have all teeth, and under 150 lbs.  Boys will be boys was the response I got.  Supervisors lie and.dont file your complaints. HR magically change facts on your complaints."
bad,"Entreprise inhumaine, hiérarchie incompétente, salaire et prime démotivants"
bad,"I was a good worker but I felt uncomfortable"
bad,"If you plan on applying here, I’ll give you one word don’t. Run away as fast as you can. Worst management ever! Don’t care about employees. All they want is numbers and parts out the door. Absolutely the worst HR department in the entire universe."
bad,"Not a very rewarding place to work, not great management.  Seem to try to trip people up and then hammer them for tripping up.  Mandatory weekends on the floor for a couple years even when no work is available has burned out the people on the floor."
bad,"This place is no longer open...."
bad,I am tried of being there to fix nobody has a back broke to draw a line in the and  say this is how we do it we are all waiting for corporate to close the doors
bad,"They over work you and don’t care! I was sick, passing blood when I worked there. I told supervisors and they didn’t care. Terrible place to work at. I wouldn’t tell my enemy to work there."
bad,"extremely bad people , and management and supervisors, Management and supervisors have  family working at Timken and is putting them first above everyone"
bad,"If you are one of the bosses favorites you have it made. They have rules that apply to some but not others. Managers lie to you on a daily basis.  They give you raises every year but increase your health insurance so much that it negates your raise and you end up making less.  They post job openings and tell you that you have a fair shot at getting the job when you have no shot at all.  It's usually a bosses friend or relative that ends up getting the job. Pay is low except if you are one of bosses favorites, if you are you have it made."
bad,"Nothing good t say about Timken. The management is poor, racist, show no appreciation for their employees. Favoritism is shown on every level. Does not recommend this company to anyone."
bad,"Work 7 days per week ,plus more than 8 hours per day."
