rating,review
bad,"Low morale, lack of support from management, lack of purposeful work at times.  Some work was not used.  Work life balance was decent.  I dont really support their mission of building mcmansions on farmland."
bad,Terrible experience liars and cheats promise advancements that don’t happen cover up workplace accidents steal from their vendors and place pressure on warranty to fine vendors or offer blackmail
bad,"Toll Brother's does not train, they have employees that hate working there train new employees but they are so scared of losing their job they only teach you the basics. The manager i had micromanaged only me, and showed favoritism towards my fellow co-worker that would talk about them but kiss butt every chance she had. I would definitely not recommend this just to anybody."
bad,A complete overhaul is needed to make the division effective.  System is comprised of nepotism and politics.  Competent people see this and leave knowing they don't want to waste their time.
bad,On the property mgt side of toll apt group... very disorganized. Property falling apart they spend no money on maintains occupied units. I was the 6/7th property manager in less than a years time.
bad,"The coworkers were snotty and demeaning. My boos was unavailable and rude.  They were judgemental and nasty people. The product sold like hotcakes, very well thought out and marketed."
bad,This company never promotes within they always hire out. They don''t give you the opportunity for growth. They also do not like to give raises. They are horrible at training and quick to fire people even if it is 3 days before Christmas. If you do not have goals or don't like change this the place. But if I you want an opportunity for growth in a company I would not recommend this company. They have great benefits but you may not be employed long enough to enjoy them. They will over work you and under pay you.
bad,"The culture at Toll is at best...lousy.  They don't care about customer concerns and care even less about their employees concerns."
bad,"I was hired as a loan officer at the horsham pa office. Was mislead on how much average loan officers make. The way they do business is very outdated. They were still sending out hard copy disclosure packages. Compensation is very loan compared to any other mortgage company. "
bad,They need to learn to accept feedback from employees when asked and not retaliate against them when they offer the feedback.
bad,"Working on a golf course for toll brothers not the best idea.  They may take care of some of their employees but in the golf maintenance dept they leave us hanging.  A billion dollar company should be able to provide full paid holidays...you would think.  Here at toll brothers we get 6 hours for 5 major holidays.  6 hours for Christmas and new years?   Really?  Who pays there employees 6 hours for a holiday?  So if we want a while day off for Christmas was have to use our own paid time off.  How is that even fair?  We work 5 days a week usually 6 for this company and they can't even manage to give us a whole paid day off on a holiday?  So I worm all year for what exactly to save my own paid time off so I can have a normal holiday?  Do we get overtime for working the holiday..."
bad,Don't bother unless you want to be miserable...im sure each location is different but it was a very CLICK environment. And LACK of direction from management.
bad,Interviewed here worst experience I have ever had. HR department extremely unprofessional. If you are an  experience LO look else where this is not a good place to work for loan originators.
bad,"I transferred to the Orlando branch and it was a terrible, unprofessional experience. I loved working for the company at my previous location and transferred highly referred from collegues there and collegues in the corporate office. I was extremely disappointed in how I was treated by the Orlando team and would not recommend working for them. Not to mention my salary and transfer negotiations were less than half of what I was making with the company up north. Unprofessional people with no regard for good employees."
bad,"This was not a good experience for me when I worked here.  There is a lot of favoritism and no room for advacement.  If your not in the corporate click, you can forget about being promoted."
bad,"Very Corporate! Relaxed worked environment, culture is golf club membership/ club house. Very tight blue collar networking  system, they hire people that fits the companies image."
bad,"I gave 10 dedicated years of my life to Toll Brothers as a management salaried employee. While off on a serious medical leave I received a letter that stated they could no longer hold my position. When I called to enquire about this and ask for some sort of severance package I was told the decision was made not to offer me one. In the 10 years I was with the company I don't recall ever hearing of a salary employee being let go without a severance package of some sort."
bad,"There were some amazing perks and great potential to be a fun and productive environment.  Unfortunately, lack of strong management, as well as clueless management sapped all of that.  Sales was in charge of processing, and people who had never processed a file were telling you what to do.  Favoritism was rampant.  Work/life balance was the lowest priority."
