rating,review
bad,Management management management. Straight out of high school. Wages not fair. No advancement unless you're friends with them. High turn over rate. STAY OUT OF THERE!!!
bad,"I have been with this company just over 2 years, no matter how hard you work there’s no progression no support unless they like you! "
bad,Terrible place to work. You can do better. They don't care about you or anything about your life. They pay is terrible for what you're dealing with. Rare chances to move up. Don't even bother with this place.
bad,this company profits off its employees but treat the employees like the bottom of a trash can  . Tsys corporate ridge services several banks customer services they allow there employees to be called racial slurs and when you ask is the client aware they make excuses to try to keep docile if they feel like you are a potential threat they not pick and try to do everything to get you fired
bad,Do not work here they suck seriously. They really don’t care about temporary workers and they will work you to death then be like we dint need you no more
bad,"I have been at this Place over 3 years and its awful. I'm only here to pay my bills. I once thought the benefits were amazing but at this point, those are not even worth the stress. No job security. Micro manage, stuck to a cube all day w/ 3 short breaks, NO way to reach your family if emergency arises. If you have a family, forget about it, They don't care. Child sick? Tuff! Im very easy to please, but this is not it, I promise. It was an ok Job a few years ago, Now Its just a cold building no communication with back to back calls. EVERYONE hate it"
bad,"Long hours, poor pay, one of the worst company I have worked for, not much variety, very boring job."
bad,"Theres a 4 week training, which is good you do learn quite a lot, you get given tests you get 3 attempts if you don't pass they sack you. What you learn in training is different to what you learn when you get on your teams because they don't train you on everything. When you call listen it does help but does not help as much. When you go onto your teams management and supervisiors will only help you for 3 months approx then after you will be on your own. You would have to call through to a different line even though you have called a millions of times there response will be ""have you checked but have you checked though just follow the process"" even if you follow the process it is still not going to help because customers want a full explanation you can't expect someone to check then not find there answer by checking millions of time like you serious? only 5 will go out of there way in helping you find the answer the rest of them won't which is bad because you end up getting feedback but thats there fault for not helping you were not robots at the end of the day we are all human were going to make mistakes. You get put on a PIP (performance improvement plan) if you make mistakes and if you get lots of feedback because they think that if you have been there longer you should already know and should not constantly make mistakes but at the end of the day they need to realise that we gonna make mistakes reguardless everybody learns. if you get a PIP then eventually leads to a dismissal goes to HR management and HR back chat about you then they sack you in some cases I have seen it"
bad,"Training is for 4 weeks if on the job description it has 5 they are lying it is actually 4 weeks. training you learn quiet a lot and you have to do tests, you get 3 attempts if you fail all 3 they SACK you. which is unfair on others. you then call listen on week 2 and one of the grad bay leads is very sly and very dishonest. you then go back in to train for the 3rd week and they put you on the phone. they seem helpful to begin with but then once you join your team it is completely a new world. managers will help you for 3 months and then totally single you out. youl start to notice alot of favouritism amongsts managers TL and colleagues. some of the agents are fake theyl be nice to you but then bad mouth you behind your backs. it is very unprofessional they dont even follow ACAS guidelines. if your ill they wont send you home and your expected to work and even if its excruciating you wont get to go home. they go against GDPR rules in a workplace. so if your on sick for more than 4 days and go back into work you get put on AIP (Attendance Improvement Plan). managers back chat about you to other managers. only 3 managers are genuine rest are not. they brain wash you into thinking that it is a great place to work but when you settle in for over a year you start to realise that it is not all what it seems. it feels like your back at school. you get blamed for another agents error. you can not trust anyone but yourself. they nit pick at the smallest things. you dont get rewarded if your not managers faviroute and they will bully you. you suffer from lack of confidence and self-esteem"
bad,This work place treats workers unfairly. Training is good however when you do your tests you get 3 attempts if you fail 3 times they sack you which is unfair. once you join your teams its completely different its alot different from what you learnt in training like you start learning new things that you didn't know. They put you on  ( attendence improvement plan) if you go on sick and then when you come back they will then put you on the attendance improvement plan. Also if you are in pain or are in any excruciating life threating pain they will not send you home your expected to work and they don't care.  when asking for help you have to call somone to help there is only 4 that will help the rest of them are like have you checked. even though you have checked it millions of times they do not help what so ever. even if you do not know how to advise a customer they say that we should already know. there the expert so they should know and actually help but they don't. theres only few that will go out of there way in helping. there is only few decent managers in that place the rest of them are all fake. when it comes to management they have lots of favourites and they will help them so if you want to progress you can't really progress unless your there favourite and if your not there favourite then when you try an apply internal into a different department the chances of you getting there is 0 unless your there favourite but you have to do a lot to be there favourite which is unfair. some managers puts you on disciplinary unecessarily it can be avoided but some people in that place
bad,"Horrible management,"
bad,"I enjoyed my seven years there at TSYS."
bad,"Very bad management, stay away from this company. Management is biased and no room what-so-ever for learning. Micromanagement is rampant. Team cohesion is no existent. Stay away."
bad,"No work life balance, poor management and leadership, no room for progression. Seniority does not mean you are doing the best job. Pay sucks! Not flexible. Childcare faculty sucks. STAY AWAY FROM THIS PLACE!!!!! VERY UNORGANIZED AND RETALIATION IF OPINION IS VOICED"
bad,"Management is poor. Policies and procedures are poor. The company as a whole is horrible. Too many chiefs, not enough Indians. Too much favoritism. Manager did whatever they wanted. Didn’t care to help you. Only want to bash you for what you do."
bad,"Honestly the worst employer ever!! They promise a lot of benefits but actually give  none! Also, management is awfully miserable and you get customers swearing and shouting at you all day & you wonder if it's really worth it for how much you get paid. "
bad,"Over worked and underpaid, with constant shouting to get back on the phone at the agents. The management give no motivations and they are worn out from the constant stress from the operations managers. Poor attention to the mental well  being of the agents and the pressure they get put under to meet the targets. If the targets aren't met your put in the 'refresher zone' with no actual support to help you improve from the mistakes you have made. Pay is awful especially with the recent decision to cancel overtime rate from time and a half to standard rate, leaving a lot of people now struggling financially. Not offering progression to any of their staff as they would rather higher people that they have previously worked with then the people with the knowledge of the floor and the brand. Bad quality work life that trickles outside, if you want to stay happy and have a social life then avoid at all costs!!!"
bad,"I temped there and they do everything to destroy your creativity and push you down. Their entire culture is based on finding errors and having you do something over and over and over again. They tell you to use this or that template, then find errors on the template that you didn't even touch. They must get paid for every issue they find. Only work there as a designer if you really hate yourself and want to feel worse about yourself every day."
bad,"I was set up to fail at this location because the person who was in charge of helping me understand the operations, failed to do so , then he left for another location. the person in charge of instructing me on the paperwork and operations, kept telling me he would show me soon."
bad,Place was horrendous as they didn't have no balance and social life was out the window. They slate you for anything and will say progression is key but it is not and just a total waste of time
bad,"Poor wages, many issues to try and tackle as a manager, no support or training, majority of the staff are young and unprofessional. They expect you to do the job of 6 for the pay of not even one"
bad,"Not a job worth taking!"
bad,"Too many changes, not enough communication and lack of leadership. Industry is interesting and from that perspective you can learn a lot which is fun."
bad,"Working is very stressful environment with the calls and ques, but the hardest and most stressful part is knowing that management doesn't value the work you are doing and see you as a robot that can easily be replaced if a concern or point is expressed."
bad,To start with you have to do around 5 weeks training the Male trainer I had was very set in his ways and didn't like to answer and question and when he did most of the time it would be I don't no and then it wasn't needed. He had the whole class not ask any question but then got annoyed because he would finish quicker. There are a few tests to do but once again if you finish really quick he gets really angry and same if you go to slow he wasnt a good trainer and made the whole experience horrible for everybody. It is a case if your face fits you will do fine of not don't bother stay long a lot of people do leave that's why they are always have jobs going here. The only good thing I found was the lunch they have some really good food and the location.
