rating,review
good,"Good place but went Bankrupt."
good,Was a fun place to work. Will miss the novelty of business. Great place to interact with customers. Have watched many children grow up as a Toys R Us kid!
good,"Before the downfall of Toys r us, It was a great place to work. I loved my job and always 100++++%. A typical day of work would be answering and follow up with overseas emails, going through approval submits and pre pro samples and advise vendors., consulting in fit sessions, checking production."
good,"I worked at toys r us for 17 years ,as the times got tough so did the hours most people had to perform 2 peoples jobs daily and was very tiring.the people where great"
good,"A typical day at work is getting stuff done but still having time to relax and not run around the store helping customers, I've learned to always do my best to satisfy customers even if it means going out your way. The hardest part of the job would be keeping your calm while customers can get pretty upset and become verbally abusive."
good,"Toys R Us has a great management team, all of whom are trying their best to help you learn & grow; all the way from Executive Directors to your supervisor. as an IE, i worked on various projects, allowing me to learn many different tasks. The culture at the DC level changed for the better since 2017; they are more accepting of support/engineering and work together to achieve greatness."
good,I did enjoy my time spent at Toys R us. I would go back to the job if given the chance. The people around you were friendly and the job was pretty easy for the most part. The most difficult thing was probably difficult customers or orders but it was all worth it.
good,Over time wasnt really an option. A few managers were a problem very difficult to work with. Comfortable work shoes are needed.the environment is so much fun who doesn’t like working in a toy store!
good,"I Learned how to stock the merchandise, scan in orders , work the cash register. But it was kind of difficult but as I were their I had people to guide me threw everything I need to know."
good,Cool place to work if you are a teenager or college student in need of part-time work. They are extremely flexible with your schedule and will definitely work around school schedule.
good,"Typical day working here depends on the day of the week and the season of time ( during the week very slow calm work , during the weekend very busy ) during seasonal time ( Christmas) very very busy"
good,"I enjoy working at TRU. They’re a lovely caring company. They not only care about the customers, they care and look out for their employees. Easily one of the best jobs and set of management I have ever had."
good,Nice place great co workers flexible hours seasonal is a busy time but enjoy the extra work . Big fan of toys so is a great fit. Customers are usually wonderful n patient during busy times . Store runs smoothly
good,I loved working here at this company they makw you feel like part of the toys r us fam. I would go back if i could to get a full time at this place only cauae i love toys but mainly cauas its a wonderful place to work.
good,Cleaning the store was a hassle. You were unable to leave until every section was clean. Being that it was a toy store things would be everywhere. It was great.
good,My job experience at Toys R Us Great it was very laid back. I loved the environment and the coworkers. Everyone had a great attitude and i love the customers. Even though the job paid little it was still a good job.
good,"WOrking at toysurs was not bad. Managers were not the ebs. But, the sales associates I worked with made the job fun. I would not try being a manager, though."
good,i enjoyed my job everyday. you keep to great smiling faces everyday of soon to be parents or parents already. Its fun to shower the parents around help them find what they need in the store. i learned every department that way if any other departments needed help I could help.
good,"Great place to work - but every company has room for improvement:"
good,"A typical day at work would consist of you coming in and getting straight to work. Around the Christmas holiday work was very hectic, from customers messing up aisles as you clean them to running around the store looking for items, I enjoyed working during the holiday season because I never got bored and I was always up on my feet. The hardest part of the job is you work long hours and your breaks are not very long. Although, the most enjoyable part of the job is having direct contact with customers and helping them make the best shopping decisions."
good,Other than empty promises by upper management regarding job advances and the change in management I thoroughly enjoyed working for this company. I am an adult child so I felt very at home surrounded by toys and electronics.
good,Very simple and minimal tasks to perform during the day. I was responsible for cash handling and placing new releases out on the shelves. It was a stress free environment.
good,"Good place for a seasonal job,  I really likes the people I was working along side of. the drive was a little father than I liked but it was worth the fun face paced environment."
good,"Typical first job in high school. Great place to work, fun and great people. There is a chance to move up pin the company and they always award their staff."
good,"Have a meeting at the beginning of the shift that tells you what your doing today and what needs to get done."
good,"In my 8.5 years at the ToysRUs office, I was able to collaborate daily with both peers within the Operations department and other cross-functional groups. This gave me insight to several areas of the business.  I furthered my knowledge of communication, presenting and project management.  Over the last few years, the culture seemed to be changing for the positive with an emphasis on work/life balance, work environment, and overall morale.  As is the case with several retail organizations, the current state of e-commerce made success for brick & mortar increasingly difficult.  In my position, this was not easy to directly affect but I looked for things that could help our stores focus more on the customer versus store processes.  The people I worked with made every day a positive work experience.  Coworkers with a balance of diligence and humanity were easily the best part of my time at ToysRUs."
good,I leaned how  to ship and receive the proper way. This was to customers homes and to different stores.ialso learned how to stock properly and input quarterly numbers.
good,"A diverse workforce that taught me much about communication, tolerance, and work ethics. Was very sorry to leave. My immediate security supervisor and regional security director were top notch at teaching by example. It was my privilege to work for them."
good,El buen trabajo en equipo y buen ambiente laboral.
good,"I Love Working hard unloading trucks with 35-50,000 pieces , Toys R Us provides great products for children and those alike. Working there was indeed fun: only because of the workers around me. Work was otherwise rather tough and seemingly one sided because those who are available at night usually close, which is much harder than working in the day. Compensation does not vary on that, however that is the way the cookie crumbles. The management did a good job with filling me into my position and teaching me the things I had to know. However other than that, it wasn't the most enjoyable experience."
good,Approachable management who were clear and decisive in their instructions. Also allowed for run during restocking and when packing up and setting up the store.
good,"Nice place to work, lots of friendly customers and fun place to be! Great benefits and always exciting to come to work and be yourself, Management was good."
good,All around great place to work.Employees always helpful when other employees ask each other questions. I merchandised the action figure aisles and was always trusted to alter planograms when I needed to..
