rating,review
bad,The management and Human Resources department is a complete failure at that site. Fellow employees are what you will miss the most out of that place. However the pay rate is not worth the stress.
bad,"This is a gehetto place with no benefits.the owners will hire anybody.it didn't take long to see.thet never have coverage.you will be stuck with all the work.no time off because you gotta find your own coverage."
bad,You have no place here if you don't plan on banging the back of your head on the underside of the managers desks. Biggest bunch of liars I've met in my life.
bad,"Very good company but this location is full of Africans and if you not a butt kisser  "
bad,/management poor management/ lack of experience educated arrogant closed mind no leadership skills  !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
bad,"Their human resources people must have applied on their knees, because as far as their job duties are concerned, they are useless. Management cares nothing for their employees. I saw people promoted that barely deserved a job, and talent unappreciated. Good people walking out after years of hard work because of the lack of appreciation."
bad,Managers know nothing and listen to nothing. They have stupid problems that they don’t fix because they are too busy licking boots and the entire place is driven by egos that walk around with an undeserved since of accomplishment. The place is nothing but an annoying headache. Not worth the time or energy.
bad,I worked here 14 years and made a lot of money. I was laid off twice and out 5 months for strike one year. I had vehicles repossessed and a home foreclosed on due to corporate instability. Not a nice company to their employees employees
bad,"Triumph is a place that'll beg you to work many hours, then the moment you have something to do they treat you as if you don't care about the company."
bad,"Management is embarrassing."
bad,"Used to love my job, but after the last year and a half to two years there has been a significant downturn with a majority of it being a high turnover. The rest is the management has great ideas, that we have tried in the past but are not wanting to hear its people."
bad,"Benefits used to be competitive, but now insurance is extremely expensive for subpar coverage. Rarely gives good raises to those on the floor, despite boasting record sales. Typically work 6 days a week, sometimes 7, with no thanks or recognition."
bad,The hours and pay were good as far as everything else i would not reccomend this place to any mechanic the turnaround rate was high management was focused on how they looked and not how the company was ran no one showed you anything they throw you out to the sharks and expect you to produce highly with no training
bad,"They took on too much work from Lockheed without being staffed up for it - I don't know what the drug deal was that went down before I came to work there, but when I was not able to pick up the pieces of their mis-guided deal I was shown the door.  What a screwed-up place this is.  Too bad!"
bad,"company is losing money therefore everything is difficult. All expenditures are watched to the point of shutting down operations, because simply suppliers are not there."
bad,"I applied to multiple job openings, for most of which I had over 70% of the required skills and education."
bad,not organized and very unfair towards employees that were no their favorites. Not a good place for educated employees to thrive and advance. Poor management
bad,Don’t work here. Management is terrible. Quality is terrible. Pay is bad. People are lazy. It’s not worth the headache. It’s a very stressful. Need more money.
bad,This company is very unprofessional. We did not get paid on time. At times management did not seem like they knew what was going on. When the company decided to leave the location they told everyone on the last day before they shut the doors.
bad,"Never know what hours I will be working,where I will be working etc. Money is good ,but moral is bad,people are not treated equally."
bad,"Great place to work. Good benefits, great people. lots of overtime was required to get the job done. We were just a small business acquired with a larger number of bigger companies that did the same processes as we did. Corporate thought it we be best to merge some of the smaller businesses with the larger ones, and ours was one of those businesses that was combined, leaving a lot of displaced workers."
bad,"Poor management, poor business decisions, terrible communication between management, HR and employees. Scheduling is rigid, part delays are blamed on employees. Overtime is either limited, absent completely or mandatory. No operational balance."
bad,"Pésima empresa en todos los sentidos,  ambiente laboral discriminatorio, prestaciones bajas,  oportunidades de empleo para la gente lambiscona y no para la que tiene aptitudes, actitudes, perfiles y  conocimiento. Sueldo bajo."
bad,I have worked for Northrop Grumman aircraft for 7.5 years but name has changed 4 times as an aircraft mechanic and inspector.
bad,This is by far the worst company I've ever seen. They will literally not pay you. Like they will just not send you a pay check or your paycheck will bounce. You will work 80 hours and get paid for 10. You will NOT get paid commission because they will find every reason on planet earth not to pay you. They break labor laws left and right. It's a horrible place to work.
bad,"poor management,causing unhappy employees....poor moral,owners are more concered buying companies for the contracts ..and do not care about the employees or there jobs...nothing but bean counters"
bad,The company at its center only cares about revenue and not the service it provides. Negligence is common especially in salary to the employees. It is not rare to be paid incorrectly or late.
bad,It Has been over a year that I have worked for this company. I have tried countless times and still come up fruitless trying to receive payment from my 3 months there. I have had a lawyer get in touch with them and after one year they still have not been in touch with me or compensated me for the work I did for them.
bad,There are some really great people working for the company. I think the management would have to change in order for this to be the awesome a company. I would like to see that change
bad,"The culture is terrible. Bunch of back stabbers. Management has no idea what is going on and are a biggest part of the problem. No paperwork or work instructions to do your job. No engineers to help."
bad,"Company is not financially stable and current leadership has not been able to turn it around in more then 3 years, stock prices continue to fall.  No ones job is secure."
bad,"Typical day begins with a morning meeting letting us know how far behind master schedule we are but cannot show the numbers to back this, even though not 1 shipment has missed scheduled ship date. I learned how to keep my head down and try to make it through the workday."
bad,Disappointing management of this company. There was no lack of opportunities to improve but lack of vision and shortsightedness keeps this company down
bad,Director of contracts is a nasty person. You are set up to fail. Little to no training. Co-workers are so busy trying to save their jobs that they can't take the time to help. Too many responsibilities are dumped on new people with zero help from leadership.
bad,No leadership lack of leadership bad pay scale did I say no leadership ? Would not recommend working there if you need to make good money for hard work
bad,let me put it this way they pick and choose who they want to do wrong by management no matter how long you work there or how good of a employee you were
bad,"Get the money walking in or get .25 cents average/year there after. Terrible management team. Always yelling, sceaming about stupid stuff. Make you work on Sunday without telling you ahead of time.   If you don't have to don't work there.  Most employees hates their job because of managers.   If you want oldtime jobshop mentality then it is for you."
bad,"I worked for this company for 30 years. Most of my time was spent looking for the proper tools due to a lack of inventory & troubleshooting the work performed the day before due to the inexperience of the shop floor mechanics, who seem not to understand the basics of building aircraft. I learned lean six sigma & process control are valuable tools in any manufacturing operations. My co-workers are great, they thirst for knowledge however the mid-level and upper management lacks the experience & leadership skills required to enable their crew to succeed. Nepotism is rampant in this company. The hardest part of the job was performing Root Cause Corrective Action on non-conformance as most issues not only had a Root Cause but many contributing causes. They have created a culture of build the part first, then look at the specifications to see if they built it correctly. The most enjoyable part of this job was reaching my thirty years, even though my pension froze & they require me to work six more years before I can draw my pension."
bad,This company was recently purchased and is in the midst of a complete overhaul.
