rating,review
good,The job itself is fairly challenging. Overall and great experience  You meet people of all kinds and even though hours are crazy at times the job itself is solid
good,"Working for UPS is a fast paced friendly place. Always doing something different daily.  Work loads vary from day to day which makes for an exciting job. Always great customer service, when a customer has a problem you are able to handle it with the tools of your job. Depending on work load, depends on how many stops you would have during the day, so daily you are usually changing your routine.  If you enjoy being outdoors, being fast paced and having great customer service skills UPS is a place you would appreciate."
good,making sure packages made it to there destination on time was very important especially at peak season and using as much space inside of trailers was useful.
good,It takes a long time to be full-time that is what i had problems with if i was full-time i would still be there working i was starting a family and i need
good,"I liked the job personally, I wish I could have gotten the permanent position but the job position was only seasonal. I was closer to my house, hours were flexible , extra hours were not mandatory ."
good,UPS is a great place to work they love to promote in house and make all is well with there employee by renewing there union contract to fit the employee
good,I would like to work for UPS because of the Part Time hours and company benefits. I would like to be @ UPS to work and learn something different every day.
good,It is very hard work but the pay and benefits are. The potiential to move up is great. Job security is great once you get past the probation period and the hourly pay for overtime is geat.
good,UPS cares about their employees and the truck routes and daily routines are always the same so it is all about memorization and repeating the same thing every day. fairly easy
good,"Once I left the building, I was on my own to get packages off. People were happy to see the brown truck pull up to their house and see me. The reason I left is because I got weary of the constant pull between the union and company."
good,Be ready to conduct focused and productive work.  Strategic thinking with a customer focus.  Learn and apply the value that UPS brings to market in order to share a collaborative as well as compelling value proposition to each and every opportunity that is presented.
good,"Teamwork , I love the friendly safe work environment that was provided to me . Love the benefits that job had to offer like helping with job tuition and giving us yearly bonuses."
good,Awesome place to work and learning skills of loading.Great environment to learn the necessities of loading and managing and load..Career advancements likely if you pursue!
good,"The people made it a good experience to work in the warehouse. The work wasn’t hard and the hours were fantastic. I wouldn’t be sore after work, so I could go back the next day and work just as hard or harder."
good,"UPS is a great company to work for,  you have every opportunity to raise in, if you're willing to put in the work. The pay is good compared to other jobs"
good,"You can work at your own pace. They do have a quota for you to try to reach, but most people don't. I made $9,000 in 2 months. I recommend it. Just make sure to show up and work hard. Dont slack off like any other job."
good,Holiday hours are great with a lot of overtime. Change to grow in the company moving from loader or Unloader to someday the foreman ..the great part about it I'd the benefits its a plus
good,Loaded and unloaded boxes and bags from 25-75 pounds correctly and safely in order from top to bottom of trailers. Very physical work and fast paced environment
good,There was also someone coming in to ship their package. You have to learn the different things that are in the store and how much each box and tape is.
good,I was a package handler a typical work day and the warehouse will be stocking lifting pulling pushing sometimes heavy objects or materials.  we will use scanners to scan items that comes in or out of the warehouse.
good,Come and do your job and go home happy - if you need help ask supervisors - time goes by fast when you are busy loading or unloading packages - it's tough in the beginning but then you get use to it.
