rating,review
bad,"Employment was terrible.  Poor benefits, no opportunities for advancement, poor work conditions, understaffed departments, poor communication between employees, high job turn over."
bad,"When I started at US Bank I thought I was on a fast track to success in a relaxed working atmosphere with many exciting new experiences waiting to happen. Upon my first few weeks that sales pitch during my interview went down the drain. Office floor is hectic, management does not show appropriate concern for employees. Advancement is virtually non-existent some people have been in the same role for 15+ years."
bad,"Management was unprofessional, unorganized, rude, and inconsistent. My overall experience was unpleasant and the morale in the department was very low."
bad,"The only reason I give my former employer such low score is that having to deal with the management, human resources, recruiters and extremely lax policies that are never enforced.  If there was an ethics committee there, they went AWOL.  Politics also is alive and well in the departments and divisions where I worked.  People for the most part were great to work with but would stab you in the back when had the chance.  I loved my job and the variety of work.  I did not like the commute especially this past year with all the construction on the roads."
bad,Working at U.S. Bank is one of the worst jobs for people who like to stay busy. Be prepared to stand around for 9+ hours in the same spot every day.
bad,Misogyny and racism were the norm.  Inexperienced managers often were in positions of unearned power and this created atmospheres of disgruntled staff.
bad,"The department has faced considerable challenges since inception, led by poor management.  There is too much turnover, which makes it exceedingly difficult to maintain good customer service."
good,"Very conservative, traditional bank. The training sessions were informative, but the technology is beyond outdated. To be one of the top banks in the country, they are behind the times with technology."
good,Opportunity to work remotely. I have learned to analyze data and make recommendations. Help support the sales team to secure deals and help progress strategy opportunities.
good,"Bank teller isn't a bad place to start if you plan to go further into the company. The job itself is very basic once you get the hang of it. Advancement was pretty linear in about 2 or 3 directions, thats about it from what i learned."
good,Retail banking is hard enough without constantly being berated by managers. The competition between bankers/branches fosters poor integrity and leaves the customer at risk to be exploited.
good,"Very slow-paced, was supporting the test rollout of the PRISM small lender management. They decided not to go through with the rollout, contract ended."
good,handle customer transactions while making calls in down time to find potential loan customers.
good,"The bank was a very professional organization with many good people.  I have been gone for many years so I am not familiar with the current structure.  Overall, a very good experience."
good,Okay place to work. Comfortable work environment. Fine management. Not too many opportunities for advancement. Offers adequate compensation. Average opportunity.
good,"Comapny is fast growing in Europe. It is very client focused and  the teams are always aiming to deliver excellent service to clients. Overall, a good company to work for."
good,"I came into the organization as a young (3 years experience) financial analyst.  I was given the opportunity to venture into the accounting side by working on External Reporting (10-Q, 10K, SOX) experience.  Great opportunity to learn and grow."
good,"I worked with amazing people that were driven. I loved my coworkers but the company made us feel like numbers. We worked long hours and often times we did not have time for lunch. We were a top producing branch but the company always demanded more. I learned so much during my time with them, but I had no work/life balance. I worked 50 + hours a week. I got burned out in a couple of years."
good,The job was a good starting point. Not going to make anything happen there but good experience. things could be run better. Things a kind a cluster.
good,US Bank is a large employer  and treats people well. I enjoyed my time there. 
good,Working with large monies and customers data entry and had fun with co-worker also did phone work for the Customer Service Line
good,It was a great stepping stone for me to expand on the knowledge I obtained from previous work experience and university. 
good,Workforce consists mainly of recent graduates. Pay is low. Outdated monitors.
good,U.S. Bank states that it is all about customer service in the new hire training but reality in the branch is that the job is to sell bank products. Management at the branch level is fantastic and the position is a good one to get started in either the finance or customer service field. This is a great job to build a career but it should not be one to stay at for more tha 2 years.
good,The advancement opportunities are very poor within the company. There is a lack of incentive to retain talent. It is just a matter of time before a mass exodus occurs.
good,Due to Ineffective management most of the staff leaves often finding jobs in other departments or companys. Remaining staff has a lack of institutional knowledge. Performing the duties but not know why.
good,Great advancement and learning environment for a career in finances. I was blessed with good management and peer. Always busy and people oriented makes for a good day.
good,"good working environment and management.Involved in testing task estimations LOE, review checklists preparation. Developed automation test scripts using VB Script for UFT automation."
good,"If you enjoy working at a place where other people care about you both as a coworker and human being, this is a great place to work.  I know that might not be true for all areas of the company, but I really enjoyed my time working here."
good,"many opportunities for learning, I have learned a lot from the experience of the people I work with. Annual entertaining meetings with the CEO where dinner is provided and prizes are awarded. Team spirit feeling camaraderie."
good,"I really have enjoyed working with this company. I've appreciated and learned from all of my direct managers and felt very much like part of a team and needed."
good,Really liked my job and would be with the company today if I did not resign to relocate to AZ.
good,USB is a fantastic company to work for with a wonderful executive team in Wealth Management.
good,"Great place to start a career, stable culture and many opportunities to grow"
