rating,review
bad,"I spent 15 years here. In Fife,Was, the management was the most vicious, mean spirited, anti-worker group I have ever known. Every single day was a fight to keep your job. Vindictive people at best. No matter how hard you worked , they were never satisfied. Run screaming in the opposite direction. This place is TOXIC!"
bad,Don’t respect the drivers making it impossible to do our job they implement guidelines they couldn’t follow with there cars never mind tractor trailer
bad,unfair and power hunger staff that doesn't care about workers personal life and the union only backs class A workers even though there are class AC and B drivers at the company.
bad,It  is the worst place I have ever worked at.don't waste your time with this place. the trucks are junk.management is even worse.they have overtime over 40 but will not let you get it.your lucky if you get three days a week.you have to work all holidays.
bad,This job and this company will sit there and preach about “get home safe” but they do not give a f*** about you or any lower level employees. I put in over four years here and can say that the amount of unsafe practices at this company is unbelievable. They will cut 15 routes daily and overload everyone else’s trailer to the point that you have no room to break anything down. Drivers are constantly getting injured dues to unsafe conditions and yet management does nothing about it
bad,"Horrible management. They lie to much. They make favours to the people they like. And they let them cheat the system. Descrimination, no respect. They push hard workers 💪."
bad,"I wouldn't recommend this place to my Enemy. They will lie directly to your face. Working for this company you will feel like a slave! Constantly, running up and down stairs. Pushing and pulling a Dolly weighing upwards of 350+ pounds. Don't believe the 70k a year BS . You will average $800 a week here. Rain, Snow or shine. They will make you drive in dangerous weather in order to make deliveries. Be prepared to wait at stops because routing fails to make it more efficient for drivers. Which the delay pay is only $12 hr. So enjoy that. The VP is an arrogant piece of work, the safety manager is a snake in the grass, you'll receive 1st day insurance, but not holiday pay until after 90 days.  The other drivers will steal the stuff you need to work, the customers will curse at you. Etc....Just don't do it. Horrible  company.."
bad,the managers there had no ideal what they were doing.  they ran the company into a s*** show.  the employees saw what was going on but the manager were too busy stuck on bulls*** things that never saw the big photo of whats going on.  I highly advise find a different job than this place.  it is not worth the time or life spent here.
bad,Worst 8 years of my life. Horrible pay. Horrible environment. It doesn't matter if you can meet the production standards or not. If you can they'll find a way to slow you down so they don't have to pay you your full wage. No opportunity for advancement. Eventually they'll get tired of having you around they'll make up a reason to get rid of you. Can do attitudes and great work ethic won't get you anywhere with this company.
bad,I've worked at plenty jobs. This is one that I surely regretted. the cold side is just as it states. You have to break down frozen foods and sort them by hand and place them on different pallets. Then place them in the freezer which is even colder. The work and pay is way off. Your killing yourself just to make a portion of what you should've made. The managers get paid alot more while you freeze
bad,"No family life, and worked like a slave. Early mornings, longer days. Overloaded trailers. Broken equipment. No respect for the employees. Managers want more but give less"
bad,"It’s being run by shady people, the don’t care about the worker anymore, all they care is about themselves. It didn’t use to be like this before, new people have come to run the place and they run it by putting fear in the workers, they treat the employees bad."
bad,Bad management. They hire people that don't want to work hard. And talk bad. About the people that work hard. Most of the workers are lazy. They want to go home as soon as they get to work. I waste the best years of my life working there. I would not recommend nobody to work there.
bad,Topeka is management are heartless if you get hurt the main guy that starts with a d will make it a living he!! for you doing things that will go against your doctors orders.then find a loophole to fire you stay as far away from there as possible.
bad,Management needs to be revamped. The people who are in place now talk to you like your trash and you should be grateful to them for allowing you to work for them
bad,Worse place I've ever worked! Management doesnt know how to manage a business. You dont know what you're doing from day to day. Can not keep employees there. Someone new every week
bad,exspects  you to break laws and pushes you to the limits in your mental stability  put you in dangerous situations   Reverts your energy and sends it to benefit them
bad,"When I got hired I was told Mon-fri 40 hrs and on occasion 45 hrs per week. Starting time from 3-6 am, which was perfect because of my 5 kids.That was a lie it was more around 55-60 hrs per week. So after 2 months as a delivery driver a shuttle position opened up. In order to switch positions I had to get my doubles and triples endorsements. After 3 month with this job I got a 1.42 per hr raise, after 3 months  they took the raise a way.  Their reason was oops we made a mistake. Then just days later now they want me to work on my days off and now longer hrs. From 10-12 hrs a day to 14-16 hrs a day. They have lost 5-6 people in the last couple of months and getting ready to lose another one."
