rating,review
bad,"The hardest part about this job is its a hostile work environment."
bad,They treat people bad and yell at you and if you don't fit in thier crowd they get rid of you no chance of moving up and don't care about helping the get mad at u for them calling u and taking thier overtime
bad,Got laid off immediately after training. Management is awful and ruin the great job completely. It does suck staying in a hotel but that isnt the worse part.
bad,Look up precision railroading. It is a culture of attacking the workers and cutting corners trying to get people killed to make an extra penny. The railroad management is evil on a biblical level
bad,"Not worth the time. The company is desperately hire people because they are leaving faster then they can replace. If your a new hire expect to be furloughed for the first few winter's, or not have any sonority to mark up to a job."
bad,"Stay far, far away! Only looking to line their pockets and employees be damd! Oh you left a good job to come work here, done with training, out on the street you go!"
bad,No family life they are a modern day harassment company they hate there employees  seven day 365 days a year work environment they over hire then furlough u no job security
bad,"no home life, live on a locomotive, always on call never know when you going to work. big service unit to work in. always looking over your shoulder for a manager"
bad,"They will lay you off frequently which is to be expected.  They will not tell you this until after you have quit your previous job and went through training with them.  They will NOT stick to their agreements and will not pay your time claims.  They will try to make you violate FRA regulations, They will fire you if you do not abide by their rules/FRA regulations at the same time.  They want to get rid of the conductor position and push for 1 man crew positions.  They do not care about anyone's safety if it helps them meet velocity and production numbers."
bad,"Very unsafe  , no cares for the over all public or employees . Not what they used to be and continued to decrease the overall value of people . Not a safe company."
bad,Do not come work for this company. You will not be treated well and your position is not secure. Most people come here with full intention of getting full retirement after 30 years only to be laid off. The rail instructed only cares about shareholders
bad,"Management and union are working together to eliminate union workers and hire contractors to do all work. Benefits now cost employees and will retroactively charge for even unused insurance from labor agreement raises. This is the same illegal behavior that created the need for unions in the first place. Sad how corrupt the union has become, always siding with the company and never with the union employees  employees"
bad,Don't work here. They hire you just to furlough you. Waste of time. Don't leave your job for this place. Started working there may of 2018. After training and testing finally got on my own in August. By December was furloughed. Got called back to work at the end of March of 2019. Worked for three months. By July was furloughed again. Smh....
bad,"By far the worst company to work for. They are greedy, they don’t care about the employees. The union is week,and they just keep taking away from the employees. I actually think that Union Pacific is paying off the union’s. Don’t go to work for this place! Biggest 5 year mistake of my life!"
bad,"I had a career at Union Pacific and enjoyed my job. I went above and beyond as a salary employee continually working beyond my scheduled hours to meet the company's goals and make my manager look amazing. I planned to retire from the company, BUT was blindsided October 23, 2018, by the first round of lay-offs. I was at the grocery store when upper management called to notify me of the Unified 2020 Plan and that my job had been abolished. Hard work does NOT pay off. In reality, my managers job was abolished and she was given my position. Several employees who were laid off had their managers move into their roles. We felt so back-stabbed that our mangers took our jobs when it was their job that was actually abolished."
bad,It is a good job when they need you. But because of recent government and economic changes they will soon be cutting there work force almost by half..
bad,"Don’t care about there employees, your just a number and they hire and fire you in a heart beat. They put all these rules and then at there will they look the other way. You can’t ever actually work where u want to work because they will hire people to work there so your seniority doesn’t mean squat. Many of us have to drive 100 miles to get to work because we can’t afford to work near the work location"
bad,"Don't lose your family over this""job"" because they'll dump you in a toilet if they could....it looks good and appealing! I've seen families fall apart,women leave husbands,men end up with other women,people relocate for absolutely NOTHING costing thousands and then laid off. Don't DO NOT FALL FOR IT!!! WAL-MART WILL TREAT YOU BETTER!!! After all...they just cut off a WHOLE TOWNS JOB!"
bad,"Avoid this place! Worst place I've ever worked. Managers are nothing but thieves and liars. Greed is what drives this company,nothing else. No job security either."
bad,"Nothing needs to be said here but Stay Away and be thankful that reviews like these help you make an educated decision, if railroading is a job that youre passionate about then please check on the other class 1 railroads before even thinking about applying to UP because as soon as youre out of training you will more than likely be jobless so dont waste your time... this is a public service announcement."
bad,Your safety is a last priority. All they care about is shareholders. Zero work life balance. Management is always looking to advance their career by ending yours.
bad,This was once a great company to work for until they started precision railroad. Then turned on their employees to only show care for their investors and Wall Street instead of the hard working people who made this a once great company.
bad,Very poor upper management! All they care about their pockets and do not care about the little people. They will close an entire shop which will cause people to get laid off and ruin people’s livelihood and won’t think twice about it.
bad,"This company does not care about their employees, their customers, or the community. The work environment is extremely negative with a very poor relationship between employees and management. On call 24/7 with very minimal time at home."
bad,Getting worse. Hedge funders ruining an ok job that every year gets worse.. health benefits getting worse year to year .. 200 jobs cut for stock holder greed
bad,"Been here for several years. A hard working employee that never lays off, and yet I am currently on ‘partial furlough’, because ‘business is slow’. Ridiculous cuts, poor management and absolutely NO job security. Payroll will over deduct or not pay correctly at least once a month. And it is a fight to get anything corrected. Lots of promises made when they hire you, but very little follow through."
bad,It was a fun job while it lasted. There is no job security here. The managers will find anything to try and coach you on it. Employees on their probation period have to walk on eggshells because of how managers watch them.
bad,"Don't do it, they hire to fire you. The SMART union is weak and doesn't look after their brothers unless your all buddy buddy with the local chair. "
bad,"Company does not care about work life balance, employees are only seen as a number. Well paid jobs with lots of sacrifices. From ground level to management, it is all the same"
bad,"Company is run by investors basically. They do not care one bit about your job and future. You can have five years seniority and still be furloughed. We are absolutely disposable to them. They preach about safety, but it couldn’t be further from the truth. Don’t waste your time with this trash railroad."
