rating,review
good,"I enjoyed working for UHC. I relocated to another state however, and the assistance to transfer to another position that I qualified for was minimal to none. The benefits are decent, which include Bravos, which are points to obtain gift cards or purchase items from their internal store. There is not a work and balance life as your having to work overtime or on your time to meet deadlines and your review is dependent on you meeting those deadlines. The great thing about working at UHC was that I worked remotely and could work at any hour of the day. My manager and team were great, very helpful and knowledgeable in the LTC Medicaid program."
good,"Productive, fun, and exciting, always learning new things and meeting new people."
good,"I assist members with their Medicare part d prescription drug plan. I look up claims, go over benefits, and verify the coverage and copays of medications. In addition, I also run trial claims and process coverage determinations for medications that have stipulations. The hardest part of the job is keeping the member happy and thoroughly explaining benefits. Majority of callers are 65 and older so it can be challenging to explain plan information over the phone. I'm also a team lead and I provide coaching and feedback to agents on my team"
good,"This is a great job, managed by great people. My co-workers are incredible."
good,Its an ok company. There is not as much room for advancement as they say during the hiring process.
good,good pay with diverse culture and opportunity for advancement
good,A typical day at united healthcare will be a high call volume assiting customers with accounts
good,"Uma ótima empresa, além dos benefícios como: Vr Va auxilio creche, possui um bom plano de carreira."
good,"•	Medical Records field liaison to contracted skill nursing facilities."
good,"Following the Agile Lifecycle with Scrum Methodology is the best part in UHG."
good,"Reviewed incoming documents for completeness and accuracy"
good,I loved my coworkers and managers. the job was stressful only because of corperate policy makers and health benefits were kind of lame having worked for a health insurance company. but
good,Good for working for united health group one of the top most company in health care industry
good,Rewarding job helping others achieve their health goals. great work  . No travel involved.
good,Taking Inbound calls to assist members with insurance questions ans issues. Learned how to be productive on an individual basis and in a group setting.
good,Learnt a great deal on recruitment operations and delivery
good,"Non stop incoming calls, educating members and providers, as a team captain of 10agents making sure they are abreast of all new procedures and assist with problem calls. The hardest part of my job is that we are short staffed and customers complaining of hold times, but I always resolve their issues and give them the time they deserve."
good,"I worked there a few years back so cannot recall many details."
good,"Um dia típico de trabalho:"
good,"I enjoyed working for UHC. I relocated to another state however, and the assistance to transfer to another position that I qualified for was minimal to none. The benefits are decent, which include Bravos, which are points to obtain gift cards or purchase items from their internal store. There is not a work and balance life as your having to work overtime or on your time to meet deadlines and your review is dependent on you meeting those deadlines. The great thing about working at UHC was that I worked remotely and could work at any hour of the day. My manager and team were great, very helpful and knowledgeable in the LTC Medicaid program."
good,this was a good place to work for however they are still getting on their feet with the contract change that happened a little over a year ago patience is a must!
good,"a typical day at united health group is alway filled with surprise. Since i have been employed at uhf i have learned tp be very patient. When dealing ith the providers that call in to our company , you will have good days and some bad. the managemnt as well as co workers are very supportive. the hardest part of the job is ll of the policy the you have to be aware of to ensure that you protect the consumers privacy."
good,Very organized and fair to employees and team. Productive. Organization
good,"Aprendi a desenvolver um trabalho com postura e cordialidade."
good,Great place to work. Management is great. I feel appreciated and have been able to take advantage of the tuition reimbursement program.
good,"I have 17 employees who respond to multiple work areas that for all veternan's and their families.  I make sure providers submit all corrected information for processing their referrals."
good,Provide assistance to provider in understanding of claim denials and explanation of payment.    Understanding of Medicare payment system
good,"Nice work environment."
good,"Good Place to work, and there is always advancement. The only thing is that the turn overrate is bad due to this is a call center environment."
good,Todas as empresas em que trabalhei foram um degrau de conhecimento e aperfeiçoamento para minha vida profissional.
good,"while working on tech support role, helped lot of people fix their computer related issues, later when promoted to work force management, got hands of exposure to backend of a call center, handling 700+ employees for their work, staffing, attendance, reporting was nothing short of a challenge, but it was fun to deal with such high presure at work"
good,Trained strongly to delight customers. First call resolution priority.
good,UHG is a typical large company. I learned a lot about international / overseas collaboration.
good,"Answering calls, maintaining clients and look for new opportunities."
good,UnitedHealth group is the place where i started my job career and it was satisfied in all aspects .the facilities they provided for employees security fun managent very much employe friendly thankyou
good,"Realizo demandas imprevista e importantes, que não constam em minha agenda. Se necessário faço horas extras para alcançar objetivos e metas, junto a minha equipe."
good,"Challenging and fullfilling, great work culture, good customer service skills"
good,I had great co-workers. The hardest part of the job was being on call 24 hours a day. I supervised a team of case managers / social workers. The company allowed you to work at your own pace. The Administrative Staff was very supportive. This was the best job I ever had.
good,"I enjoyed working for UHC. I relocated to another state however, and the assistance to transfer to another position that I qualified for was minimal to none. The benefits are decent, which include Bravos, which are points to obtain gift cards or purchase items from their internal store. There is not a work and balance life as your having to work overtime or on your time to meet deadlines and your review is dependent on you meeting those deadlines. The great thing about working at UHC was that I worked remotely and could work at any hour of the day. My manager and team were great, very helpful and knowledgeable in the LTC Medicaid program."
good,"Typical days don’t exist,  this ever changing fast paced environment has taught me how to quickly adapt to change without compromising my perfomrance."
good,"Predictable workflow with consistent hours. Since Memorial and Monarch Healthcare were acquired by Optum/United the fear in the culture has been offsetting. Many positions and locations have been completely eliminated, and the instability has caused most folks unbelievable stress."
good,"Starting days are very challenge to me.when i joined with UHG night shifts are new to me and I faced my challenges almost for 1 month."
good,"My day with United starts at 8:00am when I arrive at work. There is a morning ""huddle"" that starts at 8:15am, in which I meet with my physician and manager, and discuss our high risk/hospice/pallitive care/hospital patients. This usually lasts 10 minutes, since my clinic starts at 8:30am. "
good,This company was great at how every the schedule was not consistent.
good,Help members to understand their beneifts.  Work with providers on getting the better rates for services for members.  Advise members on what benefits are covered and what benefits are not
good,Well Fargo was the longest full time job I had. it was great. Unfortunately it was an extremely high  pressure job.
good,"You must be self driven, as the tools at your disposal and development is only conducive towards refining what you already do. If you wan't opportunity you must create the space where it does not exist. If you are passionate and an outside the box thinker you will be involved in quite a few projects that will further deepen your knowledge of the industry as well as deepen your resume."
good,"Claims claims claims"
good,"A bilingual representative taking inbound calls for United Healthcare scheduling appointment for brokers to sale our insurance. Other days I would do outbound calls as well to call the brokers or that use to be if they were interested to attend a seminar and make reservation for them. I learned how to communicate well on phones, trained other employees. Usually a day a work would be so busy, and the co-workers would help each other out completing the phone calls."
good,Great company culture. Inbound call center.Management is very supportive and the work is up and down in volume. Our customers needs are challenging so patience is very important.
good,"This is place where i learned lot, management is very organised and nice to work. No pressure from job point."
good,"Great management."
good,"Good Work Culture"
good,"I like working for UHC, they are very family orientated. They understand that as a mom things happened and they are always willing to help me work around my schedule when those things happen. There is also the opportunity to work from home- after a year in the company."
good,"Worked on lot of new technologies, build apps 7 years back, which others are trying to build now. Its a good work experience"
good,Overall this was a great company to work before they had a layoff of over 200 people. But during the time of employment it was a great experience.
good,"•	Verify the professional licensing, training and certifications of professional medical staff and facilities credentialed with Insurance plan and new applicants."
good,Unloading and loading cargo on and off airplanes. work in teams to bring in and take out planes.
good,"Typical Day - Managing third party reimbursement through analytical and strategic processes"
good,"I enjoyed working for UHC. I relocated to another state however, and the assistance to transfer to another position that I qualified for was minimal to none. The benefits are decent, which include Bravos, which are points to obtain gift cards or purchase items from their internal store. There is not a work and balance life as your having to work overtime or on your time to meet deadlines and your review is dependent on you meeting those deadlines. The great thing about working at UHC was that I worked remotely and could work at any hour of the day. My manager and team were great, very helpful and knowledgeable in the LTC Medicaid program."
good,"Good Company"
good,"A typical day at work was very busy, but I loved my job because I was never bored.  I learned a lot by asking lots of questions and taking lots of notes, but the company also provides lots of training on-line on various subjects.  Problem is I was kept so busy that I never felt like I had the additional time to utilize the on-line information as much as I would have liked. I learn best by doing, so I figured out early on to ask lots of questions and take lots of notes.   All an all a great company to work for, with very good benefits.  Just wish I hadn't been laid off, because I was looking forward to learning so much more in the future.  I learned a lot in the time that I was there, so I'm thankful for that."
good,"UnitedHealth Group is not just a company, it is an academy too."
