rating,review
bad,this company is a joke and so is the union . They’re new system does not work and you’re still reliable for your numbers . Management sucks . See 4 urself
bad,"Their priorities are money, incompetence, wasting your time, working you like a slave on a plantation, etc.  If you go to and read what they say on their website instead the internet you would never realize what you knowingly getting yourself into."
bad,They are a low-down slimy pile of dung company to pretend to bargain in good faith. Tell you they want you and then sell you down the road for slave labor
bad,I probably would’ve taken a job here but who wants to work and not know what time you’re getting off every day if they had regular shifts there I probably wouldn’t be such a revolving door who wants to work at a job and you don’t know what time you’re getting off every day specially if you have a wife family kids I would only recommend this job if you’re really desperate down on your luck but I think I can speak for most people no one wants to work a job and not know what time you’re getting off being forced to work 15 hour days every day not knowing when you’re going home
bad,"This is a Very disorganized and very cheap company, they do not want to hire any experienced people. Trying to keep management salary at the lowest they can"
bad,"UNFI has many problems in leadership with communication, no supervisor seems to know what is going on at any given time. You are expected to hit production standards, but 90% of the warehouse is under production as it is, and there is no disciplinary action taken."
bad,This place is a joke don’t do it they don’t care about u I put in 22 hrs in one day and they fired me right before Christmas cold as balls plus the hr department low key racist 🤔
bad,The place sucks to work at. Hours are horrible and your just a number. Everyone is miserable and hates their job. Worst environment I’ve ever worked in
bad,The management at Unfi is so messed up if management was better Unfi would be an good company to work for an the point system is something out of this world Unfi needs to come together an fix there system an have more sympathy for its workers because it’s workers work 15-18 hours an day an have to come rite back to work with only couple hours of sleep
bad,"70+ hour work week, favoritism among workers and supervisors, unrealistic quotas, not enough equipment with half of the electric pallet jacks barely working and unprofessional management."
bad,"You're on your feet 12 hours or more every day, and you will be fired after 90 days if you don't meet the quota.  They talk about safety and workers, but all they care for is the bottom line"
bad,"All is horrible. The organization is void of leadership, and you step back into all the negatives of a 1980s high school drama. Don't speak up lest you be the next target. But you soon find out the grass actually is better on the other side... better pay, better benefits... the organizations doesn't care. You'll be replaced by someone who will work for less. Very thankless environment."
bad,"This a an unsafe company to work for. The cooperate level doesn’t care about the working people, they laid the whole warehouse off (1year-42 years) over a dispute with the union. Customers are leaving, due to loads falling over in the trailer. If they could pay below minimum wage they would. They value no employees"
bad,"This company sets you up to fail. Two of the three weeks I was supposed to get training, the person assigned to do so was working from home.  I got almost zero time with my supervisor during my training as well."
bad,Worse management ive ever worked for at unfi I wouldn't recommend anyone there in 8 months i reported to 3 supervisors and seen maybe a good 25 30 people quit terrible leadership HR and supervisors are not on the same pages just a horrible experience
bad,"Very bad company lack of management,  supervisors and managers they don't know what to do !! Zero management they dont give you your breaks or lunches on time they try to steal your breaks !! For example If you don't meet your coda the supervisor will tell you try not to take your break so you can meet your stupid picking numbers!!"
bad,"It does not matter how long you are there, the CIO does not care about people  He is  a bully and demeaning to bis staff  throws people away when they are no longer useful  you will never get training, it is the first thing he takes from the budget each year when he does not have enough for projects . No advancement, high stress, nothing is good enough, and no life balance.  If you want to avoid heart failure or prozac, stay away."
bad,"Manager and supervisors always leave early even when the work is not done. All the work must be completed in order for the CSR to leave and they are no help from management as they are long gone. "
bad,"The amount of work we do with the a month of time we have is very unacceptable. The work was very draining . We worked 14,15 hour shifts for 5 days a week the 2 days we had off all we would do is sleep we had no social life not time for our family . Working 60-75 hours a week and only getting 600,700 dollar checks is not good at all"
bad,"only career advancement or good work is if you have a friend or relative in management or that could give you, workplace culture is unstable and deceptive, threats of being fired or disciplined if you speak out. attendance points policy changes weekly. this is not an associate or family-oriented place. the associate turn over ratio is at least at 85%. also there is outside contract workers that are not trained properly in which makes this place un-safe to work in."
bad,They have no care for anyone or anything but money and how much profit they can get from you. Start you at     10-12 hour shifts 4 days a week and then make it mandatory 5 days 15 hour shifts. You’ll either kill your self from exhaustion or want to kill them for not caring even a little about how hard the job is
bad,No sleep no time for family and yourself. I wouldn't  recommend any one that raisin a family shouldn't work there the manager are childish only think so in mature
bad,"They treat people like disposable slaves. They trick you into"
bad,"This place is garbage. One, their motto is BLAME first, ask questions later, and apologize later if necessary and you only get an apology 10% of the time or even less. Two, per former VP of Technology Operations, word by word, ""This is NOT a place where people want to come to work at."" When the VP literally says that word by word, you know this place is garbage. Three, within the past 3 years, 13 people are gone and only two replacements have been filled. That shows how greedy this company is. Four, don't bother asking for a raise or compensation. Doing three jobs and taking on some of the tasks that belong to other teams for the price of one is not considered above and beyond. People equate this as enslavement. Five, management is garbage. Those that create a hostile work environment while sucking up to management don't get fired. Management has their favorites turns a blind eye on injustice. Justice delayed is justice DENIED. DON'T EVER WORK HERE. You will be treated poorly, disrespected, and management won't bother to take any action."
bad,"Worst place ive ever worked. No work life balance. Was dead tired daily. Expected to work at a hundred percent pick rate. Made for a very dangerous work environment. Every one is racing to make rate. Expect to work 12 or hrs a day. Pay should be at least 20 bucks an hr. Good thing was 3 days off, not necessarily  3 in a row. The unpredictability of the hrs on the other days made the three days off feel like 2 tops."
bad,"management socks ,, the general manager doesnt do his job right ,, they fire general managers more than anything,, union dont do anything for us ,, they have 4, 10s days buy looks like 5 , 15s , they said we have 3 days off but they mando come to work one of them for 13 hours, you can get fire in 3 days , supervisors dont know what they are doing DONT WORK HERE , there are many other options , heavy work , fast work , you get hurt they dont care"
bad,"Apart from having someone run the place that as a person is himself a terrible selector and lift, the place is a mess. "
bad,They will make you drive far away for a screening and physical test just to pass it all and ignore you. They have done it to myself and many others. Bad company.
bad,"For two weeks I witnessed your food being stepped on thrown around even urinated on ( yes one time employee didnt want to take time to stop to go to otherside of warehouse, no point in notifying management they dont care about the food nor the employees ,most of the management got there by doing the same its by far the worst place i ever worked at far as management goes too many chiefs not enough indians , i  was lied to let go then lied on"
