rating,review
bad,"This company sucks...I'm surprised they haven't gotten shut down. Management clique up and cut you down to guard the group they spend excessive personal time together and hardly seem qualified. You could be here today and gone tomorrow because turnover is high. Overtime is excessive and they mistreat you if you decline it.  Always understaffed. Despite all the listings for job openings trust me its a front they aren't interested and you'll never be qualified seems like they were always hiring for the same thing and your chances are not better as an employee, there is no advancement they prefer to hire someone else. They use temp staffing for emergencies and treat temps better than permanent employees. They don't support students. I had to quit, I was on my way to death by stress.."
bad,"Management is very poor at this place. You are constantly micro managed and instead of being a good supervisor, management is always closed up in the office keeping up mess."
bad,"Poor foundation and limited structure as well as training, Poor leadership."
bad,Upper management is horrible.  Turnover rate is horrible.  Employee morale is horrible. The benefits are horrible. HR is horrible. My experience here is horrible.
bad,If you're looking for a place were you feel like you're in jail then this is the place for you. My manager is horrible!! She's In her 60's so she has a VERY OLD fashion way of managing compared to younger managers. She's so forgetful and hates to be wrong. Nothing there is consistent I have NEVER worked for a more unorganized company before. 401k sucks benefits are high!! I just show up for a check and go home THATS IT!!! Looking for a new job EVERYDAY!!!! Every department is different
bad,"Environment very stressful.  "
bad,"The IT system in the company is terrible, which causes the inefficiency and ineffectiveness. The Medical Insurance and the Dental Insurance are very bad, you still have to pay a lot after you pay the monthly insurance. The management in Finance is not nice to the employees, the new employees will not receive enough training but has to deliver high quality work to the management. In addition, the manager plays favoritism in the group. To the employees she dislikes, she is negative on the employee's improvement and keeps being nit-picky on the employee's performance. To the employees she likes, she covers one's mistakes and downplays the mistakes the employee makes. Her abusing behavior caused the employee picked on lack of sleep and burdened with a lot of stress and depression. Very bad experience..."
bad,No work life balance this is a place for someone who can dedicate at least 60 hours of travel on the road visiting providers.
bad,"Universal American is a very entrepreneurial organization. Offering a diverse selection of opportunities and benefits. If you enjoy working in a fast paced, ever changing goals and direction you will thrive. UA offer annual salary compensation raises but the are often disappointing. I advance in my role there several times, and was compensated for each change in responsibilities. I enjoyed working with most of the administrative staff and some of executive leadership. There was a tremendous amount of personal agenda issues and empire building with Senior management. A lot of senior level turn over, But you can be assured there is a good meal catered somewhere every week there."
bad,"Company in transition due to being bought, didn't know what direction they wanted to go in, how they wanted the job to be done changed daily & even multiple times during the day."
bad,"Awful place to work. The best part was other employees who were all very enjoyable to work with. But management was inconsistent, benefits were poor and there was no chance for advancement."
bad,a typical day at work can be best described as long and stressful; I've learned that this is not conducive to personal or professional growth for myself; management will need much re-training; my co-workers remain optimistic from year to year; the hardest part of the job is showing up to work each day; the most enjoyable part of the job is...
bad,Universal American makes changes daily with no real direction.  Management needs training on how to treat their employees. Constant bullying or discrimination from lower management. The less you work the higher you go in the company.  Benefits have been cut recently.  Morale is low as there are constant layoffs with more to come.
