rating,review
bad,I was in the second week into training and could not believe the amount of stuff like I seriously can’t even put into words how bad they trick you into this job thinking you will only have to do STD and LTD but then you will quickly realize it’s a lot more and nothing that you can retain!! Be warned I had high hopes for this job with it being remote but they truly set you up to fail and you just learn more lies as the training process goes along don’t bother
bad,Harsh management.  Numbers and quotes are a big deal. Unfriendly and disorganized. Constant meetings and monitoring. Cannot do enough to please management.
bad,Not a company for POC. Had to go on STD and was harassed right out after my return. If you choose to work here make sure your 100% healthy otherwise they will find a way to toss you out like yesterday's old garbage.
bad,Unum is currently being managed by a bunch of Bozos who first let go 25% OF THE IT staff. Then they decided to open an office in Atlanta. It's a sweat shop. If you are older than 50.  They will fire you.
bad,Unstructured but good for whoever likes that kind of management and operations style. I personally did't have fun working with the teams. Too many restrictions.
bad,"Workplace culture is like high school in a bad way. Worst part of the job is having to decline claimants claim.  There is nothing enjoyable about the Glendale office. Management is not helpful, most of the managers been with the company for 10-20 and are afraid of change.  Do not suggest a better way of doing a task, management will look down on you.  Managers do not keep up with the rules and regulation therefore they are not helpful when new trainees start . Managment is only worried about the number of claims you process. They do not care about the claimant at all. Also management thinks that every claimant is not telling the truth  about their claim.  Do your research on Unum.   I'm looking to leave ASAP.  I have been here long enough.  Also everyone is related to each other, either they are husband and wife, brothers, best friends. So beware aware of who you vent to because they probably best friend with the VP or husband or wife a manager."
bad,"Very money focused , if you don't give results your driven out."
bad,"They find ways of getting rid of employees with disabilities without getting sued. They are also very clickish and if you can't dress like you are rich, you are ostracized. They give lip service to diversity but their actions don't agree."
bad,"management was okay, at its best. if you aren't willing to be someone's office pet, this job is not for you. I was there 4 years before leaving and coming back almost a year later, and was not offered full time."
bad,"The lack of ability to perform this job from home is a big drawback, especially when compared to competitors in the industry. It deprives UNUM of many talented employees."
bad,"This was not the job they tried to sell me on. The pay and promotional opportunities are lackluster.  It can be extremely stressful. There has been significant turnover in the past couple years because there is no place to grow, the work/life balance is poor (if you try to take a vacation expect to work 60 hours the week before and the week after), and you are unable to speak your mind.  Independent thought is not encouraged.  Watch your back. You are not valued.  They have promoted unqualified taskmasters to management so it has become downright abusive. Only apply if you are 20 something looking for a stepping stone.  This is not a mid career workplace."
bad,"Unum is a wonderful place to work. I wanted to represent 5 stars for each of the above but it would not allow me to click on all 5. "
bad,The Position of Disability Benefit Specialist should be an hourly position but it is not. We are underpaid and overworked. Stress to the point of getting sick. We not only have to do the claims work but we take all the calls like a call center. They demand that you finish all your work in order to be allowed to take a day off.
bad,"They have really high expectations and do not provide good guidance at all. If you are unable to do a job without policies and procedures, do not apply."
bad,"If you don't have a relative who works here or your not Italian leave it alone!  The CEO who is that?"
bad,Working at Unum is a complete and total agonizing daily life experience! A real life nightmare🤮The harder & longer that you work each day = the less you get paid for you time and efforts! .. 1 flat rate of  pay which  Unum say is for a 40 hour work week.. my but hole! it's always 50 or 60 or more hours a week.. you are constantly feeling the pressure of being fired if you don't complete daily goals!🤮
bad,Mislead about job duties in interview. Not treated like a human. Its all about metrics. Nothing but a negative experience here. Training was poor. 9 hour day on monday and mandatory OT not discussed in interview. Actively seeking another job. Working at unum will make you wished you worked at mc donald' s.  I HATE THIS JOB AND COMPANY!!!
bad,"From the job posting to the job description to the internal policies to the talk at water cooler, VERY MISLEADING AND INCONSISTENT. The culture is miserable, the job is monotonous, the managers do very little."
bad,"Unum training was excellent but nothing like the job that you are hired.  Your work schedule terrible and vacation time, why give if you can't use.  Contact Center treated differently awful job!!!!  You are trained to lie to customers and they treat their customers like a production line.  You are trained to be polite and lie."
bad,"Management is promoted based on fake positivity not on experience, knowledge or ability which creates a terrible environment for any employee with potential which is reflected in the organizations horrific retention rate. Directors are too passive aggressive to address the poor management issues partially because they are the ones who promoted the managers and need to cover it up so they don’t look bad. If you get a job here only give 50% and smile, it’s the quickest way to get promoted and the more management knows you are capable of the more they will give you busy work (higher caseloads-to make their numbers look good and create 12 hour work days for you, not work that will help you grow professionally) for the same pay and an empty promise that it’s helping your development, if you bring it anyone’s attention you will be punished for it.  If you have any type of motivation or career goals this is not a good job for you."
bad,"Unum has moved from a customer focused, employee investing organization to a much greedier version of itself, causing invaluable employees to leave and find work elsewhere.  I fear this is to Unum's detriment.  The company has always looked at both, and worked to balance the longer term plans with the current quarter and year.  Unfortunately, that has no longer been the case for the last 5 years.  The company culture no longer rewards longer term, strategic planning and effort.  Bonuses are paid for the short term, so what is the incentive for anyone with morals to focus on the long term?   I do hope an in-depth evaluation may be done to redefine a way forward and a corporate culture that invests for now, but also in the future.  Managing everything with a quarter over quarter or year over year mentality, and average department re-organizations occurring every 1.5 years, what do you think the primary focus might be?"
bad,A company that causes a lot of stress in the work environment. The company promotes work/life balance but it never occurs due to the work load and forced hours.
bad,"I found a very poor post training environment."
bad,"Work hard, do well, and receive only negative feedback. Terrible place to work now. No room for growth, so mgmnt does what they can to keep you down and justify lack of raises.  Very little transferable skills, so those who have been there for years are stuck."
bad,I worked at Unum for 2 years. I was not happy there due to the unrealistic expectations placed on the employees from management. the management team as a whole lacked compassion or understanding with the employees. The focus on unrealistic expectations created an unhappy workplace. My co-workers were great - I made lasting friendships and there was a teamwork atmosphere among the other leave specialists. The most enjoyable part of my job was being able to work and help employees during some of the most difficult times in their lives.
bad,"I forced myself to take the job as a contract-to-hire because I was told it was the only way to get my foot in the door to a more reputable company in town.  Managers, no matter their age, act like catty high school girls looking to take someone down that they perceive as a threat due to their intelligence."
bad,There is absolutely NO growth within this company. You have to be employed for 6 plus years before you would be able to reach another level inside the building. The starting pay was 15/hr that wasn’t bad for the job so that wasn’t an issue but there are NO raises given. Also the ladies they have in supervision DON’T have back bones and don’t know anything about the job. I worked there for only 3 months before I was let go! I was told I was going to be compensated for vacation sick hours and other hours. My check was only $7. And I know for sure It was supposed to be more than $7. But I didn’t press the issue of making it a big deal. When you get on the phones the ladies the sit you around are no help and everyone is out for thei selves. Training was a joke. The overall company is a joke. Don’t waste your tome.
bad,"If you're heading into a job at the Contact Center, know that's you're completely expendable. They literally throw walls of meat at their problems. You might be a great EE, but they're not waiting around long enough to find out. Your support will be laughable and you'll be judged off of internet games and absences. Good luck!"
bad,Unum started about being a great company to work for many years ago.  It was very family friendly with a good work life balance.  But as of the last 5-7 years the dynamics have changed to that of a company extremely focused on profits.  Management is no longer invested in the well being of the employees and tend to overlook tenured employees for younger employees with no experience.
bad,"Work life balance is absent. Focus on production, not empathy. Amazing health/employee benefits, however these come at a hefty price. Expectations are unreasonable, poor management."
bad,"This company treats you like a machine/property. All they care about is money and do not care how unhappy their employees are. Unum used to have a great reputation but that is changing. I was warned by past employees that I wasn't going to like working here. There is no work life balance, they expect your job to be your life. If you want to get ahead, you have to come early and stay late and get involved in all these dumb committees they have to make employees feel better. They could just treat us like human beings and show us that we're valued, instead they make us take time out of our own lives to be involved in some committee that's supposed to make us *feel* valued."
bad,"If you are a fast working, good at using an activity tracker, and your manager likes you, you will be fine. "
bad,I worked for Provident which was a great company and merged with Unum which is a terrible company.  AVP and above are absolutely non trustworthy. Directors are just pawns. They are concerned about numbers and playing with audit scores to make their department look good.  They do not care how many hours you work.  40 is never enough!  Very stressful environment. Don't work here!
bad,As long as you work in any other dept. other than medical records you will be very happy.
bad,"Over worked & Under paid. Toxic & Negative Environment. Lack of trust with Management. Unum cares about how they look to the public, but when push comes to shove they do not do anything to increase morale or keep good hard working individuals. Employees are leaving the company weekly and Management jokes about why so many people are leaving rather than trying to resolve the issue. There is no room for growth. Raises?.... Forget about that. Very disappointed with where this company is heading. Please do not consider working here. I am speaking from the heart and would never want anyone to be treated the way Unum employees are treated."
bad,Departments do not collaborate well with each other.  Too hard to advance to other areas despite being qualified.  Did give plenty of opportunities for work outside of Unum in the community with Volunteer opportunities.
bad,"First job outside of college.  Management is very detached from employees who manage claims.  Having a heightened level of empowerment is great, but this structure created an environment where advancement was largely prohibitive."
bad,Very poor management skills no opportunity for growth very political and all they care about was snacks on Friday. The raises were pathetic. Unprofessional mangers that are still there to this date. Alot of people are there because it's steady paycheck. The only pro is their benefits plan. Everyone who works there has been there for 10 plus years.  The only reason they have stayed is because they don't want to lose the seniority.
bad,"I have developed fears and anxieties I never had before while working here! Speaking with people who are calling due to hard life events (e.g. I was diagnosed with cancer today) is stressful. The expected AHT (Average Handle Time) is 11 Minutes. One of the most annoying aspects of the job is audits, there is no consistency within the department, you will have points deducted for Benign things. Be ready for calls to be back to back."
bad,Health insurance was awesome but management was unpredictable. My first manager was AWESOME. The second one we got was in a training program and had little experience in dealing with people.
bad,Working for this company is stressful but there is opportunities for advancement.
bad,They do not offer assistance very well when you are having issues with your director. Human Resources is not for the employee.  They do have great benefits.
bad,Unum used to treat their employees very well until they got some new executives and decided not only to start outsourcing jobs but to trick people into rebadging and losing their severance pay.
bad,"Very corporate environment, you have to play the game if you want to advance at all. Lots of two-faced managers. can't be direct or they view that as being ""too aggressive"""
bad,Not organized and not very kind to employees.  Tough to work for always looking for ways to cut employees out!  I would not work for these people again.
bad,"The company is difficult to work for, with very little job advancement, and no overtime options event if amount of work is high, but the people I met are wonderful."
bad,The job is stressful due to poorly constructed and outdated systems. They crash daily. You literally work hard not smart! It’s literally a sweatshop how you have to work. You really have to triple check to make sure you’re giving the correct information bc all the system don’t always have the same/correct information. Management keeps saying we’re working on it and no results. Favoritisms is REAL. It’s a place to get insurance experience an move on PERIOD!!! No advancement opportunities bc they are so understaffed and keep adding new clientele.
bad,"The department I worked in was full of managers and directors who gossipped and only rewarded those who kissed up. We were forced to volunteer weekends, attend events, and donate money with the threat of reduced hours and refusal to be considered for advancement. Actual work was ignored, quality was  not enforced, laws were worked around with the cooperation of the corporate lawters. "
bad,"It's not a bad place to work, if you are the complacent type that isn't interested in career advancement. I've invested several years, thus far, and have yet to truly feel valued. I acknowledge the stable income the job yields, but it is just a job, unfortunately, nothing more and nothing less. Most all employees are intelligent, start off eager, are hard working and motivated. But, the annual raises are about 1-2% and the annual potential bonus is not amazing either. Managers don't really focus on your development. This is sad. It'd be a much better place if managenent was SIGNIFICANTLY more invested in the professional growth of employees. As that is far from the case, I can say that working here will bring disappointment for anyone who wants to develop any good transferable skills. That being said, enter at your own risk."
bad,"My typical day at Unum within their Contact Center included being yelled at not only by customers, but constantly being under a microscope by not one manager, but five. "
bad,Outsourced hundreds of jobs to overseas. Worked in and out of the company for many years and they have continued to move away from the people and more towards the dollars. They now outsource jobs overseas and the remaining people that still work for the company have no or little home/work life balance
bad,"I see reviews that seem to indicate a positive atmosphere, but at least in Maine, business surveys indicate something very different.  UNUM has steadily fallen from being number one or two best places to work in Maine, to ninth place. I spoke to UNUM’s HR about this steady drop and they acknowledged that UNUM drops one or two places every year on this survey. They acknowledged that UNUM is not the most desirable place to work, as it once was. As with many large companies, UNUM too keeps pushing its employees to work more with little or no salary increase. UNUM expects many of its employees to work 50 or more hours a week and often ask employees to “volunteer” to work on Saturdays, especially in the service areas.  A lot of pressure is placed on the employees to put in these hours, or your review will be severely impacted. I know this pressure is not unheard of at large companies, and UNUM is a big player with this pressure and saying they value work place balance, but, in my opinion, they do not practice it."
bad,"The company is more concerned with how they are perceived by the public. The preach about inclusion, work/life balance, etc but it's just for show. If you have young kids, forget about it. If you have to call out from time to time to care for them, you'll be punished... they'll give you a schedule that makes it even harder to care for your children. The only way to advance is to be a brown noser. You are just a set of metrics to them. Upper management doesn't care about you or your situation... they just want you to provide ""the best customer experience"", BUT you have to do it within 10-12 minutes....smh.dont work here."
bad,"I supported a female SVP who had a bad reputation of treating her horrible. In the beginning things were great. After a few years things changed, she changed. She became bitter against the company and took it out on me."
bad,Pay is way too low for the amount of work required- you are literally constantly working like a machine and are constantly required to put in overtime. Job is very repetitive and will most likely be automated/outsourced soon anyway.
bad,"Worked in management for an independent contractor assigned to run the security department within one of their corporate sites (one of their two main offices to be exact)."
bad,"Very pretty campus"
bad,if you like having poor work life balance and lower positions earning more than higher positions this is a good place. they love to micro manage you and do not extend trust to employees
bad,"Unum was the most unfreindliest place I have ever worked. I was there for over 10 years and can't even claim anyone there my friend. I had back issues and a lot of pain had to go out on disability. The day before going on disability my manager found a reason to write me up so that he could eliminate my job and get rid of me. "
bad,"Management has changed drastically.  Morale is horrible.  Poor decisions are the norm.  The term career path has been abandoned for ""career lattice"" because there is no opportunity for advancement.  Compensation increases are now reserved for the ""special few.""  "
bad,"I worked at Unum for almost 14 years as a Account Consultant/Client Manager.  The company was one of the best companies to work for until  a year and half ago when they moved to the growth strategy model.   I was working 65+ hours per week and the amount of pressure from managers was too much.  They treat you like 2nd graders by yelling and belittling you in front of co-workers.  When the new model rolled out in 2013, they cut our pay and based it on part base salary and commissions for a customer service position.  Even when meeting your goals it still was not good enough. "
bad,"Responsible for processing disability claims, during an 8 hour day, sometimes required to work more than 8 hours. I learned to provide customer service in a timely manner. I enjoyed working with my co-workers. The hardest part of my job, recently, was working under a specific member of management, who was not adaptable to my position as a claims processor. The most enjoyable part of my job was the satisfaction I got in providing great customer service to claimants. I enjoyed helping people be able to financially provide for themselves, during a period of time when they were unable to work, due to illness."
bad,They are laying off large numbers of people.  Most of the experienced and long time employees are being removed.  The company is focusing on the younger generation and discarding the experienced.
bad,"Upper management refuses to listen to associates that actually do the work and and forces the ""my way or the highway"" philosophy 100% of the time."
bad,"UNUM was a temporary job for me I was also bartending at the time, "
bad,"Manager is incredibly helpful and considerate. She makes you feel part of a team and does what she can to keep morale up. Rest of the company however has shifted from caring about quality work to forcing as much work as possible onto their employees. "
bad,There is no plan in place for active shooter situations. This is troubling to me. It is very difficult to maintain a good work-life balance while working at Unum.
bad,"I have worked at Unum for a long time.  Things have changed tremendously since I was first employed.  I have learned many skills while working at Unum, including how not to treat employees.  My co-workers are a joy to work with and I would say that they are the most enjoyable part of the job."
bad,"Unum went through a CIO change about 5 years ago.  With the new CIO came a stressful and unfair culture.  She was replaced early in 2018.  The new leadership is trying to right the ship, but at this point, it is still a stressful place to work due to all of the change happening within the company."
bad,The workload is too high which makes for stressful days and makes it difficult to participate in things that would help you to move up in the company.
bad,"I was hired via a temporary staffing agency and offered a part-time position to handle the most tedious and time-consuming tasks for a Finance Specialist. For 4 hours a day, I would enter data from checks sent by disability recipients who had received over payments or data from checks of life insurance subscribers. Both my managers were very nice. The Upper Management  only cares about the money and would not let my manager group 4 part-time employees into 2 full-time employees, so that they did not have to pay health benefits, except of course to benefit one of my manager's favorites later on."
bad,"At today’s Unum, unless you come in to Unum as one of their “Unum Scholar” college interns, your chances of career advancement are slim to none. Countless of older Millenials and younger Gen-X employees have been stuck in that once promising entry/slightly above entry level job for 5-10 years. Their HR strategy is blatantly superficial and elitist. Management lacks basic understanding of mathematical concepts yet they will use the numbers and data to form seriously flawed conclusions on both the business and your performance. (And seriously, some didn’t even know differences between basic statistical concepts including mean and mode) Although they are accepting of a diverse employee background, if you are looking for a place for development and growth in your career, you will likely be dissapointed. I would highly recommend an exit strategy if you haven’t moved up at least two job levels by the end of four years. By that time you will have seen whether or not you were chosen for fast-track advancement. If you weren’t, get out before the Stockholm Syndrome becomes too ingrained."
bad,"The company offers great benefits, competitive pay, and awesome leadership. However, the standards are extremely high and hard to obtain. You are expected to revolve your life around the company and your career as well."
bad,"Initially when I worked with Unum they were actually a decent employer. Good benefits, competitive pay, annual increases, decent bonus and the job was sustainable within a full-time work week. Everyone was decently happy to be working for the Company. "
bad,"I held a few jobs at this company and was absolutely miserable during one of them, but one of the others is one of the best jobs I've held.  Unfortunately, the people who made the experience so enjoyable were all made redundant..."
