rating,review
bad,"Worked here for 3 years, and by that I mean toiled away long, miserable, and grueling hours with zero appreciation or support. Back stabbing was the unfortunate norm, catty drama ran rampant from toxic people who all hated their jobs. Not only are you supremely under compensated, but you are expected to regularly work 10 hour days and work on weekends too if needed (warning that it is always needed, as you will do the work of 2-3 people and eternally be struggling to keep up). Comments that you are drowning with no help are completely ignored and dismissed. You will be given absolutely zero development plan or promotion opportunities, and management is extremely unprofessional and inexperienced. People often make up rumors, gossip, and drama out of boredom and frustration. You will get used to how regular it is to see people breaking down and crying from stress. No one cares about how you feel, your manager will excel in making you know how disposable you are. I was once begged to take an open role because I had the background needed, and then at the last minute told it would be a title demotion and was asked how much of a paycut I would be willing to accept (though it was a ‘great opportunity’) - as if my experience was worthless and I should be thankful they asked. Zero value in your work or skills, you aren’t even treated like a human being most of the time. Only when leaving did I realize how much better your life can be with a job that actually treats you with respect, with coworkers that are well adjusted and happy. Won't find those at URBN!"
bad,"Cliques. Favorites. Unclear policies. Unprofessional management. Bad pay. Sneaky and shady operations from district manager. Literally no HR in the company. Awful, awful experience."
bad,"I work for the largest urban outfitters store, overall it’s the worse experience, all my managers are coke heads and are racist. Literally only white people move up in the company and if your of color and in leadership they’re fearful of saying certain things to you. All my managers have disgusting attitudes, our security guards are constantly racist toward our guest. Not a great environment the only positive thing about this store are your  coworkers they’re  a great attribute but other than that i would not recommend this ."
bad,"The two week training program is a complete joke. Every time you have a question, they say ""oh its situational, you'll learn as you go."" Then.. when the situation happens and you reach out for help, you are ridiculed for not knowing how to ""do your job."" The pay is absolutely miserable; under $19/hr and you can't negotiate. The workload is almost impossible, daily deadlines, and stressed out about letting people down. There is no ""team"" environment. Everyone is in it for themselves and will throw you in front of a bus if it means they can look good to their superiors. You work with buyers daily yet you feel like its you against them.  Supervisors judge everyone. Everyone judges everyone."
bad,"I was promised advance placement, but once the managers got replaced, the communication went down the toilet. The general manager is a micro-manager. They do not care about your health. I have asked multiple times to raise the heat and they leave it cold resulting in me coming into work sick."
bad,"Urban Outfitters runs off of corruption, sabotage, manipulation, greed, favoritism, double standards, hypocrisy and its ran by a bunch of scandalous, selfish, children. It’s also a very hazardous place to work. Between the poorly stacked non-con that’s consuming the warehouse that could collapse and crush someone, the dust, the rust, the black mold, no air conditioning and how mentally and emotionally toxic the place is. Absolutely terrible. Poor management. Garbage."
bad,"Do not waste your time and energy "
bad,"They treat their employees horribly.  The ones with no work ethic get promoted, the hard working are ignored or taken advantage of.  When I worked there, I frequently skipped my lunches and breaks due to a misguided devotion to my position. My reward was the expectation that it would continue. My experience and knowledge was disregarded when management changed and when failures occurred that I had advised would happen, it was blamed on me. I would not wish this company on my worst enemy."
bad,"Very depressing and racist company, I would never recommend anyone to work here unless you’re  desperate for work. No room for growth unless you’re Caucasian."
bad,very crazy work space. Unorganized and too many employees. Not enough hours. Too many temporary workers and negative attitudes.  It was just a quick job for me until I found something more solid
