rating,review
good,"I have been an employee with Verizon for about 4 years now and I can honestly say they are a great company to work for. They care about their employees, they also have excellent benefits, nice work environments, and  respectable wages and compensation. I could highly recommend anyone who is looking to start/advance their  career in the customer service industry should definitely consider them as a future employer."
bad,"Verizon is a great company.  Paging Zone, on the other hand, is utter trash and treats their employees as such.  I've worked for other Verizon retailers where made great money, had full benefits, and had great management and work atmosphere.  Don't let Paging Zone stop you from finding another Verizon Retailer."
bad,"If you have no soul you will thrive here."
bad,Company sucks. They think they are a bunch of know it all. They arent though. They dont listen to employees. If you have something to say to make the place better. Nope your fired or you have to quit.
bad,"Nothing else to really Say, I did not enjoy my time workingsnfor verizon wireless and I felt that they worked hard to get bounes instead of helping employees"
bad,"Horrible place to work.. Cellular Sales is a authorize seller for Verizon. Go to the corporate Verizon store and not the authorize seller.. Trust me! They have a lot of hidden fees that are not necessary. There is definitely no work, life, balance. No time for family, just work work work."
bad,"The culture was horrible, management was only into themselves, politics and females. The committees were horrible, the only way to be promoted was with who you knew not what you knew. People were very disrespectful"
bad,District Mangers and General Manager over work their employees. The company set unrealistic quotas for employees to meet. Which makes it hard for employees to move up in the company.  The company is  constantly finding way to pay employees less and over work them.
bad,"Verizon is a great company "
bad,"The place is a mess. Highly not recommended. Don't even bother applying if you're female, you'll just get harassed. I asked my new boss a question (after prev boss got fired for a number of things) and she just told me to google it."
bad,"It stated as an easy and accessible learning environment. then, it took a turn for the worst. "
bad,Working was the absolute worst part of there management was god awful couldn't get up to help a co-worker who was having a allergic reaction or even to go to the bathroom
bad,"I had a terrible experience when handling customers, my manager hardly trained me on how to do much of anything so when I had an actual customer I would stutter and stagger. She didn't bother to help me when handling customers so when I made a mistake she wrote it down and sent a report that I was disobeying when in reality I was just confused on some small things here and there. I did not enjoy my time working at Verizon under that employer at the time."
bad,"Supervisor was very rude, work/life balance stunk and don't ask too many questions, even if you don't get it..It seems as if they would almost prefer that you guess what to do."
bad,"After hired they take you into a room and literally say that the people there are now your family."
bad,This company does not follow its values or its mission at all. They force sales and take advantage of their customers. They preach integrity from the top down but the frontline and managers will do anything to reach quota. They will do ANYTHING to hit their targets and throw one person under the bus if their deceptive sales tactics backfire.
bad,not worth it..they want your life.you can be honored at a rally and given awards one day and written up the next because one quota number dropped. sales reps are cutthroat and dishonest. management fix is in for reps they favor as far as cherry picking the best customers for their favored reps
good,"I have been an employee with Verizon for about 4 years now and I can honestly say they are a great company to work for. They care about their employees, they also have excellent benefits, nice work environments, and  respectable wages and compensation. I could highly recommend anyone who is looking to start/advance their  career in the customer service industry should definitely consider them as a future employer."
bad,"It wasn’t a place to work, only for people with no kids etc. very hard and I just can’t do it but to each it’s on....hits are way overdue and not enough money to pay bills"
bad,NA  This job had nothing to do with payroll and I have no comments at this time..hardest part of this job was dealing with all the unhappy customers every day
bad,"Nothing to white about , work is over stressing people ,  no body is happy their , they are under stressed all the time ,i thing if they can take some work off  from shoulder  people will be more happy and work harder"
bad,"Early start and late finish."
bad,Money hungry corrupt company that doesn't care about employees.  Senior leadership will close down any location on a whim if they can make an extra buck off shoring.
bad,they will lay you off. all about. no loyalty what so ever. 15 years as a manager and laid off without warning. Director for 29 years and laid off without warning. beware
bad,"This is a very backwards company.  Its really all about who you know and who you are sleeping with.  I reported to HR the actions of leadership with entry level employees, and I was the one that got written up for providing that information, and the entry level employees were promoted to general management."
bad,There is no culture in the call center and is very much a fend for yourself type of environment. Managers are never there and don't like to assist you.
bad,It was a very micromanaged and miserable workplace. I would not recommend anyone who wants job satisfaction to work in the call center. The Managment and clients make you feel small and worthless.
