rating,review
bad,"Very poor pay, the coworkers were not helpful in daily job duties, no room for growth, conditions were poor at best, no management help, and would never feel like a career opportunity. Started as a temp worked my 800 hours to get hired on while others were hired on directly and not even work 1 full day never to return"
bad,Management Sucks. Communication Sucks! You are not paid correctly for what they expect you to do. No job security. Lack of management...………………………………..
bad,"You will learn in orientation “hear something say something “ but do not do that!!! Honestly. If you tell HR, they will go to that person and rat you out.  They do not care about your safety at all (if you burn yourself they pretty much laugh at you)  There are some nice people but if you are not a Trump supporter and aren’t ok with talking about abuse, criminals, racism or anything negative this isn’t a good place to work."
bad,"I wouldn’t suggest this place to my worst enemy. Everything about it is awful. Management is unorganized and uncaring. Coworkers gossip,cause drama and waste time while being paid. They can’t keep employees and have a hard time bringing more in because of the drama, low pay, garbage management and lack of advancement. I have nothing good to say about this place."
bad,It was an in house place to work the people that worked there for 20 years didn't like anybody else walking in the door. One trainer widget tell you to do something this way and the next retaliated do it this way it was a very confusing job
bad,"They have people there that discriminate against the LGBTQ community and HR is horrible at getting things taken care of, pay is not reasonable the only paid time off you get is holidays or you work a certain amount of hours to build up vacation hours paid off. They give you 48 hours unpaid time off, etc."
bad,After 10+ years with company was treated unfair. Not at all a good place to work. A lot of their employees are under the influence of either drugs or other. No one cares about good or bad production.
bad,There entire goal is to produce parts even if they don't meet their own standards. Demanding work schedule even when hired for a specific shift you are required to fill all the hours they want to fill orders. None to slight leadership and a very top heavy company.
bad,"Poor management, unfair supervisors, too much favoritism. Too cliquey and everyone too worried about what everyone else is doing. There are many employees there with more than 25 years invested and almost all of them would rather not be working there anymore. No professionalism at all."
bad,"I was working in a hostile environment. I asked to be moved. They changed my team lead with the promise of moving.  About 2 months after I was still experiencing a highly negative work environment and asked to be taken out of the cell. They asked for time to make it happen. I waited 2 months, they had not hired a replacement for my position and had made no attempt to move me. I decided I was done."
bad,"Hired for a temporary to permanent position. Unfortunately, they let me go for a very unprofessional reason. The trainer gives off a bad attitude and the other trainer just happens to be on vacation at the wrong time. Place looks run down and outdated. "
