rating,review
bad,"Not the worst place to be, but really just execute all the low level jobs that OEM want the suppliers to do.  Very disrespectful relationship between the OEM and Visteon."
bad,Facility closed in 2007 causing a mass lay off. Very vindictive culture between the company and union. Another profitable company destroyed by bad business decisions.
bad,Typical unionized factory that ended up being closed down.  Workers took off way too much and over 500 greivances was consider normal by management standards.  Work place ever to work.
bad,"Sa à fermer "
bad,"Peu valorisant, le travail en usine consiste à s'occuper de plusieurs machines et de faire des taches répétitives."
bad,"Visteon is a sinking ship and is to be avoided.  Just let go all of its I.T. staff before Christmas and replaced it with the lowest Indian bidder.  And, the leadership expects them to be ready to support the business in 30 days!  Insanely unrealistic!  Typical executive leadership is gutting the company and will no doubt bail on their golden parachutes when there's nothing left but broken people's lives."
bad,"Visteon was shut down during the collapse of the US auto industry"
bad,Used to be a great place to work. Lots of great mind working together to make great products. Now since Visteon took over all the great mind are leaving and Management doesn't seem to care.
bad,this company no longer exists. It went bankrupt. I was an intern with this company so I am not familiar with it's role any more.
bad,Company has reduced heads by thousands.  There is no loyalty and it is a old boys network - no women promotions at all.  Many people have left for better jobs and many more to follow.
bad,"Very poor management, no ability to look into the future, and certainly no ownership in organizational growth. Very short term approach to try and maximize individual wealth."
bad,"Very poor management and even worse communication, over all there is a high level of frustration within the company."
bad,only working culture is good in visteon.salary and job security was very bad . need more focus on Employee development in cross functional activities.
bad,"	Recruitment & Selection "
bad,Sub company that built Chrysler components from the cockpit (dash assembly). Maintaining good quality auto components and ensuring all automotive parts function.
bad,"local de trabalho produtivo e de boa camaradagem,conhecimentos do produto em salas de formação com médico de trabalho"
bad,"Management: I can not think of any thing good to say so therefore I select not to rate the company at all.  "
bad,I had 19 years in that pace...thought I was going to retire from there!
bad,"Falta de seriedad , mala organizacion , poca infraestructura , mal ambiente de trabajo , exceso de presion laboral"
bad,aucune  evolution apres 20 ans d anciennete a part les amis des amies
bad,"In the SSC I meat excelent people."
bad,Visteon purchased JCI electronics and made it sound like it would be a great win win for all.  This is not the case and they are closing our Holland campus leaving many looking for work
bad,"hardest part about the job is job security"
bad,"A empresa em si, bastante interessante, o trabalho, o produto, porém a gerência na época era muito desorganizada."
bad,"olha visteon esta muito coisa problemas a vida sempre, nao faz seguro TPM"
bad,Visteon was the left overs of Ford Motor company's components business.  All the loser plants thrown into Visteon logo.  No chance of survival in the US.
bad,Uma empresa boa de trabalhar porem depende muito do momento econômico do pais.
bad,"-	Essais mécaniques, climatiques et électriques pour de l’électronique de bord automobile (pot vibrant, enceintes climatiques, matériel ESD et diélectrimètre)."
bad,"Nice place to work"
bad,"travail intensif, productif, heures décalées, endroit sale, bruyant...."
bad,Empresa com gerência e diretoria conservadora demais e que não ouve o funcionário.
bad,Too many people involved in decision making process. The management was always infighting. Could not agree on operational decisions. Very poor morale in this facility.
bad,Culture is very poor. Executive mgmt. is clueless. Only add new hires from Harman. Working level employees are great and the only thing that keeps people around. All the good people have either found other jobs or been let go at this point.
bad,"Good things about Visteon:"
bad,I really enjoyed the hours that were for the job. I enjoyed the coworkers and what they did.The work flow was fun and the time went by fast. The job ended and moved to a different state
bad,bueno pues aprendi mucho la verdad a usar makinas   conocer gente nueva  aprender  cosas q nunca abia echo  asi q me fue vastante bien
bad,3 shifts rotation as per week.
bad,"Visteon is becoming an overseas outshore contractor company. Most jobs are moving to so called low cost countries, not good culture and morale for the people left in US."
bad,"Company was spun-off from Ford Motor Company, Most exec management at spin-off were guaranteed Ford pensions so performance of Visteon mattered little to them. Management team was unprepared for rigor of running a stand-alone business, and unable to truly compete in the ultra competitive tier 1 world. Part of this was the result of Ford exec management maneuvering for the 6 - 7 months prior to spin-off. The company was almost destined to fail at the $17B size and scope at spin - with too many assets, too many people, and too much overhead. Company no longer manufactures products in the U.S. and primarily imports to U.S. from Mexico."
bad,pas rester assez longtemps l entreprise licenciait c est un équipementier automobile
bad,"a visteon foi uma excelente empresa quando o corpo dela era os representante de 2006, atualmente as pessoas que carregava a visteon, fazendo ela crescer cada vez mais foram saindo e assim a visteon foi morrendo cada dia um pouco."
good,"Local onde se aprende bastante, mas tem muito stress."
good,Most jobs are overseas.  Should just work there if you are willing to move overseas.  
good,A Visteon compressores já não é o que era aquando da minha permanência efectiva como Técnico.Entrou em decadência tanto em termos de qualidade como em quantidade de produção.
good,"the Shorter Alabama location was a joint venture but when Visteon gave control over the the korean half it all went down hill and fast, the employees are being replaced with koreans for no good reason and most of the time the replacment doesnt even know how to do the job"
good,"A empresa tem seus altos e baixos."
good,"Gosto de trabalhar nessa empresa, mas preciso de uma oportunidade de crescimento profissional, pois estou me qualificando para contribuir com o meu melhor para o crescimento da empresa."
good,"Learned how to work with UAW union work force"
good,"PSE en-cours pour lequel je suis impacté."
good,"If we neglect the complete uncertainty and lack of security, it might have turned out to be a very enjoyable and productive work environment. A lot of promises and prospects for the future were given, but in reality, Visteon proved to be an (very!) intermediate owner of the electronics division that originally belonged to Johnson Controls."
good,"Excelente empresa para se trabalhar bom ambiente de trabalho, recursos para execução dos trabalhos eram fornecidos , muito boa a empresa"
good,"Good company to work"
good,"Monday to Friday working a day night shift."
good,Visteon est une société mondiale de plusieurs dizaine de milliers de personnes avec des sites de recherche et production reparties sur tous les continents. Cela m' a amené à  voyager pour installer les moyens de productions automatisés   que nous concevons et développons dans notre bureau d 'étude.
good,Empresa multinacional com um ambiente multicultural.
good,"Working with electronic engineers to improve the circuit connection layout,  EMC engineers to reduce the emission as much as possible, mechanical engineers to make sure no interference between PCB and housing, DFM engineers to ensure PCB can be built at PCB FAB and ASM."
good,"Average work day was 11 pm to 7 am.  Or the work schedule based on where I was assigned."
good,It was usually fast paced and kept me busy.The pay wasn't good at first but within seven years I was at top pay.I would still be there if the were still here.
good,Empresa con mucha herencia cultural de Ford.  Burocrática y lenta.
good,I work in Vestion electronics in apprentice my job is aoi operator and Smt machine operator my job is very good and many pressure in my job my job is PCB seeing in aoi machine and any issue I capture the issue and solve the problem
good,"checking everyday for manpower, and any quilty issues.  Helping others on the job and showing them a safe and easier way."
good,"une bonne entreprise , ou j'ai fait diffèrent postes de travail j'ai énormément appris .Mais malheureusement ,une entreprise en chute donc pas d'embauche et surtout une tension chez les salaries  ."
good,"Buen clima laboral, excelente uso de herramientas de gestion, aprendi nuevas tecnicas productivas en inyeccion de plasticos, la direccion de la empresa estaba un poco dispersa por motivos de la venta de la empresa y la separacion del grupo, los colegas todos excelentes, salvo que estaban algo  siperpuestas o mezcladas las responzabilidades y esto genera falta de comunicacion, lo mas complejo alcanzar objetivos con rapides por falta de algunas herramientas y capacitacion, lo mas importante que rescate en esta gestion fue la gran calidad y capacidad de los recursos humanos."
good,"Focus on the company and your individual experience while employed there"
good,I have worked at Visteon for over 15 years. I am fortunate to work with some very talented people.
good,"Sempre bem corrido, porém muito produtivo, algumas vezes havia suporte necessário para a execução das tarefas pertinentes ao cargo, outras não. A parte mais difícil de se trabalhar lá era o excesso de pessoas a quem se subordinar e a se reportar, algumas pessoas mal sabiam o que estavam fazendo ali, mas estavam, e acabavam atrapalhando o processo, mas isso não era uma constante. Sempre me saí bem no exercício das minhas atividades, fui muito feliz trabalhando nesta empresa, mas por redução de pessoas e por ter sido eliminado o setor onde eu trabalhava, fui desligada da companhia."
good,"Visteon has got some very good projects to work upon and pays quite well. But the planning of some projects are rather pathetic, it gives one heck of a toss to work life balance."
