rating,review
bad,"Absolutely horrible place to work, plant manager is horrible, does not care about anyone, constantly talks down to you. There are no perks to this company, if you are sick they take your vacation days plus give you points, so in other words you cannot be sick, no bonuses except for big bosses. Don’t expect to get anywhere in this company unless ur a brown nose. Very high turnover employees. Stay clear..."
bad,"Lack of management, no motivation, culture, morale or positive feedback. Overworked employees and never a job well done. I was here less than a year and I do not see how people survive longer."
bad,"Wesco pays you hourly and makes you clock in and out. I, as well as others, were forced to work overtime off the clock and unpaid. If you mention employment laws, then you will be targeted and forced to quit. Wesco likes to break employment laws and force you to work for free."
bad,"Unorganized, unsafe place to work.....beware! Do not keep their machinery safely maintained. Inept management. If you do the bare minimum but kiss bosses but you will do ok."
bad,"If you love micromanagement and 10 people telling you how to do your job at the same time, Wesco is the place for you. Toxic work environment where management is in meetings for 90% of the day and the other 10% is going over everything negative that they can possibly find. No matter how hard you work, they will see you as a number and nothing else."
bad,"Not a fun place to work at all. Management was very bipolar. the work was not hard at all, the coworkers is what made the job fun . the environment was very boring"
bad,"If you want to work for a company where you are treated with respect, don’t work for Wesco. The management will say one thing but does not follow through. In addition, management has very poor communication skills and it’s very likely that you may be doing something completely different without any notice or support. It’s not a fun place to work."
bad,"Horrible company. Don't bother, keep looking! They don't pay what their employees are worth, and look at you like you're replaceable   They sure make sure to pay their executives a lot of money however. Horrible company. Five years of my life I'll never get back!"
bad,Absolutely horrible company to work for. No training what so ever. You are told you need to ask how to do what you don't know. But no one tells you what is expected. Management just talks about changes but will not support you in anyway. They say people are the number one resource but treat employees like trash.
bad,I did not like working here their pay and salary did not measure up to the cost of living what so ever didn't even come close I was broke every week the same day I got paid.
bad,Need management that cares about their employees. Give employees raises. People in the office stop playing with phones and make them do more filing to get all the work completed for the day and not let it sit their for months.
bad,The manager does not know how to run things properly. They will section you out . work there is really done by 11am and u start at 8am so after that all's you are really doing is standing around and the manager is okay with the company loosing that money ..
bad,company does not invent in technology.  Everything in this company is not best practice or world class.  Its the way Westinghouse Electric left it 30 years ago
bad,Low pay and little time off. I would not recommend working here. You might get a few days off a year. It will sound great in the interview but you will regret it.
bad,i was wrongfully termiated for actions done by the person i was being trained by they are rude and unfair and i suggest people look else where for employment
bad,They were great before they became so corporate then ever time a new upper management was hired changes would follow and not for the best. The pay was not good and the merit increase was not good at all. Branch managers all favorites that always received special treatment.  If you are looking for employment that you are planning to stay with it is not Wesco.
bad,"I loved working for Wesco. I loved my coworkers and customers. I was kept very busy with customers and cleaning. The hardest part of  the job was making sure all duties were done before morning shift came in. I learned  a little bit of everything working there. Very team orientated atmosphere. Management could use improvement unfortunately, She was all about favoritism and let her favorites get away with anything while others had to pick up the slack.The job was not hard at all, just a lot of cleaning."
bad,Employees are dealt with in an unprofessional manner.  Expectations are not realistic and there is no appreciation for work well done.  Favoritism and poor to non-existent training.  Upper management is clueless and out of reality with demands.
bad,I have yet to see management do anything required of them. Management is never there and they don't get rid of the people who don't work. Be prepared to work terrible hours too.
bad,"Very bad place to work ,lots of favoritism no rules guys come late everyday lots of call out lots of long hours bad pay dirty  warehouse lots of dusk don't care about employees please stay away from this places."
bad,worst place i have ever worked. Terrible management. NO room for growth. Terrible pay. No Training. everything was just thrown at you and you were expected to know how to do it perfectly even though management didnt know how to do it. Worst place i have ever worked.
