rating,review
bad,Poor communication very unprofessional this facility has a very high turnover rate never keeps employees including management team members and leans I don't suggest working here
bad,"too stressful, too busy, not enough help, long hours, no lunch breaks, poor management, lots of turn over, not enough employee training, not enough paid holidays"
bad,The company is not doing well at the moment I really don't know what to say but I would say look for a a job that was not at Walgreens if you want something that can last.
bad,"I truly thought I would love this job. They were great through the traing and flexible. As soon I was there full time. Then shifted my hours, had no steady person to train me and left me to answer phones, run register, answer drive through and input scripts that  I hadn't been taught to do because of not having enough help."
bad,I’m hey will work you to the bone and not pay you enough for your job. Management of horrible they get desperate and hire people that do not know what they are doing.
bad,Ever since Boots Alliance took over and Wag started to be run by the British the work environment & morale has gone down the tubs. They are no longer employee friendly.
bad,No team work Management sucks they don't really care about employee they want you to work harder than them you have to be on their side beg them like a dog if you want to be promoted you have to let them do whatever they wanna do with you to get their stupid promotion this is one of the worst company to work for.
bad,"A very poor place to work. Supervisors very early on select their favorites and their opposites. The favorites are strongly encouraged to learn from their mistakes and everything is ok, the others are constantly harassed and belittled in front of other employees. A good example- a management team member will comedown and give you a 15 minute pep talk, ie learn from your mistakes, you are doing great, etc. Afterwords, your immediate supervisor will approach you, tell you that because of that talk, we have to work overtime and it is all because of YOU!"
bad,"It was an okay job, very all over the place, little to no guidance from management, decent first job, pay is okay and minimal benefits are offered. Discounts at the pharmacy worth it."
bad,"Company is going downhill, only cares about people on top and shareholders, disconnect with store level. Dms dont care about leaders moving up and everyone backstabs everyone and only looks out for themseleves"
bad,Allowed for me as a sfl to get sexually harassed by another manager & retaliated on me for it as well as I got physically jumped by customers & because I defended myself they punished me
bad,Don't work here even if it's the only job available. Management treats you poorly expects too much doesn't pay you what worth sides with customers who are rude to you discourage defending yourself
bad,"This company does not care about customers or employees. They push employees without proper training, and dont care about customers. The numbers are the bottom line"
bad,Mediocre place to work without good compensation. Schedule is bad and random. No appreciation by management and no sense of productiveness or improvement.
bad,"Has excessive favoritism. Schedules are not fair, some people never work evening or weekend shifts. Others only get evening and weekends. PTO is difficult to get approved."
bad,I was hired to work day shift and night shift.  I only get to work day shift once a month if that.  I was hired to work in the pharmacy but they move me all over the store.
bad,"Don’t work at Walgreens they do not care about your outside life they want you to be all about them and if you’re not then they will take away your hours until they feel as need they will give you your hours back, so please save yourself the time and don’t do the application"
bad,"I worked for Walgreens going on 17 years . Always getting high reviews every year always promises if I do more I will get to Asm but 5 years and nothing,  to you guys reading this I still work here but just started school because going to work is a love hate relationship love my coworkers but hate Walgreens for taking advantage of my hard work."
bad,Walgreens is not the company it used to be. Employee's used to get raises every 90 days or promotion to another department. They no longer have these options and there is one set pay for handling many department tasks.
bad,"Employees are really lazy, don’t want to pick up there slack, always late to work, slow, can’t keep up with the pace. Management are not helpful or understandable."
bad,"This place and the vast majority of its people just sucks. Do not expect to advance or be treated with any semblance of respect, unless you’re a shareholder."
bad,Unless you are management's nothing you say matters...you always get write ups for useless stuff the district managers are a joke and the actually management are rude and worthless
bad,"First it was a great company, it's all about leadership and management. management shows basis and favoritism I never experienced a hostile environment"
bad,Company doesn’t care about employees or its customers.  What was once a great company is not a terrible place to be.  Stay clear of this sinking ship.
bad,"This company is full of racist people ,who judge you based on personal feelings and what you look like rather than your qualifications.If your not white don't bother trying to be a pharmacy technician if your lucky they might let you be a cashier."
bad,the pharmacists put all the work on the technicians. I worked 60 hours a week 7 days a week for over a month with no days off with no appreciation from management. They work you until you are completely burnt out.
bad,"Same as most retailers.  No use of clinical knowledge, bad hours.  Unreal expectations that cannot be completed.  Overworked and very underpaid.  As profits drop staff pays with excessive cuts in both compensation and workforce."
bad,"Working at Walgreens might be great for students but not for adults. You get less hours after your training period. Don't be surprised if you see only 3 working days on a schedule. Not nearly enough money, and management structure is completely hilarious. If you are employee, EXPECT, to be given ""titles"" that offer NO EXTRA PAY. Pretty much you do the managers job for them for NO EXTRA PAY, only a title which is stupid ridiculous."
bad,"Minimum wage and ridiculous job duties expected for pay compensation. Management is non responsive and certain co workers are favored which gives them a better work schedule with less job duties, for example, exempt from cleaning the bathrooms or unloading the trucks"
bad,Walgreens is the worst company who should be out business .The company is a racist and promotes discrimination at the highest level.The Company as whole is worthless and garbage .
bad,"Walgreens sucks I worked there 12 years since the UK took over everything changed for the worse employees were petty, verbally abusive, yelling at managers, managers yelling in front of customers."
bad,"Totally unfair company. Just like all chains, only interested in making money. Don't care about employees at all. NOT AT ALL. Worst company I have ever worked for on my 30 years."
bad,"I worked there for three years as an overnight shift lead. I was put on with minimal training and was assigned tasks daily. At first there was a lot of work to be done. After a few years and about a half dozen manager changes. I got a manager who wanted to do it all herself. Eventual my workload was cut down to almost nothing. So I sat in the office most of the night. Another manager replaced that manager and she was a vicious tyrant of a boss. I was on a mini paternity leave using my PTO when the regime change happened. I came back and was working for a week. During this week she watched the cameras from up to six months ago and saw how little work was being done. Instead of assigning more work, sitting us down and saying this isn't how she wants things, or even just a write up with a things are going to change around here speech, She ended up firing me on my birthday. I called HR to plead my case and they didn't even give me the time of day. I would strongly suggest avoiding this company they have no clear expectations set and your managers will constantly change and the details of your job will change with it. Sometimes to disastrous results."
bad,Pharmacist at this Walgreens like to make fun of people race and religion not fond of this at all people need to learn work ethics and at least give better pay and training instead putting new people to train with others who are rude
bad,"Felt like a number and not a part of a team, if you are looking for something long term this is not the place. Company cares more about their profit than looking out for its employees"
bad,Don't apply here. The manager will tell you something then the next day do something different.  The hour was cut due Walgreens was attempting to buyout an business.
bad,"Expect too much, pay too little. I ran the store top to bottom and was not appreciated. From helping in RX to cleaning toilets. Got robbed at gunpoint and was asked to come to work hours later."
bad,"Co-workers were rude. Customers were rude. Management continually put management work off on employees. Witnessed managers being rude to customers, but expect employees to be nice."
bad,"Management is not accepting of disabilities in an employee and encourages gossip and negative behavior regatding said employees.  Training offered in interview, as were other things, and never given.  Instructions often given across the room as training, and then chastised I'd done incorrectly or person didn't understand directive.  Very negative place to work."
