rating,review
bad,If you want to truely help people in providing great customer service & care Wal-Mart is not the company for that. They are to preoccupied with finding ways to cut help & cost.
bad,If you love your life and love to live it Walmart is not the place .. Well all depending what Walmart and with what manegment cause the one I work with was HORRIBLE.
bad,"Never staffed enough associates for the required job, Management unhelpful when needing backup. Have one CSM running the frontend at a time. Just very unorganized and chaotic, with no help from Management"
bad,"Inconsistant hours, terrible lower and upper management, chronicly understaffed so that they can over work their employees, poor training, no benefits and minimum wage."
bad,"Running the service desk check cashing ,training photo department,customer service,doing returns ,cleaning ,and putting stuff away The hardest part of my job is not being moved up in the company"
bad,IT was a job. I helped open the store on Moreno Beach Drive in Moreno Valley. that was alot of work but also alot of fun made alot of friends. But the management they they really sucked cause after i was there for a year i put in for a vacation time and they denied me so i went and took it anyways i didn't care what they said. so i was there for 2 years.I got another job oppertunity and i took it.
bad,"A typically day of work as a cashier at Walmart consists of greeting customers and ringing up their purchases at the front registers. The only thing that I could really say about this job is that I learned how difficult customer service really is to deliver. The most difficult parts of the job involve dealing with cranky, sometimes emotionally unstable customers who can be quite demanding. The most enjoyable part of the job involves interacting with coworkers who are in the same age bracket and have similar goals. This job would be unbearable if I could not interact with other college students who were working there during the same times of the day as I am."
bad,I was written up for not calling out one day while I was in the hospital despite telling the manager the day before that I was at the hospital due to diabetes complications and would be out a few days. Despite this they did not tell me I had to call everyday I was out. They do not care at all for their employees.
bad,"Wal-Mart under pays their employees. The management did no real training. The managers had disgusting attitudes everyday, very ill tempered. The way it was being run at the time was rather unprofessional to say the least. You can not take care of a family on the income you'd recieve from working minimum wage at wal-mart"
bad,"This was the 2nd time I worked for Walmart and i was paid even less. They paid the night stockers 1$ above day time hours. The work was hard, grueling and had to be done in a short amount of time, and did not care how hard they pushed"
bad,"A typical day at work is doing 10 jobs in one working for walmart. Management team sucks want help you ,but will load you up with 50 things to do in 8 hours."
bad,The hardest part of the job was the hours and heavy lifting.  The management staff was very reluctant to provide proper equipment in order for the employees to do their jobs properly and safely.
bad,"When working at Walmart they stress credit card applications because the more you get whether the person is accepted or not it adds to the employees bonuses. So you know you're in trouble when multiple managers tell you to fake credit card applications by putting in fake information to get more money towards their pockets... "
bad,"With thousands of locations, Walmart may have a very diverse set of environments for people to work at. My store was in Florida. It was disgusting, poorly maintained and badly managed."
bad,A typical day at work was like being in prison. I learned that if you a good worker management will be on you for everything if you don't do your job management treats you like gold. Management is terrible one doesn't know what the next is doing and they make up rules as they go if management doesn't like you then they will try to do everything possible to get rid of you. Work culture is very poor. The hardest part of the job was keeping your mouth shut in a situation that cooperate had already been called on you go in and its the same thing over and over and over again. The most enjoyable part of my job was seeing everybody daily.
bad,"They told me about all these great benifits. Then i started working, they threaten me of my job every day even though I would finish my job to help others so, i got hurt helping the woman they were over working, I thought Walmart would fix me up but they said it was my fault.  they destroyed my life. My family an i suffered"
bad,I do not recommend working at Walmart to anyone. The pay is poor and management is horrible. Your voice is rarely heard and nothing there is consistent.
bad,"many of the employees were cut throat , back stabbing. most managers were incompetent and vindictive . no caring for the employees , will throw you under the bus in a heartbeat"
bad,"Poor judgement because they refused let me relocated to my hometown. I don't like this job very much."
bad,"To do your job as a manager plus jobs for the assistant manager when it is not your job. Under paid, always being talked down on, no one knows whats going on, your suppose to have bonus per quarter still haven't seen that. when in need for help the managers do not come to the rescue till its last minute and customers want to go off or try to physically hurt you"
bad,"Uma empresa péssima em todos os aspectos para trabalhar"
bad,I learned a lot about Walmart they don't  treat there employment like they should they work you to hard and then expert you to finished your task when they ask you to do something else but i learned a lot working for walmart i enjoyed helping the customers out everyday thats one thing i like about that but from management they was rude and loud and if you didnt come get your returns our something you would had got coach which it was crazy but i would say i learned a lot about walmart.
bad,After nine hours in the deep freeze stocking at -30°f. I was told I wasn't fast enough. And written up. This is after 6 months of breaking my back for management. Worst job ever. And my last job had me getting shot at.
bad,"When you come to work, your expected to work hard. When others didn't do want they we suppose to on their shift, it means more work for you. I would tell management and nothing was ever done to fix the problem"
bad,"When I started working there, I was happy. But, I noticed : poor and uncaring management, lies and a lack of training and I began to think differently"
bad,"The management team is horrible. No one never does what they say their going to do. My supervisor started so much mess in the department that I worked. I reported most things using chain of command. But nothing was done. Then I reported issues with home office, but nothing again was done. For the 13 years I was employed there it was not worth my time. I was over worked and under paid. And its just too much favoritism."
bad,its really a culture of keep your head down and do bare minimum. there are employees that go above and beyond each day but are not recognized for their efforts because the atmosphere is so stifling its definitely not a positive enviornment.
bad,The management was a complete DISPLEASURE to work with. They were too controlling even though they knew next to nothing about my profession. They were a waste of my time! This company has no respect for their employees/human capital.
bad,"Working for walmart was horrible. You didnt get paid overtime , anything over for had to be cut on your lunch. You had to get approved to change your schedule which management never wanted to approve. If availability is approved they still schedule you outside of it. They never approve vacations. They think your life revolves around walmart and do not care about your outside life. CSS are very lazy and do not like doing there job. There is alot of favoritism in the store. I would not recommend a soul to cherry hill walmart"
bad,"I do not believe anyone should work for this company. In my opinion they do not care about the well being of their employees. This is evidenced in the fact that hardly any hourly employees were hired at a full time level when I worked there. This allowed the company to avoid paying any insurance benefits or paid time off. When I worked there I was frequently reassigned to work in the backroom unloading trucks even though my position was that of a sales floor associate. I was not paid any more for working these much more physically intense positions either. Management did not care about if the employees were doing their work, and were apparently afraid to fire people for poor job performance. You are only going to be scheduled for 30ish hours a week, but will be expected to be available anytime. This makes it difficult to hold the second job you will need if you plan to live off the wages they pay you."
bad,garbage place to work did not enjoy myself at all would not tell anyone to get a job here they micro manage you nonstop don't care if youre sick or need to do something just make you work work work even get mad when you don't want to work overtime.
bad,"No comment as I have people I still associate with that work there, wish they could find somewhere better. Walmart has better employees, committed to doing their best, and holds each other closer through friendship than many places. I feel they band together so tightly because of the ridicule they receive..."
bad,You cannot count on the company to be there for you as they promise. The benefits you pay for will be skirted around as much as possible because they are self-insured they do not want to pay.
bad,"Not a place you would like to spend your career, they pick and choose who moves up which are people that don't work hard or really care. They do things on their own time and they don't care about their associates!"
bad,It was a good company to work for lots of learning opportunities. Finding a supervisor who could become a mentor is the hardest part of the job. Somedays you can`t seem to get any one task done.
bad,"Worked there for 3 and a half hrs, started at $9 and ended at $10.50. Not good if you have family. Wal-Mart makes it very difficult to advance quickly."
bad,"Nothing is good enough and the managers don't encourage, only critisize. They don't care much about personal troubles and not very well run in all. I am looking for something much more team oriented and non-profit."
bad,"Muy mal ambiente de trabajo! No respetan tus horarios, Sales a comer tardisimo, No pagan lo que es!"
bad,"Does not care for employees. They will work around your schedule but you will suffer severely financially. They do not accept Doctors notes, They will not help you with more hours, and are very unprofessional and unsympathetic."
bad,Management does not care about the associates.  Typical work day is mundane. The way things were done was not efficient. Most employees were grumpy. Hardest part of the job was the work place. I loved the customers.
bad,Most of the management was rude. When you tell a customer something the management will over ride whatever you say just to make the customer happy. Which makes me look like the bad guy. Hard to get advancement because the management has their favoritism. They hire the person they like not the one that is more qualified for the job.
bad,"Not the worse place to work, but the truth is, the management only cares about your being there.  If you want to be on your feet everyday, this might be the place for you."
bad,Absolutely terrible place to work if you are not in with the In Crowd management they will find a way to get rid of you and they'll fire you for whatever reason even if it's false then they'll say oh you can get your job back but why would you want to work for someone who just kind of gets rid of you for no real reason they expect a lot from one person even though people from earlier shifts  will do nothing all day and not get in trouble and you come in to do your job and you got to do their job and yours and then you get in trouble if yours isn't done
bad,"Worked for Walmart for two years in upper management,moved from another province and now have no job due to restructuring,stay away they ruin peoples lives.THe senior management are very sneaky and the store managers are terrible.They will be never number one in the supermarket business,no business sense"
bad,I have worked for Walmart for 8 years. In the beginning it was a great place to work. Good pay with lots of perks and benefits. Slowly over the years all the perks have disappeared and the pay rate has slowed dramatically. I make the same per hour that a new hire would coming in and that's minimum wage. Only reason I stay with this company is because I'm getting older and work is hard to find. Definitely do not recommend employment with them.
bad,There is no room for growth when you are upfront and honest. When you know policy and aren't afraid to exercise your right to those policies Management would retaliate against you.
bad,it is hard  work and they always want more out of you ever day. You can not work at your own past it is always harry killing yourself for these people who treat you like your a slavery.
bad,"You are hired and trained to do a certain job, but you are rarely doing that job.  Employees are expected to fill in wherever they see fit at any given time, even if you aren't physically capable of doing the task at hand.  "
bad,A typical day for me consisted of being outside for 8 hours whether it's 100 degrees or a blizzard. Towards the end we were no longer allowed to keep water with us. Management seemed like they wanted you to fail.
bad,"funciones: reclutamiento y seleccion de personal"
bad,This was the worst place I worked. Managers walked over the the employees. Some would hide complaints from corporate. Lots of favoritism. Get ready for feeling gross after work and good bye life.
bad,"Being a department manager I was stressed so much my health was affected. Making the company let me go, because my doctor and hospital visits were not excused. I felt this was unlawful. Being a fortune 500 company all employed do not matter and are expendable. I feel the company should be required to change policies by law."
bad,"Walmart is a self interested company "
bad,"Between the biased and favoritism from the management all the way down to the employees that didn't want to be there. Its your typical ""act happy or we will fire you"" kind of place. I could go on and on but i think I have said enough."
bad,Managements favorite thing was to harass employees and wrongfully terminate them for things they weren't guilty of. Then would let people go without a word or reasoning.
bad,Walmart is a typical non-union place of employment. You must document everything needed to provide support for yourself in order to remain employed. Turnover rate is unbelievable.
bad,Be prepared to never move up unless you kiss the right managers butt. Don't be to good at your job or they'll never want you to leave it. There is no loyalty there for long term employees.
bad,Wal-mart is terrible to work for.  The Wal-Mart in Palatka florida is one of the worst wal--mart I have ever worked for.  They are mean and they have no respect for you or your family life.
bad,"The atmosphere was awful to work in. The coworkers were unpleasant, the managers were overbearing to the point that my shifts were stressful, I was written up twice for not asking for credit cards when I was, and I was never let out on time. I could never get hours scheduled but was expected to pick up others shifts frequently. The communication was almost nonexistent and I wouldn't recommend working here to anyone. Not even a good first job choice."
bad,Poor management with no communication even between various shift managers and store manager is constantly taking vacations and pushing out anyone they don't like.
bad,"While working at Walmart I was treated with less respect than I have ever received anywhere I've worked. Not to mention the flippant, inconsistent and disregarding attitudes of most salaried members of management. No one at my store knew what the other person was doing, nor was the store manager a good person. My store manager picked out people to pick on out of no where, and no one else cared. I would not recommend working at Walmart to anyone."
bad,My friend got fired for buying a discounted item. Im most likely getting fired because I had back spasms and couldn't move to go to work. They took me off the schedule before my leave of absence was approved or denied.
bad,"Terrible management, poor employee recognition, and no time off. Designated location of work was unorganized or made unfit to work in. Requested time off would also be ignored."
bad,"I think Walmart needs to reconsider their ""No Exceptions"" point system.  Things happen in life that can't be helped and are beyond your control that you must miss work. This 9 points and your fired rule in unrealistic and should be abolished."
bad,I worked there for 18 years.  I enjoyed my job.  Managers were ok most of the time.  They needed to all be on the same page at the same time.  Recognition for a job well done was rarely noted but have an off day and was told to everyone in the store.
bad,I worked there for almost a year. I never got a raise. The pay was not enough to live on. 8.95/hour is nothing these days. It was only 32 hours a week when I was available full time. They said they hired within but hired 2 brand new people to be full time over the employees that were up for full time already. I was one of them.
