rating,review
bad,Make sure crew is taking their breaks when needed so then everyone doesn’t cone to you at the same time and have to take their breaks    These guys love to play that game so you have to be on your toes
bad,"I have worked in a few different call centers and this one was by far the worst, from leadership to resources it was horrible. They also only want people they choose to succeed and don’t want to be outshined in any way"
bad,I am the type of person who goes above and beyond the Call of Duty and do more than what is expected of me. There is no appreciation for this type of work ethic. They do not care. They only care about what and how much they can get out of you. And if you are not being a yes man to them you have no value.
bad,"do not apply! this was the most disrespectful, shady and unsafe corporation I have ever worked for. employee safety is a far distance second to profits."
bad,"The only reason I have this job is because I need the money. 90 percent of the employees in our group are contractors and will never be hired full time. It's pretty said that they depend on the ""contract"" employees as much as they do. The full time employees are out so much and they know that the contract employees cannot take a day off because we don't have any PTO hours. The only part of work I like is the hour for lunch that I play my game. "
bad,"Management is only there for the bonuses. They role play before a disciplinary meeting and to include HR. They only cover themselves. STAY AWAY. If you get hurt hire a lawyer cause they will deny your worker’s compensation. DM needs to go, he has destroyed the company both morale of workers and with his own managers."
bad,Company refuse to pay for work that they wanted you to do never made repairs to equipment for employees when anything would break they would blame the employees managers would openly brag about how they over charged companies and coustomers
bad,Company is bad  it no hrs and Independence Iowa location sucks u wel work your butt off and not get the respect u need and it feels like your in high school all over agin and the trucks are not good
bad,"Everyday you cough up black snot not a very health environment. You breath in a lot of dust the whole shift that's why left."
bad,You will be treated like the garbage you are picking up. You will drive a death trap on a daily basis and if you make too much noise about it you will be targeted. DM and both RM's are snakes and only care about the bonus your hard work will make them.
bad,"I do no recommend. Employees are underpaid and micromanaged. Unprofessional, ethics violations, under the table transactions, harassments, HR violations, bribing"
bad,Company is not worker orient you are just a number push to get work done middle management and upper management could care less. Get hurt they will fight you all the way through court5.
bad,If you like to work for a maintenance manager that has no knowledge of fixing trucks then this is the job for you. Management does nothing but bicker between each other and accomplish nothing. Will throw you under the bus to save their own rear. Lying is the common practice in every situation
bad,"Waste management doesn't care about its customers or employees, Worst job ever  wouldn't return to work there even if they paid me a million dollars! Run as fast and as far away from there as you can!"
bad,You are expected to do everyone else's job and the manager at my sight was a complete jerk. I was assaulted by the manager and reported it and nothing happened. As a matter a fact he got a promotion. I will never work for this company again.
bad,All of the interesting things that you can find. Also riding on the back of the truck is pretty fun too. The work is easy but it is also tiring and exhausting.
bad,"The management sucks they don't  know wat they are doing, I been here year an I seen more people quite here more then any other job, the culture here is very racist, the pay is basically minimum wage for wat they want u to do"
bad,"All about numbers"
bad,I left cause the managers act like my life didn’t matter they would switch my hours around when ever they felt like it and they were constantly on our back to hurry up very stressful and definitely not worth working in that environment and Wastemanagement doesn’t do anything for there employees
bad,"You are not being hired to sell! I worked weekends, vacations, and nights. I was expected to rectify major billing mistakes, made by billing,  operational issues, and pulled in several different directions, because operations didn't want to do their job.  We never had inventory for new clients. Leaving me with little time to hit my sales goals, or accommodate to my book of business. Hence living off a base salary that was $13.75 an hour broken down. Management was very poor, with zero support.  If you have experience in sales, I would recommend looking somewhere else!"
bad,Demonstrated ability to pick up loose trash and materials. Prepare and handled sanitation equipment. Unloaded collected waste from sanitation trucks. carry out the function of the job.
bad,60 hours a week every week.. they will fire you for one mistake. They treat the employees horrible they have cameras in all the trucks 10 major rules you break any you get fired such a big company your worth is nothing to them. They have no incentives you live at work they work you to the ground such a stressful environment. No job security you can have years and they will fire you in a sec no one will fight to keep you at the company what a disgrace to the trash industry
bad,"I worked for WM for almost 12 years. The first 9 years were AMAZING! Wonderful benefits for health, my manager at the time was wonderful and helpful if and when needed but pretty much allowed me to do my work and since there was another person that actually did a small amount of the work then, my hours were great. I never called in, always was on time, my personal phone was always on in case the drivers needed something and the office wasn’t open yet. I was very good at my job and felt very happy and blessed and respected by my peers and my bosses. My boss at that time very much respected me and most times we agreed about everything and sometimes we agreed to disagree. He treated me fairly but also corrected me if he felt I overstepped my authority. I learned all the safety aspects for the drivers and mechanics.Later, my hours became nearly 7 days a week & late nights that I wasn’t paid for because the DM restricted my hours but gave me other’s responsibilities. I loved and still have close friendships with many people who worked there and have also left for other Waste companies. I learned a lot about the business in general and I loved my job until those last three years. I enjoyed very much what I did and was respected as a dispatcher in the beginning and then a payroll person and then the Operations Specialist."
bad,These guys first accused me of yelling at a woman while collecting her waste than it turned into she heard me from the street and than it turned into I was leaving garbage to teach people a lesson and then fired me so shady
bad,They have one on one meetings with new employees on why they have such a high turnover. There rules are too strict. Nobody wants to deal with that nonsense.  $18.00hr was too low for the what you had to put up with every single day. And they need to make there older trucks automatic switch start working or they are going to see more people become ghosts.
bad,"If I could rate less 1 I would. They make promises they never kept, to my people working there that have no idea what there doing.  Company always talks about how good things were back in the 80's."
bad,"The review summary says it all. For a company as large as Waste Management is, you would think they would have their act together from a management standpoint. They have grand plans, but they're not at all executed properly. Zero communication from upper management to the rest of the floor."
bad,"After working and breaking my back busting my butt for 15-17 hr days with most weekends and holidays required to work, They stuck me in an office continuously trying to find a way to get rid of me, after 15 yrs of service they through me out the door offering a poor package I had to obtain legal assistance"
bad,Do not recommend. Terrible management. Lots of gossip from shop management and fleet manager encourages it. Too many hours no family time. Will let trucks run unsafe and if something happens will blame the tech. Run away from this place
bad,Was hired to do cleanup and litter patrol and was forced to ride on the back of a garbage truck more and more. Wont hire full time and expect you to work full time hours
bad,Worst job I ever had they had no respect for the people that were working for them on the starting line you're just a person and whenever they want they will throw you up work there for two years have never been treated so bad in my life would never go back I suggest to anyone don't go work there
bad,The place is unprofessional. They do not take pride in their work. Only superficially. I am an artist’ . I like to be the best at everything I do. Not out of pride or $. I’m also an entrepreneur. I Must be appreciated and rewarded accordingly. Or I will go elsewhere. I’m not up for negotiations....adios!
bad,"Biggest mistake I’ve ever made, working for WM. From the training center in FL , to the distric I worked at in Menominee falls, WI. "
bad,"horrible , stressful place to work , no appreciation , no help , no sympathy just crank out numbers answer call and sell sell sell or else write ups !!!"
bad,terable place to work managment was bad very dirty place to work employees treat you bad lack of pay for the job that was being done real bad benefits
bad,"This company is ran by poor management in which you will find yourself in a position headed down a dead end road. I never worked for a company with a ""as high of"" turnover rate as this one. The pay is low for industry standards,  and even if you are a strong performer, you get a whopping 2% raise. I would definitely not recommend this company to anyone."
bad,The company has unrealistic expectations. It’s all about. Numbers not really about the people. Management really sucks. They want to be good at everything but really forget about the hardest people that work there which are the drivers. The more you give the more they want
bad,"The St. Joseph Waste Management was a joke as far as supervisors and the truck fleet was worse breakdowns daily, the dash cams had the drivers scared and instead of trying to back their guys more interested in trying to find a way to fire em. Took forever for guys hired as drivers to actually drive so they got more money for my job stressed safety but was times couldn't even get ahold of a supervisor they are union in St. Louis need to organise and have a voice in St. Joseph their losing customer s and money but the guys ya work with are great it's management that's a joke"
bad,"They will work you until you drop,12+ hours"
bad,Do not work for waste management as a equipment operator. The pay scale is horrible and never changes for experience or productivity. The pay scale is like a socialist economy “ no matter how hard you work or how much you get done” 30 cents per year raise is all they give you. The best part of the job was the lunch room and going home after your shift. Everyone hates their job at waste management. So the culture sucks
bad,I was being paid way to low for all the requirements for the job.  No one should be expected to perform at such a high level for little compensation. Great experience though.
bad,Waste management model is hurry hurry hurry up pick up the trash but do your shift of servicing Thousands of homes on short staff  and in limited time. Heaven for bid you have a family emergency  they don’t care what’s going on in your personal life it’s really hard to take off in an emergency because they threaten you with your job
bad,"the management ignore concerns of employees, like health issue with mold. management played favorites with employees. management and training was non existing.very high turn around of employees. not enough help with difficult account and over loaded with account that required constant attention."
bad,This company is a joke!  The equipment that we used to pick up trash constantly broke down.  They sent us out in equipment that often time would be dangerous to drive.  They routes were not managed correctly and management did not care.  The amount of employees that came and left was like a revolving door on a daily basis.  Don't bother to learn anyone's name - they will be gone the next day.
bad,"Racist, lack of opportunity not good at all is a mess not organized at all they act like every spanish person are slaves and treat Indians like they dont belong here. Very bad to work for. They only care for them self"
bad,"Do Not Work Here... Dispatch was a complete headache... The job is based upon Speed... but safety first, right?! No matter what happens, it’s your fault and will lighten your pockets."
bad,What a joke. This place absolutely sucks. Route managers are rude. The one I had it was impossible to get along with him. Total jerk to his drivers. But according to him he could do it all
bad,could be a great place to work if they paid better and the management was better. Management needs to be better trained. they offer some good things but its offset by the things you have to go through. Their trucks are old.
bad,"Stinks, Maggot infested and a Bunch of lying backstabbing jerks and convicted felons, Bi-polor morons. Other than that a great place to work. Dont waste your time at waste of management."
bad,Waste Management overworks and underpays their staff!  I worked at WM for almost 2 years I only got a 42 cent raise!! take it from me to stay away!!!!!!!
bad,"Terrible place to work. Poorly managed. The only thing management cares about is saving money. No teamwork whatsoever. Some drivers work, some are lazy and expect others to do their job for them."
bad,they want you to empty 1000 to 1200 cans a day go to the dump then help other workers out who are lazy. managers are stupid dont waste your time. managers follow you around while you trying to work trying to write you up cause they have nothing else to do they want get out and help .
bad,"This is the worst I have been treated by a company ever! "
bad,Start at 7am. Go up on the line grab the material you've been assigned to.  Put it in bunker and keep area clean. Go to lunch. Get back to work. Clean  assigned areas.  Clock out.  Go home.
bad,"Worst place to work for,They treat you very poorly and like you are just a number to them that can be easily replaced and talk to you very unprofessionally"
bad,Working for this company for 3 months nothing about pay raise. Have knowledge of breakdown and repair of machines. Applied for millwright and was turned down even though they want me in shop to repair machinery. Lead of shop has knowledge but no patience. Wants to hire friends but friends can't work with him. Can't believe he made it to lead with no knowledge of machines working on. No willingness to learn or listen. Waste Management/Dolphin Services.
bad,No air condition during the summer and no heat in the winter. Filthy working conditions. Rats everywhere. Mangment is racest against everyone who is not Vietnamese.
bad,"The most TERRIBLE place you could work. Terrible management, ONLY worried about bonuses and numbers. Constantly putting their employees at danger in order to make themselves look good. Working employees 60+ hours, won’t slow down until there are multiple accidents. Do not, seriously.. DO NOT work here unless you’re willing to give yourself up, potentionally die, or wanna join a cult."
bad,"This company was contract based, thus I was not granted the ability to really established the gist of all the benefits or packages they offered.  My tenure with the company was no long"
bad,to many rules and according to my supervisor they don't give out raises except once a year you got cameras in your face watching everything that you doing too many rules everyday they come up with a new rule when you go to work it feels like you're in on probation you have to walk like you're walking on eggshells
bad,"Office is a clique. They either love you or hate you. Awful pay. Zero chances to advance unless you are bending over. If they replaced the management, the place could stand a chance."
bad,"Managers rule by intimidation,  put uncompromising workload demand under the gun so to speak, my way or the HI way towards employees, very stressful, ridicule work habits to keep your moral down."
bad,"WM bought out the company I was working for, I heard nasty things about them but decided to give them a chance, a month in I wanted out, they don’t want to buy me out so they are trying to make me quit, spying on me with drive cam and cutting down my run it’s a nasty cooperation I work out of Danville, Mississauga stay away from this place if u want to keep your insanity."
bad,"If you’re a hourly employee they could care less about you. Everything is based on managements  bonuses ."
bad,"I do not recommend it if you have a family , you will not have time for your family , some of co-workers are nice ."
bad,Worked 12 hours some days... and wasn’t complaining . Also wasn’t compensated.  Paid almost minimum wage for extreme work. From day to night work but shift is only supposed to be 8 hours because that’s all I got paid for.
bad,These people dont care about their drivers they only care about dollars. Their managers dont give a dsrn about their employees. They are garbage to work for.
bad,"I worked for this company nearly 20 years - 12 hours a day, never called out. If you make a mistake or speak your mind you are out the door. Management over complicates what should a straight forward job. There is no work life balance at all. Long days and no recognition for a job well done."
bad,"The hours was long, the compensation was not worth the pay the employees was unfriendly. There is a lawsuit against them right now for compensation. The managers was unprofessional"
bad,Working at waste management was a different and unexpected experience. It was okay. The supervisor s were very rude and blunt. The company had very little organization.
bad,"The company is good just as a dispatcher we worked 9 hour days,sometimes longer many different ways people did there work no formal training you trained with someone for a few weeks and then on your own."
bad,"Two weeks paid-training by tired (leaving) staff on glitchy equipment including 1980's software. Segregated from existing employees and macro-managed 24/7.  Record-high 'churn' of employees - 'new hire' class begins every 6-8 weeks.  A 'morale rescue/evaluation' meeting concludes the training period Interns to stem the flow of 'leavers'. Millenials/Interns with no interest or skills brought in on the cheap to fill slots. A personalized and subjective 'in' crowd controls the company and all/any advantage/promotional opportunities. A psychologically choking environment and robotic methodology (""it's always been done like this"") is the way WM operates. "
bad,The culture was not great at WM which cause morale to be low. There was no work life balance and the pay was low. I would not recommend this position for someone with a college degree.
bad,The supervisors lack the experience in managing the team of drivers. Has no leadership or communication skills. A lot of favoritism and discrimination.
bad,"Ambridge location is a joke. Drivers are pathetic, management has no idea what they are doing. Avoid this company as a mechanic. They only care about the fat drivers"
bad,Waste management was very depressing because I seen dead animals such as dogs/cats/horses/ etc and came across a dead infant wrapped in a plastic bag. The smell was over the top. Not enough protection to cover your face and skin. But I needed to pay bills so I had to stick with my position until I was able to find another employer
