rating,review
good,"Great company.  They promote within. "
good,I enjoyed my time at Wells. Very friendly and helpful people. I was a contractor. Salary was not the best. Didn't have any benefits since I was not full time.
good,"A company that provided great customer service, while attending to customer  needs. There were classes  provided to help you learn your job better.  Benefits and pay could have been better."
good,Wells Fargo Advisors is a great place to work if you are lucky to land on the right team. The majority of my career there was rewarding and I made some wonderful friends there. I transitioned to a different team at the end and regretted the move after the fact. The work tasks were the same but the management team was difficult. I had no opportunity to transition to another team and resigned from the company.
good,Had all tools required for production.  A safe and productive place to work.  Support staff was excellent.  A Bank presence would have been very helpful I securing new clients.  Especially for client reassurance.
good,a lot of stress that's not equal the compensation. Job has a lot of ways to get yourself terminated that are natural human mistakes that are monitored and can be corrected .
good,"Hated job and management, the money is what kept me there also the hours were terrible but i gained great experience and made some life friends. Kids are raised and would like to return to try it out again and maybe get into a different department with different people."
good,"Typical day for me would be coming in 30 minutes early, get myself together to start the day(coffee),Sign into my system and start handling customer questions and concerns. Keeping myself on task so that I can perform and produce my monthly metrics. Sometimes depending on the call flow I would be asked to get off the phone and assist other bankers in areas they may be having trouble(coaching sessions), or acting as floor support for my team,"
good,"Besides assisting customers and maintenance of accounts, one must sell products and there's a monthly quota to meet. If your sales driven, I highly recommend this job. If not, then one can still try and decide for oneself."
good,"A typical day as a loan officer with wells fargo was not typical.  Your day was based on a previous days work or appointments.  It was not a 9 to 5 office job, you was responsible for the mortgage needs of branch facilities assigned and organizing and maintaining a pool of customers and realtors that bring you business. It was a time when the mortgage industry was just recovering from one of the largest mortgage crisis in history and business was slow."
good,Great place to work and great  benefits. Would recommend it anyone who was looking to work in finance. Generous paid time off and holiday schedule and health benefits.
good,"The company is good place to start a career with, if you are willing to do so. Beware of a lot of favoritism though. It was the biggest issue I had with the company, beside the lack of raises."
good,"Typical day was slow due to our branch being newer. We ran a productive branch, processing customer transactions in a timely manner. Branches have a lot of favoritism, i recommend not to trust anybody, especially management. Marina Del Rey location was a fine location with many pleasant customers."
good,"I don't have much to say."
good,"ok place to work, high stress level environment, have to work under pressure. set schedule, including weekends and holidays, volunteer hours are schedule twice a year."
good,Typical workday would include answering phone calls to assist team members with password reset issues with a variety of applications or monitoring applications performance.
good,fast pasted high productivity work environment. This was a credit card department for visa and MasterCard. Clients applied for credit and we had to review the applications for approval or denial.
good,"It provided me with banking experience. "
good,This was a desktop migration for Wells Fargo through an outside contractor. The most enjoyable part of the job was I that I was in constant contact with the end users.
good,"Wachovia took over SouthTrust Bank. It was a culture shock to most, but Wachovia was a good company withy excellent senior leadership in the call center area."
good,"Great company.  They promote within. "
good,"I haven't worked here in quite some time so it is difficult for me to accurately star what the culture is now.....When I was there, I enjoyed my work and the people"
good,"boring place to be "
good,"I was only there for a year , I really do not remember much of the company. I was doing data entry , I worked from  6PM to 2AM. It was a job until I could find something more permanently. I dont really remenber anything about the job."
good,It treated employees differently based on age preferences; in my experience.  They kept people who were willing to work for less because their attendance and performance kept their paychecks low and new management threatened to get rid of employees who were exceeding companies expectations and getting their earning raises to the point that they would leave voluntarily as the work place was exasterbating health conditions based on performance stress and pressure would be forced to quit voluntarily.  This kept companies insurance costs down intentionally and with a cold business heart that no longer showed integrity or compassion for its employee's and soon there after their customers.
good,Relaxed atmosphere to work in.  Employees generally liked working there everyday.  Not a lot of stressful days. Worked as a team.  Safety is key like at most places.
good,"I work in Document Custody where we regularly handle documents and files for millions of people. We are expected to pull or file a certain amount of items per hour, which is often easy enough to do. It is not a difficult job and everyone there is very friendly and we get along. Some days can be stressful when there is a lot to do but at least you will always have something to do. I personally rated three stars because while I am good at my job it is difficult to advance and I feel many of us are underpaid. I am unhappy with the recent public image of WF and I think they can do better for their employees."
good,Wellsfargo is a great place to work.  In the department im in there is no more opportunities.  I started in the call center and worked in that department for 6 years.  I then moved on to the Loss prevention department and worked there 4 years.  I'm now in the Quality department  and have been in that department going on 4 years now.
good,There are a lot of opportunities for career advancement at Wells Fargo.  The hours are the major down-side; the schedule can be challenging for a young family.
good,"Working at this bank for your first job is fine, after that it gets redundant as there is not much room for advancement. This job is good if you are trying to earn work experience."
good,"I hear the full timers are pretty happy with benefits and work life balance but in many groups the contractors are expected to ""cover"" for the full timers over the holidays, not given the same work-life-balance flexibility and have no recourse if mistreated by managers - as such managers may abuse contractors while being good to their full timers."
good,"Good branch to work at FRIENDLY customers, the permanent staff a boy to be around not many opportunities for advancement in the bank teller filled but on the call center there is"
good,"Good starter job fresh out of high school. Professional work environment co workers were amazing. There "
good,"Fortune 500 worked there 7 years "
good,"There  is definitely room for career growth at Wells Fargo.  I feel as though if you work really hard, you will be rewarded.  Great place to get banking experience."
good,"The people who work there make the job fun, I went into this job thinking it would be one way but when the lawsuit & settlement came out I feel like everyone is walking on eggshells."
good,"GREAT company to start off in, but Eventually you will want to move onto bigger better things . You will have a great work environment Wells Fargo employees are amazing ."
good,"Overall a good place to work, but like any big company they will cut the workforce as it fits their will. I saw many of my fellow employees lose their jobs through no fault of their own"
good,pay is not equivalent to job duties but the benefit and paid time off is great. A lot of departments have no idea what the functionalities are of each despite working parallel to each other. They are very keen on executing work loads with low staff and less unrewarding pay.
good,"look up wells fargo sales culture in the news, this pretty much sums everything that I could type up in this review. In case you missed it they had a pretty heavy culture of pressure sales"
good,"Great company.  They promote within. "
good,The ability to be flexible.  In any banking industry the work load is based on the economy.  One things that this company was good at was keeping talent if at all possible.  Moving people to different areas with the bank as to keep talent and give employees the opportunity to learn something new.
good,As an employee was instructed to sell products and services only and guide customers to self serve telephones for customer service issues it appears they may be changing.
good,My manager at Wells Fargo was the best manager I have ever had. She was an exceptional leader and positive influence in my life. She pushed our team to be the best in the area.
good,"reviewing the accuracy of: appraisals, credit reports, verification of employment (i.e. paystubs, tax returns) bank statements, home-owner’s insurance binders, preliminary title reports and final settlement statements.  Reviewed for any possible red flags before submitting to underwriting department.  Communicated extensively with customers, Home Mortgage Consultants, Underwriters and Attorney’s."
good,The most enjoyable part of my job was working with and getting to know different people. Learning different aspect of the mortgage industry and growing professional and personally with the company for the past 7 years. Wells is a good company to work for.
good,Great company friendly environment and good pay with benefits. Good working hours as well as education reimbursement. Full time employee and full time student management very understanding
good,"I provided teller services for complex customer transactions, balanced daily settlements, and met customer needs.   Ensured compliance with financial rules, regulations and policies."
good,"Very competitive, stressful, management not the most caring regarding well being of employees but this does vary by person, very, very high pressure sales atmosphere."
good,"The company had an excellent training program and one of the most user-friendly software programs I have ever encountered. There is a huge support system for every issue you may encounter so, it really helps you feel supported."
good,loved the coworkers and enjoyed the customers management was good. working sales had to be made and met had to b on top of things work was steady and easy going
good,"My day typically consist of coaching and providing feedback to the staff. In additional, I conduct several role play and skill practice to ensure employees understand their roles and execute effectively"
good,It was a stressful position and we should have been compensated for it... I don't feel like the company is a bad place to work for I just feel the position I was in is what wasn't the best...
good,job places were wonderful and most of the colleagues are nice. I enjoyed my time with Wells Fargo bank very much during those time while i was on board at wells fargo
good,Wells Fargo overall is a good company. Just like any large organization it has its pros and cons. Management in my opinion should focus more on the employees and not so much the big wigs or higher ups.
good,I worked for Wells Fargo when it was originally Northwest Bank.  It was a great job for me to have getting into the workplace and stepping out on my own
good,"- Typical corporate banking environment"
