rating,review
good,I had intentions on becoming a manager at Wendy's but unfortunately I've never made it to that point they hired a new GM while I was working and she was very nasty acting which caused me to leave the job
good,Great place to work . Love the environment and the opportunity to learn and grow. They gave me the knowledge and the chance to rise to another level. They probuee many opportunities and I took them.
good,It was great place to work. Managers are always there to help when needed. They care for their customers and employees. Also have great food and work environment.
good,"It is a great place to be employed great people great environment flexible schedule they care about you, like another type family away from home better yet another home"
good,"typical day at work consisted on multitasking, talking to customers, cleaning, cooking, etc. i learned not to be so shy and speak up when something is wrong. The coworkers where very united and we made a good team work."
good,"I don't regret working for fast food because the foot-traffic volume always kept me busy and prepared me for work environments like it. Was never really a fan of working for fast food because of the smell that latches onto you and your clothes, and the job becomes worse if management sucks. Most of the time, the treatment and the wage are not worth the effort you're required to put in, but it is a great prep job for the working world for those who have no experience."
good,The people here are very nice to work with and always has fun. The company is always looking ahead and wants you to succeed within the company. This company is a good company to work for
good,come in and start working i learned hard work the managers was mean all black people the hardest part is maintain a positive vibe enjoyable part is getting all work done
good,"It was a good and easy place to work at. everything was straightforward and you knew exactly what needed to be done for the day."
good,"This was a good starter job during my junior year of high school.  It was fast pace, and gave me a good work ethic.  I had good managers that ensured all of the high school kids that worked there took breaks to get their homework done."
good,really good high school job that can help with work expertise for beginners. good place to meet friends and get a good work ethic. great management too.
good,"I started as a crew member and got promoted every 6 months till I became a GM in training. Once I was being evaluated for a 3 month probation period, they extended it for another 6 months."
good,"Enjoyed my job, management is professional and fair, chance for advancement is good, hours very and pay is competitive pay,  not quit sure about the benefits or if they are available"
good,I enjoy going to work and seeing my co-workers and customers.  We had fun setting up the store and making sure that we never ran out of product and that our product was hot when serving our customers.
good,"My day consist with waking up @ 5 to get ready to go to work where  I got along with everyone real good. I enjoyed working with the customers, I had the same couple that would come in every day and order the same thing every time and that always put a big smile on my face."
good,Wendy's was the first job I fell in love with. Im 23 now and would still go back. If your good under pressure and being rushed this job would be for you
good,I enjoyed my job. I worked well with them and I would let someone work with them rhey just need to give more reason for workers to come to work. Other than that they are fine.
good,"Typical day was always challenging and fun. This company made sure the employees felt appreciated.  They had mentoring programs, training programs and a number of other programs to ensure the employees had the tools needed to be their best."
good,I learned to how cook and clean and also how to maintenance the grill. I also learned how to preparatory the food for the next shift. Overall I learned what it takes to keep a business that busy and successful to stay efficiently successful.
good,Gave me a place to work and a experience as a young adult in the work field. I would recommend this job to anyone starting in the work field. but not a place to stay at for the rest of your life.
good,Fun to work with other crew members. Agree that the salary is low and some people deserved to be paid more. Some do nothing and get $8.25 while others do a lot and get the same amount which is wrong.
good,It was fun working there because the team that you have there is very diverse. People help out each other when it gets very busy and hectic. The management is a bit unorganized but they're nice enough to tell you when you're not needed anymore.
good,You're being underpaid for a lot of work. It will be better if employees was getting paid at least $10 an hour. Dealing with irate customers for minimum wages is not right.
good,Wendy's prides itself on promoting from within. They have developed new programs to be fast tracked into a management position and earn promotions. Very understaffed so a lot of room for overtime. Not the best place if you have anxiety.
good,"Perform a wide range of duties; customer service, cashier, bagger, cook, clean, inventory, etc. Followed established procedures, works with team member as needed to promote a smooth operation"
good,"i Started at Wendys when i was 16, right after i got out of school i went home and got dressed and went in to work. granted i could only work til like 10:55 cause i was a minor. Management was great, great on working with your scheduling."
good,"I took orders, made food and helped out with anything that was needed. Sometimes I helped close. The works were nice and friendly. it was a good place to work"
good,World wide chain of restaurant which always be in the Top Position . Enjoyed a lot to be a part of the Team . Taking care of the staff and people . Thanks
good,It was great working at Wendys. Everyone gets along there and work gets done. Food is always fresh and coworkers show good characteristics towards customers.
good,cooked cleaned made sure all our products were fresh and not spoiled and out of date and made sure customers were satisfied and they always went over and exceeded to make sure costumers were taking care of
good,Loved my manager while working there. Had the opportunity for advancement just did not take it because I liked my schedule. Staff was friendly and managers always willing to help out.
good,While i was working at Wendy's it helped me improve on my time management. THey really kept me on my feet and always added a new task when i got comfortable. I liked the challenge
good,Treat people like you would treat your own family member. Have compassion at the same time have order and discipline. Show the good employees that you appreciate them more.
good,A typical day at Wendy's is for the employees to go in and know what they are going to do. You are greeted with a friendly staff and people who will help you during your working shift. Everyone is capable of completely their daily task while also being able to assist with maintaining the restaurant.
good,"wendys is a fast food restaurant the require well cooked food.. well customer service .. and quick hands. the hardest part about this job is not reaching the customer satisfaction.. and the most enjoyable part is giving the customer just what they desire.here i learned its not about the work that you do, but its the pride that you have in your work."
good,"It is a good beginner job while you trying to figure out your career."
good,Working at Wendy's is a typical fast food gig. We got breaks and to enjoy a 50% off discount during your work shift. The managers were nice and trading shifts was easy!
good,"The job was very collaborative, very nice and easy to get along with co-workers. The manager was nice and easy to discuss hours with. Did not get paid enough for the work I did but overall the job was a good experience."
