rating,review
bad,"Don't become a truck driver. The industry is awful and Werner is a prime example. You are better off getting a job a Costco or even Walmart. Unfortunately most people have to start at the big carriers like Werner. It's a sweatshop on wheels.  It's basically slavery. Werner doesn't care about you, none of the big carriers do. In fact no one does. You'll be treated like garbage by Werner and all of thier customers. This is a great job if you hate yourself."
bad,"Scam promise you the world pay you 20 cents a mile . Treat new hires poorly  turn over rate is crazy. Need to win are class action suit to recover some of the money they stole from me and time .Truck broke down all the time took hotel bills out of my check, put me in a truck to train with a crazy person who should be in jail"
bad,Werner employees were very pleasant folks but the paychecks were not.  Company driving is no longer feasible nor profitable for the people who risk life/limb daily on the road.
bad,"The dispachers are horrible people, they don't care about their drivers I guess it's ok if you're fresh out of school, just for training but I wouldn't recommend it for long term employment they're slave drivers."
bad,"If you want to break your back and get paid LOW  wages this is the job for you..."
bad,The thing about this company they donot back up their driver's in situation in some altercations with people that have disrespect us at and work place or doc.
bad,"They are trying to hire women drivers but they are not ready for us. You can feel the discrimination everywhere you go in this company. Is good just to start your career and then keep moving. They promise you new equipment, is a lie, I am still driving 2016 Volvo with 400,000+ miles , the worst truck ever, but the majority of the driver get better truck before 400k miles. So why no me. Maybe because I’m a woman, or because I’m black or because I’m latino or my accent, who knows.latinEverybody lie about everything. I’m in my way out."
bad,Will cut you throat when you leave good luck trying to get someone to talk to you about getting a negative mark off your record that they should of never  put on never again  never recommend
bad,"Cheap company. They don't pay their employees well, treat you like poorly and management is dishonest!! Shop manager was stealing parts and letting mechanics take the blame."
bad,"I didn't have a good experience with Werner because I was just trying to get a day off to see my step-daughter, but Werner didn't want to give the time off for my step daughter's school graduation, so werner dropped me from employment."
bad,"The new safety manager routinely forged DOT physicals, violated ethical standards and even more...I was the whistleblower in this case and was belittled, nagged, and picked at until I couldn't take anymore. STAY AWAY FROM THESE CROOKED EVIL IDIOTS"
bad,Don’t work for Werner enterprises all they car about is their loads not the driver. You’re just another number in that company and they’ll treat you and make sure you know you’re disposable
bad,"This job was horrible, the people were horrible. The dispatchers were liars and sought to punish you if you wanted sometime. I would rather be starving and homeless than work for this company again."
bad,They are unorganized f m doesn't know what they are doing it really sucks there i will never work here again never they be put people on sleep machine that doesn't have 2 be on one
bad,This is a scam company. They have no feelings for their employees. Blame people for things not their fault.. Don't give new drivers lick of a chance..
bad,"This job does not give you any opportunity to advance."
bad,Would not recommend to anyone. There is no career advancement there and you don’t learn anything about engine work. Everything has to go to the dealer when it come to engine work
bad,"Recruiter hires you for one thing, But Warner gives you what they need you to work. And if you question it they hang up on you.. I won't recommend them to my worst enemy"
bad,"My overall experience was terrible. They treat their drivers like another number. The only thing they care about is their loads. Dispatch in Omaha is disrespectful, rude and truly not understanding."
bad,"Werner is a pathetic joke of a company that treats their drivers like dirt. If you are a driver for Werner you don't matter to them. They don't pay detention and their layover pay is a joke. Werner staff is unprofessional and different departments can't coordinate at all. No wonder Werner has one of the highest turnover rates and one of the worst CSA scores. Do not waste your time applying here, they are one of the absolute worst companies I have ever seen.Werner lies non-stop and will tell you what you want to hear to shut you up."
