rating,review
bad,Not an employee focused company at all. Like every business high value placed on making a profit but employees are consistently under valued. What a shame.
bad,"If you care about your family, stay away from this company. They will work you and use your skills to their advantage.  Do not expect a raise. The management team is a joke."
bad,This place has been taken to court and has been found to violate over one hundred labor laws and you would think they learned from it . They want you to sit around for free while waiting for a load they always look for reason to try and write you up and management  does not take any accountability
bad,Its a very hostile work enviroment. My manager screams in my face on a daily basis. The schedules arent consistent and you hardly get a day off. Employees aren't forced to show up on time
bad,have to have a fast work paced have a friendly customer services greet every customers that walks into the store also have to do your stock keep the store clean also the keep the gas pump area clean
bad,You dont recommend convenient stores as a career choice.  Who wants to deal with everyone else's bad day?  This was a temporary job while I was in school.
bad,"day to day functions of the job are fun but dealing with corporate is the hardest part of the job, corporate can make you feel that you are worth nothing, no advancement based on what you know but who you know, I've learned to just not say anything when it comes to higher managers out of fear of being fired"
bad,Constant general managers being changed. One person tells you you're doing a great job and another comes in and saysits horrible. The pay is not worth the stress you get there.
bad,"Come in at 8 AM; Pull all tickets and intanks, code each ticket ; internal movement or sell/purchase. Some tickets took priority over other such as the DFAS they had some governmental steps they were processed first. Scan coded tickets to Inventory then start pricing sale tickts. When completed turn over to management for approval prior to entering into system. If approved I would enter into system then take to my Billing Analyst and she would bill the ticket for me. You know alll about the separation of duties, LOL. Then pull tickets for other system and start pricing them, some days there could be 5 others 11 hard to get an exact number on them. Repeat process as for above tickets. Pull report to enter for Marketing to do there forcasting from, again turn over to a different supervisor for verification. Tuesday was meeting day (3) and log completion and print out. When my analyst was done billing I would go by her desk every day and pick up the billed tickets to file in my monthly folder. So when Inventory came looking for a ticket, I would have it handy."
bad,"Terrible Management and dangerous work environment, there is usually only one cashier at a time I am a female and was left working the evenings  and night alone while the manager scheduled himself along with assistant manager, cashier and maintenance in the morning. Even after several occasions homeless and drug addicts came in to steal and harassing me. Even after police reports. Nothing was done."
bad,"Maintenance is the worst treated in the company. Manager doesn't take care of southern crew. Driving trucks that are unsafe. Pay scale is messed up, very low wages."
bad,"You will be on elimination mode, fail a customer service, secret shopper and you are done. Upper management give tantrums and is well know for that. there is favoritism to get promoted. In the end its all about the profits for the investors."
bad,"the maneger  the transportation needs to take classes how to treat the employee ,the company may not know what happiness in transportation ,every week that you work you steal money unfairly"
bad,"I do not  feel this company is about anything but corporate politics.  "
bad,"I worked for Western Refining for 5 years, from day one it was the most stressful job I ever had, nobody stayed for more than a month it seemed like, I saw people get fired for the dumbest reasons imaginable, (i.e. a 12 year employee was fired for accidentally giving a refill to someone they thought was an employee [which the policy states is fine] only to later be fired because that person had been fired a few days before, which this employee had no way of knowing)"
bad,"would not recommend anyone for this company, they seem to have a buddy system in place. I learned a lot from the field foreman and the other crafts men."
bad,Theses stores need new store managers. They treated there employees unfairly. I would rather be jobless them to work for that company again. Unless your a kiss  butt to the store manager or to the assistant manager your not going to be treated fairly.
bad,This company you work alone for some hours and bad things can and did happen.
bad,I provided a courteous and understanding customer service.  I abided by up holding my NM Liquor License and Food Handler Permit Card. I utilized cash register and credit card machine for purchases of food and material items. I restocked items and food on shelves and the cooler.
bad,District Managers are biased.  This employer is a great place for individuals that have no desire for advancement.  Company does not stand behind their employees.
bad,come in and do my work mostly get a call from manager about mistakes on till reports and be told that if it keeps happening I would be fired that was almost an every day thing .
bad,"Horrible management, HR was a joke, favoritism, nepotism, all the above, pay was good and benefits were great other than that Western Refining needs to be investigated for there nepotism and favortism"
bad,"cashier while keeping the station clean and sanitary. while not busy clean sweep and de-ice outside lot. cashier everything from lottery tickets, to money orders and phone cards, to regular purchases."
bad,"The management team is uninspiring and in fact insulting.  Most co-workers were wonderful, however, expressed unhappiness with their jobs but had been there through many acquisitions and changes."
bad,"Poor middle management, Bad hostile working conditions, wasn't ALWAYS THAT WAY JUST THE LAST 6 TO 7 YEARS.  I worked there for almost 20 years and was only making 12.00 an hour."
bad,"Great company to work for. Enjoyed the great benefits, company was sold and new owners are Tesoro. Great work environment, donated to many local charities,"
bad,"Working at Giant was well a mixed bag. I loved my coworkers and bosses, but the hours were horrible they shift around one week to the next. The pay was way too low, and there were times that we would be yelled at for following company policy."
good,Was a good place to work. I enjoyed meeting a lot of new people. I had fun doing my job duties. Communication was on point with the first manager that i had started under.
good,I answered the phones in a call center setting to take orders for fuel and lubricants. I then input the orders into the computer for the warehouse to prepare. I also assisted in special probe accounts. I learned how to take muliple phone calls and get through them quickly. I did not work with management very closely. The co-workers I had had been employed there for long periods of time and did not a like a new comer that could answer more calls then them in a day so this was difficult. The hardest part of the job was that it could be very boring with no challenges.
good,"Western Refining was not all terrible, until we got a new manager, and a new DM. The hours got harder to work with, the employees were great, but management is always in the office and never around to help the front even if we get really busy."
good,"its an ok place for short term but don't stay longer then needed."
good,"The management in the Firebird department does not support its employees but allows other staff from different department dictate what the Firebird staff is and is not allowed to do. If these rules are broken, staff will then be written up. "
good,Work 8 months straight with no time off. I had to quit my job to get some time off. My manager was a first time manager not sure if he had any supervisor experience at all.
good,Would not return to work for this company .My hard work to be a good driver was not appreciated. But I guess I can't judge people that don't know me as a person.
good,"We have a very friendly work environment, everyone cares for everyone like a family. The manager does their best to work with you when it comes to needing time off."
good,"Western Refining is a great company. The benefits are some of the best you'll find. Pay is good for most job positions. There is room for advancement if you have a degree. "
good,"A great job with a big glitch.  Management continually state they are there to help employees succeed, but when told of roadblocks, nothing is done.  A large percentage of people hired as fuel delivery drivers are fired.  Beware."
good,It is a face paced environment where I learned to manage a team to meet our daily tasks. Hardest part of the job is being put down by your manager on a daily basis.
good,"While working for Giant I worked with many great people and met a great many more in various fields of work. The work can be physically demanding but overall it was enjoyable. The customers were enjoyable to met and build a regular customer base, that moved with me from store to store depending on which store i worked at."
good,typical day would be about customer service and assigning tasks to employees as per their strengths to ensure timeliness and over satisfaction of job performance.
good,There is always something to get accomplished and the timing is short. The management team is supportive of the efforts of each employee. The hardest part of the job was getting buy in on directions for priorities of work flow as everyone needed their part completed first. The enjoyable part of the job was some of the employees and how they make you feel.
good,good place to start company is adaminte that it want to mostly promote or hire its own employees for higher level positions from within but i was only there temporaily
good,Come in do counting get on register start cleaning.The store went from being a team workplace to everyone wanting to do their own stuff and not help their co-worker. Management was not the bust of teaching. Most of the time you had to learn on your own and if it was wrong you got in trouble.I was happy when my shift was over.
good,Awesome store manager. very poor district manager. Overall the job is very fast paced. Loved my job very much until wrongfully terminated. (in my opinion)
good,"Minimum wage, flexible hours, good co-workers, understanding managers. Easy to learn system. they pay for your tabc and food handlers. Repetitive schedule."
good,"Typical night was full of alcohol sales and cleaning."
good,"Company offers great benefits. Required to get work completed with little support from other team members or management."
